G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.7185168	0.7436703	0.0684128	0.3254979	0.6914119	0.8062595	0.7122426	0.7270507	0.0419117	0.7696565	0.3094186	0.2478195	0.0185057	0.7184431	0.0117799	0.7363926	0.0262757	0.0109155	0.7595052	0.7268649	0.0846073	0.0173435	0.0672125	0.3030557	0.7993061	0.0179331	0.9240785	0.0168489	0.7449122	0.0038709	0.5655184	0.6987931	0.7535637	0.0119911	0.5285743	0.0086449	0.6730960	0.1105596	0.3719700	0.5728219	0.0306974	0.3467779	0.0619788	0.7411738	0.0435473	0.6999155	0.0703096	0.6852199	0.7640237	0.7356444	0.0187709	0.7126821	0.3108030	0.0260003	0.0014432	0.6690960	0.7224503	0.0406398	0.3114038	0.0007355	0.4207253	0.8732225	0.5895401	0.8443593	0.0123740	0.7101156	0.3080365	0.6668824	0.6202348	0.6558005	0.0006733	0.4065761	0.3676175	0.0920826	0.0410668	0.5703137	0.1934918	0.6626160	0.1660835	0.0225442	0.1046459	0.0626610	0.0834881	0.6938051	0.1325952	0.5034084	0.0044990	0.6934641	0.8260394	0.0742979	0.6636218	0.5663637	0.0943068	0.6803582	0.6544238	0.5333319	0.8745513	0.0438107	0.6821875
0.8658531	0.0000000	0.3495489	0.0698157	0.2696149	0.6338984	0.6483718	0.7934778	0.7025738	0.4120477	0.1669708	0.1095376	0.0025729	0.0282668	0.5108716	0.4626591	0.7428055	0.3816854	0.4306906	0.0651847	0.0326135	0.0533599	0.0166253	0.5487474	0.4806885	0.8467148	0.4990243	0.2910032	0.1855942	0.1034483	0.6778957	0.5197809	0.2997210	0.5608281	0.6414356	0.4318741	0.0175072	0.0650779	0.1107944	0.4305693	0.6729931	0.7859098	0.3714537	0.2678741	0.6055557	0.0607333	0.2738147	0.4909250	0.0884888	0.6145156	0.7231921	0.6598918	0.2500138	0.3437257	0.6372757	0.2349283	0.6400666	0.0106328	0.7385134	0.3404905	0.0085434	0.4786245	0.6753496	0.0366253	0.7439863	0.7438528	0.3706756	0.1476668	0.6981889	0.2330549	0.6439682	0.7878257	0.1616885	0.4875931	0.1001876	0.6028601	0.5256199	0.2652529	0.6581413	0.1159849	0.6847817	0.0655724	0.5203697	0.7087302	0.6430607	0.3762719	0.6430010	0.4763509	0.0270229	0.0138731	0.5470579	0.2897274	0.6020149	0.1297168	0.7615673	0.7248319	0.6465147	0.1724366	0.0226661	0.7094106
0.7760937	0.0112249	0.0000000	0.0435288	0.2503265	0.7778026	0.8270033	0.6517395	0.7414453	0.3679300	0.1665546	0.0980486	0.0031523	0.0261725	0.5093147	0.4239403	0.5989863	0.4051281	0.3780295	0.0525957	0.0128190	0.1005184	0.0240193	0.5182684	0.5447064	0.8028181	0.6207275	0.3801828	0.1202532	0.1613300	0.6434844	0.5046594	0.2003801	0.6557108	0.7005519	0.4347592	0.0150291	0.0731396	0.1074933	0.5540198	0.6214340	0.7508290	0.3595241	0.4075175	0.6226065	0.0485081	0.2501470	0.5186461	0.0979485	0.6862403	0.8251604	0.5683636	0.2086794	0.4194793	0.7574863	0.3399902	0.6199723	0.0080421	0.8603831	0.2649966	0.0113292	0.4098564	0.7643677	0.0886971	0.8123287	0.7985374	0.3427248	0.1580200	0.7009637	0.3789112	0.7298330	0.6144563	0.1471730	0.4926207	0.0897487	0.7218046	0.6316786	0.2230855	0.6968955	0.1790435	0.8395625	0.1226226	0.5256120	0.7785010	0.6686034	0.4105872	0.7917021	0.4130321	0.0530373	0.0349407	0.3720115	0.2886205	0.5787626	0.1384239	0.7852510	0.8087885	0.5231663	0.1365162	0.0297183	0.7819614
0.6894001	0.0083051	0.4145664	0.0000000	0.2875460	0.7340043	0.6916530	0.6544420	0.7646070	0.3987374	0.1171218	0.1443482	0.0044239	0.0136924	0.5489520	0.5506449	0.7449256	0.5269371	0.4910483	0.0659172	0.0440036	0.0334569	0.0219458	0.4812604	0.4634734	0.8093109	0.5215184	0.3125214	0.1420908	0.1509040	0.5477615	0.5083069	0.2178102	0.6920595	0.7152466	0.5295985	0.0068691	0.0697346	0.1019189	0.4728580	0.8105228	0.7206770	0.2975142	0.4741906	0.6402822	0.0258141	0.3297373	0.5510081	0.0889658	0.6932768	0.7079186	0.5813716	0.3173791	0.4100277	0.7070655	0.0011621	0.6610722	0.0086030	0.7797271	0.2699509	0.0095571	0.4085075	0.7582507	0.0358405	0.6103246	0.7529051	0.3832319	0.0188037	0.7789529	0.2963520	0.7416131	0.6881899	0.2310380	0.4339706	0.0930721	0.7117003	0.5176504	0.3063779	0.7345381	0.1226850	0.7541165	0.0851452	0.4984474	0.7354130	0.5161931	0.4438646	0.7142981	0.4417052	0.0415998	0.0399188	0.3448947	0.3117468	0.7259715	0.0669772	0.6634161	0.8226247	0.4796990	0.0802575	0.0312039	0.7484394
0.6978795	0.0046145	0.2871908	0.0716792	0.0000000	0.7254670	0.7455472	0.7746189	0.7547930	0.4752788	0.1794570	0.1403344	0.0003523	0.0436327	0.5128154	0.5683359	0.6870052	0.4650507	0.5638415	0.0960428	0.0099654	0.0528792	0.0202226	0.4838921	0.4498759	0.5693503	0.5158760	0.3578975	0.1423953	0.0875530	0.6721170	0.6314962	0.2692755	0.6569530	0.7173844	0.1841881	0.0143993	0.0738413	0.1312495	0.4566979	0.6694596	0.7568593	0.2597122	0.4186824	0.4395288	0.0388672	0.2920141	0.4545329	0.0779943	0.7382531	0.7530604	0.6614836	0.2688043	0.3922229	0.7747462	0.3164465	0.6082437	0.0283244	0.8181868	0.2545569	0.0003512	0.4178520	0.7920593	0.0621213	0.6872371	0.7714713	0.3667436	0.1297804	0.6601596	0.3225109	0.5528537	0.6746955	0.1517412	0.3965926	0.0850288	0.6429365	0.5783827	0.2847672	0.6585185	0.1316404	0.6982822	0.1024623	0.4849671	0.7637127	0.6571985	0.5709311	0.6376996	0.4692057	0.0258812	0.0558027	0.3060940	0.3065795	0.6948571	0.1209435	0.6705013	0.6922076	0.7893629	0.1251913	0.0173748	0.8992099
0.7963626	0.0069510	0.5952954	0.8335706	0.2575710	0.0000000	0.6495103	0.7920794	0.7583502	0.3801091	0.1396686	0.0932262	0.0012292	0.0305888	0.4813129	0.5463161	0.2614369	0.3589758	0.4174629	0.1200818	0.0179838	0.4626390	0.4785941	0.4796761	0.4131899	0.6464162	0.5003466	0.3135964	0.1360624	0.0830320	0.4957085	0.7066058	0.2343117	0.2677067	0.7017752	0.4135301	0.0031099	0.0407360	0.1078891	0.4948820	0.0016967	0.7702756	0.3183696	0.4231988	0.5595056	0.0344230	0.3354681	0.6083823	0.0832396	0.3846305	0.3945355	0.6500584	0.2266472	0.3984127	0.7047026	0.4940870	0.5791060	0.0153267	0.7538961	0.7564528	0.5641849	0.0047021	0.9686274	0.0602388	0.7811719	0.6904350	0.2689128	0.8708913	0.7570579	0.3227577	0.0234947	0.6156777	0.1747676	0.3952851	0.1098833	0.8033222	0.6236024	0.2040870	0.0467966	0.6923267	0.7162749	0.1287789	0.4764172	0.7795619	0.6413210	0.5268203	0.7016506	0.4571240	0.0226099	0.0663757	0.5948112	0.2110936	0.7041428	0.1068502	0.7527033	0.0148708	0.5632670	0.1447325	0.3957799	0.0340712
0.8122368	0.0041319	0.3142422	0.1070910	0.0096763	0.7622378	0.0000000	0.6921752	0.3159406	0.7365710	0.1245963	0.2427526	0.1430308	0.0218428	0.0948992	0.4399420	0.4444872	0.7885101	0.5115584	0.0534777	0.0380146	0.1324023	0.0253453	0.4971794	0.5979754	0.0415886	0.4970140	0.3446481	0.6449459	0.0976486	0.5332435	0.0299737	0.1959110	0.6528078	0.6268545	0.2333335	0.0133116	0.0577588	0.0745044	0.0317010	0.7892219	0.7671788	0.5156803	0.6396121	0.4469944	0.7716419	0.2827313	0.5701522	0.0722137	0.7750518	0.7641456	0.7012276	0.2185766	0.8710299	0.7958541	0.4774924	0.0063163	0.0305484	0.6874440	0.2454032	0.0074745	0.6489353	0.0111094	0.0588150	0.0084342	0.7863152	0.2768477	0.1545636	0.3392133	0.2393341	0.4930522	0.7956819	0.5305880	0.0491155	0.7588819	0.7752630	0.1405347	0.6002998	0.7517467	0.1505492	0.6800782	0.0855931	0.4818059	0.6141183	0.6811283	0.5580022	0.4513410	0.5116020	0.0626598	0.0237471	0.5658665	0.3051980	0.2407664	0.5400893	0.0175136	0.7241287	0.6065124	0.1586545	0.0351683	0.6685905
0.6963812	0.0148667	0.4331865	0.0716506	0.6933480	0.6744532	0.6483996	0.0000000	0.6708778	0.3534060	0.0986895	0.1086378	0.0016400	0.0342983	0.5441858	0.4666480	0.6592250	0.4545416	0.4193923	0.0888263	0.0315840	0.0513437	0.0325393	0.3766350	0.4739394	0.6130842	0.5573245	0.3546789	0.1606040	0.0859386	0.5851009	0.5615584	0.2867543	0.6709383	0.6737551	0.8474398	0.0130277	0.0511353	0.0000045	0.4257949	0.7166879	0.7052917	0.3211924	0.5423638	0.5677672	0.0601516	0.2727189	0.6255261	0.0816415	0.8970259	0.6575547	0.6500462	0.2039131	0.5122128	0.7067800	0.3099398	0.6434900	0.0105655	0.6700478	0.2787038	0.0162438	0.4085695	0.8459519	0.0675508	0.9195185	0.6177924	0.3669543	0.1877865	0.5569011	0.2805085	0.6087353	0.6642814	0.2206489	0.4607093	0.0843095	0.7230985	0.4858786	0.2110990	0.7539827	0.1658482	0.7390001	0.4990461	0.5612298	0.7556337	0.0307903	0.4557167	0.7063923	0.4746086	0.0481182	0.0391450	0.4310847	0.2836315	0.4716928	0.1871129	0.6966367	0.6550674	0.2050869	0.1249250	0.0447384	0.6486111
0.8306922	0.0058623	0.3891782	0.0477843	0.2742183	0.6562961	0.8469121	0.7325532	0.0000000	0.4498509	0.1518384	0.3110055	0.0047117	0.0142512	0.5253176	0.3966593	0.5847278	0.4991486	0.5061198	0.0828077	0.0213314	0.0516164	0.0374630	0.5028720	0.6449434	0.7252925	0.5286508	0.2793051	0.1679833	0.1207533	0.6480130	0.5430511	0.2197376	0.7296054	0.5162492	0.3974725	0.0046438	0.0322453	0.0952267	0.4902862	0.7257789	0.6499627	0.6555077	0.3336021	0.5993217	0.0212368	0.4342734	0.6734841	0.0621968	0.7360498	0.7641248	0.5468354	0.1800020	0.7989578	0.7304763	0.3235851	0.7404266	0.0089849	0.6981621	0.2784200	0.0017419	0.4661883	0.8087119	0.0388355	0.6365624	0.6799163	0.3493162	0.1318479	0.0487088	0.3994364	0.5940766	0.8997575	0.2047473	0.4761330	0.1527440	0.7165209	0.0003988	0.6517583	0.7148435	0.1033548	0.7049764	0.1921968	0.3841296	0.6472040	0.5974506	0.4865638	0.6503785	0.6649938	0.0293239	0.0323964	0.4392919	0.2578764	0.5883378	0.6184859	0.8015180	0.8542589	0.5164920	0.1302535	0.0402041	0.7819866
0.6985198	0.0008985	0.3443700	0.0492555	0.2631600	0.7358479	0.7467754	0.7548893	0.6807642	0.0000000	0.1167244	0.2723937	0.0053929	0.0350484	0.4926378	0.4560654	0.8196099	0.4609049	0.5306351	0.0847219	0.0305406	0.0409494	0.0242227	0.4766796	0.2691176	0.5572537	0.5201867	0.2818317	0.2155421	0.0705843	0.6089550	0.5744042	0.1779196	0.7279043	0.6247509	0.4823007	0.0035877	0.0481219	0.7269832	0.5302101	0.5732095	0.7215296	0.3126516	0.0421619	0.5994662	0.0289024	0.2346691	0.6463966	0.0863309	0.6572497	0.8564333	0.7434182	0.1325663	0.4438591	0.7368893	0.2952484	0.6391545	0.0215160	0.5714769	0.2446635	0.0170972	0.5307536	0.6792343	0.0790497	0.6294914	0.7714973	0.2474821	0.1565363	0.6786573	0.2365210	0.6118960	0.6517995	0.0373726	0.5432109	0.0864222	0.6679484	0.4792682	0.1894147	0.6585662	0.1255692	0.6752965	0.0847328	0.5522521	0.9119733	0.6273620	0.4853908	0.6850137	0.5838102	0.0570587	0.0410230	0.4775117	0.2188115	0.6672422	0.1454020	0.7443427	0.6982241	0.5220279	0.1714227	0.0354103	0.7444818
