G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.4153372	0.6057819	0.5383196	0.6906265	0.5747706	0.7733150	0.6094334	0.6038118	0.7802864	0.0404336	0.4777924	0.5828620	0.1645738	0.6244415	0.4433080	0.0086723	0.1901870	0.2583430	0.3177841	0.0006565	0.6235929	0.6485263	0.6644116	0.6129083	0.5661742	0.0398856	0.0943411	0.3335364	0.1751897	0.0768480	0.2937884	0.8362036	0.6170685	0.3907513	0.2930898	0.6102064	0.6715735	0.6723491	0.5002988	0.7737315	0.4291170	0.1139034	0.4231131	0.2823185	0.3937511	0.4090655	0.1536546	0.0624351	0.1077522	0.6964945	0.5993441	0.0075189	0.6111111	0.1412544	0.2344707	0.0242847	0.7905867	0.5099906	0.6418762	0.3817757	0.3792224	0.4202813	0.2711531	0.7636993	0.1082030	0.3385941	0.6804247	0.0581417	0.5922025	0.1220842	0.1078613	0.2559100	0.7258069	0.4977111	0.6546642	0.0829530	0.2190210	0.6424260	0.5657819	0.1492207	0.1269510	0.2864087	0.2112249	0.6642075	0.0396810	0.4915237	0.1548544	0.0487324	0.0353190	0.6492818	0.0533177	0.7334516	0.1065080	0.3872769	0.4680458	0.4460710	0.4237487	0.4051911	0.6280044	0.1412678
0.7815702	0.1703446	0.5791607	0.7894259	0.5922890	0.7719200	0.4873102	0.7742714	0.7141289	0.0618398	0.3803695	0.3759592	0.1316060	0.5569455	0.6358643	0.0065839	0.3261033	0.3632947	0.0424816	0.0031510	0.5102780	0.6491593	0.6931654	0.4202899	0.6490185	0.0159824	0.0332002	0.3011556	0.3191953	0.3369519	0.2737263	0.7025681	0.6474319	0.5215400	0.2396908	0.6718585	0.5357292	0.3718046	0.6341078	0.8394499	0.4632074	0.3069291	0.4903272	0.3054435	0.3790225	0.3659164	0.1417615	0.0614301	0.1498969	0.5061849	0.2876334	0.0411574	0.5710830	0.4714936	0.4678559	0.0127908	0.5661977	0.7043404	0.7128906	0.3794748	0.3545874	0.4246684	0.6112605	0.6228606	0.0879518	0.3721749	0.6004094	0.0720429	0.6698831	0.2468074	0.0962284	0.2103661	0.7492155	0.5573237	0.6574346	0.0769751	0.2904833	0.7650658	0.7283271	0.1193003	0.1175614	0.1919162	0.5173319	0.1073419	0.0376134	0.5929235	0.3643589	0.0435560	0.0781039	0.6611679	0.0460436	0.7138840	0.0870351	0.3465177	0.0175412	0.3570683	0.3885962	0.4171643	0.5075684	0.6101764
0.6809704	0.3105359	0.2437513	0.6978428	0.6071508	0.6963234	0.4637190	0.7090671	0.7563400	0.0340424	0.3898734	0.5565194	0.1243065	0.5617135	0.5165644	0.0004189	0.2400148	0.3856257	0.2031918	0.0083292	0.4852398	0.6341650	0.6511439	0.6033287	0.6047941	0.0769300	0.0807021	0.2858071	0.3309105	0.2475192	0.2812940	0.7036203	0.7300107	0.4979403	0.2714742	0.6944869	0.6686243	0.6429102	0.7822229	0.6945232	0.5739332	0.1359142	0.3929975	0.2553123	0.3590553	0.3715889	0.2252900	0.0880267	0.1377140	0.6182739	0.4300510	0.0237204	0.5712115	0.3139786	0.3593069	0.0166965	0.7129502	0.6875532	0.6621015	0.2818246	0.4803695	0.4365336	0.4792861	0.5285538	0.0941084	0.3971177	0.6743157	0.1302507	0.7123859	0.1309183	0.1491474	0.2328372	0.6474299	0.5674076	0.7498859	0.0885244	0.3698756	0.6305865	0.5572015	0.1870890	0.1297023	0.2533967	0.8257955	0.2950724	0.0644519	0.5870958	0.2166894	0.0440507	0.0252525	0.6144116	0.0506923	0.7434511	0.0973570	0.2661939	0.1351914	0.3998624	0.3823834	0.4217498	0.6542456	0.3645227
0.8059693	0.4031897	0.5787499	0.3674231	0.5211933	0.6427154	0.5682039	0.9281249	0.7138298	0.0206855	0.3868449	0.4755857	0.1098130	0.5257639	0.4913679	0.0067717	0.2526752	0.3571800	0.2333611	0.0012327	0.5286486	0.6850722	0.6774626	0.5307415	0.4904173	0.0235490	0.1044332	0.3400026	0.3588620	0.1663448	0.5482524	0.7812596	0.6642218	0.4938684	0.3014943	0.8685800	0.5742803	0.5514601	0.6606063	0.7249519	0.5686999	0.1715648	0.4844279	0.1653527	0.4701867	0.3670725	0.1671836	0.0820091	0.0974037	0.6395129	0.5490973	0.0114559	0.5779730	0.2537422	0.3676773	0.0249997	0.7023071	0.5221907	0.6315362	0.5540812	0.4972652	0.5119558	0.0380902	0.7478176	0.0556518	0.6778054	0.7062577	0.0817351	0.6774034	0.1543929	0.0618977	0.1632940	0.7862018	0.5001986	0.6750091	0.0467225	0.2567893	0.6718980	0.8149968	0.1579122	0.0963523	0.3234081	0.6869356	0.4549742	0.0439303	0.6481860	0.2189489	0.0823849	0.0294404	0.6896728	0.0296472	0.7573448	0.0996821	0.2984975	0.0971036	0.4926858	0.4686761	0.3371634	0.5474729	0.3673246
0.6843421	0.3868643	0.6397162	0.6659102	0.2939807	0.7467076	0.6997099	0.7246738	0.6134855	0.0061897	0.5832814	0.5244077	0.0674244	0.7066844	0.5206293	0.0120902	0.2627621	0.2928959	0.2172196	0.0007206	0.4829573	0.8492472	0.6021607	0.6025737	0.5242687	0.0361987	0.0914332	0.3119654	0.2506313	0.2364323	0.3282810	0.7540800	0.7011705	0.5149007	0.3252436	0.7419353	0.6103799	0.5572060	0.4855642	0.7564317	0.5375063	0.1633922	0.5961401	0.3193714	0.4090192	0.3533312	0.1182856	0.0970371	0.1987727	0.5348421	0.4703155	0.0165562	0.6470802	0.2213775	0.2198995	0.0143379	0.7002817	0.6473482	0.6980835	0.4303800	0.4162937	0.4256090	0.1696204	0.7313250	0.0964939	0.3961052	0.6185929	0.0213169	0.7213768	0.2465037	0.0976800	0.3137965	0.6388744	0.4734902	0.6524316	0.1169585	0.2749272	0.6250109	0.6705168	0.1622349	0.0740241	0.3108304	0.5441535	0.4986795	0.0167173	0.6398137	0.1955304	0.0961556	0.0451669	0.5381865	0.0270847	0.6881716	0.0992596	0.0419500	0.1149976	0.4111660	0.5008913	0.1914351	0.6555663	0.3119198
0.6365613	0.3766424	0.4499313	0.7696402	0.3973755	0.3837963	0.4379109	0.7082960	0.6829178	0.1276727	0.3085266	0.5098069	0.1148599	0.5564760	0.4326497	0.1248925	0.3268275	0.3436958	0.1680695	0.0036141	0.4800737	0.7978286	0.6500945	0.5199441	0.4975629	0.0339217	0.0783982	0.1847092	0.2221805	0.2514642	0.3564908	0.7479725	0.1939592	0.4556459	0.3818187	0.7231195	0.3081421	0.5275134	0.5410548	0.6823981	0.1706509	0.2233293	0.5088701	0.3328016	0.3201941	0.2416994	0.2499834	0.0403132	0.1163839	0.6092412	0.5764831	0.1138864	0.0813710	0.1983793	0.6850424	0.0392322	0.6544502	0.4991075	0.6318471	0.3332497	0.4573121	0.5586975	0.7500126	0.6318043	0.0424844	0.2186739	0.7274760	0.0666755	0.6158417	0.1787853	0.1447463	0.1718383	0.7684751	0.4031220	0.6388263	0.0652116	0.5094167	0.7676325	0.6434879	0.4426371	0.2784682	0.7001096	0.6275438	0.4607358	0.1580483	0.3478625	0.1767002	0.0747790	0.1716744	0.5716596	0.4727571	0.6681357	0.0983587	0.2801476	0.1160078	0.4004569	0.4024997	0.4815733	0.7189569	0.2395496
0.6643874	0.3971996	0.5400805	0.6968409	0.6178405	0.6684709	0.2754228	0.7340253	0.8542564	0.0139200	0.3949565	0.5140582	0.1147694	0.6406547	0.4895936	0.0054790	0.2398723	0.2858182	0.1190807	0.0001184	0.5997986	0.7745455	0.6362631	0.4650278	0.5776386	0.0285473	0.0920582	0.2789487	0.2982258	0.2405834	0.3284089	0.6996332	0.5984323	0.5059825	0.2706987	0.6815528	0.6956666	0.5169603	0.6996859	0.7067775	0.4402804	0.1904920	0.4759083	0.2692140	0.3872173	0.3104733	0.1594101	0.0704579	0.1657523	0.5913256	0.4702122	0.0153879	0.5504304	0.3065866	0.2438729	0.0262606	0.6831154	0.5662708	0.6897502	0.3561112	0.3761818	0.5026935	0.2184883	0.7087179	0.1008050	0.3010971	0.7913736	0.1230239	0.7518387	0.2038274	0.2220431	0.1885354	0.6997920	0.1872633	0.6799237	0.0851706	0.1993803	0.5301599	0.6713548	0.0915181	0.1386147	0.2879349	0.5950661	0.2890219	0.0340824	0.6275537	0.1962514	0.0654584	0.0374809	0.0640481	0.0229051	0.5991522	0.1059539	0.2480449	0.0737079	0.5102524	0.3506032	0.3785903	0.6302752	0.3342805
0.7192116	0.4113497	0.6435352	0.7198738	0.6218105	0.7488488	0.6727493	0.3329447	0.6229356	0.0157999	0.2872816	0.4374664	0.1397456	0.5033416	0.5546355	0.0044799	0.0641981	0.3021225	0.0228395	0.0008256	0.5748314	0.6156478	0.6171192	0.4293486	0.5047903	0.0079795	0.1151893	0.1803695	0.3176305	0.2139691	0.2878392	0.7051425	0.6461212	0.3765659	0.2624388	0.6926176	0.7771363	0.6245819	0.5879194	0.7112393	0.2697506	0.1301555	0.5755453	0.1653268	0.1385866	0.7000561	0.1438947	0.0561739	0.2147820	0.6650503	0.4977381	0.0427489	0.5525595	0.3740820	0.2191438	0.0608935	0.6998385	0.4552994	0.7565872	0.3542088	0.3367151	0.5417677	0.2186849	0.7613391	0.1434036	0.3026416	0.7430308	0.0966795	0.6586013	0.1508851	0.0858219	0.2623900	0.7533723	0.6929198	0.6446590	0.1168892	0.2244936	0.6458272	0.5640451	0.1589553	0.1362338	0.3696091	0.6716528	0.5541242	0.0379100	0.4260003	0.1683024	0.0511584	0.0306163	0.6324106	0.1005470	0.6899137	0.2474832	0.3292355	0.1827473	0.5092441	0.0948226	0.3554034	0.7549739	0.2781239
0.7131349	0.3158512	0.5863783	0.7723200	0.5773259	0.6978862	0.4453744	0.7707476	0.3365949	0.0193453	0.5601077	0.4173877	0.0964911	0.5710557	0.4685293	0.0120107	0.2017851	0.2795751	0.1927920	0.0370615	0.6786705	0.5609421	0.7083677	0.5068008	0.5743954	0.0312658	0.1695399	0.3496309	0.1695239	0.2234875	0.1599162	0.6094673	0.5899505	0.4546875	0.2719499	0.7076559	0.6788043	0.5679750	0.7014231	0.7297744	0.4633660	0.3676091	0.5345438	0.2892296	0.4779816	0.2831519	0.1276610	0.0871317	0.0898214	0.5827120	0.5948309	0.0204065	0.5878030	0.2490130	0.3828951	0.0247880	0.6842315	0.5814526	0.6805040	0.3816802	0.3374526	0.3875124	0.3770347	0.5882900	0.0883821	0.2778206	0.7752852	0.0504324	0.6457778	0.6151886	0.1352555	0.3627407	0.6586168	0.4223180	0.6341284	0.0909951	0.3386259	0.6736564	0.7027891	0.1074526	0.0947755	0.2622438	0.7204663	0.3720552	0.0548251	0.5721882	0.3870622	0.0361068	0.0377917	0.4655320	0.0735372	0.6888812	0.0834813	0.5148069	0.1599465	0.1662726	0.3517707	0.4113464	0.7175927	0.3192974
0.7263991	0.3199348	0.5989730	0.6775395	0.5564447	0.7547084	0.5893599	0.7316677	0.7430850	0.0193853	0.3876411	0.5468777	0.1029105	0.6200227	0.5032373	0.0171911	0.1736334	0.3430245	0.2401377	0.0004971	0.5263537	0.6610970	0.8974127	0.5695151	0.5701784	0.0125425	0.1151334	0.3224564	0.3466548	0.1736833	0.3094096	0.8251985	0.5411599	0.5341641	0.2553342	0.7626658	0.6435171	0.5018744	0.5851878	0.7322631	0.4982851	0.1226271	0.5611830	0.2092178	0.3973144	0.2807344	0.0842172	0.0675699	0.0812279	0.6119557	0.4204260	0.0109585	0.6199683	0.1861742	0.2827391	0.0406478	0.7039708	0.5832188	0.6760936	0.3760154	0.4263888	0.4657678	0.1976227	0.7467532	0.1140418	0.2917708	0.8862191	0.0843267	0.6849794	0.1034913	0.1152756	0.2215203	0.6238282	0.4818211	0.6556601	0.0838680	0.1904435	0.6729331	0.5934962	0.1099154	0.0809564	0.2199154	0.6009928	0.4037636	0.0196224	0.4793832	0.1980053	0.0482197	0.0287321	0.5134433	0.0527241	0.7845080	0.0848318	0.4426358	0.0783512	0.4598282	0.3950793	0.3472115	0.6069340	0.3623732
