G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.5725502	0.5100505	0.7376469	0.6437922	0.6978952	0.5618591	0.5888046	0.7081458	0.0168412	0.4515845	0.5017760	0.1038740	0.4416418	0.5355947	0.0077401	0.1064478	0.3538880	0.3719647	0.0013497	0.5153826	0.7885087	0.7625787	0.5812006	0.4985666	0.0236258	0.1298211	0.3421000	0.2430247	0.0421528	0.3141590	0.8820952	0.6305832	0.3019337	0.2769666	0.8282409	0.7863114	0.5590508	0.5094513	0.7529084	0.4398843	0.1406409	0.4631787	0.2872734	0.4211029	0.2915152	0.1314337	0.6030682	0.1739769	0.7947350	0.5595710	0.0228532	0.6025746	0.0861858	0.2542504	0.0313792	0.7729354	0.5965116	0.7167751	0.2861777	0.3703289	0.4063609	0.1244209	0.6573963	0.0970782	0.2624715	0.7392998	0.0959848	0.7310009	0.1991488	0.1395839	0.2435367	0.7814892	0.5672557	0.7788974	0.0861997	0.2807355	0.6444610	0.6610897	0.1135931	0.1003862	0.3186690	0.0273311	0.7065557	0.0372819	0.5620599	0.2214473	0.0377572	0.0312221	0.6098767	0.0952840	0.5728689	0.1513135	0.3994686	0.5849029	0.4181501	0.4104472	0.4090841	0.7090461	0.1141613
0.6459939	0.0000000	0.6373751	0.7933055	0.6279854	0.6871274	0.4749104	0.7250916	0.9054963	0.0306328	0.0883701	0.5118599	0.5047903	0.2507750	0.5500925	0.0033911	0.3640344	0.6830791	0.0003614	0.0001518	0.2480181	0.6459670	0.7074536	0.2085677	0.6567267	0.0539811	0.0003325	0.6492159	0.4974859	0.4363231	0.3978785	0.6893025	0.7296854	0.5965345	0.2344601	0.0166158	0.0595822	0.3735348	0.7179400	0.5416569	0.4715662	0.4204045	0.7063216	0.2052182	0.3238392	0.2362804	0.0864666	0.0581529	0.4743037	0.3648303	0.1728669	0.3414204	0.0077707	0.6712585	0.2940301	0.0209193	0.6663484	0.5203715	0.7330877	0.4063730	0.4503112	0.5105895	0.3558791	0.8279144	0.0839973	0.2909768	0.6838620	0.0532461	0.6703685	0.1707594	0.1663595	0.2085052	0.7638684	0.4024934	0.6617968	0.0837689	0.2856134	0.6068762	0.7950274	0.1541452	0.1488074	0.3295140	0.6100628	0.0629716	0.0521575	0.5552224	0.1815299	0.0360893	0.0582327	0.5782809	0.0269867	0.6603754	0.1532240	0.4476368	0.0128421	0.4159799	0.5185666	0.4673833	0.0039611	0.6665109
0.7205325	0.3373261	0.0000000	0.7309707	0.5748938	0.6640506	0.6240302	0.8233297	0.6358713	0.0365583	0.4194083	0.4830085	0.1350392	0.6244604	0.4239767	0.0013060	0.2231924	0.2885324	0.1040092	0.0024316	0.6282983	0.6911055	0.6545898	0.4296873	0.6777437	0.0514411	0.0550545	0.2570420	0.2690937	0.2345138	0.3215397	0.6764483	0.7466304	0.4257216	0.2578138	0.7704895	0.6725086	0.5640676	0.6947507	0.8299353	0.4542051	0.1598507	0.5240128	0.2367017	0.3588372	0.3788548	0.1799934	0.0448009	0.0961717	0.5851426	0.4604438	0.0089587	0.5775538	0.2520499	0.2286897	0.0043769	0.3776040	0.4822037	0.6303545	0.3232307	0.3424912	0.5017508	0.3852228	0.6580699	0.0983655	0.2734326	0.7224430	0.0694984	0.7242505	0.2239674	0.1127607	0.2424330	0.7806321	0.4008902	0.5847590	0.0976022	0.2165870	0.7398804	0.5424115	0.1027373	0.1018966	0.1841757	0.7089267	0.3204477	0.0385620	0.4774857	0.2267135	0.0367948	0.0352915	0.5166836	0.0537162	0.6193701	0.1531621	0.3847325	0.0754610	0.4657270	0.3997929	0.3568450	0.6202016	0.2897586
0.7264852	0.3301648	0.2491056	0.0000000	0.1998094	0.7161769	0.4825844	0.7505965	0.6719770	0.0106034	0.3964083	0.5232499	0.1140303	0.3253148	0.5024968	0.0019824	0.2578763	0.3767215	0.1341447	0.0006099	0.5639711	0.6328976	0.7602814	0.4706773	0.6543304	0.0399909	0.0754417	0.3089855	0.2525800	0.2871409	0.6116091	0.8037895	0.6674954	0.6492802	0.3022146	0.6806003	0.6213500	0.5592737	0.6590675	0.7238067	0.6387631	0.1535279	0.6180277	0.2177520	0.3197108	0.3920673	0.1132220	0.0878271	0.0900651	0.5133971	0.5132900	0.0306367	0.4276507	0.2168125	0.3590431	0.0080269	0.7020278	0.5543892	0.6331467	0.6395925	0.8161195	0.5179442	0.0010339	0.7014589	0.0879996	0.6606594	0.8530344	0.0763746	0.0430310	0.1246711	0.1052524	0.2046965	0.6916683	0.5049027	0.7588096	0.0774042	0.2443012	0.5797413	0.7287041	0.0907735	0.1198770	0.2856555	0.7098338	0.3289261	0.0411302	0.6000354	0.2002971	0.0522036	0.0683425	0.5585607	0.0315295	0.7247191	0.1057580	0.0607557	0.0870243	0.4916624	0.4438779	0.2650004	0.5514006	0.4719715
0.6771190	0.3156083	0.6470380	0.7144693	0.0000000	0.7803140	0.5415510	0.8961655	0.6436602	0.0135477	0.4422384	0.4273436	0.1085033	0.5980359	0.4139818	0.0013474	0.2963572	0.4170716	0.1725181	0.0035803	0.6387827	0.7140364	0.6927478	0.4698519	0.6420915	0.0388108	0.0851185	0.2952605	0.2233025	0.1969040	0.3134500	0.7494408	0.8505777	0.3834235	0.3395233	0.5596507	0.7479589	0.5468295	0.6639546	0.7148801	0.6692812	0.2004228	0.5089945	0.2070114	0.4273538	0.3235164	0.1035057	0.0854507	0.1984610	0.7231367	0.4669154	0.0229373	0.5517855	0.2864847	0.1980252	0.0055376	0.7739987	0.6651535	0.7335502	0.2913151	0.3572683	0.3997506	0.0753361	0.9438143	0.1521351	0.2381864	0.8033872	0.0904376	0.6766139	0.2243131	0.1335443	0.2179080	0.6746768	0.4810451	0.6803102	0.0747285	0.2701810	0.6764359	0.7587884	0.1188238	0.1351108	0.3736026	0.5924421	0.2759224	0.0294405	0.4366843	0.2148215	0.0454045	0.0332777	0.6053286	0.1284189	0.7290342	0.1214097	0.0193458	0.0627680	0.3697391	0.3647378	0.0065612	0.6017709	0.3231067
0.7814004	0.5112373	0.6193680	0.7041839	0.2810809	0.0000000	0.3503347	0.7210020	0.6527084	0.8819052	0.1208130	0.3000624	0.3762827	0.2033711	0.2447724	0.1404536	0.2366962	0.1792966	0.2329520	0.0051323	0.3014783	0.4059128	0.5669515	0.3639342	0.7828702	0.0182606	0.1856999	0.0000398	0.1420508	0.4506349	0.6107842	0.0495041	0.0584933	0.2749136	0.4972789	0.0106760	0.0315134	0.6723932	0.3208653	0.5485520	0.0066476	0.1955864	0.4713890	0.7270925	0.3398301	0.1040996	0.8191773	0.0794623	0.1771818	0.6268903	0.5794712	0.3041232	0.0103986	0.1962147	0.6322223	0.6783263	0.6218234	0.0515012	0.7678605	0.0377458	0.0577323	0.4844029	0.6234815	0.1897338	0.0491112	0.0263857	0.3614933	0.2817843	0.1053310	0.1719853	0.1310364	0.1577764	0.1363298	0.2983481	0.1134333	0.7239045	0.7559265	0.5819283	0.6595464	0.7131098	0.6882131	0.6067303	0.8479574	0.5322250	0.6585362	0.0094415	0.2442590	0.0387188	0.6078177	0.3266506	0.6603840	0.1185296	0.1173336	0.1848814	0.1768419	0.4633248	0.3524060	0.2254537	0.7291448	0.2653146
0.8006405	0.2591902	0.5394830	0.6057073	0.6781544	0.7541369	0.0000000	0.7050775	0.6776994	0.0103758	0.3581514	0.4972746	0.0855409	0.6016759	0.5645830	0.0047437	0.2287625	0.2993116	0.1635766	0.0040147	0.5019729	0.6411315	0.7894474	0.4950131	0.5869819	0.0178924	0.0748857	0.3561484	0.2576139	0.2448899	0.4062999	0.7517471	0.7606188	0.4673847	0.3017820	0.8820758	0.7050760	0.6159574	0.5428908	0.7364158	0.5057652	0.1727233	0.5333394	0.1631424	0.4667693	0.2623191	0.1473530	0.1039337	0.1180570	0.4927592	0.4927105	0.0215911	0.5512694	0.1762252	0.1728514	0.0118072	0.7593434	0.4999435	0.7236278	0.3721892	0.3093930	0.5223856	0.2196075	0.7750045	0.0512005	0.3666991	0.7279740	0.0662545	0.7578864	0.1865047	0.8130708	0.1854676	0.6838758	0.0603688	0.6863785	0.0483039	0.2168932	0.0480250	0.8166416	0.1803784	0.1184744	0.3117176	0.6324345	0.4488490	0.0195651	0.6327742	0.1485483	0.6491964	0.0334462	0.0206568	0.0613971	0.6023162	0.0609159	0.3118215	0.0923941	0.6184004	0.4668797	0.4428486	0.7299012	0.3442875
0.6388148	0.2470582	0.2846736	0.6887293	0.6231576	0.7157546	0.6910123	0.0000000	0.6114634	0.0132178	0.1757231	0.4429446	0.1289655	0.3937152	0.5177521	0.1055222	0.0694236	0.6731768	0.0003919	0.0680232	0.6749259	0.5476116	0.4155994	0.6239113	0.0478974	0.0445788	0.0705480	0.0001776	0.4847037	0.5397318	0.2947327	0.7589155	0.7691039	0.4307386	0.2563814	0.8936546	0.6884329	0.7299077	0.5369365	0.6400271	0.0170884	0.1614642	0.5291434	0.0465432	0.0869573	0.6904388	0.1373458	0.0518289	0.3023123	0.3235184	0.4273817	0.0517036	0.5650237	0.7034134	0.2104625	0.0344587	0.8268720	0.5691150	0.6902618	0.3739565	0.4202818	0.4594336	0.0641392	0.6505651	0.6230140	0.3433545	0.7705937	0.0759995	0.8509723	0.1689272	0.0809751	0.2302592	0.6911524	0.6564061	0.7245128	0.0680105	0.2596985	0.7719347	0.7239369	0.1053357	0.1428029	0.2172848	0.6002581	0.4990625	0.0308525	0.5579758	0.1550508	0.0394213	0.0444374	0.8098900	0.0750995	0.7751000	0.7392465	0.5343618	0.1605194	0.4108419	0.0011326	0.3537987	0.6453786	0.3846663
0.7475516	0.2999149	0.3592222	0.7416320	0.7000352	0.6271335	0.3714196	0.6606926	0.0000000	0.0074578	0.6312465	0.3528877	0.6657509	0.3401433	0.5601965	0.1865723	0.2908782	0.2584524	0.1068871	0.0320078	0.4889286	0.7288560	0.5957474	0.4014665	0.6591565	0.0318080	0.2381411	0.2621393	0.3955026	0.2408700	0.1693939	0.7144094	0.0857308	0.4388711	0.2729698	0.7353850	0.6408357	0.5493078	0.6731057	0.7859300	0.4501581	0.5085037	0.6552340	0.1820066	0.4600836	0.3712591	0.1112406	0.0576617	0.0997139	0.4699097	0.4605858	0.0178345	0.5513972	0.3326407	0.3301574	0.0046903	0.7539741	0.5311836	0.0512199	0.2560908	0.4034854	0.4629347	0.4761784	0.7254083	0.0691466	0.2267530	0.8600904	0.0699245	0.6103635	0.6810784	0.2509141	0.7124274	0.8766890	0.4606567	0.5768643	0.1235725	0.2553084	0.6922049	0.0278175	0.1111158	0.1272514	0.3295960	0.6242935	0.2823089	0.0419405	0.6562933	0.8480799	0.0470407	0.0609460	0.5091199	0.0499217	0.6923381	0.0934861	0.4361726	0.0688434	0.0966225	0.4275166	0.3565872	0.6116733	0.5047081
0.8579617	0.3662153	0.6574715	0.8031476	0.6171594	0.7706222	0.5772994	0.6537742	0.7949279	0.0000000	0.1179337	0.4909888	0.0724744	0.6133471	0.4616862	0.0039966	0.2005557	0.3716792	0.1101872	0.0020346	0.5762855	0.6955500	0.6354600	0.4733209	0.4758683	0.0266478	0.0763978	0.3020021	0.2128225	0.1570461	0.3451226	0.8751378	0.5976814	0.4111876	0.2251390	0.6240196	0.6100668	0.7146499	0.7326705	0.7178237	0.3890431	0.1869348	0.4891682	0.2182020	0.3701602	0.3448011	0.1930722	0.0812832	0.1684662	0.5616050	0.4531549	0.0161107	0.5464165	0.2774771	0.2055570	0.7529124	0.6950896	0.7211002	0.6243376	0.2822209	0.3772726	0.3968073	0.0010391	0.6275122	0.1062184	0.3186108	0.6255803	0.0458179	0.7670674	0.1547388	0.1011804	0.1992383	0.8598047	0.5354289	0.6838615	0.0799220	0.3070755	0.7025306	0.6960927	0.1400720	0.1227270	0.2744066	0.6598432	0.4218247	0.0185277	0.6625610	0.1990261	0.0378703	0.0564151	0.6979949	0.0563632	0.6705437	0.0663026	0.3400172	0.1807194	0.4584927	0.4842805	0.4465763	0.7217122	0.2977731
