G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.5000000	0.8132177	1.0000000	1.0000000	0.0620488	0.0689821	1.0000000	0.5749413	1.0000000	1.0000000	0.3169518	0.0438002	0.3153945	0.9980552	0.1609527	0.0467890	0.7578728	0.0691870	0.0201519	0.0703598	0.6278629	0.8714463	0.6404108	0.5044200	0.0097794	0.9998745	0.9493984	0.4923163	0.6575147	0.6659906	0.9957528	0.6816471	0.3778742	0.0048596	0.9303097	0.7293719	0.0082642	0.1678904	0.9998646	0.0409176	0.2896018	0.0658570	0.9767538	0.5706863	0.6545735	0.4548503	0.0299315	0.2229595	0.5790774	0.0023056	0.3807432	0.4219086	0.4496543	0.7583427	0.0777348	0.9992756	0.2847245	0.5676721	0.4684722	0.9299380	0.9855964	0.6651565	0.9980901	0.4033031	0.0505849	0.9200693	0.9999976	0.0852811	0.9909809	0.2244057	0.9604575	0.3606291	0.2830993	0.2297776	0.4771203	0.9079985	0.4950850	0.1212844	0.2546927	0.2460064	0.3808293	0.1852708	0.9997389	0.7394069	0.9214058	0.6197339	0.0419163	0.0453436	0.0682656	0.5698822	0.9571671	0.0955707	0.9053828	0.5375900	0.9480775	0.0450310	0.8971350	0.0384408	0.5580247	0.7563241
1.0000000	0.4299835	1.0000000	1.0000000	0.0620488	0.0689821	1.0000000	0.5749413	1.0000000	1.0000000	0.3169518	0.0438002	0.3153945	0.9980552	0.1609527	0.0467890	0.7578728	0.0691870	0.0201519	0.0703598	0.6278629	0.8714463	0.6404108	0.5044200	0.0097794	0.9998745	0.9493984	0.4923163	0.6575147	0.6659906	0.9957528	0.6816471	0.3778742	0.0048596	0.9303097	0.7293719	0.0082642	0.1678904	0.9998646	0.0409176	0.2896018	0.0658570	0.9767538	0.5706863	0.6545735	0.4548503	0.0299315	0.2229595	0.5790774	0.0023056	0.3807432	0.4219086	0.4496543	0.7583427	0.0777348	0.9992756	0.2847245	0.5676721	0.4684722	0.9299380	0.9855964	0.6651565	0.9980901	0.4033031	0.0505849	0.9200693	0.9999976	0.0852811	0.9909809	0.2244057	0.9604575	0.3606291	0.2830993	0.2297776	0.4771203	0.9079985	0.4950850	0.1212844	0.2546927	0.2460064	0.3808293	0.1852708	0.9997389	0.7394069	0.9214058	0.6197339	0.0419163	0.0453436	0.0682656	0.5698822	0.9571671	0.0955707	0.9053828	0.5375900	0.9480775	0.0450310	0.8971350	0.0384408	0.5580247	0.7563241
1.0000000	0.9128987	0.5000000	1.0000000	0.0620488	0.0689821	1.0000000	0.5749413	1.0000000	1.0000000	0.3169518	0.0438002	0.3153945	0.9980552	0.1609527	0.0467890	0.7578728	0.0691870	0.0201519	0.0703598	0.6278629	0.8714463	0.6404108	0.5044200	0.0097794	0.9998745	0.9493984	0.4923163	0.6575147	0.6659906	0.9957528	0.6816471	0.3778742	0.0048596	0.9303097	0.7293719	0.0082642	0.1678904	0.9991527	0.0409176	0.2896018	0.0658570	0.9767538	0.5706863	0.6545735	0.4548503	0.0299315	0.2229595	0.5790774	0.0023056	0.3807432	0.9929829	0.4496543	0.4619438	0.0777348	0.9992756	0.2847245	0.5676721	0.4684722	0.9299380	0.9855964	0.6651565	0.9980901	0.4033031	0.0505849	0.9200693	0.9999976	0.0852811	0.9909809	0.2244057	0.9604575	0.3606291	0.2830993	0.2297776	0.4771203	0.9079985	0.4950850	0.1212844	0.2546927	0.2570331	0.3808293	0.1852708	0.9997389	0.7394069	0.9214058	0.0616413	0.0419163	0.0453436	0.0682656	0.5698822	0.7454453	0.0955707	0.9053828	0.5375900	0.6336922	0.3912548	0.8971350	0.0384408	0.5580247	0.7563241
1.0000000	0.8479629	1.0000000	0.5000001	0.1886165	0.1738765	1.0000000	0.5749413	1.0000000	1.0000000	0.3169518	0.0438002	0.3153945	0.9980552	0.1609527	0.0467890	0.7578728	0.0691870	0.0201519	0.0703598	0.6278629	0.8714463	0.7835188	0.5186804	0.0119572	0.9998745	0.9493984	0.4923163	0.6575147	0.6659906	0.9957528	0.6816471	0.3778742	0.0092001	0.9748262	0.7293719	0.0082642	0.1678904	0.9998646	0.0409176	0.2896018	0.0658570	0.8913468	0.5889625	0.7471146	0.3086918	0.0299605	0.2207220	0.7952280	0.0023596	0.6788828	0.4219086	0.6336055	0.7583427	0.0777900	0.9892743	0.2847245	0.5676721	0.4684722	0.9299380	0.9051294	0.1353936	0.6211798	0.4033031	0.0505849	0.9200693	0.9999976	0.2789892	0.8555792	0.3225717	0.8991292	0.3606291	0.2830993	0.2297776	0.4771203	0.2352305	0.4950850	0.1212844	0.6087151	0.2460064	0.3808293	0.1852708	0.9768437	0.7394069	0.3871397	0.6197339	0.0419163	0.0453436	0.4460149	0.2374957	0.9571671	0.3722765	0.4666824	0.8666778	0.9480775	0.0450310	0.3680827	0.0384408	0.5580247	0.7563241
1.0000000	0.8599322	1.0000000	1.0000000	0.0310244	0.0422036	1.0000000	0.5749413	1.0000000	1.0000000	0.3169518	0.0438002	0.3153945	0.9980552	0.1609527	0.0467890	0.7578728	0.0691870	0.0201519	0.0703598	0.6278629	0.8714463	0.6404108	0.5044200	0.0097794	0.9998745	0.9493984	0.4923163	0.6575147	0.6659906	0.9957528	0.6816471	0.3778742	0.0048596	0.9303097	0.7293719	0.0082642	0.1678904	0.9998646	0.0409176	0.2896018	0.0658570	0.9767538	0.5706863	0.6545735	0.4548503	0.0299315	0.2229595	0.5790774	0.0023056	0.3807432	0.4219086	0.4496543	0.7583427	0.0777347	0.9992756	0.2847245	0.5676721	0.4684722	0.9299380	0.9957525	0.6651565	0.9999485	0.4033031	0.0505849	0.9200693	0.9999976	0.0827865	0.9985537	0.2244057	0.9604575	0.3606291	0.2830993	0.2297776	0.4771203	0.9079985	0.4950850	0.1212844	0.2546927	0.2460064	0.3808293	0.1852708	0.9999843	0.7394069	0.9214058	0.6197339	0.0419163	0.0453436	0.0682656	0.5698822	0.9571671	0.0640903	0.9053828	0.5375900	0.9480775	0.0450310	0.9859051	0.0384408	0.5580247	0.7563241
1.0000000	0.8599322	1.0000000	1.0000000	0.0620488	0.0344915	1.0000000	0.5749413	1.0000000	1.0000000	0.3169518	0.0438002	0.3153945	0.9980552	0.1609527	0.0467890	0.7578728	0.0691870	0.0201519	0.0703598	0.6278629	0.8714463	0.6404108	0.5044200	0.0097794	0.9998745	0.9493984	0.4923163	0.6575147	0.6659906	0.9957528	0.6816471	0.3778742	0.0048596	0.9303097	0.7293719	0.0082642	0.1678904	0.9998646	0.0409176	0.2896018	0.0658570	0.9767538	0.5706863	0.6545735	0.4548503	0.0299315	0.2229595	0.5790774	0.0023056	0.3807432	0.4219086	0.4496543	0.7583427	0.0777348	0.9992756	0.2847245	0.5676721	0.4684722	0.9299380	0.9855964	0.6651565	0.9980901	0.4033031	0.0505849	0.9200693	0.9999976	0.0852811	0.9909809	0.2244057	0.9604575	0.3606291	0.2830993	0.2297776	0.4771203	0.9079985	0.4950850	0.1212844	0.2546927	0.2460064	0.3808293	0.1852708	0.9997389	0.7394069	0.9214058	0.6197339	0.0419163	0.0453436	0.0682656	0.5698822	0.9571671	0.0955707	0.9053828	0.5375900	0.9480775	0.0450310	0.8971350	0.0384408	0.5580247	0.7563241
1.0000000	0.8599322	1.0000000	1.0000000	0.0471627	0.0560731	0.5000000	0.5567350	1.0000000	1.0000000	0.4539930	0.0701888	0.3153983	0.9925171	0.1117639	0.0467890	0.6906196	0.0722558	0.0206447	0.0650473	0.3987803	0.8357783	0.5708605	0.5687864	0.0029000	0.9987264	0.9493960	0.4923163	0.6575147	0.6659906	0.9783269	0.7821288	0.3778742	0.0048596	0.7043339	0.4169921	0.0127976	0.5737297	0.9961716	0.0751407	0.6381533	0.0658570	0.8576566	0.5572258	0.5987287	0.3046023	0.0299286	0.2229595	0.5790774	0.0023056	0.3807432	0.4219086	0.4496543	0.7583427	0.0777347	0.9992756	0.2847245	0.5929715	0.4684722	0.9223132	0.9911019	0.6651565	0.9995425	0.4033031	0.0505849	0.9304737	0.9999976	0.0834960	0.9956237	0.2244057	0.9604575	0.3606291	0.2590791	0.2297776	0.4655224	0.9079985	0.4738146	0.8155612	0.2546927	0.2460064	0.3546167	0.1852708	0.9999141	0.7394069	0.9214058	0.6197339	0.1026586	0.0485227	0.0682656	0.5698822	0.9571671	0.0776721	0.9053828	0.5375900	0.9480775	0.0450310	0.9517643	0.0384408	0.5580247	0.7563241
1.0000000	0.8599322	1.0000000	1.0000000	0.0620488	0.0689821	1.0000000	0.2874707	1.0000000	1.0000000	0.3159580	0.0438002	0.3156236	0.9980552	0.1609527	0.0467890	0.7578728	0.1357470	0.0319513	0.0703598	0.6278629	0.8714463	0.6404108	0.5044200	0.0097794	0.9998745	0.9487377	0.4923163	0.6575147	0.6659906	0.9957528	0.6816471	0.3778742	0.0048596	0.9303097	0.7293719	0.0082642	0.1678904	0.9998646	0.0409176	0.2896018	0.0658570	0.9767538	0.2980280	0.6545735	0.4548503	0.0299315	0.2229595	0.5790774	0.0023056	0.3807432	0.4219086	0.4496543	0.7583427	0.0777348	0.9992756	0.2847245	0.9316274	0.4684722	0.5521540	0.9855964	0.6651565	0.9980901	0.4033031	0.0505849	0.9967147	0.9999976	0.0852811	0.9909809	0.2244057	0.9604575	0.3606291	0.0677768	0.2297776	0.2509799	0.9079985	0.1418421	0.1212844	0.2546927	0.2460064	0.0599618	0.1852708	0.9997389	0.7394069	0.9214058	0.6197339	0.0419163	0.2039584	0.0682656	0.5698822	0.9571671	0.0955707	0.9053828	0.5375900	0.9480775	0.0450310	0.8971350	0.0384408	0.5580247	0.7563241
1.0000000	0.8599322	1.0000000	1.0000000	0.1912099	0.1758767	1.0000000	0.5957084	0.5000000	1.0000000	0.3239850	0.0455279	0.5878554	0.9942258	0.3839402	0.0467890	0.7210180	0.1093235	0.0196737	0.0654435	0.5201422	0.7572153	0.5403557	0.5044200	0.0097794	0.9998745	0.9086397	0.3839863	0.5789690	0.4797215	0.9958529	0.6801603	0.6983948	0.0048596	0.9303097	0.7293719	0.0118711	0.0306339	0.9998646	0.0409176	0.2896018	0.0658570	0.9767538	0.5854412	0.6545735	0.4548503	0.0299315	0.4003691	0.6360980	0.0024750	0.3157845	0.4219086	0.4496543	0.7583427	0.0777948	0.9992756	0.7043059	0.5396111	0.7539809	0.9375431	0.9030412	0.6651565	0.6049165	0.5867321	0.0713053	0.9069768	0.9999976	0.2877322	0.8512253	0.2244057	0.9604575	0.3606291	0.3117366	0.6356945	0.4899392	0.9079985	0.5186149	0.1212844	0.2546927	0.2460064	0.4106393	0.4449343	0.9755590	0.5240542	0.9214058	0.6197339	0.0419163	0.0421174	0.0682656	0.5698822	0.9571671	0.3785601	0.9053828	0.5375900	0.9480775	0.0450310	0.3634231	0.3398629	0.1193036	0.4709739
1.0000000	0.8599322	1.0000000	1.0000000	0.0620488	0.0689821	1.0000000	0.6617120	1.0000000	0.5000000	0.4039746	0.1188279	0.2943072	0.9992851	0.1252349	0.0467890	0.8870951	0.0581618	0.0429193	0.6573950	0.7346538	0.7215954	0.6404108	0.4695658	0.0605854	0.9998746	0.9494047	0.7929415	0.6575226	0.5157310	0.9957528	0.6816471	0.3592608	0.0085604	0.9303097	0.9193157	0.0082642	0.1678904	0.9998646	0.0994522	0.3871305	0.0658570	0.9767538	0.6283238	0.6545735	0.4548503	0.0299315	0.2229595	0.5790774	0.0023056	0.3807432	0.4219086	0.4496543	0.7583427	0.0777348	0.9992756	0.2847245	0.4575527	0.4684722	0.9557831	0.9855964	0.6651565	0.9980901	0.4033031	0.0505849	0.8566872	0.9999373	0.0852811	0.9909809	0.2244057	0.9604575	0.6479536	0.4083527	0.2297776	0.5279161	0.9079985	0.5875948	0.1212844	0.2546927	0.2460064	0.5024211	0.1852708	0.9997389	0.7394069	0.9214058	0.6197339	0.0419163	0.0340780	0.0682656	0.5698822	0.9571671	0.0955707	0.9053828	0.5375900	0.9480775	0.0450310	0.8971350	0.0384408	0.5580247	0.7563241
