G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.0475713	0.7975511	0.4989864	0.0233743	0.9382321	1.0000000	1.0000000	0.6985890	0.9999970	0.4679451	0.0744983	0.9731230	0.4915484	0.5959332	0.3764363	0.7534665	0.6557489	0.9029026	0.7606043	0.6154743	0.9723064	0.5292320	0.3801251	1.0000000	0.4243439	0.3988646	0.0212191	0.1859878	0.9989096	0.6987777	0.0163184	0.0227814	0.0143436	0.0388531	0.0546546	0.0023948	0.5568827	0.0235993	1.0000000	0.9462249	0.0032105	0.0459142	0.0410066	1.0000000	0.0524454	0.0059006	1.0000000	1.0000000	0.0140404	0.0095178	0.0272353	0.4083722	0.0179418	0.0002393	0.0033876	0.3150775	0.0687284	0.1087633	0.0410084	1.0000000	1.0000000	1.0000000	0.5377210	0.9999999	0.6241273	0.0236771	0.0676479	1.0000000	0.0334899	1.0000000	0.9627175	1.0000000	0.0229256	0.0738191	1.0000000	1.0000000	0.8648364	0.0116667	0.0020965	1.0000000	0.0486104	1.0000000	0.0287859	0.0415663	1.0000000	1.0000000	0.0316903	0.0245222	0.0818596	0.0606146	1.0000000	0.6426611	1.0000000	0.9998392	1.0000000	1.0000000	0.1205504	0.9999914	0.0073515
1.0000000	0.0000000	0.9999997	0.3961804	0.5505700	0.9730234	1.0000000	1.0000000	0.8568817	0.1751494	0.4203141	0.0647643	0.8286934	0.4744359	0.2129411	0.6274215	0.2773928	0.7993135	0.9164225	0.8156544	0.1434590	0.9660570	0.5363429	0.7607871	0.9547076	0.6724803	0.7423710	0.3489208	0.5603276	0.1060550	0.2447939	0.9517026	0.9225715	0.9381814	0.9993286	0.9877161	0.9837205	0.3968594	0.5488316	0.3710005	0.2915818	0.9982066	0.9630671	0.8841174	0.1661091	0.8732792	0.6889536	0.0280785	0.1238019	0.9603151	0.9370962	0.5815261	0.5425713	0.8342003	0.7080158	0.9867014	0.5437089	0.8467686	0.9974882	0.9857359	0.0908834	0.0637849	0.0525409	0.6164255	0.1280430	0.0756925	0.7700642	0.9288112	0.5246366	0.6486096	0.0431525	1.0000000	0.4826683	0.9158198	0.9754643	0.0722955	0.1911996	0.9286389	0.9999963	0.9384342	0.1818961	0.2709598	0.2911087	0.5253055	0.5488359	0.0836530	0.1975967	0.9999983	0.7596247	0.6076866	0.9825193	0.2383069	0.4587251	0.2473192	0.7591103	0.1115581	0.0482347	0.9999404	0.8256056	0.8155146
1.0000000	0.6862084	0.0000004	0.7391189	0.5505700	0.9730234	1.0000000	1.0000000	0.8568817	0.1751494	0.9994809	0.1013455	0.9026401	0.0261273	0.3970706	0.4596504	0.2773928	0.7993135	0.9164225	0.8156544	0.1434590	0.9660570	0.0033892	0.7607871	0.9547076	0.6724803	0.7423710	0.3489208	0.9549392	0.1060550	0.2447939	0.9517026	0.9225715	0.9381814	0.9993286	0.9877161	0.9837205	0.7942889	0.5488316	0.3710005	0.2915818	0.9982066	0.9630671	0.8841174	0.1661091	0.8732792	0.6889536	0.0280785	0.1238019	0.9603151	0.9370962	0.5815261	0.0834981	0.8342003	0.7080158	0.9867014	0.0418860	0.8467686	0.9974882	0.9857359	0.0908834	0.0637849	0.0525409	0.0667913	0.1280430	0.0756925	0.7700642	0.9288112	0.5246366	0.6486096	0.0431525	0.2564410	0.4826683	0.9158198	0.9754643	0.0722955	0.1911996	0.6659204	0.9999963	0.9384342	0.1818961	0.2709598	0.2911087	0.5253055	0.5488359	0.0836530	0.1975967	0.9999983	0.7596247	0.6076866	0.9825193	0.2383069	1.0000000	0.2473192	0.7591103	0.1115581	0.0482347	0.9999404	0.8256056	0.8155146
1.0000000	0.6862084	0.0491696	0.0000000	0.5505700	0.9730234	1.0000000	1.0000000	0.8568817	0.1751494	0.9437544	0.0014559	0.5499020	0.0261966	0.0264321	0.4640927	0.2773928	0.7993135	0.9164225	0.8156544	0.1434590	0.9660570	0.0098966	0.7607871	0.9547076	0.6724803	0.7423710	0.3489208	0.9549392	0.1060550	0.2447939	0.9517026	0.9225715	0.9381814	0.9993286	0.9877161	0.9837205	0.0273228	0.5488316	0.3710005	0.2915818	0.9982066	0.9630671	0.8841174	0.1661091	0.8732792	0.6889536	0.0280785	0.1238019	0.9603151	0.9370962	0.5815261	0.0837973	0.8342003	0.7080158	0.9867014	0.0418874	0.8467686	0.9974882	0.9857359	0.0908834	0.0637849	0.0525409	0.0807992	0.1280430	0.0756925	0.7700642	0.9288112	0.5246366	0.6486096	0.0431525	0.2564410	0.4826683	0.9158198	0.9754643	0.0722955	0.1911996	1.0000000	0.9999963	0.9384342	0.1818961	0.2709598	0.2911087	0.5253055	0.5488359	0.0836530	0.1975967	0.9999983	0.7596247	0.6076866	0.9825193	0.2383069	0.9999642	0.2473192	0.7591103	0.1115581	0.0482347	0.9999404	0.8256056	0.8155146
1.0000000	0.6862084	0.0491696	0.7720384	0.0000000	0.9348548	1.0000000	1.0000000	0.6868365	0.9999999	0.9442427	0.0947298	0.9804472	0.0616971	0.6851923	0.1782360	0.2773928	0.6417900	0.9017931	0.7574300	0.6152525	0.9720157	0.0098966	0.9978921	0.3612879	0.9676230	0.9826601	0.0141298	0.7355072	0.5468068	0.0037705	0.6496957	0.9225715	0.9381814	0.9993286	0.9877161	0.9837205	0.8140295	0.5488316	0.3710005	0.9999982	0.9982066	0.9630671	0.8841174	0.1661091	0.8732792	0.6889536	0.0280785	0.1238019	0.9603151	0.9370962	0.5815261	0.0837973	0.8342003	0.7080158	0.9867014	0.0418874	0.8467686	0.9974882	0.9857359	0.0908834	0.0637849	0.0525409	0.0807992	0.1280430	0.6241264	0.7700642	0.9288112	0.5246366	0.6486096	0.0431525	0.2564410	0.4826683	0.9158198	0.9754643	0.0722955	0.1911996	0.6379306	0.9999963	0.9384342	0.1818961	0.0484459	0.2911087	0.5253055	0.5488359	0.0836530	0.1975967	0.9999983	0.7596247	0.6076866	0.9825193	0.2383069	0.9999642	0.2473192	0.9999951	0.1115581	0.0482347	0.9999404	1.0000000	0.8155146
1.0000000	0.6862084	0.0491696	0.5434533	0.5505700	0.0000010	1.0000000	1.0000000	0.8568817	0.1751494	0.9442428	0.1752026	0.8747435	0.0261966	0.3101535	0.4640927	0.2773928	0.7993135	0.9164225	0.8156544	0.0465556	0.3601930	0.0098966	0.7607871	0.9547076	0.6724803	0.7423710	0.3489208	0.9549392	0.1060550	0.2447939	0.9517026	0.9225715	0.9381814	0.9993286	0.9877161	0.9837205	0.6155459	0.5488316	0.3710005	0.2915818	0.9982066	0.9630671	0.8841174	0.1661091	0.8732792	0.6889536	0.0280785	0.1238019	0.9603151	0.9370962	0.5815261	0.0837973	0.8342003	0.7080158	0.9867014	0.0418874	0.8467686	0.9974882	0.9857359	0.0908834	0.0637849	0.0525409	0.0807992	0.1280430	0.0756925	0.7700642	0.9288112	0.5246366	0.6486096	0.0431525	0.2564410	0.4826683	0.9158198	0.9754643	0.0722955	0.1911996	0.8315647	0.9999963	0.9384342	0.1818961	0.2709598	0.2911087	0.5253055	0.5488359	0.0836530	0.1975967	0.9999983	0.7596247	0.6076866	0.9825193	0.2383069	0.9999642	0.2473192	0.7591103	0.1115581	0.0482347	0.9999404	0.8256056	0.8155146
1.0000000	0.6862084	0.0491696	0.6614325	0.5505700	0.5333791	0.0000008	1.0000000	0.8568817	0.1751494	0.9442424	0.1479658	0.8942456	0.0261966	0.3680407	0.6821631	0.0008810	0.7993135	0.9164225	0.8156544	0.1318495	0.8624698	0.6024144	0.7607871	0.9547076	0.6724803	0.7423710	1.0000000	0.9549392	0.1060550	0.2447939	0.9517026	0.9225715	0.9381814	0.9993286	0.9877161	0.9837205	0.7373272	0.5488316	0.3710005	0.2915818	0.9982066	0.9630671	0.8841174	0.1661091	0.8732792	0.6889536	0.0280785	0.1238019	0.9603151	0.9370962	0.5815261	0.0837973	0.8342003	0.7080158	0.9867014	0.0418874	0.8467686	0.9974882	0.9857359	0.0908834	0.0637849	0.0525409	0.0807992	0.1280430	0.0756925	0.7700642	0.9288112	0.5246366	0.6486096	0.0431525	0.2564410	0.4826683	0.9158198	0.9754643	0.0722955	0.1911996	0.7332073	0.9999963	0.9384342	0.1818961	0.2709598	0.2911087	0.5253055	0.5488359	0.0836530	0.1975967	0.9999983	0.7596247	0.6076866	0.9825193	0.2383069	0.9999642	0.2473192	0.7591103	0.1115581	0.0482347	0.9999404	0.8256056	0.8155146
1.0000000	0.6862084	0.0491696	0.9526206	0.5505700	0.9730234	1.0000000	0.0000000	0.5009235	0.1751494	0.2640946	0.4662870	0.8294150	0.0892261	0.4504657	0.4640927	0.2773928	0.0284084	0.2272452	0.0335862	0.1434590	0.9660570	0.0098966	0.7607871	0.9547076	0.6724803	0.7423710	0.3489208	0.9549392	0.1060550	0.2447939	0.9517026	0.9225715	0.9381814	0.9993286	0.9877161	0.9837205	0.8891584	0.5488316	0.3710005	0.2915818	0.9982066	0.9630671	0.8841174	0.1661091	0.8732792	0.6889536	0.0280785	0.1238019	0.9603151	0.9370962	0.5815261	0.0837973	0.8342003	0.7080158	0.9867014	0.0418874	0.8467686	0.9974882	0.9857359	0.0908834	0.0637849	0.0525409	0.0807992	0.1280430	0.0756925	0.7700642	0.9288112	0.5246366	0.6486096	0.0431525	0.2564410	0.4826683	0.9158198	0.9754643	0.0722955	0.1911996	0.4999708	0.9999963	0.9384342	0.1818961	0.2709598	0.2911087	0.5253055	0.5488359	0.0836530	0.1975967	0.9999983	0.7596247	0.6076866	0.9825193	0.2383069	0.9999642	0.2473192	0.7591103	0.1115581	0.0482347	0.9999404	0.8256056	0.8155146
1.0000000	0.6862084	0.0491696	0.7385788	0.5505700	0.9730234	1.0000000	1.0000000	0.0000011	0.1751494	0.9437544	0.0014569	0.6556383	0.0261966	0.3973477	0.4640927	0.2773928	0.0284084	0.8376545	0.7192965	0.1434590	0.9660570	0.0098966	0.7607871	0.9547076	0.6724803	0.7423710	0.3489208	0.9549392	0.1060550	0.2447939	0.9517026	0.9225715	0.9381814	0.9993286	0.9877161	0.9837205	0.7939454	0.5488316	0.3710005	0.2915818	0.9982066	0.9630671	0.8841174	0.1661091	0.8732792	0.6889536	0.0280785	0.1238019	0.9603151	0.9370962	0.5815261	0.0837973	0.8342003	0.7080158	0.9867014	0.0418874	0.8467686	0.9974882	0.9857359	0.0908834	0.0637849	0.0525409	0.0807992	0.1280430	0.0756925	0.7700642	0.9288112	0.5246366	0.6486096	0.0431525	0.2564410	0.4826683	0.9158198	0.9754643	0.0722955	0.1911996	0.6663837	0.9999963	0.9384342	0.1818961	0.2709598	0.2911087	0.5253055	0.5488359	0.0836530	0.1975967	0.9999983	0.7596247	0.6076866	0.9825193	0.2383069	0.9999642	0.2473192	0.7591103	0.1115581	0.0482347	0.9999404	0.8256056	0.8155146
1.0000000	0.6862084	0.0491696	0.7385788	0.5505700	0.9730234	1.0000000	1.0000000	0.8579407	0.0000002	0.9437544	0.1013812	0.9026033	0.0228607	0.3789570	0.4640927	0.2773928	0.8000188	0.9165033	0.8160688	0.0465588	0.6319625	0.0098966	0.7607871	0.9547076	0.6724803	0.7423710	0.3489208	0.9549392	0.1060550	0.2447939	0.9517026	0.9225715	0.9381814	0.9993286	0.9877161	0.9837205	0.7939454	0.5488316	0.3710005	0.2915818	0.9982066	0.9630671	0.8841174	0.1661091	0.8732792	0.6889536	0.0280785	0.1238019	0.9603151	0.9370962	0.5815261	0.0837973	0.8342003	0.7080158	0.9867014	0.0418874	0.8467686	0.9974882	0.9857359	0.0908834	0.0637849	0.0525409	0.0807992	0.1280430	0.0669811	0.7700642	0.9288112	0.5246366	0.6486096	0.0431525	0.2564410	0.4826683	0.9158198	0.9754643	0.0722955	0.1911996	0.6663837	0.9999963	0.9384342	0.1818961	0.2709598	0.2911087	0.5253055	0.5488359	0.0836530	0.1975967	0.9999983	0.7596247	0.6076866	0.9825193	0.2383069	0.9999642	0.2473192	0.7591103	0.1115581	0.0482347	0.9999404	0.8256056	0.8155146
