G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	1.0000000	0.2675465	0.3208437	0.3276573	1.0000000	0.0217209	0.0977495	0.1106398	0.6893395	0.3240960	0.0620219	0.0029549	0.4369095	0.5987463	0.3402858	0.2359236	0.4011594	0.4392030	0.2667003	0.5768209	0.9999952	0.7833501	0.3951541	0.1922567	0.0362750	0.0548852	0.9679383	0.9113709	0.0291058	0.9346247	0.5221694	0.6048197	0.4945189	0.9999317	0.0790219	0.0565432	0.9970441	0.0170817	0.1786563	0.2270398	0.0465093	0.9311905	0.5606378	0.9975431	0.1053851	0.1269279	0.1578039	0.9999986	0.2072345	0.1396146	0.7522830	0.4760736	0.9152044	0.5224893	0.2902497	0.0452679	0.0323832	0.9999986	0.0481744	0.7666280	0.8158835	0.0999226	0.0341875	0.3938285	0.1113960	0.9446269	0.9268017	0.5627394	0.5698152	0.5055063	0.8336813	0.9969327	0.0359077	0.0760333	0.0921621	0.4557923	0.3830395	0.7690740	0.3912372	0.5627339	0.0300388	0.9822650	0.8230898	0.0488024	0.2076407	0.7432757	0.9907644	0.7559009	1.0000000	0.9956499	0.4693115	0.8291314	0.5181956	0.7601900	0.4659736	0.9972400	0.9987679	0.5112560	0.9907305
0.1362728	0.0000000	0.0036056	1.0000000	0.9999978	1.0000000	0.7054448	1.0000000	0.8659760	0.2892470	0.9999992	0.0000000	0.9060069	0.3635645	0.7564766	0.1850780	0.9949986	0.4328187	0.4439751	0.4205012	0.4152643	0.3844223	0.8245427	0.6526568	0.1922389	0.1349780	0.0611195	0.4360371	0.0407295	0.5908181	0.6029550	0.6882350	0.9935335	0.2671240	1.0000000	0.1046493	0.0181464	0.9829677	0.4391083	1.0000000	1.0000000	0.1962372	1.0000000	0.4330366	0.9294144	0.4385009	0.9966526	0.7774890	0.9999999	1.0000000	0.0300179	0.2985112	0.9694824	0.2883145	0.6029252	0.8532487	0.0012305	0.5063613	0.3690012	0.9929526	0.3675660	0.8811487	0.6568947	0.4495821	0.4535074	0.6116142	0.9995409	0.8916837	0.8326942	0.1915666	0.1647111	0.4764540	0.0867951	0.9984263	0.7646002	0.1099138	0.2984226	0.1139516	0.9900769	0.0953661	0.6789947	0.9663084	0.9979468	0.1819748	0.9473991	0.0582679	0.9979041	0.2292445	0.4038291	0.9999427	0.9956499	0.9973913	0.4139612	0.5181956	0.9603156	0.0809923	0.9972400	0.3768916	0.9796430	0.4133229
0.6403063	1.0000000	0.0000004	0.3208437	0.3276573	1.0000000	0.0217209	0.0977495	0.1106398	0.6893395	0.3240960	0.0620219	0.0029549	0.4369095	0.5987463	0.3402858	0.2359236	0.4011594	0.4392030	0.2667003	0.5768209	0.9999952	0.7833501	0.3951541	0.1922567	0.0362750	0.0548852	0.9679383	0.9113709	0.0291058	0.9346247	0.5221694	0.6048197	0.4945189	0.9999317	0.0790219	0.0565432	0.9970441	0.0170817	0.1786563	0.2270398	0.0465093	0.9311905	0.5606378	0.9975431	0.1053851	0.1269279	0.1578039	0.9999986	0.2072345	0.1396146	0.7522830	0.4760736	0.9152044	0.5224893	0.2902497	0.0452679	0.0323832	0.9999986	0.0481744	0.7666280	0.8158835	0.0999226	0.0341875	0.3938285	0.1113960	0.9446269	0.9268017	0.5627394	0.5698152	0.5055063	0.8336813	0.9969327	0.0359077	0.0760333	0.0921621	0.4557923	0.3830395	0.7690740	0.3912372	0.5627339	0.0300388	0.9822650	0.8230898	0.0488024	0.0582736	0.7432757	0.9907644	0.7559009	0.7973524	0.9956499	0.4693115	0.8291314	0.5181956	0.7601900	0.4659736	0.9972400	0.9987679	0.5112560	0.9907305
0.6403063	1.0000000	0.3636849	0.0000000	0.3108046	1.0000000	0.0217209	0.0977495	0.1106398	0.6893395	0.3239821	0.0715280	0.0011448	0.4369095	0.5874930	0.5123635	0.2341210	0.4719857	0.5708621	0.4073434	0.5768209	1.0000000	0.7152056	0.4632709	0.1922567	0.1019510	0.0551833	0.9707604	0.0407290	0.5751052	0.9351442	0.4802445	0.1823268	0.0672540	0.0122472	0.0790219	0.0565432	0.6701583	0.0170817	0.1786563	0.2270398	0.0465093	1.0000000	0.6336483	0.9979888	0.1053851	0.0000796	0.1565722	0.9999983	0.2072345	0.1396146	0.7522830	1.0000000	0.9152044	0.5336176	0.2902497	0.0452679	0.0323832	0.9999986	0.0480415	0.7666280	1.0000000	0.0819464	0.0338971	0.0081168	0.1113960	0.9446269	0.6708997	0.5627394	0.9999968	0.4599130	0.8336813	0.9969327	0.0359077	0.0043735	0.0921621	0.4557923	0.4414564	0.7690740	0.3912372	0.5620878	0.0086761	0.0353016	0.8230898	0.0488024	0.3495532	0.6953042	0.9907644	0.7691577	0.7973524	0.9956499	0.4018250	0.8419467	0.5181956	0.7424344	0.4943854	0.9972400	0.9987679	0.4666751	0.9907305
0.6403063	1.0000000	0.2675465	0.3208437	0.0000000	1.0000000	0.0217209	0.0977495	0.1106398	0.6893395	0.3240960	0.0620219	0.0029549	0.4369095	0.5987463	0.3402858	0.2359236	0.4011594	0.4392030	0.2667003	0.5768209	0.9999952	0.7833501	0.3951541	0.1922567	0.0362750	0.0548852	0.9679383	0.9113709	0.0291058	0.9346247	0.5221694	0.6048197	0.4945189	0.9999317	0.0790219	0.0565432	0.6701583	0.0170817	0.1786563	0.2270398	0.0465093	0.9311905	0.5606378	1.0000000	0.1053851	0.1269279	0.1523171	0.9129541	0.2072345	0.1396146	0.7522830	0.4760736	0.9152044	0.5927000	0.2902497	0.0452679	0.0323832	0.9999986	0.0476764	0.7666280	0.8158835	0.0999226	0.0272595	0.3938285	0.1113960	0.9446269	0.9268017	0.5627394	0.5698152	0.5055063	0.8336813	0.9969327	0.0359077	0.0760333	0.0921621	0.4557923	0.3830395	0.7690740	0.3912372	0.5600723	0.0300388	0.9822650	0.8230898	0.0488024	0.2076407	0.0422805	0.9907644	1.0000000	0.7973524	0.9956499	0.0366741	1.0000000	0.5181956	0.0561403	1.0000000	0.9972400	0.9987679	0.0179294	0.9907305
0.9212413	1.0000000	0.7143966	0.3208437	0.5334458	0.0000001	0.0076159	0.9999993	0.0665472	0.0308112	0.5695032	0.0008245	0.1923165	0.0450194	0.5904896	0.0448435	0.8677311	0.4514481	0.3580271	0.4073429	0.2353262	1.0000000	0.5519335	0.4485534	1.0000000	0.1885320	0.0251084	0.3013296	0.0407290	0.0175458	0.2849650	0.2890462	0.1823266	0.4957609	1.0000000	0.0790219	0.3996206	0.9996018	0.4355899	1.0000000	1.0000000	0.4266922	0.9311905	0.5606378	0.8781873	0.4502298	0.1269279	0.1536333	0.9999999	1.0000000	0.5925985	1.0000000	0.4760724	0.9475098	0.3502208	1.0000000	0.8782959	0.0301481	1.0000000	0.0497180	0.5464590	0.8149632	0.0999225	0.0306281	0.9252591	0.3523270	0.0442692	0.9269252	0.1452858	0.5698152	0.5074999	0.1480689	1.0000000	0.0349528	0.0760334	0.0921618	0.7931562	0.9047518	1.0000000	0.6108420	0.5927862	0.0300388	0.9822650	0.9080824	0.0487974	0.7647145	0.9639075	0.2292446	0.6126369	0.3742007	0.1478083	0.9245961	0.6734960	1.0000000	0.8846909	0.2361382	0.0177603	0.3769037	0.8469265	0.9973300
0.6403063	1.0000000	0.2677258	0.3208437	0.3157517	1.0000000	0.0000000	0.0977495	0.0501378	0.7015769	0.3035505	0.0522836	0.0027784	0.4369088	0.5888806	0.3402504	0.2364883	0.3816490	0.4392030	0.2666998	0.5768209	1.0000000	0.7862950	0.3752283	0.1922567	0.0360531	0.0251087	0.9679383	0.9113709	0.0291058	0.9346247	0.7641637	0.6048197	0.4959331	0.9999317	0.0790219	0.0181464	0.9965649	0.0170817	0.1786563	0.2270398	0.0465093	0.9311905	0.5606378	0.9978645	0.1053851	0.1269279	0.0823922	0.9999993	0.2072345	0.1396146	0.7522830	0.4760724	0.9617277	0.5288589	0.2746327	0.4032104	0.0300441	1.0000000	0.0477180	0.7666280	0.8147847	0.0999225	0.0285589	0.3938285	0.1113960	0.9446269	0.9269404	0.5627394	0.5698152	0.5076197	0.8336813	1.0000000	0.0359077	0.0760334	0.0921618	0.4557923	0.3830395	0.7690740	0.3912372	0.5622634	0.0300388	0.9822650	0.9375904	0.0487974	0.2078781	0.7101543	0.9907644	0.7652448	0.7973524	0.9956499	0.4216479	0.8381952	0.5181956	0.7478316	0.4858690	0.9972400	0.9987679	0.4799700	0.9986683
0.6403063	1.0000000	0.2677103	0.3208437	0.3185880	1.0000000	0.0076159	0.0000000	0.0665472	0.6991814	0.3035942	0.3408341	0.0019154	0.4369088	0.5905416	0.4134162	0.2309209	0.3629864	0.4392030	0.2666998	0.6551117	0.9999999	0.7857705	0.3801556	0.1922567	0.0360661	0.0349830	0.9969823	0.9113709	0.0291058	0.9351442	0.6842756	0.6048197	0.4957609	0.9999317	0.0790219	0.0181464	0.9966879	0.0170817	0.1786563	0.2270398	0.0465093	0.9311905	0.5606378	0.9977909	0.1053851	0.1269279	0.1040787	0.9999991	0.2072345	0.1396146	0.7522830	0.4760724	0.9475097	0.5272188	0.2779635	0.3287188	0.0301481	1.0000000	0.0477750	0.7666280	0.8149632	0.0999225	0.0296214	0.3938285	0.1113960	0.0442694	0.9269252	0.5627394	0.5698152	0.5074999	0.8344073	0.9998087	0.0349528	0.0760334	0.0921618	0.4856447	0.3830395	0.4483437	0.3917866	0.5623690	0.0300388	0.9822650	0.9080787	0.0487974	0.2078576	0.7183752	1.0000000	0.7630097	0.7973524	0.9956499	0.4330186	0.8360415	0.5181956	0.7508536	0.4810542	0.9972400	1.0000000	0.4875163	0.9973300
0.6403063	1.0000000	0.2675465	0.3208437	0.3108046	1.0000000	0.0217209	0.0977495	0.0000000	0.7046280	0.3240960	0.0620219	0.0029549	0.4369095	0.5874930	0.3402858	0.2359236	0.4011594	0.4392030	0.2667003	0.5768209	0.9999952	0.7833501	0.3951541	0.1922567	0.0362750	0.0548852	0.9679383	0.9113709	0.0291058	0.9346247	0.8708750	0.6048197	0.4960436	0.9999317	0.0790219	0.0565432	0.9963329	0.0170817	0.1786563	0.2270398	0.0465093	0.9311905	0.5606378	0.9979888	0.1053851	0.1269279	0.0198482	1.0000000	0.2072345	0.1396146	0.7522830	0.4760736	1.0000000	0.5318729	0.2902497	0.0452679	0.0323832	0.9999986	0.0476764	0.7666280	0.8146166	0.0999226	0.0272595	0.3938285	0.1113960	0.9446269	0.9268017	0.5627394	0.5698152	0.5055063	0.8336813	0.9969327	0.0359077	0.0760333	0.0921621	0.4557923	0.3830395	0.7690740	0.3912372	0.5620878	0.0300388	0.9822650	0.9999959	0.0488024	0.2076407	0.6953040	0.9907644	0.7691578	0.7973524	0.9956499	0.4018250	0.8419467	0.5181956	0.7424344	0.4943855	0.9972400	0.9987679	0.4666749	1.0000000
0.6403063	1.0000000	0.2675465	0.3208437	0.3276573	1.0000000	0.0217209	0.0977495	0.1106398	0.0000000	0.3240960	0.0620219	0.0029549	0.4369095	0.5987463	0.3402858	0.2359236	0.4011594	0.4392030	0.2667003	0.5768209	0.9999952	0.7833501	0.3951541	0.1922567	0.0362750	0.0548852	0.9679383	0.9113709	0.0291058	0.9346247	0.5221694	0.6048197	0.4945189	0.9999317	0.0790219	0.0565432	0.9970441	0.0170817	0.1786563	0.2270398	0.0465093	0.9311905	0.5606378	0.9975431	0.1053851	0.1269279	0.1578039	0.9999986	0.2072345	0.1396146	0.7522830	0.4760736	0.9152044	0.5224893	0.2902497	0.0452679	0.0323832	0.9999986	0.0481744	0.7666280	0.8158835	0.0999226	0.0341875	0.3938285	0.1113960	0.9446269	0.9268017	0.5627394	0.5698152	0.5055063	0.8336813	0.9969327	0.0359077	0.0760333	0.0921621	0.4557923	0.3830395	0.7690740	0.3912372	0.5627339	0.0300388	0.9822650	0.8230898	0.0488024	0.2076407	0.7432757	0.9907644	0.7559009	0.7973524	0.9956499	0.4693115	0.8291314	0.5181956	0.7601900	0.4659736	0.9972400	0.9987679	0.5112560	0.9907305
