G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.5000000	0.4006169	0.3174990	0.1494335	1.0000000	0.0887208	1.0000000	0.5051105	0.9481894	1.0000000	0.6028725	0.3135318	0.9812581	0.9373659	0.9877699	0.9370778	0.5549691	0.0291241	0.8424856	0.6569192	0.3930413	0.7822963	0.8643730	0.8199999	0.2880003	0.7227811	0.6999862	0.9999995	0.6265375	0.0828006	0.6722877	0.2661710	0.6418696	0.6253571	0.0335931	0.6529759	0.8880830	0.5921109	0.0809380	0.6387213	0.0235484	0.3054781	0.3521320	0.9472896	0.5359638	0.8399733	0.7273403	0.9999135	0.9444120	0.3306295	0.6512687	0.0833651	0.4684118	0.9585971	0.8502802	0.9110216	0.0597636	0.5825250	0.7917847	0.9392219	0.1895749	0.6185421	0.6057967	0.7036063	0.0358377	0.6851788	0.4877601	0.3546081	0.9684516	0.6579716	0.7644249	0.0486265	0.9921885	0.4257747	0.8863110	0.0493050	0.7321371	0.7941347	0.5117143	0.3390024	0.0818794	0.8974783	0.3854309	0.4571449	0.0415680	0.7694223	0.5755807	0.6156425	0.3148905	0.1745615	0.9205630	0.4704145	0.9998661	0.8498358	0.4143504	0.3581893	0.4135859	0.5417847	0.4219822	0.3735445
1.0000000	0.4381306	0.5622140	0.0438517	1.0000000	0.0887208	1.0000000	0.5051105	0.9481894	1.0000000	0.6021921	0.3135318	0.9811063	0.9373659	0.9985641	0.8935991	0.8643927	0.0291241	0.7622061	0.4377613	0.4664960	0.6657595	0.9303143	0.8199999	0.2880003	0.4625468	0.6999862	0.9999995	0.6265375	0.0828006	0.6722877	0.0983029	0.4803995	0.8808298	0.0113735	0.4461179	0.4187228	0.7426751	0.8676092	0.2794601	0.0121008	0.5506985	0.0670230	0.9984911	0.5359638	0.3474723	0.3567865	0.9999871	0.9809540	0.4948520	0.2040965	0.0601605	0.4684118	0.9935440	0.5049096	0.9945308	0.0588255	0.9780595	0.7917847	0.9841173	0.0643236	0.2602639	0.7694114	0.8994526	0.0348840	0.9416751	0.8867796	0.8349608	0.9989823	0.2792843	0.9869918	0.5214836	0.9921885	0.1633652	0.9418030	0.0195924	0.7321371	0.1232008	0.6860002	0.1335203	0.0227260	0.9678417	0.7174194	0.4571449	0.0415622	0.4567788	0.1804953	0.9085484	0.0981740	0.7564654	0.9946308	0.4704145	0.9998661	0.8498358	0.7805308	0.0965962	0.6430808	0.0699967	0.8101069	0.1026613
1.0000000	0.8762546	0.2811070	0.1856447	1.0000000	0.0887208	1.0000000	0.5051105	0.9481894	1.0000000	0.6032777	0.3135318	0.9812855	0.9373659	0.9950342	0.9656051	0.8643927	0.0291241	0.5694495	0.2441097	0.2621002	0.6837156	0.9303143	0.8199999	0.2880003	0.7652849	0.6999862	0.9999995	0.6265375	0.0828006	0.6722877	0.0983029	0.6738080	0.8808298	0.0113735	0.4461179	0.4187228	0.7426751	0.8676092	0.2794601	0.0307088	0.5506985	0.0670230	0.9051302	0.5359638	0.3474723	0.3567865	0.9999871	0.9809540	0.2999446	0.7431736	0.0601605	0.4684118	0.9393025	0.5049096	0.9945308	0.0588255	0.9780595	0.7917847	0.9841173	0.0643236	0.2602639	0.7694114	0.8994526	0.0384308	0.9416751	0.8867796	0.8349608	0.9434891	0.2792843	0.9869918	0.5214836	0.9921885	0.1633652	0.9418030	0.0195924	0.7321371	0.1232008	0.6860002	0.1335203	0.1084331	0.8707385	0.7174194	0.4571449	0.0415622	0.4567788	0.1804953	0.9085484	0.4343920	0.7564654	0.9946308	0.4704145	0.9998661	0.8498358	0.7805308	0.0965962	0.6430808	0.0699967	0.8101069	0.1026613
1.0000000	0.8762546	0.5622140	0.0219259	1.0000000	0.0887208	1.0000000	0.5051105	0.9481894	1.0000000	0.6021921	0.3135318	0.9811063	0.9373659	0.9995594	0.9109392	0.8643927	0.0291241	0.3651756	0.1578941	0.3655069	0.5754787	0.9303143	0.8199999	0.2880003	0.4625468	0.6999862	0.9999995	0.6265375	0.0828006	0.6722877	0.0983029	0.4803995	0.8808298	0.0113735	0.4461179	0.4187228	0.7426751	0.8676092	0.2794601	0.0121008	0.5506985	0.0670230	0.9998019	0.5359638	0.3474723	0.3567865	0.9999871	0.9809540	0.4948520	0.2040965	0.0601605	0.4684118	0.9935440	0.5049096	0.9945308	0.0588255	0.9780595	0.7917847	0.9841173	0.0643236	0.2602639	0.7694114	0.8994526	0.0348835	0.9416751	0.8867796	0.8349608	0.9998567	0.2792843	0.9869918	0.5214836	0.9921885	0.1633652	0.9418030	0.0195924	0.7321371	0.1232008	0.6860002	0.1335203	0.0160314	0.9678417	0.7174194	0.4571449	0.0415622	0.4567788	0.1804953	0.9085484	0.0903254	0.7564654	0.9946308	0.4704145	0.9998661	0.8498358	0.7805308	0.0965962	0.6430808	0.0699967	0.8101069	0.1026613
1.0000000	0.8762546	0.5622140	0.0617397	0.5000001	0.2506821	1.0000000	0.5051105	0.9172420	1.0000000	0.5135357	0.2492101	0.8878591	0.9371750	0.9995594	0.9109392	0.8643927	0.0304480	0.3651756	0.1578941	0.3655069	0.5754787	0.9303143	0.9930099	0.4382315	0.4274618	0.7983575	0.9999955	0.3423410	0.1496828	0.4879411	0.0983029	0.4803995	0.8808298	0.0113735	0.4461179	0.4187228	0.7426751	0.8676092	0.2794601	0.0121008	0.5506985	0.0670230	0.9958788	0.5359638	0.3474723	0.3567865	0.9999871	0.9809540	0.4948520	0.2040965	0.0601605	0.4684118	0.9935440	0.5049096	0.9945308	0.0588255	0.9780595	0.7917847	0.9841173	0.0643236	0.2602639	0.7694114	0.8994526	0.0348880	0.9416751	0.8867796	0.8349608	0.9973247	0.2792843	0.9869918	0.5214836	0.9912543	0.1633652	0.9418030	0.0195924	0.7321371	0.1232008	0.6860002	0.1335203	0.0300205	0.9678417	0.7174194	0.4626450	0.0415622	0.4567788	0.1804953	0.9085484	0.1127879	0.7564654	0.9946308	0.4704145	0.9983848	0.8498358	0.7805308	0.0965962	0.6430808	0.0699967	0.8101069	0.1026613
1.0000000	0.8762546	0.5622140	0.0438517	1.0000000	0.0443642	1.0000000	0.5051105	0.9488063	1.0000000	0.6248905	0.3164007	0.9811063	0.9373659	0.9995594	0.9109392	0.8643927	0.0291241	0.3651756	0.1578941	0.3655069	0.5754787	0.9303143	0.8199999	0.2880003	0.4625468	0.6999862	0.9999995	0.6265375	0.0828006	0.6722877	0.0983029	0.4803995	0.8808298	0.0113735	0.4461179	0.4187228	0.7426751	0.8676092	0.2794601	0.0121008	0.5506985	0.0670230	0.9984911	0.5359638	0.3474723	0.3567865	0.9999871	0.9809540	0.4948520	0.2040965	0.0601605	0.4684118	0.9935440	0.5049096	0.9945308	0.0588255	0.9780595	0.7917847	0.9841173	0.0643236	0.2602639	0.7694114	0.8994526	0.0348840	0.9416751	0.8867796	0.8349608	0.9989823	0.2792843	0.9869918	0.5214836	0.9922053	0.1633652	0.9418030	0.0195924	0.7321371	0.1232008	0.6860002	0.1335203	0.0227260	0.9678417	0.7174194	0.4570391	0.0415622	0.4567788	0.1804953	0.9085484	0.0981740	0.7564654	0.9946308	0.4704145	0.9998661	0.8498358	0.7805308	0.0965962	0.6430808	0.0699967	0.8101069	0.1026613
1.0000000	0.8762546	0.5622140	0.0360910	1.0000000	0.1897239	0.5000016	0.7421836	0.9314085	1.0000000	0.5456294	0.2188906	0.9811063	0.8079331	0.9995594	0.9109392	0.7012878	0.0291189	0.3651756	0.1578941	0.3655069	0.5754787	0.9303143	0.8182180	0.4539437	0.4625468	0.6303304	0.9999995	0.7395395	0.1232488	0.9369514	0.0983029	0.4803995	0.8808298	0.0113735	0.4461179	0.4187228	0.7426751	0.8676092	0.2794601	0.0121008	0.5506985	0.0670230	0.9991483	0.1894395	0.3474723	0.3567865	0.9999871	0.9809540	0.4948520	0.2040965	0.0601605	0.7982743	0.9935440	0.5049096	0.9945308	0.0588255	0.9780595	0.1153221	0.9841173	0.0643236	0.2602639	0.7694114	0.8994526	0.0348836	0.9416751	0.8867796	0.8349608	0.9994132	0.2792843	0.9869918	0.5214836	0.9916981	0.1633652	0.9418030	0.0195924	0.2815319	0.1232008	0.6860002	0.1335203	0.0200451	0.9678417	0.7174194	0.4600968	0.0415622	0.4567788	0.1804953	0.9085484	0.0943153	0.7564654	0.9946308	0.9073719	0.9998661	0.5560871	0.7805308	0.0965962	0.6430808	0.0699967	0.8101069	0.1026613
1.0000000	0.8762546	0.5622140	0.0438517	1.0000000	0.0887208	1.0000000	0.2525642	0.9773321	1.0000000	0.6045962	0.3814834	0.9811063	0.9373659	0.9995594	0.9109392	0.8643927	0.0291241	0.3651756	0.1578941	0.3655069	0.5754787	0.9303143	0.8199999	0.2880003	0.4625468	0.6999862	0.9999995	0.6265375	0.0828006	0.6722877	0.0983029	0.4803995	0.8808298	0.0113735	0.4461179	0.4187228	0.7426751	0.8676092	0.2794601	0.0121008	0.5506985	0.0670230	0.9984911	0.5359638	0.3474723	0.3567865	0.9999871	0.9809540	0.4948520	0.2040965	0.0601605	0.4684118	0.9935440	0.5049096	0.9945308	0.0588255	0.9780595	0.7917847	0.9841173	0.0643236	0.2602639	0.7694114	0.8994526	0.0348840	0.9416751	0.8867796	0.8349608	0.9989823	0.2792843	0.9869918	0.5214836	0.9929447	0.1633652	0.9418030	0.0195924	0.7321371	0.1232008	0.6860002	0.1335203	0.0227260	0.9678417	0.7174194	0.4522243	0.0415622	0.4567788	0.1804953	0.9085484	0.0981740	0.7564654	0.9946308	0.4704145	0.9998661	0.8498358	0.7805308	0.0965962	0.6430808	0.0699967	0.8101069	0.1026613
1.0000000	0.8762546	0.5622140	0.0438517	1.0000000	0.0887208	1.0000000	0.5051105	0.4740950	1.0000000	0.4153518	0.3135318	0.9811063	0.9373659	0.9995594	0.9109392	0.8643927	0.0291241	0.3651756	0.1578941	0.3655069	0.5754787	0.9303143	0.8199999	0.2880003	0.4625468	0.6999862	0.9999995	0.6265375	0.0828006	0.6722877	0.0983029	0.4803995	0.8808298	0.0113735	0.4461179	0.4187228	0.7426751	0.8676092	0.2794601	0.0121008	0.5506985	0.0670230	0.9984911	0.5359638	0.3474723	0.3567865	0.9999871	0.9809540	0.4948520	0.2040965	0.0601605	0.4684118	0.9935440	0.5049096	0.9945308	0.0588255	0.9780595	0.7917847	0.9841173	0.0643236	0.2602639	0.7694114	0.8994526	0.0348840	0.9416751	0.8867796	0.8349608	0.9989823	0.2792843	0.9869918	0.5214836	0.9191695	0.1633652	0.9418030	0.0195924	0.7321371	0.1232008	0.6860002	0.1335203	0.0227260	0.9678417	0.7174194	0.5864593	0.0415622	0.4567788	0.1804953	0.9085484	0.0981740	0.7564654	0.9946308	0.4704145	0.9998661	0.8498358	0.7805308	0.0965962	0.6430808	0.0699967	0.8101069	0.1026613
1.0000000	0.8762546	0.5622140	0.0438517	1.0000000	0.0911406	1.0000000	0.5051105	0.7280931	0.5000001	0.5688964	0.6268612	0.9791254	0.9373659	0.9995594	0.9109392	0.8643927	0.0291241	0.3651756	0.1578941	0.3655069	0.5754787	0.7770475	0.8199999	0.2880003	0.4625468	0.6999862	0.9999704	0.6265375	0.0828006	0.6722877	0.0983029	0.4803995	0.8808298	0.0113735	0.4461179	0.4187228	0.7426751	0.8676092	0.2794601	0.0121008	0.5506985	0.0670230	0.9984911	0.5359638	0.3474723	0.3567865	0.9999871	0.9809540	0.4948520	0.2040965	0.0601605	0.4684118	0.9935440	0.5049096	0.9945308	0.0588255	0.9780595	0.7917847	0.9841173	0.0643236	0.2602639	0.7694114	0.8994526	0.0348840	0.9416751	0.8867796	0.8349608	0.9989823	0.2792843	0.9869918	0.5214836	0.9806796	0.1633652	0.9418030	0.0195924	0.7321371	0.1232008	0.6860002	0.1335203	0.0227260	0.9678417	0.7174194	0.5033036	0.0415622	0.4567788	0.1804953	0.9085484	0.0981740	0.7564654	0.9946308	0.4704145	0.9998661	0.8498358	0.7805308	0.0965962	0.6430808	0.0699967	0.8101069	0.1026613
