G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000056	0.3465125	0.7635013	0.5043961	1.0004652	0.0644908	0.9993955	0.6547471	0.0223070	0.7154172	0.0224008	0.5565077	0.0511752	0.0293258	0.0133809	0.1562170	0.5472331	0.7801323	0.0914142	0.0037396	0.0558860	0.2476236	0.1808121	0.1771040	0.1968950	0.9988933	0.7258844	0.5301082	0.2809419	0.7255209	0.3222993	0.0275889	0.3072966	0.1680431	0.9937899	1.0004211	0.9918462	0.1540329	0.0897439	0.9990988	0.0675929	0.9995644	1.0001569	0.8017860	0.9686789	1.0000365	0.9206347	0.9007468	0.6358192	0.2456358	0.9639743	0.9845575	0.6423510	0.3734410	0.7828884	0.4748291	0.3943550	0.3702981	0.1314542	0.3809127	0.0241259	0.4433549	0.9708607	0.6976266	0.7722351	0.5122424	0.5457072	0.6715216	0.7131172	0.0277436	0.2676357	0.0316972	0.0618849	0.1032166	0.5972253	0.9996764	0.0262220	0.1539036	0.2443027	0.0402622	0.6040442	0.1745989	0.9990624	0.2673076	0.8747952	0.3006874	0.2187768	0.1133321	0.0556975	1.0013146	1.0013992	0.6841539	1.0007507	0.6682531	0.7294348	1.0024808	0.4054443	1.0022697	0.8811726	1.0002835
0.2158786	0.0000029	0.7893022	0.5388080	1.0022817	0.0647382	0.9995833	0.6561249	0.0219081	0.7163425	0.0222425	0.5549612	0.0503220	0.0293857	0.0133497	0.1565299	0.5454605	0.7825026	0.0909347	0.0035882	0.0559907	0.2471049	0.1812354	0.1766231	0.1969157	0.9992280	0.7246347	0.5272033	0.2815258	0.7226655	0.3213605	0.0276161	0.3083674	0.1688745	0.9932343	0.9962979	0.9910238	0.1547422	0.0895802	0.9999758	0.0673052	0.9982175	1.0011617	0.8037022	0.9690568	1.0004935	0.9196140	0.9004846	0.6365444	0.2453151	0.9621270	0.9862753	0.6449177	0.3739698	0.7808546	0.4728523	0.3938064	0.3724209	0.1323105	0.3789471	0.0241247	0.4435485	0.9719635	0.6998581	0.7691158	0.5131765	0.5463727	0.6712100	0.7135538	0.0279597	0.2664677	0.0315350	0.0627339	0.1035698	0.5959271	1.0000699	0.0260814	0.1533241	0.2444885	0.0402605	0.6033649	0.1740630	1.0004014	0.2675663	0.8758599	0.3006521	0.2193113	0.1136990	0.0561053	1.0010374	1.0003223	0.6834045	1.0017068	0.6701218	0.7295166	1.0007000	0.4065529	1.0011371	0.8805282	1.0012430
0.2152237	0.3758977	0.0000013	0.5384365	1.0016905	0.0645357	0.9995191	0.6561590	0.0218157	0.7159968	0.0222604	0.5558000	0.0506198	0.0291569	0.0133641	0.1565166	0.5466927	0.7822941	0.0919107	0.0037066	0.0561414	0.2481306	0.1824211	0.1796872	0.1956698	1.0018884	0.7250258	0.5318430	0.2795092	0.7244788	0.3209106	0.0277527	0.3083710	0.1682812	0.9932598	0.9997567	0.9899514	0.1541677	0.0891995	1.0006500	0.0672878	1.0025317	0.9973224	0.8029259	0.9690952	0.9987827	0.9208788	0.9011440	0.6386979	0.2461271	0.9617511	0.9852494	0.6431347	0.3741883	0.7821130	0.4745572	0.3927631	0.3725720	0.1326658	0.3821533	0.0243321	0.4436705	0.9721630	0.6972142	0.7726341	0.5113358	0.5477460	0.6722832	0.7126645	0.0275716	0.2668953	0.0317834	0.0627608	0.1034712	0.5943032	0.9993414	0.0262541	0.1552270	0.2444673	0.0400508	0.6032597	0.1738581	1.0005647	0.2656879	0.8797722	0.3008468	0.2183123	0.1127543	0.0560754	1.0032921	1.0000092	0.6832006	1.0005751	0.6703062	0.7291696	1.0025569	0.4056777	0.9998257	0.8814822	1.0001369
0.2150449	0.3748485	0.7902112	0.0000007	1.0004360	0.0648674	0.9992374	0.6533716	0.0219813	0.7145014	0.0222097	0.5552483	0.0506826	0.0293998	0.0131950	0.1568316	0.5453602	0.7834874	0.0911678	0.0035824	0.0559243	0.2482783	0.1841971	0.1806794	0.1960571	1.0001354	0.7259072	0.5319468	0.2805861	0.7232314	0.3206308	0.0278847	0.3083302	0.1689933	0.9911337	1.0020334	0.9916076	0.1549763	0.0897321	0.9989176	0.0671511	1.0035928	1.0004135	0.8013568	0.9696192	1.0006804	0.9214133	0.9019075	0.6372359	0.2458489	0.9648712	0.9855560	0.6440003	0.3717800	0.7809812	0.4748385	0.3939301	0.3695828	0.1312791	0.3808131	0.0236328	0.4429902	0.9714204	0.6994119	0.7686637	0.5140709	0.5462714	0.6736274	0.7125511	0.0279375	0.2672181	0.0320807	0.0623920	0.1031284	0.5953140	1.0015486	0.0261636	0.1540619	0.2440580	0.0402069	0.6022885	0.1751979	0.9989364	0.2664031	0.8787698	0.3011701	0.2185419	0.1133718	0.0562285	1.0001466	0.9995274	0.6820131	0.9992264	0.6696098	0.7291009	0.9998810	0.4060271	0.9989115	0.8802176	0.9966749
0.2187209	0.0474435	0.0954316	0.1201194	0.0000000	0.9999590	0.0062568	0.2928726	0.0082513	0.4759830	0.3400022	0.9996964	0.9980695	0.8537215	1.0000336	0.5829194	0.9772848	0.9943994	0.5261949	0.4211925	0.0267630	0.0635944	0.1849377	0.1834710	0.1968655	0.9992452	0.7248571	0.5563999	0.2828289	0.7240120	0.2082777	0.0279258	0.3082878	0.1697145	0.9922813	1.0017057	0.9843004	0.1541955	0.0898838	1.0015926	0.0675339	0.9987656	1.0018762	0.6438915	0.9685069	1.0009211	0.9205272	0.9029071	0.6393392	0.2342709	0.9637538	0.9850479	0.6450601	0.3728244	0.7814946	0.4769549	0.3916185	0.3706899	0.1362759	0.3839380	0.0248438	0.3776093	0.9478077	0.6318578	0.7717169	0.5122050	0.5469339	0.6733201	0.7121926	0.0276511	0.2672255	0.0319927	0.0625274	0.1047350	0.5799222	1.0003131	0.0265634	0.1578858	0.2548276	0.0402958	0.6034587	0.1753614	0.9996014	0.2668639	0.8759374	0.3003180	0.2189319	0.1125405	0.0559530	0.9998847	0.9998317	0.6854746	1.0015360	0.6623889	0.7110453	0.9993748	0.4049684	1.0003274	0.8811130	0.9997896
0.2151360	0.3741702	0.7890121	0.5402639	1.0007386	0.0000022	1.0016270	0.6535090	0.0219767	0.7150547	0.0221974	0.5547995	0.0508056	0.0293589	0.0135026	0.1569378	0.5460885	0.7837939	0.0915987	0.0037125	0.0562438	0.2474442	0.1833591	0.1800053	0.1958734	0.9996403	0.7258766	0.5309440	0.2807108	0.7249634	0.3205143	0.0278116	0.3070058	0.1688241	0.9923227	1.0011233	0.9931279	0.1537652	0.0891167	0.9983607	0.0673850	1.0000749	1.0006307	0.8007580	0.9698484	0.9995545	0.9216493	0.9017764	0.6376100	0.2454782	0.9634105	0.9845350	0.6452685	0.3725024	0.7801361	0.4746540	0.3914265	0.3718730	0.1325107	0.3801983	0.0245330	0.4450359	0.9705477	0.6977707	0.7719381	0.5118384	0.5480116	0.6715109	0.7123240	0.0275670	0.2672396	0.0318170	0.0624764	0.1026395	0.5953019	0.9992225	0.0263896	0.1538249	0.2439158	0.0403382	0.6053943	0.1743510	1.0029487	0.2680925	0.8787027	0.3004871	0.2179372	0.1125317	0.0562215	1.0002258	1.0013505	0.6838776	0.9988880	0.6686963	0.7298677	0.9991525	0.4059176	0.9989930	0.8782102	1.0011257
0.2155180	0.3742957	0.7885431	0.5373608	1.0004004	0.0651676	0.0000005	0.6551170	0.0216892	0.7148337	0.0223113	0.5535778	0.0509222	0.0293020	0.0134580	0.1564646	0.5452419	0.7820229	0.0916352	0.0036086	0.0555236	0.2473009	0.1813210	0.1791448	0.1965397	1.0033980	0.7262044	0.5305155	0.2815663	0.7247793	0.3224912	0.0278506	0.3072003	0.1689885	0.9945091	1.0008270	0.9927035	0.1540433	0.0892931	0.9976623	0.0673161	0.9991805	1.0005492	0.8018447	0.9691795	0.9998452	0.9216564	0.9003364	0.6385833	0.2444312	0.9632070	0.9852557	0.6456017	0.3729517	0.7812308	0.4737847	0.3920583	0.3720760	0.1332748	0.3808012	0.0235898	0.4447437	0.9716114	0.6979275	0.7682278	0.5158945	0.5458852	0.6698536	0.7134998	0.0276414	0.2680497	0.0314672	0.0626945	0.1026040	0.5964494	1.0025573	0.0262576	0.1529363	0.2441915	0.0400062	0.6044162	0.1741123	1.0019373	0.2679190	0.8785999	0.3005104	0.2195098	0.1127568	0.0562313	1.0006221	1.0001278	0.6842046	1.0006868	0.6689360	0.7310275	0.9975803	0.4073941	0.9998637	0.8830643	0.9977256
0.2144004	0.3760484	0.7899161	0.5356925	1.0014114	0.0654764	1.0001673	0.0000041	0.0222394	0.7143280	0.0222361	0.5540503	0.0509472	0.0293646	0.0133989	0.1568728	0.5469508	0.7819539	0.0912435	0.0037443	0.0556685	0.2459398	0.1831174	0.1792108	0.1975054	0.9998564	0.7251126	0.5290125	0.2793951	0.7240580	0.3224960	0.0277870	0.3096832	0.1684180	0.9911917	0.9986585	0.9916994	0.1539584	0.0892422	1.0010002	0.0672927	0.9987252	0.9985669	0.8023920	0.9689707	1.0009744	0.9217399	0.9006699	0.6382799	0.2457955	0.9620374	0.9845975	0.6461481	0.3722600	0.7803945	0.4760019	0.3916925	0.3702272	0.1326966	0.3814485	0.0239638	0.4445091	0.9716028	0.6981227	0.7705243	0.5119713	0.5459929	0.6713995	0.7123313	0.0279113	0.2681274	0.0319040	0.0622033	0.1028440	0.5960095	1.0006748	0.0261815	0.1545120	0.2431810	0.0401075	0.6033861	0.1748167	1.0011043	0.2687391	0.8749226	0.3007649	0.2178482	0.1137230	0.0559825	1.0000818	1.0006865	0.6826580	0.9997314	0.6717773	0.7302762	1.0006658	0.4050182	0.9991413	0.8826793	1.0004241
0.2134035	0.3752070	0.7897848	0.5399164	1.0017816	0.0645125	1.0007087	0.6551009	0.0000008	0.7151231	0.0224494	0.5543865	0.0506213	0.0295429	0.0133651	0.1556361	0.5464075	0.7832135	0.0914486	0.0036047	0.0557090	0.2472549	0.1834424	0.1778131	0.1970612	1.0004026	0.7269849	0.5305401	0.2803196	0.7239720	0.3242502	0.0278851	0.3075297	0.1683354	0.9914428	1.0000116	0.9937706	0.1537630	0.0900636	1.0009533	0.0673900	1.0013227	1.0012129	0.8034843	0.9693126	1.0020007	0.9220752	0.9029538	0.6365315	0.2457458	0.9629682	0.9833745	0.6444334	0.3723852	0.7806103	0.4729745	0.3922604	0.3711772	0.1315124	0.3802987	0.0240182	0.4448882	0.9721007	0.6993398	0.7673631	0.5152841	0.5470292	0.6713196	0.7146606	0.0275679	0.2671821	0.0320198	0.0625297	0.1031970	0.5963832	1.0002321	0.0255675	0.1537462	0.2446171	0.0400467	0.6013627	0.1754583	0.9998875	0.2682017	0.8799498	0.2994888	0.2183568	0.1129518	0.0560413	0.9992496	0.9977806	0.6845529	1.0006316	0.6700602	0.7302586	1.0007257	0.4054104	1.0011844	0.8811738	0.9987762
0.5674116	0.5011400	0.8607868	0.7955420	1.0006911	0.0650884	1.0017319	0.8826428	0.0217851	0.0000000	0.0221303	0.5537283	0.0508427	0.0294107	0.0133659	0.1568349	0.5452959	0.7831989	0.0976471	0.0045775	0.0555666	0.2472178	0.9939217	0.9826533	0.5755387	0.9985177	0.7251525	0.5251809	0.9467511	0.7251945	0.1214866	0.0273730	0.3066584	0.1683423	0.9908667	1.0018482	0.0036765	0.1541349	0.0895564	1.0008889	0.0670963	1.0003446	1.0009286	0.4904510	0.9690852	1.0004861	0.6712936	0.5144834	0.6376696	0.2100141	0.9990569	0.9840432	0.6441761	0.3730252	0.7821845	0.4739470	0.3910025	0.3708289	0.3506287	0.7084036	0.2786445	0.6768388	0.8984857	0.7159453	0.7674498	0.5129277	0.4214623	0.9658781	0.0999195	1.0029387	1.0027245	1.0024137	0.9990562	1.0001690	0.8637300	0.0603831	0.8294032	0.1691200	0.2794618	0.0408405	0.6039786	0.1747754	0.9991677	0.2681944	0.8766099	0.3007639	0.2190946	0.1131844	0.9975268	0.9999991	0.9983117	0.6824203	0.9995400	0.6714493	0.7341696	0.9996340	0.4051273	1.0007345	0.8798774	0.9995275
