G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000040	0.2187427	0.6395166	0.4053584	0.8341991	0.0527196	0.7587973	0.5710660	0.0251370	0.4856606	0.0088037	0.4143843	0.0648209	0.0188675	0.0129488	0.1542512	0.4170690	0.6079466	0.0626456	0.0015760	0.0311365	0.1178011	0.1539017	0.1241950	0.1470532	0.8906289	0.5188212	0.3688517	0.1978023	0.5634467	0.2820236	0.0150503	0.2621972	0.1229242	0.7401764	0.6816069	0.6689225	0.1255469	0.0495460	0.6950891	0.0448288	0.8345020	0.6733897	0.6076624	0.7760473	0.6651375	0.7227345	0.7126008	0.5686639	0.1410973	0.9065382	0.6711633	0.4612674	0.2190987	0.4856658	0.3745933	0.2839985	0.2274945	0.0830072	0.2484175	0.0116069	0.3505800	0.7139784	0.5463273	0.5271596	0.3879209	0.5027114	0.5495681	0.5443077	0.0104101	0.1930506	0.0174354	0.0562758	0.0586748	0.4146538	0.7793037	0.0202432	0.1022477	0.1490448	0.0309724	0.4919619	0.1086031	0.7549190	0.2007517	0.5873050	0.1615009	0.1491631	0.0672473	0.0269297	0.6237125	0.6771982	0.4432440	0.7631786	0.5113195	0.3924514	0.7281473	0.3415657	0.7481032	0.6376897	0.7491994
0.1405786	0.0000024	0.5213582	0.3542928	0.6531026	0.0430209	0.7879340	0.5437723	0.0151733	0.5033368	0.0183102	0.4269432	0.0318028	0.0437493	0.0104432	0.1245235	0.3683232	0.5975498	0.0567211	0.0026890	0.0512767	0.1282143	0.1638062	0.1359616	0.1589733	0.6493412	0.5316721	0.4280850	0.1684638	0.5113128	0.2113161	0.0350440	0.2175081	0.1384527	0.8401257	0.6859293	0.8124329	0.1264502	0.0694568	0.7198938	0.0315472	0.6651179	0.7976576	0.5178592	0.6951778	0.7272425	0.6644668	0.7827753	0.4372383	0.1951924	0.6372819	0.7290458	0.4912954	0.2919170	0.5722006	0.3219464	0.2745657	0.3182148	0.0918879	0.1978986	0.0239579	0.3194852	0.6153869	0.4304279	0.6193053	0.3141662	0.3714869	0.5112867	0.5401517	0.0228471	0.1949653	0.0293503	0.0370917	0.0571265	0.3962569	0.7569904	0.0159274	0.1169076	0.1778091	0.0174040	0.4290254	0.1582462	0.6650601	0.2091002	0.6473105	0.1906900	0.1429520	0.0924186	0.0251616	0.7672560	0.6396839	0.5652828	0.6730417	0.5211359	0.4525368	0.6143252	0.3099950	0.8011737	0.6233909	0.7917229
0.1277234	0.2554330	0.0000018	0.3277173	0.7071028	0.0417624	0.7779191	0.3826343	0.0154540	0.4276619	0.0282144	0.3419726	0.0515144	0.0218874	0.0131428	0.1389138	0.4059454	0.5696222	0.0408445	0.0039093	0.0327734	0.1702787	0.1244801	0.1266806	0.1467756	0.5781222	0.5529795	0.3550650	0.2372522	0.5025915	0.2520513	0.0301914	0.2183728	0.1129776	0.7140163	0.6991649	0.7054500	0.1045490	0.0770197	0.5811258	0.0652864	0.7120815	0.6659436	0.6395327	0.6215042	0.8160349	0.7068771	0.5512864	0.4871836	0.2239177	0.8065291	0.6420329	0.4870208	0.2853424	0.5752634	0.3808264	0.2751982	0.2424490	0.1149502	0.3298154	0.0215982	0.3750234	0.7318914	0.4577270	0.6075860	0.3105769	0.4796964	0.4240585	0.5009511	0.0286764	0.1592339	0.0211260	0.0804871	0.1149555	0.4001062	0.7457512	0.0291995	0.1197969	0.1883060	0.0202487	0.4496915	0.1379370	0.7452543	0.1828586	0.6722025	0.1728803	0.1528264	0.0580326	0.0479350	0.8002596	0.7530005	0.4684698	0.7504924	0.4331438	0.5928544	0.6694052	0.3477909	0.7607640	0.6754182	0.7799633
0.1638865	0.2714338	0.6250037	0.0000023	0.6984782	0.0302965	0.7121378	0.5395623	0.0141307	0.5700429	0.0099245	0.4037994	0.0376575	0.0171824	0.0031874	0.1340157	0.3213850	0.4843651	0.0570290	0.0133791	0.0501068	0.1654897	0.1442533	0.1195127	0.1783880	0.7938844	0.5279925	0.4242324	0.2033341	0.6651823	0.2291144	0.0280766	0.2303200	0.1141718	0.8117641	0.7373562	0.7744176	0.1494641	0.0582154	0.7629965	0.0475220	0.6618182	0.7759106	0.5714407	0.7269322	0.7344761	0.8439705	0.6954908	0.5298153	0.1367299	0.6364021	0.6861230	0.4331840	0.2862438	0.6368536	0.4298749	0.2920534	0.2349311	0.1825177	0.2884425	0.0158668	0.3444107	0.6439901	0.4982750	0.6314617	0.3690430	0.3285054	0.4281203	0.4332113	0.0289675	0.1826942	0.0205825	0.0401741	0.0708681	0.4686471	0.8239203	0.0073670	0.0874632	0.1929756	0.0388150	0.4521713	0.1795409	0.7613331	0.1902855	0.6134847	0.2401931	0.1253847	0.0933380	0.0335712	0.7487686	0.7948238	0.4887884	0.7444329	0.5016974	0.4840276	0.6518695	0.2728729	0.7961552	0.6463425	0.7144474
0.2002827	0.0238975	0.0819244	0.1086823	0.0000000	0.7531731	0.0045774	0.2197999	0.0032711	0.3519071	0.2174325	0.7796636	0.6238165	0.6030906	0.6167551	0.3729324	0.6970232	0.8512421	0.3769977	0.3038178	0.0171468	0.0463634	0.1321841	0.1199797	0.0953183	0.6614825	0.6366164	0.3395643	0.1760754	0.5437729	0.1395745	0.0307019	0.1871294	0.1144109	0.7058001	0.6809348	0.7233975	0.1325550	0.0474701	0.7328586	0.0376575	0.7432975	0.8237952	0.4964440	0.8048967	0.7728221	0.6208967	0.6538356	0.5056282	0.1575885	0.6755475	0.6489313	0.5891546	0.2874463	0.5301776	0.3134156	0.2992687	0.3069726	0.1349498	0.2563830	0.0409958	0.2864607	0.6649711	0.4897728	0.6235994	0.3945678	0.4047813	0.4631046	0.4865473	0.0077911	0.2984774	0.0144180	0.0403303	0.0780980	0.4117409	0.7071365	0.0187735	0.0992576	0.2146155	0.0105550	0.3778962	0.1209210	0.7688027	0.1721179	0.5312511	0.2480019	0.1630581	0.0737562	0.0451949	0.7016660	0.7118755	0.5154513	0.6240841	0.4913131	0.4442367	0.7663591	0.3411527	0.7545779	0.7242477	0.7607743
0.2138339	0.2442706	0.5373711	0.3197801	0.6643680	0.0000003	0.7130998	0.4961070	0.0135872	0.5338995	0.0140261	0.3997042	0.0525286	0.0253798	0.0136296	0.1112503	0.3793970	0.5895603	0.1085142	0.0043500	0.0349470	0.2099123	0.1290002	0.1312441	0.1360511	0.6669601	0.5313007	0.3321445	0.1393413	0.5584560	0.2189346	0.0271831	0.1933266	0.1411716	0.6670963	0.7276268	0.6019716	0.1282238	0.0555113	0.8660773	0.0578061	0.8226149	0.7263891	0.5692165	0.6605665	0.6878064	0.7173810	0.7070294	0.4338264	0.1306787	0.8400941	0.6261869	0.4902358	0.2867295	0.8211537	0.3281635	0.3057117	0.3129152	0.0853755	0.2752059	0.0216454	0.4085323	0.7091918	0.4420238	0.6005584	0.4323460	0.4213658	0.4801870	0.5459343	0.0107278	0.1726818	0.0170662	0.0433948	0.0525818	0.4621312	0.7966241	0.0285498	0.1395745	0.2308795	0.0251889	0.4661228	0.1348409	0.6552664	0.2117228	0.5836149	0.2302020	0.1304230	0.0850009	0.0266212	0.7497502	0.6874631	0.5347043	0.6410738	0.5673928	0.6206196	0.6643907	0.2676167	0.6937625	0.7486030	0.7491425
0.1765279	0.2562908	0.5783109	0.3230982	0.7256502	0.0525691	0.0000005	0.5020921	0.0257650	0.4885081	0.0227618	0.3306137	0.0212034	0.0283263	0.0062797	0.0914598	0.3511025	0.5962356	0.0664008	0.0013339	0.0295761	0.1983586	0.1428283	0.1684614	0.1180993	0.8495802	0.5077027	0.3425788	0.2369792	0.5533795	0.2402565	0.0142662	0.2655104	0.1032025	0.7219698	0.6663679	0.6706260	0.1322135	0.1028465	0.7269005	0.0392170	0.6316159	0.6671074	0.5621991	0.6834599	0.5963054	0.6950620	0.5763924	0.3901902	0.2375438	0.5889515	0.6400963	0.4815214	0.2281123	0.5764769	0.4684895	0.2900089	0.2697451	0.0990532	0.3087820	0.0217445	0.3536913	0.7024631	0.5231077	0.4870587	0.3654507	0.3222980	0.4581716	0.5467624	0.0272988	0.1969765	0.0207548	0.0225660	0.0638737	0.3939768	0.7921617	0.0319096	0.1190684	0.2083151	0.0307021	0.4756718	0.1284882	0.7525922	0.1697850	0.6960915	0.2047567	0.1593639	0.0924168	0.0445047	0.7596782	0.7099960	0.4832353	0.6684511	0.5129716	0.5026269	0.6864426	0.2912914	0.8276112	0.7330900	0.6662556
0.1441544	0.2564119	0.5825744	0.4469646	0.7764049	0.0607104	0.6792201	0.0000029	0.0089662	0.5339811	0.0130969	0.3293566	0.0301078	0.0213863	0.0085542	0.0938677	0.3996018	0.5220064	0.0702396	0.0038942	0.0867092	0.1725448	0.1405277	0.1227650	0.1201379	0.6625590	0.5542494	0.4586921	0.2328938	0.4561137	0.2754041	0.0242357	0.2478563	0.1255760	0.6685626	0.7311242	0.8949049	0.1113403	0.0675865	0.7650471	0.0991006	0.6892578	0.7231342	0.5607815	0.6946165	0.7401337	0.7544781	0.6237109	0.3819549	0.1419646	0.5929200	0.7587568	0.6300258	0.2679631	0.5852957	0.3353940	0.2637562	0.3325758	0.1289979	0.2838034	0.0143445	0.3339548	0.6559098	0.4865039	0.5332572	0.3660351	0.4755542	0.4785270	0.5436265	0.0246463	0.2372990	0.0293272	0.0664533	0.0809190	0.3914458	0.6307155	0.0260152	0.0932425	0.1441759	0.0277075	0.5236848	0.1164663	0.6624533	0.1819086	0.7387028	0.2026071	0.1630687	0.0692469	0.0442348	0.6770133	0.7161835	0.4507563	0.6622234	0.4951434	0.4909635	0.7297655	0.3488659	0.7634593	0.7360476	0.6695231
0.1629848	0.2629865	0.5366906	0.3941253	0.6612431	0.0363022	0.8645395	0.4881042	0.0000082	0.5465385	0.0116576	0.3936472	0.0337652	0.0162080	0.0070500	0.1042579	0.3761537	0.6150021	0.0823292	0.0011899	0.0327545	0.1914964	0.1090917	0.1345080	0.1482184	0.7173823	0.5848426	0.4120216	0.2067267	0.5672054	0.2580458	0.0145059	0.2607554	0.1323599	0.7621512	0.7148951	0.7228864	0.1282326	0.0726869	0.7205371	0.0736385	0.7200196	0.7551531	0.6476977	0.7270585	0.8063309	0.6231692	0.6314898	0.4691959	0.1876724	0.6964664	0.6797964	0.5383789	0.2564309	0.5150323	0.3430576	0.2774185	0.2454456	0.0881904	0.2038571	0.0249664	0.3178091	0.6566340	0.5292317	0.6285497	0.3569813	0.4136102	0.5133653	0.5945007	0.0135440	0.1982454	0.0204533	0.0351849	0.0602419	0.4108605	0.7636612	0.0227322	0.0894264	0.2182034	0.0358632	0.4281173	0.0839964	0.7416717	0.2645658	0.7513967	0.1710966	0.1603268	0.0708530	0.0455567	0.7224234	0.6584479	0.4468347	0.7757463	0.4300240	0.6453661	0.7265938	0.2898317	0.6754676	0.6385278	0.7998174
0.3640639	0.3520505	0.6174480	0.5658481	0.6828496	0.0835004	0.6697679	0.6481942	0.0105662	0.0000000	0.0132674	0.4424259	0.0445851	0.0105275	0.0040770	0.1092639	0.4497643	0.7000485	0.0607073	0.0047028	0.0363244	0.1851694	0.7663608	0.6183121	0.3997149	0.7450874	0.4856959	0.3867804	0.6720796	0.4796255	0.0864523	0.0142093	0.2164621	0.1582295	0.7046368	0.7558206	0.0032771	0.1210188	0.0583782	0.7737771	0.0493535	0.6411293	0.8310024	0.3494567	0.7046692	0.8310245	0.5488824	0.3252007	0.5015861	0.1679321	0.6849476	0.7619668	0.4900796	0.3781673	0.5972819	0.3477997	0.2371207	0.2861426	0.2917410	0.5206144	0.1717072	0.4520667	0.6992460	0.4843264	0.6022828	0.3599462	0.2509164	0.7229886	0.0590889	0.6693093	0.6721060	0.6654039	0.7255554	0.7080596	0.6144905	0.0469603	0.6317234	0.1122093	0.1835275	0.0227418	0.4881910	0.1563473	0.7425105	0.2017938	0.6414028	0.2269656	0.2121269	0.0754730	0.8121576	0.7171642	0.7258370	0.5667545	0.7408107	0.4379342	0.4966608	0.7815733	0.2161900	0.6675686	0.6557767	0.7393249
