G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.1995898	0.0177069	0.7188761	0.1201553	0.2913156	0.7250186	0.2366327	0.3438474	0.3378540	0.4506531	0.6157720	0.4595534	0.4395116	0.3848224	0.3504803	0.0611159	0.3514618	0.4778130	0.7644184	0.2557185	0.5291073	0.7524562	0.7166888	0.4703761	0.3585796	0.5130911	0.3824708	0.6661291	0.7257300	0.3589632	0.2765189	0.0338061	0.0956058	0.0515418	0.0015147	0.6427208	0.0664841	0.0260013	0.6965432	0.4147726	0.6746865	0.6883878	0.3016922	0.0988293	0.5059640	0.5847692	0.7675768	0.0289586	0.3140574	0.3193968	0.6233513	0.4925938	0.7004051	0.7371561	0.0169750	0.6925318	0.6658027	0.6407392	0.4037843	0.1741623	0.1041729	0.3032506	0.7651985	0.1181518	0.7004787	0.5658390	0.6491053	0.6542076	0.7655550	0.6776734	0.0337208	0.1715325	0.7849878	0.6353769	0.1455486	0.7205232	0.7045315	0.0142520	0.6388979	0.2656439	0.7530141	0.0025120	0.5733962	0.7210604	0.0130914	0.1334436	0.2848525	0.3010622	0.6192304	0.0304914	0.7857109	0.6853438	0.0539689	0.0284880	0.0258782	0.7947707	0.7193723	0.0578467	0.7222808	0.2212059
0.5528699	0.0029637	0.6222378	0.2440010	0.2737054	0.4982227	0.1420670	0.2543534	0.4116463	0.5907394	0.5007246	0.5137973	0.4822264	0.4349131	0.4181996	0.0285035	0.4181797	0.4505248	0.6933713	0.3348883	0.7037744	0.7141129	0.7661419	0.4170320	0.3582922	0.3879313	0.4200638	0.7738690	0.7554744	0.3049722	0.2493325	0.0254873	0.0956822	0.0395949	0.0015923	0.4458924	0.0631711	0.0385414	0.6985704	0.4227786	0.7826193	0.7539711	0.3695562	0.0458114	0.4275522	0.5980251	0.7383278	0.0496872	0.3468201	0.5274463	0.5818902	0.4407462	0.6785524	0.7114708	0.0307938	0.7250137	0.6839504	0.6210351	0.3695324	0.1585913	0.0832876	0.2636518	0.7136370	0.1131325	0.7776886	0.6223382	0.6899859	0.7426620	0.6155096	0.7264681	0.0396454	0.1350706	0.6787626	0.7646449	0.2064819	0.6481690	0.7047241	0.0211270	0.7726134	0.1830285	0.6271871	0.0001281	0.4601989	0.7170025	0.0141606	0.1931435	0.3526363	0.3226539	0.6307695	0.0230356	0.7573235	0.7638758	0.0301472	0.0146448	0.0243501	0.8358308	0.6682710	0.0714517	0.7084734	0.2316510
0.4088181	0.0125290	0.4310600	0.3669054	0.1804961	0.4063107	0.1924305	0.2305629	0.3480519	0.6389105	0.5454003	0.5034464	0.4974122	0.4849663	0.3763192	0.0299393	0.4545095	0.5056666	0.7488905	0.2140015	0.6200303	0.7790110	0.6799357	0.4138621	0.3698025	0.4850201	0.3691243	0.6501418	0.7511113	0.4367026	0.3630648	0.0183742	0.1496102	0.0338838	0.0090665	0.4901667	0.1075619	0.0430174	0.6049048	0.4374189	0.6293124	0.7846114	0.3512722	0.0417625	0.3719179	0.5938105	0.6399492	0.0409211	0.2522224	0.3986778	0.5482017	0.3936192	0.6885697	0.7452958	0.0277005	0.7074650	0.7778602	0.6696965	0.4161699	0.2093469	0.0656359	0.3009645	0.7387073	0.1002187	0.7351390	0.5292855	0.7265199	0.5564473	0.6945319	0.7788030	0.0308678	0.1358221	0.7862027	0.7595661	0.1577251	0.7531897	0.7065137	0.0138608	0.7997915	0.2155724	0.6830694	0.0002668	0.4453206	0.7450590	0.0129229	0.1835053	0.3014496	0.3435609	0.7051630	0.0378658	0.6622799	0.5804016	0.0361088	0.0351362	0.0223434	0.7346059	0.7783670	0.0833661	0.6355069	0.1860739
0.4042863	0.0049008	0.6832028	0.1640888	0.1593117	0.5315226	0.1079283	0.2611522	0.3156574	0.4615435	0.5355254	0.5282718	0.5266830	0.4340055	0.4184578	0.0281141	0.5021774	0.4612806	0.5303941	0.2793507	0.6200507	0.6516313	0.7565375	0.4454039	0.3549226	0.4705457	0.2552278	0.7275553	0.7218445	0.3774901	0.2572860	0.0688710	0.0929270	0.0507194	0.0009147	0.4595829	0.0780181	0.0381163	0.6049273	0.4259645	0.8013712	0.7831678	0.2799140	0.0691084	0.4036421	0.5768555	0.7713315	0.0701090	0.3010591	0.3971430	0.6315021	0.4334473	0.7613279	0.7074310	0.0352045	0.8234511	0.6673530	0.6077876	0.3647974	0.1785697	0.0634079	0.3197639	0.8178554	0.0873382	0.7339114	0.5083150	0.7454615	0.7175030	0.7390564	0.7107864	0.0447668	0.1046593	0.6428323	0.7762424	0.1687736	0.7550636	0.6189571	0.0073773	0.6862254	0.2132610	0.7657484	0.0011600	0.6095167	0.7974840	0.0209135	0.1228150	0.2915279	0.2867098	0.5038182	0.0246890	0.6122798	0.6476435	0.0322693	0.0183236	0.0160493	0.6779129	0.5954775	0.0780507	0.6451511	0.3188999
0.4667912	0.0336531	0.7129114	0.3026386	0.1263571	0.5199572	0.1729663	0.2856277	0.3620898	0.5152010	0.5215579	0.5034865	0.4517379	0.4872451	0.4430226	0.0336917	0.5140381	0.4830409	0.7106147	0.2316142	0.6070576	0.7955580	0.6341074	0.4794985	0.4421150	0.3517717	0.3007237	0.5927906	0.7878103	0.3147755	0.3631767	0.0404989	0.1422102	0.0441581	0.0012428	0.4807294	0.0915959	0.0442273	0.5656294	0.4100683	0.7549159	0.7011509	0.2853019	0.0644809	0.4008711	0.6058106	0.7313207	0.0339324	0.3323314	0.4512240	0.5577661	0.5210410	0.6801232	0.6347837	0.0063958	0.6285475	0.6493299	0.6083322	0.4193859	0.1235906	0.0741616	0.3178676	0.8497963	0.0878655	0.6917352	0.4936494	0.6903413	0.6455771	0.7442606	0.6579892	0.0377810	0.1803358	0.7043920	0.7767834	0.1375423	0.7744473	0.6048529	0.0132344	0.6327746	0.1899687	0.7659220	0.0012770	0.4808542	0.6638971	0.0118092	0.2119780	0.3285720	0.3049256	0.6427339	0.0512798	0.7912823	0.7525741	0.0292020	0.0220644	0.0072669	0.6493362	0.7436170	0.0816194	0.6999735	0.1842054
0.4782801	0.0120966	0.6800179	0.2803655	0.2654616	0.2525510	0.1598041	0.2298303	0.4080756	0.6053746	0.5638014	0.5509174	0.5203126	0.3843521	0.4125336	0.0317451	0.6154506	0.5027781	0.7142017	0.2597374	0.6011963	0.7205483	0.6574252	0.4818536	0.3908555	0.5282063	0.3500296	0.7379075	0.7126344	0.2950340	0.3237666	0.0335580	0.2471499	0.0637915	0.0170085	0.3532575	0.1630672	0.0346293	0.6635825	0.4121408	0.8222862	0.7073352	0.3094136	0.0639397	0.3698581	0.5804701	0.7979657	0.0441552	0.3357326	0.3453072	0.5569497	0.4584947	0.6937960	0.8016076	0.0172312	0.6852647	0.6019954	0.5459561	0.4161865	0.1618591	0.0756269	0.3074868	0.7130985	0.0860121	0.8366216	0.5223044	0.6092062	0.6690104	0.7911755	0.7487677	0.0456580	0.1244520	0.8135924	0.7487593	0.1764623	0.7208193	0.6727800	0.0142859	0.7602394	0.2560767	0.7574951	0.0007146	0.6083832	0.7208103	0.0173017	0.1461012	0.3626758	0.4891088	0.0813087	0.0815423	0.7503683	0.6098867	0.0345613	0.0370036	0.0164316	0.7903971	0.7158415	0.0746188	0.6722151	0.2609161
0.3530317	0.0190652	0.7461631	0.3167530	0.2571702	0.4462941	0.1189443	0.2262089	0.3391031	0.6431459	0.5521408	0.5583387	0.5388004	0.4293557	0.5100439	0.0454124	0.5727886	0.5703417	0.7657627	0.2674461	0.6151711	0.6994036	0.7115006	0.5015338	0.3849293	0.4713934	0.3606794	0.8300557	0.7025320	0.3966973	0.2936720	0.0437952	0.1383501	0.0626083	0.0018934	0.4790771	0.0962244	0.0353438	0.7165646	0.3842942	0.7816799	0.7144515	0.3221303	0.0410995	0.3084946	0.6143197	0.7807463	0.0480354	0.2695810	0.4214700	0.6123237	0.4258383	0.7763522	0.6242433	0.0374939	0.6785289	0.7217828	0.7115306	0.3915960	0.1434521	0.0800175	0.2968546	0.6777762	0.0864359	0.7343630	0.5222154	0.7238446	0.6631670	0.7618801	0.7890767	0.0476861	0.1452370	0.6324850	0.7315524	0.1194731	0.5470252	0.7432752	0.0246402	0.6791664	0.2261018	0.6632711	0.0004779	0.5072195	0.7396678	0.0153578	0.1324072	0.3244147	0.3353280	0.6497735	0.0334851	0.5727546	0.8649906	0.0489200	0.0321334	0.0157545	0.6681523	0.7328786	0.0834267	0.6416334	0.2370244
0.3870085	0.0075993	0.6443979	0.2304955	0.1571543	0.4521078	0.1719644	0.1699361	0.3561248	0.5693326	0.5112252	0.4580859	0.4702863	0.3902679	0.3869586	0.0283574	0.4852926	0.4225026	0.7712605	0.2651292	0.5687400	0.7011498	0.7881427	0.4430043	0.4074611	0.4362623	0.3439255	0.8233824	0.7992707	0.3484023	0.2797524	0.0823322	0.1268820	0.0629372	0.0011031	0.4057193	0.0979848	0.0393306	0.6408268	0.3546969	0.7060582	0.5810519	0.3260428	0.0526443	0.3985825	0.5475198	0.7216893	0.0456780	0.2603008	0.4386770	0.4773798	0.4834595	0.6951093	0.5955405	0.0154131	0.6548654	0.6809830	0.5834717	0.3447115	0.1296302	0.0643977	0.3397371	0.7344631	0.1147219	0.7603586	0.5502030	0.6874209	0.7011056	0.7857023	0.7646988	0.0498167	0.1396363	0.7533189	0.6111618	0.1906882	0.8065110	0.7662954	0.0104547	0.8115270	0.2293547	0.6558285	0.0001691	0.3941850	0.6610984	0.0142348	0.1451555	0.3344937	0.3778493	0.6262897	0.0200128	0.7116117	0.6969138	0.0324771	0.0673333	0.0109618	0.7532502	0.6568709	0.0653610	0.5801060	0.2850650
0.4605105	0.0058113	0.7141387	0.3065886	0.1865704	0.5291601	0.1609380	0.2384263	0.1860878	0.5225773	0.4906504	0.3798372	0.5877398	0.4920159	0.5774652	0.0375500	0.4951548	0.3540897	0.7496984	0.2303563	0.6144857	0.6780010	0.7315347	0.6277063	0.3890909	0.3687290	0.2872421	0.7291777	0.8514705	0.3930629	0.2817743	0.0464649	0.1329211	0.0316158	0.0043006	0.4498362	0.0765031	0.0480369	0.6667945	0.4069514	0.7720437	0.8314617	0.2903051	0.0792457	0.3271236	0.5377309	0.7830187	0.0667951	0.2850675	0.3280374	0.5208710	0.5482893	0.6918005	0.6269588	0.0489314	0.7733651	0.5501843	0.5321648	0.3583308	0.1993859	0.0728590	0.2216652	0.6115944	0.0888640	0.6405692	0.4892236	0.6845885	0.6704870	0.6976590	0.7996296	0.0729247	0.1982174	0.7716160	0.7303004	0.1078437	0.7634386	0.7604791	0.0338366	0.7524762	0.1906209	0.7386707	0.0009184	0.4555098	0.6398364	0.0099745	0.2338580	0.3341095	0.3447246	0.4911009	0.0365947	0.7459156	0.6680685	0.0401729	0.0245016	0.0112634	0.8370404	0.6719380	0.0772437	0.6990656	0.2510620
0.3861517	0.0230022	0.6941988	0.2580902	0.2124366	0.5099209	0.1390899	0.1760164	0.3889652	0.2487930	0.5639759	0.5526320	0.5142361	0.4507304	0.3879306	0.0374409	0.5360853	0.4859291	0.7273645	0.3197647	0.5079581	0.8866240	0.8010009	0.5258915	0.3799990	0.3648049	0.3187639	0.7326606	0.7794252	0.3442825	0.3293930	0.0334773	0.1377521	0.0644376	0.0016899	0.4706007	0.0719819	0.0486685	0.5801169	0.3795935	0.7361497	0.6775176	0.3529327	0.0512345	0.3957359	0.5642109	0.7819977	0.0558079	0.2906601	0.3920205	0.5254866	0.5317895	0.6912933	0.7371717	0.0161173	0.7300647	0.7305383	0.5356432	0.3251578	0.1509075	0.0479358	0.3344038	0.6328585	0.0723031	0.7547252	0.4919510	0.8322571	0.5725459	0.7396288	0.7562119	0.0464331	0.2143445	0.6763268	0.7722034	0.1035798	0.5783194	0.7508858	0.0091823	0.7166106	0.2229043	0.7521352	0.0011527	0.4489507	0.7156465	0.0300078	0.1846908	0.3622019	0.3251237	0.6201045	0.0219685	0.6695409	0.6771447	0.0257804	0.0264539	0.0137631	0.6401495	0.6049946	0.0756373	0.7497262	0.2808931
