G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000006	0.0125967	0.0803950	0.0107460	0.2976604	0.6898090	0.7662731	0.5125322	0.3561848	0.5821127	0.5600138	0.4354481	0.5280372	0.5038781	0.4192336	0.0422202	0.3459476	0.4723705	0.7651936	0.2514219	0.6206382	0.7918886	0.7397578	0.4365535	0.4912915	0.4675447	0.3811889	0.8272872	0.6741576	0.3211909	0.2624316	0.0425060	0.1171623	0.0180722	0.0008224	0.5887554	0.0685057	0.0988828	0.6024296	0.3852120	0.6790329	0.8107751	0.2814571	0.0531921	0.3846787	0.8260579	0.7424365	0.0302597	0.3060560	0.3740294	0.5601534	0.4489392	0.7113777	0.6501783	0.0349682	0.6159102	0.7038567	0.5024987	0.3437764	0.1537766	0.0685205	0.2897347	0.7003050	0.1126420	0.7379564	0.5444925	0.7151238	0.7630173	0.6608985	0.8300924	0.0329628	0.1989024	0.8159978	0.6725375	0.1541193	0.7073258	0.6429289	0.0144926	0.7077100	0.2496986	0.6700125	0.0005007	0.7168276	0.7172750	0.0207380	0.2651076	0.3429741	0.3420476	0.6860440	0.0267170	0.7550456	0.8339043	0.0271105	0.0228300	0.0237082	0.5667689	0.6798412	0.1422562	0.6833315	0.3165467
0.4068479	0.0000021	0.6785285	0.2516959	0.1993644	0.5454089	0.1984635	0.3171230	0.4205900	0.5101000	0.5471351	0.4524951	0.5358003	0.4008157	0.3690338	0.0319631	0.5545428	0.4587361	0.6223131	0.3002363	0.6696238	0.7932014	0.6421155	0.5111300	0.3660333	0.5173178	0.4038177	0.6802117	0.8340563	0.3156008	0.2965334	0.0330592	0.0876464	0.0461588	0.0011546	0.5354889	0.1534394	0.0326164	0.6063680	0.4520244	0.7343182	0.6470810	0.3065991	0.0534505	0.4006054	0.6151353	0.6954507	0.0466325	0.2908284	0.3339234	0.6072270	0.4993362	0.6789752	0.6924731	0.0332397	0.6806734	0.7084523	0.6302438	0.3173454	0.1379440	0.0968334	0.2383974	0.6979638	0.0992050	0.6982242	0.5025670	0.7483000	0.6647106	0.7382350	0.6685588	0.0256580	0.2024481	0.6781279	0.7028182	0.1630490	0.6947780	0.6366139	0.0095369	0.6765533	0.2482896	0.7474361	0.0034011	0.4306127	0.7829899	0.0218507	0.2350953	0.2920194	0.3269928	0.6130801	0.0638969	0.6560897	0.7674386	0.0368558	0.0451663	0.0064387	0.7737555	0.5827431	0.0676561	0.7076408	0.2206099
0.3486752	0.0099635	0.0000008	0.3289742	0.1876657	0.4744874	0.1311901	0.2509903	0.3156118	0.5431630	0.5725050	0.5346928	0.5328163	0.3947555	0.4187596	0.0422913	0.5133363	0.3856786	0.6898733	0.2652544	0.6036688	0.7612997	0.6631922	0.4599729	0.3113133	0.4017242	0.2907813	0.7448560	0.6872724	0.3136470	0.2753197	0.0262641	0.1473766	0.0595076	0.0005075	0.4070949	0.0784001	0.0504974	0.7964417	0.3578533	0.7391388	0.6840371	0.3343454	0.0631289	0.3332435	0.5480799	0.6395618	0.0290933	0.3059101	0.3746761	0.6353109	0.4592682	0.6689092	0.7924640	0.0280639	0.6683949	0.6456873	0.6282797	0.4498166	0.0936993	0.0927466	0.3303058	0.8119743	0.1007903	0.7374349	0.4526765	0.7179178	0.6738705	0.7828667	0.6978850	0.0619486	0.1692302	0.7882202	0.6994167	0.1135023	0.7076640	0.6726027	0.0144505	0.7430218	0.2381099	0.6828735	0.0008767	0.4160288	0.6041979	0.0098642	0.2233158	0.2434046	0.3095273	0.6342320	0.0381161	0.6919925	0.5779387	0.0209278	0.0447830	0.0095119	0.5992129	0.6359923	0.1187260	0.6974037	0.2858186
0.4667548	0.0171531	0.7088419	0.0000002	0.1666343	0.4955110	0.2217067	0.2514583	0.3910984	0.6184710	0.5866492	0.5128969	0.4024513	0.4150290	0.3082118	0.0510241	0.5323382	0.4664523	0.6818041	0.3289106	0.5825008	0.7055892	0.6324668	0.4138287	0.3621767	0.4249555	0.3454602	0.7492335	0.8016478	0.3625609	0.3184282	0.0554005	0.0897569	0.0337965	0.0040182	0.4886309	0.0741859	0.0431033	0.6388870	0.3461005	0.7187798	0.7182992	0.4023593	0.1000528	0.2985106	0.5497335	0.6823515	0.0454091	0.3143864	0.3301064	0.6419551	0.4840897	0.6779393	0.7149199	0.0080655	0.7239927	0.7197128	0.6135657	0.2987066	0.2234612	0.0670050	0.2570593	0.8085873	0.0966133	0.6607896	0.4890325	0.6265793	0.6558215	0.6550980	0.7960241	0.0942813	0.1881902	0.6720491	0.6939268	0.2014684	0.6068895	0.7765171	0.0158538	0.6742600	0.2266693	0.7334117	0.0007601	0.7580101	0.7903193	0.0191925	0.1950425	0.2895305	0.2757648	0.6264726	0.0468154	0.6277048	0.6822117	0.0290241	0.0249889	0.0043462	0.6652834	0.7330960	0.0830162	0.6841533	0.2040455
0.4000340	0.0312767	0.6325369	0.2547854	0.0000000	0.4531150	0.1953742	0.2153112	0.3136782	0.5396652	0.5289676	0.3839275	0.4192093	0.3958721	0.4364886	0.0667927	0.5781973	0.5643868	0.7764601	0.2559343	0.5302317	0.7165050	0.6808445	0.4565403	0.4317684	0.3800793	0.3338293	0.6848508	0.8005154	0.3675589	0.2826203	0.0265645	0.1507734	0.0234166	0.0007235	0.4514111	0.1008100	0.0475185	0.5968041	0.3415127	0.7795416	0.7600388	0.3011312	0.0717382	0.4327365	0.6182376	0.7511781	0.0353298	0.3091404	0.3507243	0.4907125	0.3738087	0.7191950	0.7443953	0.0262357	0.7827932	0.6067039	0.6823072	0.4449157	0.1666927	0.0854014	0.3004095	0.6438879	0.0724763	0.7621340	0.4929223	0.7212817	0.6955066	0.6579960	0.6840683	0.0415858	0.1250868	0.6488809	0.7581914	0.1560851	0.7776084	0.5790294	0.0092985	0.7165877	0.1891201	0.6344808	0.0004231	0.4523384	0.7308541	0.0242843	0.1889247	0.3431318	0.3739839	0.6189585	0.0591931	0.7327787	0.6679516	0.0221568	0.0324677	0.0182730	0.6606662	0.7725735	0.0649410	0.6520685	0.2235638
0.6952911	0.0076012	0.6723306	0.4069043	0.1731312	0.0000000	0.1527786	0.1127873	0.3103295	0.6829442	0.4964049	0.3857558	0.4647264	0.4085724	0.2332584	0.0399463	0.6768217	0.1024749	0.1173057	0.0708727	0.6548131	0.7014055	0.6526445	0.6819214	0.4699130	0.1174902	0.1637567	0.3368682	0.1569052	0.8940371	0.2753661	0.6338560	0.5851066	0.0506929	0.0729815	0.0792784	0.4972249	0.0531493	0.7196537	0.6669230	0.7380386	0.7497053	0.2913486	0.0443733	0.3889055	0.6121176	0.7185383	0.0293836	0.3468595	0.4740568	0.5036199	0.4037367	0.1393933	0.4692992	0.0233897	0.7011809	0.5907675	0.5885316	0.3491068	0.1576595	0.0245834	0.0899630	0.7511119	0.1317535	0.6301625	0.5883257	0.6634467	0.0495970	0.7395164	0.7721047	0.0420111	0.1671372	0.7547098	0.7480792	0.1059632	0.7034843	0.6939494	0.2539907	0.6499737	0.1550182	0.6932607	0.0012307	0.6648858	0.6752614	0.0154507	0.1447668	0.1994284	0.6833609	0.0580744	0.0391211	0.6140803	0.6665745	0.1691697	0.1917292	0.0324148	0.7950709	0.6769717	0.0642609	0.4909290	0.5391922
0.4033130	0.0105064	0.7849039	0.3155090	0.2417727	0.4622900	0.0000000	0.2795302	0.3280384	0.5549401	0.5894034	0.4627402	0.4355513	0.4627100	0.4296977	0.0577336	0.4218863	0.6088806	0.6548375	0.2918241	0.6495455	0.6677672	0.6883463	0.4318339	0.3083579	0.4271747	0.3075571	0.7563517	0.6588380	0.3269210	0.3285481	0.0355907	0.0905780	0.0324205	0.0039508	0.4413945	0.1047636	0.0442650	0.6695535	0.4039017	0.7600353	0.6448359	0.2995192	0.0436146	0.3730239	0.6811362	0.6396140	0.0425215	0.3062046	0.3320051	0.6013090	0.4789655	0.8281549	0.7077259	0.0323873	0.7404833	0.5643008	0.6545008	0.4469930	0.2054015	0.0600827	0.3260192	0.6882208	0.1790399	0.6328914	0.4751262	0.6686610	0.6938590	0.7818636	0.6835437	0.0304219	0.2033599	0.7727025	0.7045761	0.1227142	0.6480953	0.6592819	0.0144976	0.6825398	0.1840181	0.7520338	0.0000951	0.5184614	0.6276821	0.0382968	0.1984345	0.2754519	0.3460027	0.5512742	0.0311496	0.8110208	0.5635212	0.0397131	0.0288405	0.0318452	0.6747386	0.6644196	0.0760393	0.6249739	0.2469804
0.3815815	0.0117730	0.6621761	0.3350906	0.1606062	0.4785785	0.1087670	0.0000000	0.4351055	0.5857615	0.4683563	0.4512334	0.4470452	0.4737477	0.5198842	0.0450339	0.4942076	0.5662457	0.6870679	0.2496815	0.5577554	0.7217555	0.7229292	0.5319007	0.3689453	0.4515658	0.4119484	0.7684034	0.6119375	0.3590786	0.2992539	0.0224498	0.1202278	0.0354873	0.0010678	0.4931507	0.1243171	0.0479144	0.7562542	0.3965112	0.8019038	0.7343555	0.2963957	0.0593588	0.4239792	0.5542712	0.7313093	0.0302759	0.3671546	0.3545218	0.5322967	0.4541889	0.6348795	0.7380973	0.0182475	0.6598054	0.7183863	0.6967011	0.3990124	0.1520955	0.0655218	0.2417103	0.6892723	0.1061606	0.7968842	0.5340403	0.7874871	0.6574282	0.6458175	0.6873911	0.0629286	0.2107108	0.8961305	0.6546277	0.1220127	0.7263453	0.6524095	0.0116705	0.8082452	0.2060347	0.5862838	0.0011209	0.4291999	0.7519556	0.0072378	0.1957003	0.3536539	0.3990154	0.5362730	0.0287930	0.7084941	0.7122101	0.0186913	0.0203493	0.0120035	0.7403588	0.6908813	0.1004489	0.6690340	0.2084066
0.6472749	0.0118733	0.6798294	0.5318605	0.2102475	0.3057947	0.1657654	0.1305566	0.0000000	0.5551505	0.1296368	0.3843014	0.7891781	0.6460133	0.6598823	0.0239559	0.6508365	0.1337644	0.7759511	0.0651661	0.6662158	0.7372493	0.6392765	0.6484657	0.4239243	0.3136701	0.2050346	0.6542218	0.6970921	0.2668818	0.2907281	0.0331847	0.1934915	0.0496007	0.0791376	0.3488667	0.0778363	0.5208579	0.6880494	0.7182792	0.8003956	0.6699778	0.2455391	0.0566523	0.4486228	0.5570494	0.5749448	0.2804375	0.2790679	0.3441861	0.5503405	0.3734142	0.7797101	0.7311757	0.0337686	0.6534166	0.6479644	0.4712495	0.4405364	0.1549289	0.0342000	0.0911018	0.7315427	0.1192505	0.7509629	0.7821952	0.7975638	0.7057143	0.7233231	0.7805711	0.0554970	0.1622896	0.6694981	0.6859463	0.1500486	0.6717096	0.6829462	0.0254012	0.7589887	0.2057453	0.6079641	0.0002855	0.4528275	0.8297992	0.0190405	0.1395199	0.2830399	0.3788443	0.1680701	0.3504144	0.1264357	0.7082530	0.0508576	0.0124077	0.0237151	0.6261143	0.6940675	0.0550410	0.7708835	0.2462942
0.3840964	0.0100030	0.7558696	0.3244971	0.2976589	0.5301690	0.1352179	0.2155846	0.4150279	0.0000000	0.5914084	0.6301502	0.4686063	0.4522831	0.3587128	0.0383090	0.4847241	0.3931005	0.6435732	0.2754024	0.5417947	0.7337350	0.6393848	0.5217407	0.3542885	0.4271028	0.3457348	0.7689535	0.7090107	0.3149686	0.2948024	0.0257536	0.1235892	0.0373866	0.0034397	0.4378845	0.0761437	0.0336477	0.6864964	0.3749888	0.8025156	0.6840019	0.3752591	0.0685824	0.4051027	0.5968912	0.7436377	0.0390518	0.4027579	0.4494616	0.4935100	0.4236512	0.6858179	0.6462383	0.0070156	0.6837567	0.6775836	0.5619137	0.3502430	0.1175865	0.0761405	0.3044149	0.7898810	0.0922814	0.6017629	0.6286472	0.6682026	0.6505999	0.8301570	0.7813027	0.0480398	0.1820423	0.6795780	0.7752587	0.1271607	0.8502915	0.6312439	0.0092294	0.7589841	0.1815519	0.7268712	0.0002585	0.4277055	0.6960671	0.0137202	0.1377502	0.3253607	0.3390121	0.5079088	0.0433604	0.7838830	0.7012489	0.0431665	0.0217975	0.0151974	0.6928354	0.7325321	0.1445384	0.6807948	0.2179637
