G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.4546732	0.0001648	0.4911005	0.5443546	0.9798761	0.0298503	0.3058119	0.6919750	0.2860204	0.6566492	0.9544822	0.4499433	0.1744276	0.8356581	1.0014446	0.1453113	0.9472335	0.5241949	0.9754010	0.0924285	0.5600689	0.2538751	0.5845926	0.4600858	0.2144126	0.4411361	0.4059637	1.0012572	0.7176597	0.4041592	0.9774735	0.6458082	0.8654359	0.9993540	0.3422541	0.6776408	1.0002577	0.5658090	0.6314901	0.3277588	0.7930956	0.6597686	0.8761047	0.7719532	0.1836704	0.5187352	0.0589478	1.0009195	0.5007879	0.9929644	0.4150142	0.1395556	0.4813364	0.4637625	0.3673046	0.4486100	0.0106366	0.3117278	0.1483602	0.4851977	0.7861962	0.9304641	0.7864100	0.2758181	0.9260825	0.5446817	0.7732285	0.5023915	0.4509596	0.4051953	0.3415880	0.7560871	0.1054513	0.2572147	0.8380665	0.1055404	0.4983767	0.3996347	0.9995716	0.2798531	0.5174239	0.0197540	0.0226560	1.0004273	0.9993964	0.3710992	0.3900569	0.6316324	0.0974416	0.9864885	1.0008778	0.8824552	1.0000183	0.4372676	0.9996587	1.0003084	0.1427930	0.9991608	1.0001313
0.6827956	0.0000014	0.1040268	0.0106942	0.3324842	0.7775115	0.4447525	0.0469348	0.5419298	0.2858135	0.6568861	0.9534121	0.4486729	0.1732493	0.7569027	0.9981957	0.1457591	0.9465047	0.5238503	0.9739868	0.0927638	0.5597644	0.2548737	0.5819419	0.4603064	0.2144750	0.4425221	0.4067244	0.4722097	0.7179147	0.4037358	0.9769411	0.6472257	0.8655660	1.0001401	0.3393721	0.6780126	0.9996038	0.5682220	0.6316585	0.3275953	0.7898697	0.6598206	0.8791312	0.7743724	0.1838977	0.5214314	0.0586913	1.0004140	0.4993619	0.9932473	0.4138904	0.1392617	0.4810796	0.4633975	0.3668383	0.4473924	0.0109314	0.3127627	0.1489050	0.4851376	0.7870805	0.9295204	0.7874440	0.2755200	0.9255367	0.5434043	0.7746088	0.5028665	0.4506007	0.4054975	0.3425786	0.7582786	0.1055079	0.2578786	0.8385557	0.1048716	0.4969784	0.3995956	1.0015263	0.2798621	0.5190701	0.0198552	0.2590002	0.9596424	0.9995452	0.3678886	0.3916890	0.6353549	0.0966703	0.9869909	1.0009511	0.8818667	1.0014381	0.4352808	1.0007087	1.0000085	0.1427924	1.0005366	0.9989726
0.9993358	0.1228694	0.0000027	0.0004144	0.2177549	0.7772006	0.4330666	0.0133265	0.6913134	0.2851778	0.6584977	0.9531455	0.4491339	0.1731228	0.8364880	0.9991282	0.1451296	0.9466327	0.5229955	0.9726825	0.0919448	0.5617139	0.2547176	0.5847271	0.4586570	0.2137455	0.4417289	0.4062877	0.9996154	0.7194980	0.4042649	0.9764028	0.6472791	0.8667620	0.9989186	0.3420780	0.6780175	0.9984527	0.5671682	0.6300566	0.3274558	0.7924948	0.6583973	0.8758015	0.7732368	0.1843647	0.5203138	0.0591024	0.9990801	0.5014100	0.9934756	0.4135077	0.1383309	0.4822423	0.4612711	0.3661020	0.4453500	0.0108366	0.3135546	0.1495733	0.4840254	0.7863086	0.9292321	0.7870319	0.2760264	0.9253123	0.5433904	0.7727749	0.5035168	0.4510761	0.4049602	0.3412675	0.7575719	0.1045508	0.2559896	0.8394869	0.1048058	0.4972518	0.3990607	1.0013878	0.2798149	0.5180974	0.0198090	0.0225572	0.9977913	1.0022554	0.3714952	0.3916058	0.6329825	0.0967762	0.9849961	0.9998935	0.8861617	1.0014193	0.4359344	0.9998071	1.0013546	0.1429995	1.0001862	1.0006938
0.6777435	0.1674911	0.1047025	0.0000000	0.3311889	0.7768010	0.4466768	0.0472630	0.5405196	0.2856489	0.6579421	0.9543745	0.4478214	0.1726617	0.7575425	0.9986308	0.1459172	0.9461032	0.5223387	0.9714511	0.0923348	0.5593900	0.2536314	0.5847017	0.4598047	0.2145207	0.4406956	0.4057544	0.4720699	0.7176853	0.4044800	0.9777483	0.6456470	0.8658871	0.9986748	0.3426183	0.6784990	1.0004957	0.5649077	0.6293400	0.3260937	0.7886571	0.6603154	0.8765026	0.7736915	0.1844644	0.5192527	0.0586029	1.0007741	0.4978019	0.9926358	0.4157301	0.1391463	0.4807586	0.4634408	0.3673270	0.4484096	0.0108679	0.3114329	0.1490302	0.4865657	0.7863595	0.9310160	0.7857180	0.2767375	0.9244224	0.5435806	0.7740803	0.5019916	0.4522495	0.4059049	0.3404976	0.7564539	0.1049878	0.2577551	0.8395215	0.1052211	0.4968568	0.3987519	0.9971718	0.2797972	0.5184914	0.0199999	0.2608461	0.9599157	1.0009486	0.3717822	0.3900912	0.6320521	0.0970597	0.9878231	0.9992802	0.8831919	1.0012024	0.4351715	1.0001196	0.9994398	0.1433575	1.0009120	0.9994447
0.6790758	0.1670877	0.1029909	0.0108960	0.0000000	0.7762184	0.4440894	0.0476118	0.5385839	0.2854897	0.6575427	0.9532608	0.4479925	0.1723302	0.7568403	0.9989460	0.1449644	0.9461351	0.5247175	0.9737565	0.0925556	0.5605502	0.2547278	0.5828459	0.4611708	0.2144459	0.4407382	0.4067581	0.4709535	0.7178828	0.4042608	0.9767289	0.6459657	0.8679314	0.9993883	0.3405396	0.6786292	0.9989623	0.5666308	0.6306933	0.3269511	0.7892013	0.6591079	0.8790786	0.7721688	0.1855058	0.5195369	0.0588181	0.9992549	0.5010845	0.9932555	0.4138486	0.1379830	0.4820897	0.4619093	0.3666641	0.4453857	0.0107856	0.3137561	0.1493749	0.4848573	0.7854911	0.9317584	0.7868427	0.2754250	0.9249731	0.5429700	0.7750504	0.5025690	0.4520719	0.4068790	0.3418849	0.7570267	0.1043588	0.2573356	0.8391591	0.1042867	0.4979008	0.3973665	0.9997599	0.2801529	0.5185461	0.0199969	0.2627356	0.9598782	0.9985722	0.3700876	0.3912840	0.6329700	0.0973751	0.9875301	1.0013848	0.8821258	0.9999263	0.4352507	1.0008335	1.0001251	0.1422434	1.0001968	0.9994083
0.6790579	0.1667174	0.1032735	0.0109165	0.3323343	0.0000000	0.4458122	0.0472256	0.5399473	0.2858801	0.6569871	0.9536428	0.4486908	0.1732286	0.7565894	0.9989987	0.1455917	0.9437584	0.5259731	0.9744077	0.0928740	0.5606744	0.2550959	0.5822430	0.4603271	0.2148613	0.4430500	0.4063141	0.4717688	0.7176730	0.4037493	0.9787975	0.6469241	0.8663830	0.9995757	0.3438955	0.6793791	1.0002110	0.5652546	0.6317314	0.3276366	0.7908447	0.6594164	0.8785387	0.7741462	0.1846147	0.5185727	0.0585459	1.0012207	0.4990741	0.9918155	0.4160655	0.1392464	0.4812946	0.4652187	0.3671109	0.4473894	0.0109310	0.3130634	0.1490228	0.4845585	0.7867737	0.9320956	0.7861852	0.2760952	0.9245072	0.5414528	0.7727446	0.5009487	0.4496439	0.4050366	0.3413118	0.7573103	0.1058471	0.2558786	0.8398480	0.1047865	0.4975750	0.3991017	0.9994737	0.2798095	0.5179210	0.0201249	0.2601532	0.9605952	0.9989179	0.3726284	0.3893546	0.6298411	0.0974543	0.9878064	1.0014163	0.8813994	1.0008619	0.4343725	1.0020086	1.0023901	0.1423945	1.0007163	1.0025678
0.6778327	0.1668240	0.1025209	0.0107908	0.3336779	0.7786869	0.0000019	0.0471601	0.5419472	0.2858955	0.6577149	0.9537597	0.4476092	0.1722391	0.7573734	1.0007223	0.1454490	0.9473461	0.5195821	0.9732040	0.0933449	0.5605766	0.2556279	0.5829415	0.4599282	0.2140229	0.4392195	0.4062589	0.4714420	0.7179231	0.4043218	0.9776359	0.6472442	0.8668294	1.0011830	0.3429413	0.6784910	1.0007004	0.5676133	0.6293691	0.3271723	0.7895983	0.6599997	0.8783425	0.7746337	0.1851434	0.5195543	0.0589571	0.9991410	0.5005540	0.9941773	0.4143229	0.1390752	0.4810765	0.4646475	0.3665737	0.4477945	0.0108049	0.3117610	0.1480865	0.4849646	0.7853746	0.9306102	0.7866843	0.2762136	0.9258228	0.5429094	0.7731496	0.5030265	0.4517361	0.4041105	0.3410075	0.7568162	0.1051045	0.2570685	0.8385798	0.1045781	0.4967832	0.3978583	0.9997958	0.2792936	0.5184792	0.0197998	0.2599550	0.9592369	1.0013008	0.3716187	0.3893260	0.6310325	0.0966983	0.9898575	1.0002832	0.8818466	1.0003570	0.4347152	1.0005132	1.0004141	0.1433012	0.9993868	1.0023640
0.6757557	0.1673325	0.1034091	0.0109667	0.3328492	0.7769623	0.4456984	0.0000001	0.5381032	0.2844227	0.6572534	0.9543639	0.4507892	0.1741061	0.7577280	0.9996530	0.1457561	0.9477532	0.5240669	0.9733299	0.0936326	0.5607153	0.2551403	0.5834571	0.4603506	0.2140877	0.4438581	0.4059486	0.4712167	0.7181731	0.4045644	0.9770812	0.6456722	0.8657214	1.0013771	0.3403764	0.6783246	0.9990218	0.5667316	0.6317187	0.3280834	0.7901194	0.6605648	0.8772912	0.7732303	0.1840454	0.5211042	0.0586896	1.0000748	0.5006120	0.9935601	0.4146460	0.1388198	0.4818569	0.4631863	0.3653721	0.4464563	0.0107930	0.3135188	0.1494113	0.4832996	0.7866102	0.9326970	0.7875670	0.2758497	0.9257553	0.5464353	0.7729187	0.5045102	0.4494580	0.4050309	0.3420731	0.7572744	0.1055561	0.2571564	0.8389263	0.1048876	0.4975263	0.3995384	0.9995649	0.2802367	0.5183647	0.0200560	0.2648665	0.9599346	0.9994950	0.3688970	0.3899557	0.6327025	0.0969310	0.9882889	0.9995668	0.8814720	1.0007018	0.4362276	0.9988373	0.9997837	0.1436313	1.0022516	0.9987998
0.6808772	0.1681615	0.1023427	0.0108559	0.3336781	0.7762813	0.4448494	0.0473700	0.0000007	0.2858264	0.6585043	0.9536968	0.4486034	0.1727232	0.7568914	1.0002065	0.1455518	0.9469115	0.5250104	0.9722510	0.0935816	0.5599104	0.2549255	0.5827022	0.4580138	0.2148372	0.4413035	0.4067145	0.4714990	0.7177256	0.4047829	0.9781793	0.6468453	0.8666293	1.0004018	0.3413314	0.6786035	1.0000865	0.5668268	0.6294657	0.3276005	0.7900172	0.6590504	0.8760755	0.7714387	0.1839759	0.5185564	0.0588737	1.0002452	0.5027450	0.9939736	0.4157836	0.1390252	0.4810445	0.4620750	0.3684057	0.4463444	0.0106793	0.3134404	0.1499980	0.4851029	0.7881082	0.9338212	0.7885984	0.2757781	0.9267638	0.5434399	0.7723730	0.5033478	0.4497806	0.4073773	0.3420545	0.7560599	0.1067588	0.2565099	0.8385674	0.1057637	0.4975141	0.4003127	0.9989217	0.2801664	0.5180025	0.0199777	0.2609692	0.9600600	1.0002948	0.3713507	0.3903830	0.6320186	0.0976840	0.9867180	1.0002418	0.8834436	1.0005856	0.4375508	1.0007192	0.9974670	0.1426576	1.0012429	1.0001044
0.0805078	0.4298026	0.5131311	0.8541213	0.6723867	0.9493681	0.5465837	0.5384905	0.6900071	0.0000000	0.6537424	1.0002311	0.4491815	0.1733201	0.7546384	1.0003693	0.1452295	0.9467769	0.5262093	0.9742424	0.0928475	0.5593181	0.2761533	0.5826771	0.4648246	0.2143183	0.4431833	0.3835595	0.3872975	0.7176141	0.3982820	0.9745364	0.6739158	0.8806881	0.9995634	0.3417868	0.6789223	0.9989730	0.5663292	0.6312942	0.3252428	0.7862420	0.6597452	0.8781015	0.7736391	0.1839901	0.5190019	0.0581427	1.0021069	0.5008053	0.9933103	0.4144275	0.1387631	0.4778886	0.4633528	0.3674587	0.4476494	0.0117681	0.3135586	0.1498745	0.4850085	0.7871444	0.9295185	0.7841335	0.2765876	0.9234881	0.5442454	0.7734864	0.4963576	0.4501893	0.3962050	0.3349922	0.7574872	0.1064040	0.2576641	0.8390524	0.1045484	0.4979843	0.3980522	0.9995706	0.2797074	0.5201366	0.6367758	0.9730309	0.9061458	0.9986180	0.3722742	0.3914878	0.6185267	0.0974503	0.9885955	0.9986384	0.8822976	1.0007506	0.4372023	0.9993495	1.0008273	0.1428581	0.9996695	1.0007726
