G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.4854697	0.2187339	0.0293114	0.0091214	0.4224835	0.7763327	0.1769938	0.0521496	0.6881335	0.2854912	0.6586049	0.9523987	0.4489755	0.1729406	0.7690955	0.9976165	0.1450543	0.9456643	0.5231749	0.9729645	0.0931003	0.5593948	0.2548816	0.5852090	0.4593418	0.2140980	0.4431459	0.4055335	0.9315729	0.7191185	0.4042698	0.9775524	0.6461169	0.8666381	1.0007715	0.3392060	0.6777755	0.9992499	0.5661794	0.6319728	0.3271029	0.7929795	0.6588461	0.8755698	0.7724491	0.1849642	0.5212872	0.0588479	1.0022796	0.4979504	0.9940239	0.4147701	0.1385858	0.4812701	0.4633268	0.3661424	0.4465151	0.0108929	0.3142457	0.1496236	0.4859145	0.7864802	0.9316279	0.7872023	0.2755243	0.9238921	0.5455036	0.7757766	0.5029399	0.4508302	0.4043471	0.3422074	0.7584285	0.1058825	0.2576247	0.8386684	0.1049795	0.4969632	0.3987682	1.0000890	0.2804139	0.5181561	0.0198745	0.0254210	0.9997212	0.9982785	0.3682406	0.3913602	0.6336908	0.0967071	0.9890189	1.0001202	0.8856463	1.0017003	0.4347502	1.0015303	0.9988538	0.1419146	0.9992987	1.0019584
0.6783158	0.0832380	0.1036266	0.0108811	0.3306418	0.7754524	0.4452847	0.0471262	0.5386479	0.2868294	0.6595507	0.9529157	0.4488643	0.1724386	0.7551296	1.0016259	0.1456702	0.9465456	0.5225767	0.9762328	0.0927194	0.5575497	0.2543257	0.5835323	0.4610340	0.2146032	0.4418026	0.4057154	0.4712489	0.7192574	0.4035768	0.9771208	0.6474158	0.8663723	0.9982620	0.3418880	0.6784549	1.0001943	0.5659369	0.6297143	0.3275819	0.7896864	0.6606423	0.8764549	0.7730221	0.1845376	0.5172313	0.0586923	0.9999790	0.4986587	0.9937882	0.4149019	0.1388967	0.4803070	0.4632976	0.3677759	0.4453888	0.0108305	0.3134442	0.1480491	0.4849383	0.7860241	0.9313804	0.7866231	0.2765665	0.9253235	0.5443118	0.7754697	0.5020918	0.4515070	0.4062146	0.3409352	0.7560291	0.1048271	0.2570756	0.8394210	0.1052782	0.4969897	0.3978759	0.9999783	0.2797177	0.5176898	0.0198325	0.2614245	0.9598473	0.9989426	0.3712104	0.3907837	0.6332487	0.0970919	0.9879070	1.0023558	0.8809363	1.0022213	0.4332490	1.0014921	1.0004533	0.1428508	1.0005764	1.0011989
0.7789230	0.1494443	0.0813898	0.0052029	0.2905906	0.7773836	0.4663822	0.0344098	0.5983206	0.2859340	0.6575255	0.9541828	0.4490596	0.1735111	0.7569145	0.9993764	0.1459667	0.9467682	0.5229222	0.9732454	0.0930867	0.5599619	0.2549469	0.5828054	0.4585481	0.2135573	0.4406837	0.4058820	0.5387113	0.7175971	0.4037569	0.9764240	0.6468701	0.8654698	1.0011084	0.3397488	0.6790824	1.0016905	0.5680822	0.6305318	0.3274318	0.7908129	0.6595415	0.8758402	0.7734943	0.1833474	0.5205820	0.0586050	1.0009947	0.5006604	0.9967037	0.4172334	0.1394275	0.4804988	0.4624623	0.3659181	0.4469957	0.0109138	0.3129392	0.1494822	0.4847207	0.7873951	0.9317968	0.7865413	0.2754108	0.9253080	0.5450361	0.7747130	0.5030465	0.4498749	0.4039146	0.3413818	0.7560975	0.1064903	0.2574326	0.8370508	0.1056058	0.4974304	0.4005804	1.0000862	0.2789217	0.5185686	0.0195817	0.1413901	0.9759633	1.0001497	0.3704127	0.3908907	0.6328161	0.0970035	0.9881096	1.0009728	0.8833321	0.9995985	0.4383215	0.9990858	1.0006381	0.1429412	0.9997244	1.0013874
0.6769958	0.1679939	0.1032021	0.0055988	0.3331729	0.7765862	0.4472198	0.0472104	0.5389307	0.2855745	0.6567014	0.9560458	0.4507522	0.1736078	0.7554401	0.9973389	0.1446630	0.9471490	0.5249811	0.9727232	0.0921147	0.5601620	0.2559254	0.5824496	0.4603452	0.2151147	0.4434995	0.4058691	0.4713228	0.7180796	0.4045083	0.9761235	0.6485427	0.8656662	0.9981831	0.3421587	0.6799967	1.0004142	0.5684166	0.6309085	0.3263472	0.7915113	0.6591745	0.8762559	0.7730208	0.1851768	0.5198241	0.0583025	1.0003696	0.4993167	0.9937166	0.4174157	0.1396223	0.4814521	0.4648043	0.3681452	0.4481086	0.0110460	0.3118919	0.1483877	0.4851541	0.7875068	0.9317300	0.7870785	0.2762112	0.9250218	0.5431606	0.7732041	0.5032999	0.4474109	0.4049549	0.3414036	0.7585935	0.1063821	0.2565380	0.8393173	0.1046491	0.4974700	0.3997593	1.0002282	0.2807824	0.5175200	0.0195590	0.2629901	0.9602630	1.0016563	0.3727364	0.3895741	0.6331275	0.0973541	0.9888114	0.9978921	0.8822728	1.0002665	0.4348128	1.0018453	1.0005855	0.1423641	0.9994098	0.9989877
0.6772415	0.1675090	0.1028559	0.0108547	0.1661337	0.7774104	0.4455986	0.0475155	0.5391870	0.2857326	0.6562976	0.9539240	0.4484798	0.1726095	0.7556713	1.0008587	0.1458138	0.9491260	0.5198731	0.9737796	0.0927782	0.5596349	0.2532372	0.5841433	0.4609783	0.2144894	0.4423371	0.4058345	0.4721815	0.7193056	0.4050934	0.9793022	0.6449733	0.8670470	1.0015304	0.3419029	0.6781705	1.0007938	0.5678656	0.6311111	0.3274270	0.7912750	0.6582605	0.8774328	0.7725336	0.1840054	0.5189376	0.0592656	1.0004726	0.4983462	0.9941284	0.4164173	0.1395699	0.4816950	0.4631273	0.3673420	0.4477101	0.0109131	0.3119333	0.1497938	0.4848617	0.7882848	0.9314103	0.7893594	0.2756902	0.9272026	0.5423131	0.7732680	0.5038022	0.4512317	0.4055963	0.3407645	0.7573306	0.1059570	0.2567916	0.8387625	0.1055570	0.4962696	0.3996361	0.9987321	0.2800449	0.5188752	0.0198990	0.2625897	0.9621586	0.9998621	0.3685854	0.3893975	0.6334439	0.0968383	0.9880088	0.9986840	0.8826460	1.0004707	0.4383515	1.0020470	1.0017052	0.1422244	1.0006287	1.0021773
0.6785259	0.1669525	0.1043517	0.0107622	0.3323051	0.3880676	0.4457105	0.0471972	0.5388360	0.2859239	0.6563112	0.9544659	0.4495954	0.1740991	0.7557558	1.0010622	0.1455578	0.9455134	0.5242486	0.9714053	0.0934133	0.5594542	0.2551857	0.5836109	0.4615114	0.2151212	0.4430180	0.4064831	0.4724402	0.7185293	0.4036407	0.9761837	0.6462703	0.8649614	1.0004762	0.3402526	0.6785733	1.0000326	0.5668029	0.6289330	0.3262660	0.7892158	0.6616742	0.8769061	0.7744257	0.1835479	0.5220369	0.0586047	1.0010297	0.5002340	0.9933464	0.4172573	0.1406312	0.4814761	0.4647940	0.3660094	0.4482379	0.0109267	0.3120155	0.1485317	0.4849036	0.7878436	0.9298113	0.7875974	0.2757710	0.9262207	0.5409071	0.7715798	0.5016920	0.4499661	0.4048555	0.3402845	0.7577422	0.1057309	0.2573811	0.8387203	0.1041735	0.4977159	0.3968213	0.9997563	0.2789089	0.5186717	0.0201665	0.2610465	0.9592247	1.0003145	0.3700026	0.3917809	0.6292981	0.0973512	0.9906165	1.0001222	0.8834029	1.0004546	0.4383806	0.9992393	0.9993695	0.1430742	1.0001352	1.0013728
0.6777122	0.1672451	0.1029294	0.0109721	0.3349141	0.7772554	0.2229401	0.0476164	0.5391073	0.2854850	0.6564460	0.9531776	0.4490056	0.1716325	0.7565469	1.0016799	0.1454298	0.9451016	0.5215607	0.9733075	0.0927385	0.5592569	0.2552209	0.5817104	0.4584494	0.2146077	0.4408163	0.4069103	0.4698684	0.7180643	0.4042065	0.9760624	0.6470139	0.8658385	1.0011810	0.3408209	0.6801812	1.0032245	0.5662981	0.6308176	0.3280498	0.7918574	0.6625743	0.8784063	0.7740195	0.1842272	0.5198221	0.0591132	0.9984873	0.5003744	0.9950253	0.4146798	0.1399455	0.4815285	0.4639515	0.3654835	0.4475002	0.0107043	0.3118666	0.1485848	0.4868526	0.7851901	0.9285687	0.7878159	0.2769303	0.9255691	0.5433234	0.7747824	0.5036125	0.4505329	0.4075240	0.3416692	0.7569549	0.1047377	0.2559662	0.8389022	0.1043805	0.4983487	0.3980941	1.0012517	0.2804202	0.5191062	0.0198759	0.2628855	0.9619597	1.0025397	0.3704495	0.3908951	0.6328867	0.0966230	0.9885692	1.0015425	0.8821024	0.9991481	0.4370102	1.0025509	1.0017240	0.1428553	0.9999794	1.0009575
0.6773401	0.1667008	0.1037104	0.0108271	0.3317957	0.7756021	0.4466106	0.0235762	0.5408065	0.2850564	0.6579788	0.9543211	0.4476546	0.1735767	0.7578862	0.9994147	0.1464300	0.9461052	0.5191789	0.9742930	0.0938026	0.5596804	0.2555967	0.5801316	0.4605964	0.2132934	0.4433032	0.4058541	0.4715379	0.7184278	0.4054507	0.9764391	0.6473675	0.8674756	1.0003519	0.3419237	0.6771796	1.0013552	0.5684546	0.6276081	0.3273451	0.7878976	0.6602316	0.8802194	0.7732794	0.1835581	0.5203389	0.0586105	1.0005786	0.4997069	0.9953145	0.4144687	0.1390739	0.4809715	0.4636702	0.3672517	0.4485799	0.0108759	0.3122637	0.1491523	0.4867514	0.7877075	0.9310923	0.7874166	0.2765268	0.9253206	0.5438152	0.7729082	0.5031518	0.4518362	0.4062627	0.3422088	0.7573131	0.1062396	0.2566217	0.8385517	0.1055211	0.4972497	0.4005636	0.9981892	0.2797661	0.5171279	0.0197190	0.2599796	0.9604721	1.0016329	0.3712859	0.3904761	0.6335695	0.0970401	0.9878611	1.0001896	0.8840039	1.0012170	0.4369207	1.0003612	1.0000979	0.1425746	1.0014054	0.9994127
0.6772879	0.1671816	0.1037367	0.0109343	0.3327596	0.7761804	0.4437439	0.0470436	0.2704189	0.2862254	0.6569549	0.9543481	0.4481856	0.1728768	0.7551310	0.9991103	0.1449161	0.9467100	0.5227000	0.9723774	0.0925654	0.5590593	0.2535569	0.5853567	0.4614207	0.2155932	0.4433218	0.4053636	0.4701377	0.7186673	0.4037001	0.9776744	0.6448671	0.8672889	1.0021312	0.3424811	0.6788412	0.9988786	0.5655093	0.6305466	0.3272607	0.7890569	0.6590747	0.8779226	0.7723871	0.1843650	0.5190187	0.0587178	1.0010628	0.5006929	0.9941766	0.4162262	0.1383847	0.4813454	0.4627067	0.3680058	0.4479833	0.0107025	0.3130698	0.1486224	0.4849776	0.7847586	0.9315786	0.7878526	0.2743004	0.9256577	0.5416797	0.7744685	0.5035057	0.4506502	0.4062952	0.3427599	0.7581690	0.1046144	0.2573177	0.8387485	0.1059713	0.4972308	0.3998956	1.0004294	0.2802552	0.5175922	0.0197876	0.2623056	0.9600591	0.9994619	0.3720795	0.3866886	0.6348530	0.0976485	0.9856325	1.0008445	0.8823366	0.9999790	0.4358629	0.9993437	0.9985267	0.1428944	1.0010360	0.9989785
0.6763581	0.1685731	0.1035956	0.0111572	0.3342219	0.7765439	0.4447025	0.0473398	0.5376321	0.1428849	0.6449597	0.9981717	0.4488214	0.1715019	0.7579487	0.9994052	0.1459647	0.9460479	0.5204619	0.9725899	0.0927782	0.5594552	0.2553400	0.5839374	0.4599919	0.2144414	0.4419080	0.4060981	0.4716943	0.7181086	0.4045847	0.9779615	0.6465135	0.8683029	1.0012260	0.3402137	0.6786747	1.0004160	0.5635725	0.6313576	0.3274108	0.7891557	0.6585697	0.8774591	0.7737257	0.1855016	0.5190187	0.0591641	0.9989578	0.4978076	0.9951266	0.4156867	0.1393479	0.4826830	0.4641180	0.3667599	0.4470809	0.0107403	0.3118892	0.1495952	0.4855440	0.7850350	0.9297502	0.7869248	0.2756708	0.9258375	0.5450883	0.7748506	0.5033563	0.4508342	0.4058721	0.3409100	0.7567481	0.1053113	0.2567269	0.8362954	0.1042787	0.4964002	0.3982849	1.0037286	0.2816160	0.5184791	0.0198091	0.2659169	0.9563345	0.9991839	0.3706922	0.3924124	0.6298233	0.0961417	0.9867489	1.0022521	0.8808059	0.9989557	0.4359676	1.0005740	1.0001196	0.1430425	1.0011302	1.0000199
