G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.3057787	0.1727576	0.0103813	0.0038954	0.3145145	0.4786765	0.1379560	0.0466166	0.5808557	0.1398495	0.4932406	0.6513595	0.3659491	0.1206906	0.5656206	0.9094495	0.0917259	0.7503462	0.4272875	0.5898960	0.0858276	0.3704018	0.1771933	0.4654185	0.2383807	0.1464451	0.3848410	0.2816570	0.6439263	0.4903224	0.3532881	0.8520705	0.5625444	0.5943218	0.7545284	0.2128895	0.4877763	0.7370173	0.4017337	0.4252783	0.2699173	0.5100236	0.4493398	0.6831556	0.5764134	0.1426267	0.3642204	0.0623595	0.7533302	0.3460879	0.9759630	0.3477288	0.1132013	0.3534829	0.3146847	0.2951324	0.3770921	0.0097611	0.2280971	0.1088357	0.3260274	0.5582936	0.7127009	0.5610153	0.2568217	0.6349352	0.4136411	0.5815041	0.3219312	0.4075080	0.2766207	0.2749995	0.5972455	0.0698765	0.1576524	0.6000157	0.0958421	0.3564744	0.2817695	0.7973451	0.2245476	0.4454195	0.0104092	0.0202702	0.7399105	0.8713790	0.3630761	0.2723857	0.4239926	0.0569742	0.7693746	0.5749195	0.5913423	0.6937951	0.3084513	0.6938476	0.7297036	0.1696556	0.7977281	0.7666906
0.6072095	0.0383826	0.0683807	0.0194614	0.2319226	0.5391366	0.3804664	0.0255368	0.4346163	0.2198104	0.6252582	0.6778161	0.3368111	0.1093099	0.5407985	0.7601876	0.1148202	0.5786820	0.4022739	0.8506376	0.0707679	0.4771059	0.2398458	0.3560079	0.4473864	0.0901526	0.3281405	0.2395580	0.3184399	0.5834319	0.2534020	0.6742249	0.5516607	0.6517324	0.7909075	0.2234628	0.5311455	0.8739548	0.3933542	0.4870252	0.2282407	0.6926182	0.4771969	0.6727357	0.6150596	0.1065737	0.3744951	0.0343214	0.6737966	0.2951025	0.8137868	0.2584720	0.0954589	0.3818759	0.3783789	0.3399467	0.4379594	0.0123613	0.3269442	0.1752578	0.3409645	0.5919722	0.6521087	0.6434928	0.2049520	0.8033406	0.4608543	0.6169285	0.4314635	0.3185113	0.2888996	0.2272879	0.5870401	0.0934105	0.1579175	0.5553279	0.0484651	0.3946371	0.3429938	0.6717107	0.1635382	0.4100282	0.0180851	0.1739934	0.7125993	0.6749712	0.2496650	0.2880355	0.4807489	0.0626384	0.7820534	0.7256123	0.6617468	0.6627846	0.2821590	0.8506661	0.7355380	0.0539361	0.7851288	0.7911796
0.7065838	0.0826335	0.0565085	0.0067894	0.2420030	0.6520455	0.3003409	0.0350079	0.4640088	0.2443620	0.6108861	0.7633773	0.2856331	0.1404643	0.5105226	0.7349435	0.1105685	0.7961686	0.4356492	0.7050051	0.0931968	0.3615255	0.2414067	0.4531716	0.2910051	0.1873681	0.3104078	0.3288129	0.4438699	0.4863433	0.2683436	0.7468249	0.5609328	0.7008289	0.7709223	0.2766448	0.6297050	0.7482628	0.4900911	0.4656171	0.2794500	0.6405391	0.4135284	0.6835834	0.5158827	0.1330280	0.4037345	0.0278685	0.7891811	0.3748741	0.8679631	0.3084134	0.0812884	0.3612281	0.3552349	0.2646965	0.3253741	0.0130118	0.2212320	0.1310224	0.3422475	0.5059360	0.7594934	0.6779709	0.1812537	0.7556015	0.3859500	0.5659405	0.3131255	0.3258039	0.2710852	0.2526572	0.6811704	0.0646682	0.1889732	0.6276565	0.0833658	0.3404882	0.3649171	0.7570704	0.1826251	0.4732495	0.0112911	0.0863880	0.7226911	0.7492330	0.2558847	0.3001074	0.4272351	0.0734003	0.6789780	0.7846355	0.6415791	0.7577178	0.3664598	0.8077030	0.7737363	0.1547606	0.7992180	0.7419309
0.5549602	0.1190640	0.0870399	0.0055345	0.2667737	0.5850992	0.2989857	0.0212811	0.4772385	0.1998761	0.5299743	0.7861696	0.3462062	0.1645034	0.6207680	0.6882026	0.1073839	0.7377002	0.3776825	0.7684152	0.0647845	0.4563853	0.1644628	0.5053684	0.3852451	0.1399161	0.3842058	0.3177425	0.3782706	0.5654102	0.2359058	0.7554608	0.4644272	0.7896737	0.8580483	0.2973914	0.4820505	0.7651063	0.3666034	0.4817791	0.1782520	0.5302318	0.5609671	0.7079524	0.4398743	0.1601983	0.3849386	0.0257178	0.6333863	0.3522574	0.8761650	0.3761387	0.1046674	0.3812771	0.3118684	0.2692386	0.3686683	0.0033990	0.1850613	0.1146918	0.3513172	0.5241468	0.7721172	0.5411974	0.2171982	0.6279945	0.3803564	0.5870045	0.3895793	0.2931957	0.3038650	0.2155015	0.6038141	0.0474199	0.1840212	0.5722603	0.1511041	0.3762235	0.3050069	0.8966047	0.1946298	0.2962706	0.0210624	0.2452393	0.7537512	0.7240263	0.2588810	0.2528846	0.4877698	0.0487915	0.8003650	0.9025197	0.6143728	0.7329023	0.2967727	0.7743467	0.7317398	0.0684171	0.6774393	0.9124698
0.5568584	0.0996838	0.0590803	0.0060445	0.1126391	0.5077206	0.3091551	0.0411873	0.4044076	0.2486473	0.4401619	0.7151507	0.3296349	0.1530210	0.6287035	0.7648927	0.0983426	0.6647309	0.4179559	0.6888820	0.0843629	0.4638797	0.1957707	0.3973387	0.3877796	0.1707609	0.3248663	0.3177274	0.3044366	0.5591090	0.3246847	0.8242260	0.4777946	0.7141881	0.8894354	0.2414396	0.5382059	0.7764447	0.4448295	0.4234323	0.2347539	0.5835745	0.5432685	0.5634688	0.7102831	0.1814513	0.3836645	0.0374165	0.7984846	0.3385404	0.8193862	0.2990542	0.0958564	0.3864603	0.3872670	0.3251402	0.3440937	0.0100807	0.2192338	0.1552822	0.3616897	0.5690145	0.6780223	0.6619210	0.1760004	0.7979962	0.4341310	0.6485645	0.4226919	0.3667895	0.2360413	0.3115471	0.6182523	0.1128091	0.1967250	0.7641906	0.0756463	0.3676572	0.3347216	0.6854080	0.1963670	0.3839988	0.0100699	0.1590538	0.6799429	0.7275630	0.3168517	0.2666758	0.5341304	0.0888659	0.8497561	0.7946120	0.6835737	0.8218602	0.3965191	0.7174095	0.7384724	0.0838632	0.7580079	0.8074208
0.5287598	0.1172221	0.0679182	0.0093937	0.2786597	0.2691044	0.2792269	0.0439382	0.3671864	0.2016159	0.5380178	0.6829903	0.3264868	0.1356805	0.5556970	0.8143892	0.0672862	0.7142780	0.4321218	0.7982064	0.0940247	0.3679189	0.2067984	0.4639482	0.3186990	0.2118401	0.3264871	0.2799509	0.3364687	0.5500937	0.3490915	0.6833979	0.4815138	0.6379416	0.8782080	0.2713676	0.4731481	0.7630366	0.3730864	0.4508455	0.2067405	0.5551102	0.5129687	0.7411730	0.6327682	0.1469799	0.3771216	0.0341176	0.7219776	0.4681526	0.8056443	0.3128509	0.1017352	0.4072094	0.3257713	0.2559108	0.3095784	0.0171183	0.1827165	0.0826672	0.4332461	0.6943569	0.7080463	0.5405254	0.2389461	0.6260739	0.3324129	0.5488483	0.3663162	0.3435787	0.3083031	0.2674443	0.5201072	0.0767805	0.2120214	0.6186497	0.1180573	0.3613683	0.3786575	0.8424591	0.2692505	0.3684330	0.0138368	0.2002513	0.6867231	0.7103374	0.1972793	0.3157168	0.4550643	0.0798061	0.7377141	0.8222565	0.7371293	0.7410690	0.3168854	0.7364012	0.7268683	0.1305700	0.9343529	0.6574272
0.4649077	0.0872701	0.0590993	0.0065189	0.2235967	0.5967055	0.1475675	0.0278143	0.3725020	0.1986735	0.5110892	0.7876209	0.4138742	0.1302683	0.4229430	0.7975723	0.1162181	0.7872331	0.3579418	0.5776746	0.0669747	0.3837798	0.2183571	0.4742167	0.3669457	0.1160815	0.3505588	0.2818416	0.3210346	0.6009514	0.2521876	0.6454358	0.6669121	0.7356086	0.7873696	0.2553528	0.4795070	0.7800992	0.3430491	0.4696569	0.2351748	0.6236057	0.4739321	0.6478722	0.6254186	0.1620645	0.3557203	0.0439356	0.7356161	0.4086310	0.7419253	0.2830447	0.1105865	0.3958701	0.3820268	0.2801250	0.3065467	0.0057326	0.2694817	0.1086653	0.3352572	0.6156457	0.6932355	0.5928962	0.2072551	0.7322892	0.4007094	0.5588271	0.3771907	0.3469130	0.3527208	0.3620902	0.6108297	0.0731631	0.1999506	0.4981228	0.1100115	0.4131216	0.3190400	0.7512102	0.1746664	0.3550670	0.0196630	0.1968293	0.6507622	0.8321173	0.2745158	0.3290843	0.4505475	0.0957094	0.7070568	0.8039161	0.6556630	0.6791526	0.3219862	0.8257304	0.6428890	0.1131532	0.7645130	0.7118849
0.4920268	0.1525734	0.0775251	0.0135456	0.2904154	0.6066649	0.3442227	0.0401258	0.3696410	0.2044966	0.5057685	0.7437729	0.4450604	0.1124040	0.5818527	0.6717719	0.1153886	0.6140450	0.4001564	0.7492627	0.0530354	0.5149932	0.1480904	0.5017622	0.3556887	0.1404273	0.2702022	0.2978187	0.3417156	0.5185384	0.3354522	0.7075994	0.5181145	0.6327438	0.7223497	0.3039452	0.4578363	0.7886392	0.3866336	0.5317641	0.2748178	0.5597375	0.4872529	0.6176528	0.6176022	0.1876421	0.3566586	0.0296610	0.7548265	0.3939202	0.7021894	0.2605113	0.1197323	0.3603955	0.3833460	0.2663168	0.3264667	0.0136092	0.2327890	0.1229834	0.3667090	0.5552389	0.7200016	0.5874090	0.1861056	0.6992230	0.3780624	0.5801137	0.4452879	0.2808812	0.3134549	0.2278913	0.5410405	0.0707926	0.1797284	0.5674843	0.0549924	0.4299837	0.2716348	0.6583134	0.1762702	0.4143941	0.0143436	0.1513569	0.7531782	0.6974404	0.2194739	0.3158653	0.5187176	0.0711402	0.7512896	0.6548297	0.6112423	0.7589593	0.3590066	0.8303868	0.6608661	0.1255451	0.6919180	0.6679021
0.5032083	0.1656042	0.0511565	0.0063637	0.2695591	0.5149289	0.3233052	0.0295942	0.2090450	0.1980810	0.5878445	0.7020686	0.3418621	0.1288605	0.6172234	0.7314156	0.1580086	0.8094829	0.3712644	0.6707375	0.0790874	0.4006929	0.1759500	0.4703589	0.3848816	0.2109434	0.3659531	0.3129709	0.3724459	0.5622218	0.3207739	0.7408662	0.5697174	0.7145164	0.8130787	0.2689484	0.5538347	0.7223902	0.4554603	0.3885382	0.2020475	0.6641650	0.5706074	0.6850582	0.5748236	0.1643195	0.5117123	0.0411570	0.6916558	0.3094701	0.6281852	0.3637579	0.0874349	0.3441741	0.3001905	0.2556683	0.3273312	0.0048423	0.2904421	0.0981900	0.3454960	0.6064199	0.7139955	0.5498765	0.2671417	0.6949029	0.3603689	0.6099998	0.4165368	0.3522075	0.2674163	0.2604012	0.4572986	0.0732734	0.1528977	0.5595021	0.0795957	0.4141756	0.3659692	0.7634701	0.2244280	0.3579147	0.0049831	0.2008476	0.7264724	0.7568456	0.3092712	0.2423254	0.4026457	0.0498764	0.6821699	0.8279180	0.6510332	0.7970056	0.2553153	0.7099362	0.7875180	0.1300223	0.9040786	0.7238473
0.5342387	0.1021084	0.0706507	0.0240456	0.2231844	0.5722682	0.2769854	0.0149245	0.3702704	0.1204921	0.4243948	0.7673111	0.3196488	0.1198289	0.5950192	0.7565225	0.1078809	0.8128307	0.3712182	0.7489155	0.0942795	0.4289359	0.1789494	0.4677486	0.3121989	0.1415476	0.2584794	0.3049267	0.3854480	0.5779167	0.3144179	0.7685328	0.4186362	0.6303594	0.6911922	0.2084998	0.5609453	0.7101268	0.3508116	0.3957671	0.2617683	0.5650230	0.5540908	0.7869967	0.6076677	0.1978376	0.4475210	0.0670117	0.8469686	0.3378886	0.7041892	0.2891774	0.0915748	0.3943646	0.3289651	0.2917561	0.2948833	0.0117887	0.1954164	0.0878394	0.3083485	0.6736262	0.6886505	0.6499248	0.2293929	0.7475653	0.3964782	0.5850000	0.4111497	0.3469829	0.3526660	0.2703881	0.4867554	0.0835675	0.1740182	0.5884111	0.0746148	0.2718714	0.3134029	0.6699008	0.2670806	0.4384153	0.0323244	0.2188993	0.7064488	0.6891331	0.2961085	0.3403794	0.4607506	0.0879298	0.6913075	0.7912399	0.6690647	0.7211470	0.3352081	0.7261051	0.8254703	0.1105555	0.7847848	0.7736118
