G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.1057702	0.3516401	0.7661162	0.5134781	0.9976923	0.0650637	0.9994755	0.6640934	0.0223821	0.7203604	0.0215329	0.5609536	0.0517979	0.0305614	0.0141075	0.1551267	0.5478808	0.7819136	0.0934959	0.0037747	0.0573980	0.2441046	0.1752368	0.1717778	0.1956841	1.0037282	0.7152789	0.5248799	0.2797813	0.7235015	0.3223589	0.0295130	0.3014477	0.1705244	0.9955921	1.0109945	1.0050827	0.1570293	0.0898358	1.0128658	0.0674672	1.0128325	1.0012601	0.8125746	0.9624995	1.0064526	0.9227110	0.9020114	0.6412372	0.2482120	0.9550050	0.9904241	0.6522601	0.3778451	0.7867879	0.4781278	0.3911866	0.3676309	0.1353468	0.3830828	0.0248804	0.4465586	0.9705559	0.6982636	0.7677766	0.5228788	0.5536888	0.6705315	0.7132036	0.0275441	0.2667810	0.0314861	0.0609579	0.1030720	0.5956559	0.9982026	0.0262350	0.1536270	0.2475100	0.0392949	0.6040940	0.1773869	1.0074589	0.2617791	0.8732565	0.3024912	0.2167583	0.1129018	0.0566252	0.9929014	0.9985130	0.6833533	1.0021281	0.6635241	0.7242578	1.0043275	0.4017717	1.0098284	0.8840866	1.0045496
0.2145590	0.1888602	0.7925739	0.5394986	1.0052849	0.0655838	1.0113271	0.6608976	0.0216866	0.7158312	0.0226220	0.5572073	0.0544651	0.0302518	0.0121882	0.1553616	0.5478320	0.7759111	0.0922533	0.0037765	0.0556502	0.2482896	0.1863089	0.1817112	0.1993100	0.9946784	0.7192181	0.5371413	0.2810291	0.7219020	0.3211082	0.0276678	0.3074861	0.1693968	1.0017282	1.0022987	0.9932498	0.1548887	0.0903480	1.0002787	0.0688423	1.0029850	1.0092640	0.8058752	0.9671665	1.0045155	0.9176553	0.8963773	0.6392393	0.2478207	0.9646570	0.9850123	0.6480068	0.3745287	0.7721693	0.4740085	0.3904679	0.3682222	0.1335574	0.3835607	0.0246501	0.4463028	0.9739769	0.6985852	0.7828950	0.5058421	0.5423649	0.6761827	0.7167488	0.0278156	0.2659269	0.0316942	0.0632853	0.1033600	0.5972358	0.9975729	0.0257723	0.1531638	0.2379169	0.0400020	0.6066112	0.1764261	0.9975536	0.2709557	0.8806862	0.3010276	0.2196592	0.1170904	0.0569624	0.9982065	1.0057647	0.6884892	0.9990145	0.6739582	0.7292263	1.0020763	0.4042627	0.9965868	0.8813255	1.0030713
0.2145089	0.3721707	0.3966320	0.5423911	0.9934308	0.0641806	1.0082966	0.6554851	0.0215519	0.7126785	0.0227773	0.5524217	0.0512564	0.0285443	0.0143148	0.1573660	0.5492000	0.7863029	0.0916649	0.0036326	0.0552155	0.2453782	0.1726544	0.1784355	0.1949980	1.0051505	0.7255429	0.5291000	0.2826544	0.7219162	0.3314109	0.0281352	0.3055970	0.1621624	0.9925158	1.0082213	1.0006756	0.1556353	0.0899017	1.0050880	0.0658722	0.9954937	0.9959083	0.8089267	0.9745361	0.9952353	0.9218902	0.9066704	0.6405180	0.2466124	0.9681471	0.9953137	0.6412151	0.3762642	0.7820083	0.4831361	0.3954507	0.3753524	0.1329632	0.3867230	0.0250127	0.4550502	0.9705595	0.7023633	0.7718496	0.5226448	0.5494182	0.6652135	0.7133486	0.0289707	0.2680309	0.0307280	0.0624808	0.1009783	0.5901680	0.9985023	0.0250989	0.1555376	0.2482074	0.0415334	0.6046612	0.1791603	0.9986729	0.2691636	0.8740135	0.3071302	0.2180914	0.1155567	0.0574990	1.0048989	1.0072918	0.6831102	1.0021518	0.6755513	0.7353794	1.0043837	0.4035253	1.0015628	0.8834083	1.0004296
0.2115246	0.3720709	0.7955091	0.2726557	1.0006260	0.0645888	0.9946127	0.6623016	0.0233618	0.7190846	0.0218910	0.5491233	0.0504151	0.0293039	0.0129057	0.1555524	0.5499385	0.7747356	0.0918144	0.0033845	0.0568485	0.2479588	0.1831313	0.1799931	0.1965742	1.0048430	0.7260900	0.5254899	0.2794593	0.7207837	0.3216698	0.0283451	0.3091574	0.1671380	0.9910605	1.0053711	0.9840235	0.1539403	0.0890137	0.9916966	0.0687131	1.0043437	0.9972534	0.8087868	0.9680323	1.0010347	0.9239015	0.8942350	0.6395373	0.2459053	0.9635720	0.9850999	0.6323850	0.3820912	0.7808733	0.4836191	0.3964143	0.3751930	0.1324372	0.3798377	0.0235710	0.4475147	0.9692290	0.6964389	0.7710952	0.5104099	0.5503081	0.6738482	0.7167581	0.0269661	0.2661598	0.0329126	0.0618346	0.1010555	0.6008384	1.0112050	0.0260011	0.1532015	0.2425061	0.0397558	0.6101132	0.1691711	1.0032964	0.2660070	0.8770225	0.3007874	0.2206923	0.1112974	0.0575177	1.0027877	1.0070152	0.6982638	1.0056036	0.6682657	0.7297410	0.9958182	0.4109025	1.0110728	0.8808959	1.0055864
0.2177420	0.1181018	0.7934983	0.4149118	0.4941829	0.1536598	0.9976918	0.5014325	0.0109982	0.6000950	0.2151497	0.7797019	0.0613458	0.0978525	0.2200598	0.4251474	0.9088334	0.8361187	0.1092435	0.0337201	0.0568479	0.2314802	0.1803161	0.1768189	0.1991218	1.0012938	0.7210743	0.5330556	0.2820416	0.7299599	0.2789111	0.0291709	0.3141546	0.1700922	0.9898746	0.9992713	0.9921187	0.1527505	0.0902540	1.0111135	0.0660529	1.0088460	0.9930711	0.7352075	0.9614523	1.0004737	0.9196707	0.8911731	0.6378213	0.2413172	0.9622274	0.9833578	0.6312217	0.3789850	0.7791099	0.4744577	0.4040922	0.3724089	0.1341660	0.3824902	0.0243677	0.4206710	0.9627945	0.6740437	0.7615491	0.5177500	0.5530755	0.6731459	0.7131615	0.0289196	0.2677104	0.0313723	0.0607909	0.1036951	0.5899220	0.9995253	0.0255215	0.1572485	0.2502975	0.0397382	0.6013133	0.1790114	1.0025180	0.2651920	0.8741563	0.3045486	0.2188288	0.1153841	0.0559566	1.0000140	0.9983338	0.6822866	1.0103719	0.6655029	0.7268501	0.9980511	0.4012093	1.0005590	0.8807204	0.9989870
0.2154963	0.3748216	0.7884658	0.5370660	0.9935545	0.0317545	1.0052929	0.6509275	0.0236192	0.7162747	0.0224415	0.5533557	0.0506094	0.0296105	0.0129201	0.1543417	0.5499357	0.7904423	0.0925836	0.0034813	0.0551063	0.2454480	0.1873029	0.1798867	0.1993767	1.0007889	0.7271403	0.5361461	0.2809624	0.7275597	0.3225079	0.0266964	0.3042619	0.1659610	0.9892692	0.9996725	0.9928824	0.1547237	0.0909772	0.9972462	0.0697230	1.0006995	1.0003635	0.8001297	0.9792820	1.0009116	0.9190773	0.9015832	0.6428491	0.2475299	0.9654175	0.9841269	0.6403221	0.3752740	0.7851207	0.4700498	0.3918377	0.3799863	0.1316008	0.3799248	0.0245209	0.4375834	0.9653968	0.7010091	0.7756956	0.5117134	0.5476692	0.6735167	0.7123271	0.0264450	0.2666551	0.0318255	0.0629446	0.1060484	0.5967179	0.9925435	0.0267065	0.1572740	0.2488300	0.0415579	0.6078471	0.1719329	1.0006093	0.2722398	0.8805962	0.2998493	0.2153080	0.1133111	0.0547343	0.9947837	0.9937080	0.6882791	1.0026099	0.6704270	0.7367573	1.0054727	0.4019960	1.0017287	0.8819262	1.0023750
0.2196735	0.3742246	0.7876287	0.5458140	1.0085247	0.0644715	0.4991973	0.6539730	0.0220507	0.7185128	0.0226283	0.5560799	0.0510794	0.0301047	0.0138487	0.1539783	0.5461378	0.7854132	0.0923642	0.0038191	0.0546875	0.2474119	0.1881592	0.1840753	0.1951787	1.0039130	0.7281056	0.5289350	0.2840394	0.7300623	0.3154345	0.0283474	0.3037437	0.1709839	0.9857503	0.9985390	0.9923244	0.1511530	0.0917582	1.0111562	0.0679385	1.0018771	1.0057179	0.8025026	0.9720210	0.9987678	0.9242081	0.9061343	0.6359107	0.2482637	0.9649764	0.9825138	0.6416073	0.3699720	0.7782196	0.4873522	0.3902724	0.3721862	0.1336112	0.3813134	0.0252693	0.4473457	0.9692496	0.7018499	0.7702843	0.5190574	0.5430970	0.6714879	0.7115982	0.0265725	0.2696578	0.0339257	0.0621407	0.1038537	0.5930898	0.9985950	0.0253898	0.1523876	0.2496447	0.0396179	0.6006322	0.1751529	0.9961996	0.2653387	0.8759504	0.3017118	0.2186503	0.1115586	0.0554017	0.9939457	0.9988373	0.6829886	1.0079317	0.6749530	0.7352119	1.0001960	0.4009863	0.9976515	0.8758828	1.0067853
0.2138225	0.3757177	0.7907507	0.5399949	1.0033645	0.0647863	0.9986356	0.3275203	0.0230389	0.7151766	0.0231322	0.5541406	0.0502333	0.0300708	0.0133892	0.1560961	0.5442079	0.7875961	0.0941880	0.0040450	0.0562072	0.2484976	0.1810417	0.1866818	0.2001559	1.0068510	0.7258789	0.5321609	0.2793941	0.7297272	0.3214936	0.0276553	0.3039233	0.1727632	0.9908870	1.0039962	0.9938093	0.1506049	0.0904132	1.0016103	0.0682981	1.0038325	1.0043535	0.8034645	0.9775171	1.0028150	0.9258995	0.8994390	0.6462464	0.2482376	0.9623396	0.9906080	0.6471774	0.3745764	0.7803049	0.4774805	0.3920465	0.3667340	0.1348824	0.3860204	0.0250171	0.4454687	0.9785308	0.7020649	0.7614073	0.5182557	0.5439758	0.6687933	0.7136078	0.0290858	0.2687867	0.0314685	0.0615265	0.1048324	0.5898938	1.0042708	0.0266521	0.1567877	0.2479862	0.0409136	0.6007918	0.1712787	1.0038763	0.2723237	0.8752102	0.3002232	0.2205202	0.1119335	0.0564108	1.0044331	1.0048720	0.6898756	0.9944307	0.6691544	0.7351273	0.9944655	0.4088887	0.9953206	0.8876953	1.0008415
0.2163222	0.3773373	0.7923713	0.5322718	0.9973277	0.0642374	1.0007718	0.6515075	0.0122521	0.7151788	0.0234445	0.5603722	0.0507366	0.0302830	0.0143629	0.1594661	0.5475438	0.7748912	0.0922046	0.0036848	0.0566327	0.2462687	0.1846331	0.1747062	0.1989930	1.0043134	0.7171264	0.5380985	0.2828080	0.7232549	0.3177791	0.0293716	0.3092155	0.1672379	0.9862906	1.0041829	0.9891712	0.1576037	0.0908566	1.0031857	0.0687066	1.0003347	1.0024401	0.7989517	0.9677803	1.0034921	0.9236043	0.9016244	0.6386466	0.2495892	0.9676724	0.9901268	0.6477259	0.3629923	0.7824425	0.4668122	0.3818506	0.3753165	0.1364965	0.3804136	0.0252317	0.4459742	0.9685780	0.6971431	0.7709768	0.5062264	0.5472735	0.6775940	0.7087766	0.0276816	0.2662636	0.0313904	0.0647720	0.1030844	0.6012816	1.0037234	0.0254934	0.1536452	0.2441464	0.0407631	0.5983401	0.1780284	1.0037033	0.2623280	0.8742903	0.3018248	0.2193949	0.1173483	0.0563506	1.0134667	1.0027235	0.6745861	1.0049495	0.6686217	0.7311085	1.0007491	0.4080113	0.9991736	0.8879748	1.0023321
0.2278238	0.3753788	0.7927070	0.5452617	0.9968166	0.0649571	1.0034656	0.6595604	0.0222345	0.3522367	0.0235014	0.5582607	0.0496679	0.0291376	0.0132722	0.1530708	0.5516341	0.7874277	0.0931336	0.0048309	0.0543306	0.2477765	0.1919170	0.1972479	0.1999420	1.0041894	0.7163224	0.5778617	0.2841736	0.7188821	0.1533241	0.0284227	0.3095922	0.1717946	0.9976302	1.0042157	0.9739257	0.1535714	0.0925242	1.0003479	0.0678388	0.9943451	1.0083405	0.5601008	0.9678344	1.0023136	0.9223534	0.9044159	0.6475685	0.2218608	0.9737956	0.9832258	0.6530027	0.3676098	0.7863184	0.4764227	0.3942114	0.3716556	0.1386951	0.3856827	0.0256357	0.3420776	0.9319826	0.5797048	0.7716029	0.5099138	0.5481411	0.6748835	0.7135530	0.0273936	0.2702576	0.0327558	0.0653304	0.1087837	0.5611713	0.9938117	0.0287189	0.1629714	0.2658106	0.0410997	0.6049695	0.1754908	1.0114064	0.2712400	0.8765603	0.3034666	0.2211664	0.1172973	0.0586847	1.0025958	0.9944614	0.6834912	1.0049064	0.6601758	0.6983939	1.0001584	0.4067599	0.9999639	0.8772672	1.0000098
