G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.5873260	0.3965651	0.6676733	0.0722757	0.0699801	0.5024423	0.4958337	0.7056326	0.2506684	0.3208186	0.1091765	0.2184572	0.3006904	0.1432535	0.2237149	0.6130231	0.2967442	0.5055219	0.4262153	0.2044840	0.1067314	0.5922721	0.3592530	0.6429166	0.6884576	0.3090821	0.5314879	0.0927778	0.0035018	0.2230304	0.3936840	0.6999942	0.2848835	0.2006319	0.1502625	0.6092711	0.0380624	0.5932356	0.2374539	0.8876885	0.0325423	0.5855006	0.0527306	0.0512463	0.6824885	0.3962388	0.2563447	0.6528450	0.5372839	0.2001403	0.6257691	0.4403801	0.5271757	0.7331223	0.4084296	0.0745495	0.0226101	0.0476452	0.6223845	0.0067991	0.1438859	0.2254484	0.4872645	0.2243042	0.6274595	0.0456978	0.0533357	0.3039089	0.0341508	0.7354929	0.3604325	0.2732539	0.0574887	0.4490179	0.0332964	0.6845624	0.5018161	0.2253474	0.3218334	0.5325059	0.4153852	0.8414801	0.0549449	0.6088370	0.5808103	0.1048567	0.5844166	0.0346654	0.7067517	0.6559678	0.6807116	0.0851349	0.4620597	0.1374329	0.4558167	0.5893234	0.6664231	0.0222336	0.6410813
0.3870006	0.0000000	0.6562270	0.5628095	0.0801178	0.5503371	0.6177553	0.5632472	0.7930906	0.2593170	0.4586934	0.1114969	0.2008808	0.3326293	0.1391658	0.2540701	0.5404403	0.3056631	0.5635882	0.5331673	0.2196790	0.1805119	0.5255060	0.4429379	0.6048392	0.7316184	0.2193721	0.4996229	0.1093710	0.0044273	0.2333982	0.3898699	0.6312092	0.1964577	0.1605503	0.1127646	0.6936666	0.0389928	0.7128921	0.2754351	0.6850471	0.0612639	0.5469518	0.0351202	0.0386139	0.6872272	0.4575092	0.2882419	0.5765610	0.5655463	0.1116163	0.7342747	0.4285724	0.5982041	0.6464691	0.4548847	0.0898599	0.0355171	0.0476025	0.6919793	0.0148294	0.1035185	0.3047390	0.5071307	0.2712552	0.5846087	0.0490579	0.0462416	0.2468296	0.0293187	0.6976771	0.3686567	0.2166379	0.0400759	0.5141915	0.0653673	0.7833391	0.5290363	0.3108034	0.2972282	0.4975602	0.2415582	0.7600859	0.0434579	0.6855532	0.6391009	0.1293929	0.7008735	0.0896691	0.6888161	0.6681391	0.6314676	0.0983595	0.4786102	0.0956383	0.5244752	0.5502878	0.7373731	0.0281529	0.5342570
0.2667266	0.2293006	0.0000423	0.4499797	0.0827400	0.6704036	0.5589497	0.5201557	0.7436777	0.2383817	0.4153295	0.1323790	0.1812268	0.2919654	0.1824885	0.2495358	0.5900728	0.3360402	0.5691671	0.5011784	0.1713750	0.2088969	0.6488415	0.4022319	0.5491840	0.5938129	0.2443038	0.5609616	0.0547789	0.0082584	0.2259510	0.5258320	0.7207205	0.2400979	0.1811050	0.2197159	0.5348072	0.0208077	0.6437449	0.2803906	0.6590797	0.0444153	0.5280687	0.0636471	0.0235749	0.7483702	0.3424968	0.2611658	0.7051434	0.5892022	0.2064014	0.6908577	0.5135134	0.5205520	0.8136129	0.4127855	0.0848120	0.0334758	0.0362336	0.6464438	0.0073830	0.1410679	0.3300890	0.4148322	0.1764126	0.4552770	0.0513407	0.0780712	0.2650658	0.0319607	0.6775202	0.2923942	0.2889380	0.0545360	0.4557730	0.0614928	0.6743314	0.4819351	0.2804977	0.3853863	0.4255369	0.2816393	0.7033825	0.0411937	0.5063260	0.6757188	0.0126827	0.8360913	0.0489644	0.6897241	0.7832041	0.6012715	0.0678170	0.4894427	0.0697373	0.5389632	0.6369795	0.8326288	0.0406983	0.6592550
0.2955979	0.2342473	0.7425492	0.0000000	0.0798370	0.6299254	0.4919585	0.4758309	0.6943036	0.1996510	0.3886821	0.1345393	0.1758849	0.2787028	0.1218744	0.2273846	0.5136986	0.2639698	0.5531592	0.4910417	0.1527169	0.1399195	0.5551824	0.4880884	0.6593276	0.6953212	0.2553626	0.5437723	0.0554150	0.0042334	0.2628150	0.3978269	0.6893326	0.2433510	0.2121922	0.1257792	0.6010863	0.0188760	0.6873029	0.3021049	0.6781084	0.0338347	0.6059820	0.0357480	0.0401470	0.6046847	0.3956232	0.1893137	0.3566800	0.5818348	0.1553504	0.6762752	0.5683185	0.5583070	0.6169958	0.4314790	0.0675649	0.0160601	0.0511681	0.7283596	0.0119694	0.1160295	0.3290426	0.5035966	0.2399378	0.4979975	0.0339020	0.0560483	0.2879083	0.0248349	0.7251404	0.3240810	0.1348011	0.0669455	0.4826173	0.0682950	0.6346016	0.4294891	0.2795270	0.4074778	0.3082720	0.0024817	0.6534712	0.0347383	0.4377682	0.6105021	0.0629448	0.7300506	0.0628601	0.6689033	0.7693600	0.7191200	0.0562371	0.3781431	0.1039273	0.5843111	0.6327273	0.6877706	0.0373956	0.5850616
0.3210360	0.2480913	0.5809878	0.3797730	0.0000000	0.6837339	0.5504887	0.5370747	0.7642757	0.2970252	0.3094797	0.1386861	0.1463627	0.2857018	0.1469099	0.2365874	0.5524077	0.2693560	0.5427137	0.4378528	0.1409631	0.1664324	0.4585893	0.4075627	0.6331593	0.6245255	0.3536736	0.5922857	0.0874185	0.0017589	0.2711923	0.4158597	0.7002124	0.3095272	0.1563835	0.1374792	0.6516935	0.0252792	0.6396712	0.3315325	0.7647869	0.0379786	0.5591126	0.0241077	0.0614306	0.7747366	0.3871034	0.2862890	0.5717237	0.5739029	0.1228384	0.7207830	0.5080566	0.5189046	0.7521302	0.6311412	0.0821221	0.0204922	0.0570716	0.6806044	0.0095166	0.1369845	0.3496120	0.4548297	0.2399654	0.5575689	0.0790025	0.0569690	0.3196631	0.0259484	0.7747278	0.3828470	0.1494875	0.0445614	0.4610831	0.0474809	0.6387724	0.5201784	0.2716192	0.3184703	0.4393534	0.3445173	0.7426189	0.0572686	0.6246810	0.6783206	0.0777549	0.7180206	0.0582839	0.6740614	0.6618092	0.6777714	0.0532779	0.3391730	0.1308618	0.4972366	0.6731175	0.5986418	0.0168340	0.6552543
0.3398900	0.2831679	0.5527375	0.5265906	0.1519699	0.0000169	0.6096501	0.4696735	0.6666893	0.2112832	0.4483202	0.1203542	0.1951061	0.2456061	0.1300790	0.2132784	0.4336915	0.2584609	0.5013985	0.4968211	0.1228177	0.1525826	0.5552825	0.3710777	0.6619598	0.6736317	0.3488487	0.5874911	0.0431830	0.0026099	0.1850215	0.4717871	0.7325702	0.2498974	0.1972196	0.1476442	0.5818739	0.0266135	0.7718278	0.2645893	0.6161426	0.0538421	0.6500881	0.0378684	0.0607606	0.6573476	0.4339727	0.2485342	0.5797552	0.6867469	0.1471786	0.6513292	0.4473943	0.5373235	0.6853495	0.3946388	0.0744314	0.0246166	0.0420456	0.7333596	0.0087722	0.0952510	0.2442541	0.4764325	0.1976261	0.6503133	0.0646446	0.0592133	0.3156174	0.0486711	0.6334265	0.3783844	0.2653175	0.0426781	0.4817503	0.0504548	0.5910405	0.4965407	0.3072464	0.3577774	0.4304348	0.2397406	0.6661716	0.0793091	0.5653855	0.5877414	0.0501377	0.7157943	0.0688394	0.7001797	0.7134454	0.7398345	0.0682700	0.5086355	0.0927589	0.5615069	0.5531609	0.5957243	0.0334377	0.5794252
0.3926079	0.3497605	0.7423690	0.4672754	0.1057804	0.7079464	0.0000000	0.4550487	0.7343610	0.3310914	0.3212870	0.1303793	0.1836269	0.3072107	0.0849316	0.2746738	0.4986173	0.3270558	0.4495222	0.4851990	0.1969334	0.1655851	0.6020580	0.4386213	0.5513708	0.6434240	0.2914302	0.4172526	0.0581701	0.0017615	0.2299354	0.3597562	0.7018380	0.2660253	0.1757790	0.0910467	0.6250589	0.0209961	0.6879386	0.2556594	0.6856717	0.0302402	0.5979417	0.0564758	0.0469090	0.6629667	0.3910247	0.3030729	0.6224483	0.6309885	0.1585306	0.6318832	0.4561930	0.6552233	0.7396473	0.4703862	0.0876696	0.0258032	0.0848433	0.7540060	0.0141668	0.1179882	0.3016727	0.4533693	0.1729289	0.6562284	0.0423004	0.0346945	0.3027259	0.0336928	0.8280138	0.3181634	0.1993879	0.0347848	0.4595771	0.0499669	0.5963101	0.5606830	0.2831922	0.4408127	0.4665883	0.3493261	0.7900913	0.0605121	0.6158281	0.6455495	0.0864816	0.7801446	0.0450282	0.7380809	0.6161265	0.7541979	0.0644826	0.4413031	0.0729254	0.4686330	0.5607530	0.7016220	0.0306545	0.7157795
0.0116403	0.5851738	0.4558891	0.6563855	0.0675339	0.0340512	0.5948558	0.0000000	0.6877721	0.2831717	0.3845494	0.1669195	0.2344437	0.2873958	0.1814669	0.2186638	0.6079866	0.2557278	0.6208551	0.7967254	0.2293224	0.2184912	0.6298133	0.7386702	0.6087576	0.7288487	0.2702707	0.5175997	0.0842876	0.0050689	0.1931015	0.5377075	0.7330813	0.2711458	0.2408012	0.0921067	0.6745577	0.0238877	0.6912578	0.3155364	0.7063861	0.0538772	0.6612873	0.0506362	0.0454750	0.7118861	0.4644231	0.2797605	0.6230260	0.6725847	0.1386285	0.6231584	0.4941239	0.5484151	0.6759493	0.5011710	0.0839196	0.0302222	0.0443241	0.7733984	0.0162467	0.1335059	0.2698463	0.4542723	0.2154203	0.5392444	0.0338098	0.0395917	0.2943018	0.0396537	0.6593476	0.3427308	0.2501772	0.0648670	0.3767516	0.0375899	0.3645761	0.5376450	0.2864072	0.7236580	0.6146839	0.4047263	0.7713249	0.0406240	0.6132413	0.7488991	0.0653215	0.6624404	0.0578754	0.7273418	0.7728957	0.6779055	0.0521644	0.5454886	0.0647319	0.4587295	0.5187900	0.6754115	0.0213699	0.6136156
0.3492814	0.2669333	0.6962900	0.5325268	0.1205296	0.6079632	0.6097060	0.4991977	0.0000000	0.7165279	0.7449423	0.3835096	0.2142978	0.3251522	0.1670449	0.1871863	0.6237917	0.2493259	0.5218598	0.4874688	0.2243609	0.1141588	0.4902688	0.4627094	0.6309354	0.6157908	0.2501543	0.5521495	0.0488748	0.0054052	0.1658954	0.3906085	0.6893458	0.2341912	0.1861356	0.0972542	0.5469499	0.0358746	0.6351509	0.2552382	0.7207041	0.0651355	0.5405385	0.0423260	0.0449790	0.8233609	0.3651329	0.2541640	0.6822712	0.5035618	0.1282008	0.7117422	0.4852982	0.5812340	0.6984343	0.4527838	0.1344070	0.0353014	0.0544585	0.8060498	0.0140003	0.1226509	0.2672702	0.3748739	0.1957267	0.5733874	0.0214748	0.0462534	0.3077722	0.0261650	0.7184178	0.3309860	0.2355449	0.0492390	0.4407159	0.0573770	0.6583833	0.5984258	0.2338067	0.2775546	0.4108902	0.3674766	0.6084999	0.0535988	0.5322284	0.6416858	0.1113978	0.7195973	0.0504137	0.6514682	0.6188312	0.7183232	0.0444968	0.4734153	0.0985172	0.4599614	0.5714449	0.7658544	0.0277711	0.5831001
0.4610615	0.2422698	0.5858622	0.4604268	0.0845576	0.5933653	0.4840655	0.4745838	0.7852297	0.0001213	0.2579697	0.1215792	0.1641026	0.2776458	0.1493878	0.2103454	0.5353018	0.2598300	0.4821868	0.4157062	0.2021194	0.1643557	0.5118266	0.3640984	0.5615158	0.7671009	0.2233573	0.5113395	0.0894203	0.0023122	0.2006097	0.3707649	0.7206996	0.2529938	0.1797406	0.1324076	0.7416930	0.0502344	0.7586301	0.2535396	0.9014055	0.0506048	0.5761354	0.0665929	0.0885183	0.7526907	0.3553964	0.2716537	0.5899926	0.6177139	0.1106477	0.6998177	0.5026957	0.5642912	0.6982759	0.4412536	0.1332012	0.0368814	0.0620320	0.8248012	0.0134229	0.1059899	0.2465435	0.4308821	0.2148899	0.6070817	0.0532199	0.0477511	0.2496520	0.0293421	0.6569934	0.3902810	0.2435987	0.0416957	0.4780121	0.0379035	0.7134988	0.6377259	0.3618124	0.3253389	0.4898302	0.2483797	0.7028920	0.0324099	0.5644564	0.7466337	0.1379244	0.7440015	0.0586121	0.6537519	0.6431294	0.7450894	0.0635242	0.4998401	0.1027594	0.5040239	0.5263773	0.7133024	0.0124725	0.5309077
