G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	1.1184333	0.9787892	0.0457732	1.1179678	0.5577916	0.2615597	0.8977436	0.9135771	1.0181684	1.1237726	1.0090547	0.5714928	0.3559905	0.8601142	0.4658800	0.9531418	0.6898847	0.0243200	0.0187792	0.4889570	0.2657998	1.0336930	0.6133801	0.0151027	0.0471088	0.2534578	1.0263099	0.7552336	1.3154444	0.5094050	1.0559383	0.1476069	0.9304645	0.9026739	0.4233043	0.5701542	0.6714923	0.6768604	0.4181973	0.2619515	0.3625873	0.5255716	1.0519451	1.1870657	0.0374037	0.0890399	0.7129441	0.6424400	0.5442144	0.5698603	0.9709269	0.5616360	0.6828382	0.8961184	0.1339458	0.8076684	0.5919597	0.8265348	0.8333780	0.9116162	1.2196829	0.5976235	0.3284156	0.2859358	0.8311651	0.4203398	0.3528449	0.8736827	0.1342404	0.3322603	0.2790160	0.3139529	0.6347645	0.7560647	0.2249510	0.0316668	0.6413091	0.9067116	0.3880123	0.3905702	0.5398126	0.7088346	0.2940436	0.5095324	0.9452245	0.3505084	0.7913064	0.5089681	0.8400385	0.8595877	0.6705051	1.0015466	1.2488625	1.1975405	0.9995727	0.4821819	1.0413384	1.0115991	1.1101799
1.0124014	0.0000000	0.8031644	0.5310522	0.5166494	0.5888826	0.6128772	0.0876111	0.9583866	0.3408449	1.0035931	0.9963303	0.9919105	0.5867052	0.9453241	0.2606623	0.5521812	0.4905393	0.4418880	1.0456400	0.3240168	0.0631054	1.1765319	0.6669088	0.0653994	0.0294301	0.2214907	0.9761705	0.5881799	1.0755487	0.8682921	1.0021482	0.1081276	1.1698424	0.7166032	0.4697130	0.3632021	0.6550861	0.7508137	0.4090946	0.0280768	0.3472685	0.6777255	1.0401616	1.2723040	0.0543520	0.0914729	0.6447925	0.8609547	0.8809769	0.3167962	1.0857962	0.0730459	0.5898403	0.9726770	0.2464689	0.4702593	0.6431002	0.8587329	0.8794122	0.8547069	0.9244024	0.5524531	0.3155346	0.2790311	0.6634781	0.4951328	0.2631749	1.1143135	0.2780870	0.3483934	0.4429302	0.3181058	0.6561360	0.5454543	0.2437513	0.0100530	0.6629298	0.7105548	0.3980898	0.5059842	0.4488380	0.6450458	0.1701437	0.3596805	1.0333936	0.3327702	0.7639080	0.3933713	0.5511569	0.6730603	0.5192039	1.0229640	0.9700106	1.1196918	1.0667790	0.5180846	0.8040385	0.9327070	1.0522811
1.0614826	0.1254038	0.0000000	0.7265294	0.5171488	0.6536488	0.6620402	0.1396144	1.0449573	0.3663823	0.8824815	0.9885326	0.7693216	0.6822437	0.9231618	0.2534018	0.6083617	0.6848299	0.2541672	1.1391341	0.6306465	0.0869647	0.9708320	0.6962413	0.0170011	0.1553148	0.2386627	0.9670180	0.8276339	1.0981638	0.7666108	0.9625736	0.1524907	1.1986942	0.7415024	0.6016668	0.6778446	0.7682554	0.6788721	0.5448695	0.0520902	0.3557973	0.4687189	0.9708291	0.9274587	0.0302990	0.2443517	0.6458605	0.7637034	0.6753120	0.3208634	0.9778400	0.1549605	0.7346578	0.7207008	0.1125962	0.6322397	0.7039485	1.0350541	0.9077808	0.6075208	0.6555772	0.5474581	0.3681874	0.4965039	0.7770480	0.5364912	0.3287978	0.9956145	0.3519182	0.2515718	0.2584519	0.2254544	0.5539346	0.6375903	0.1593232	0.0085279	0.7828127	0.7207233	0.3503394	0.4844976	0.3948212	0.6558128	0.1502965	0.3663236	0.8158182	0.4410417	0.5762595	0.5030622	0.7148007	0.7277274	0.6145991	0.8271634	0.9726725	0.8498587	1.1242167	0.2407941	1.1326655	1.0828153	1.0171928
1.0906574	0.0620342	0.5993608	0.0000000	0.3214359	0.8333377	0.6658986	0.0382526	0.8493906	0.3339248	0.7261510	1.0722760	0.9514887	0.5409329	0.9932202	0.2796630	0.3424336	0.5235767	0.4528665	1.0156621	0.2309713	0.0389345	1.0280391	0.4712076	0.0369330	0.0231438	0.2333181	1.1530879	0.7489014	0.9312910	0.6562357	0.8538827	0.1916740	1.1213031	0.6887502	0.5487319	0.7533737	0.8982909	0.4903994	0.4029898	0.0438183	0.3768899	0.3149220	0.9349831	0.9324789	0.0221838	0.2255381	0.7672848	0.7208155	0.9314750	0.2610146	0.8555885	0.1133121	0.6430695	0.8732249	0.2243639	0.4824624	0.9235128	0.8901984	0.8763611	0.7987692	1.1781329	0.6085529	0.3867272	0.3614173	0.9282316	0.3519293	0.3536214	0.8584986	0.2664890	0.2941442	0.2901766	0.2074126	0.4777784	0.6074647	0.2424325	0.0070657	0.6918937	0.7818148	0.3296986	0.4290462	0.3490219	0.8252038	0.1751831	0.6262303	0.8596515	0.3087014	0.8669961	0.6035498	0.9715013	0.7154868	0.5000616	0.8166684	0.9180045	0.7905414	1.1948582	0.5310982	0.8711914	0.8360881	1.0218977
0.0300802	0.9378797	0.7745426	0.1084566	0.0000000	0.8826023	0.2711041	0.4936646	0.8188483	0.9652105	1.1797546	1.2060852	0.8571038	1.1562342	1.1187504	0.6805341	0.4259803	0.5193273	0.4139719	0.0895319	0.2216019	0.0646330	1.0137105	0.5473298	0.0988867	0.0566157	0.2835528	1.1075774	0.7199444	1.1362016	0.6719978	1.0733989	0.1419149	1.0577719	0.0499255	0.5836010	0.6181026	0.8607810	0.3896618	0.4701481	0.0418683	0.3305411	0.4693272	0.0835405	1.0565475	0.0410290	0.2939987	0.9888058	0.8615045	1.0898545	0.1412962	1.2170802	0.0011293	0.4091661	0.5273803	0.9270274	0.4021760	0.2124038	0.4959933	0.7944816	0.9785425	1.1025222	0.6117392	0.2487672	0.3525669	0.6678411	0.7309401	0.4920521	1.0948320	0.2135444	0.2558803	0.4300480	0.6270219	0.5069264	0.5954480	0.4685812	0.0102286	0.7742064	0.8617814	0.1940413	0.4378385	0.3632431	0.6737965	0.1676257	0.4562338	0.9765814	0.4285047	0.9937965	0.7757276	0.9403858	0.5242653	0.4603395	0.6469541	1.1697609	0.9165609	1.2599096	0.3855663	0.8427202	0.7929768	0.9042034
1.0637949	0.0942698	0.6913931	0.3148507	0.3899605	0.0000000	0.8720405	0.0736056	0.8898248	0.4359873	0.9891396	0.7888485	0.8645467	0.4841470	0.8300906	0.2332873	0.3580280	0.6011963	0.3600129	1.0170959	0.2533636	0.0344527	1.0417248	0.5497632	0.0410511	0.0669746	0.1730522	0.8798379	0.7913670	0.9639097	0.8073246	0.9717342	0.1545869	1.1130353	0.8561306	0.5732972	0.7763060	0.6114188	0.7136983	0.5621079	0.0632401	0.3885360	0.5355221	1.0611291	1.0304889	0.0183072	0.1725876	0.7183052	0.7666786	0.9333270	0.2906473	0.9563756	0.1392623	0.4670253	0.8795658	0.2634317	0.4105455	0.7595444	1.0180196	0.7500007	0.8505682	0.9300203	0.4232571	0.2659208	0.5664144	0.9081113	0.3860063	0.3749475	0.8882388	0.3634820	0.2606700	0.3108106	0.2424939	0.6300214	0.5924808	0.1914505	0.0054143	0.7492712	0.7110445	0.5237691	0.5844313	0.5100557	0.7727118	0.2422986	0.5186796	0.9864761	0.2447394	0.7567965	0.5625720	0.8345951	0.7769757	0.6554543	0.8379756	1.0746382	0.9932433	1.1079474	0.2918455	1.1059928	0.8910898	1.0760604
1.0072878	0.0874904	0.7851182	0.5354995	0.4836931	0.8570368	0.0000000	0.1021359	1.0354681	0.1925431	0.8116730	0.9126219	0.8718620	0.4743245	0.9535556	0.2947580	0.7378442	0.6514550	0.3727802	1.1299781	0.4386327	0.0671751	1.0532694	0.6409881	0.0399751	0.0485074	0.1486082	0.9789514	0.6600169	0.9587760	0.8104180	0.7840975	0.2458532	0.9808184	0.8632869	0.5404702	0.4605914	0.8283844	0.7996741	0.4147007	0.0562507	0.3363286	0.4746415	1.0587981	1.1509104	0.0393411	0.1999908	0.5881630	0.5222354	0.8317296	0.3608383	1.0470984	0.0524959	0.7385098	0.9342564	0.2403309	0.6262741	0.7293892	0.8919185	0.7289233	0.8834964	1.0251531	0.5215689	0.3261883	0.3393503	0.5431486	0.5833553	0.3987965	1.0526527	0.4146760	0.3948823	0.5443936	0.4318865	0.7732607	0.6427014	0.3827970	0.0179217	0.6913115	0.8041421	0.2847206	0.3461198	0.4852595	0.8568476	0.2821184	0.5212735	0.9555785	0.4219539	0.9147707	0.6897762	0.9827745	0.7135897	0.6419382	0.8764729	0.9861457	0.9269812	1.0732089	0.4658429	0.9977946	0.8714973	0.9169574
1.1206133	0.0935938	0.8167049	0.3355215	0.2700498	0.7481542	0.7817730	0.0000000	0.9911834	0.2273487	0.7803790	0.8558923	0.7970955	0.3690282	0.7624818	0.1500044	0.2431764	0.5798751	0.7022004	1.0586478	0.3762276	0.0165162	1.1135023	0.6231891	0.0378344	0.0677061	0.2350570	1.0046410	0.9384869	0.9636563	0.7130686	1.0392802	0.1739138	0.9046446	0.6708700	0.5742748	0.7037305	0.5813622	0.6272818	0.4229254	0.0313204	0.4306154	0.3568448	0.8182473	0.9623881	0.0096490	0.2645424	0.6770163	0.6423737	0.7932900	0.3884810	0.8119083	0.1599684	0.5331837	0.9371747	0.2506157	0.5378577	0.6916188	0.8428990	0.7740460	0.6801195	0.9713385	0.6159443	0.3562281	0.2995205	0.8768787	0.3897558	0.2921313	1.0350140	0.3424170	0.2109452	0.1989669	0.0715234	0.5095906	0.3728201	0.1732942	0.0085053	0.5922906	0.8432995	0.2628706	0.6145334	0.5339050	0.6840769	0.2612477	0.5641590	0.9209832	0.4033957	0.9923741	0.6479915	0.9753638	0.4965584	0.5091125	0.5685456	0.9916052	1.0060640	1.2260630	0.5134736	0.9512621	0.9408836	0.9703764
0.8369478	0.0693345	0.6608762	0.5486248	0.3776417	0.6698673	0.8504492	0.1177189	0.0000000	0.2910242	1.1684587	0.8190035	0.9394395	0.5529182	0.9038253	0.2676329	0.3426493	0.7303539	0.4492293	0.9853492	0.2549923	0.0841551	1.0944103	0.6203046	0.0393577	0.0500117	0.2520878	0.9309137	0.8527403	0.9718022	0.5328680	1.0243782	0.1332419	1.1396472	0.7201111	0.4319933	0.7810521	0.8029284	0.7518526	0.5227961	0.0151246	0.2240861	0.5679935	0.9031056	0.9991448	0.0406120	0.2047411	0.3720538	0.5970215	0.7584839	0.3541080	1.0165993	0.0450397	0.6534695	0.7309978	0.2171725	0.6044459	0.8454932	0.9233031	0.9182049	0.6480611	0.9857611	0.5112365	0.3261259	0.3590687	0.9301617	0.4601671	0.2817660	1.0812335	0.3484645	0.1904701	0.2415392	0.2895826	0.5448174	0.4973700	0.2020493	0.0088900	0.9328738	0.7520318	0.4945353	0.5340187	0.5347704	0.9093616	0.3554426	0.4602624	1.1599025	0.3316408	0.8131714	0.7654362	0.5977201	0.6342732	0.7361748	0.7738028	1.1673033	0.8657921	1.0221576	0.4515400	0.9227066	0.9978410	0.9760950
0.8953900	0.1884815	0.7785460	0.7029141	0.4061144	0.7501669	0.5500440	0.3117751	0.8673812	0.0000000	0.8183585	0.7345580	0.7390801	0.3380010	1.0403605	0.3544933	0.5455519	0.6228274	0.3121608	0.8818974	0.3060477	0.0294277	1.0506900	0.4984726	0.0698125	0.0365662	0.1644423	1.3784553	0.7864963	0.9807527	0.6532848	0.9355755	0.1235079	0.8530717	0.8069220	0.4331398	0.6275023	0.8030836	0.6294615	0.6402136	0.0241374	0.4766001	0.5267300	1.0145433	1.1630144	0.0245941	0.1767205	0.8201289	0.7275872	0.7999440	0.3418917	0.9611407	0.1519302	0.6156862	0.7409206	0.1969740	0.6708677	0.8709931	1.0653046	1.1339206	0.6858825	0.8772024	0.5831831	0.3817612	0.4142482	0.7479945	0.4227673	0.3206550	1.0052878	0.3117482	0.1869938	0.2627102	0.2223415	0.7997645	0.6827524	0.2083430	0.0063575	1.0099650	0.7528349	0.2902216	0.4608647	0.4321242	0.7613683	0.1900617	0.5349888	0.9108891	0.4181229	0.8326505	0.5455049	1.1458624	0.4699427	0.6574788	0.7179070	1.0271055	0.9828348	1.0747828	0.6077740	1.0591486	1.1373222	0.8838814
