G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.3384770	0.0239854	0.8721485	0.1438013	0.4471009	0.7766211	0.1967799	0.8140998	0.4437015	0.9678021	0.8381705	0.5496928	0.7093125	0.5150789	0.6494133	0.0647761	0.5164099	0.2543108	0.9662454	0.2140643	1.1263909	0.9519366	1.0677007	0.6034938	0.5723945	0.7476289	0.4141057	1.0964526	0.9787237	0.5168245	0.5176756	0.0367369	0.1873890	0.0928124	0.0076638	0.6762246	0.1372976	0.1420958	0.8700455	0.8917932	1.1329260	1.0407466	0.4851692	0.1224263	0.6372466	0.8349718	1.2089144	0.1081796	0.3584246	0.5859013	0.8216078	0.6011235	1.1272072	1.1617227	0.0288952	0.8393189	0.8682774	0.9509683	0.4440283	0.1697923	0.0597653	0.2152667	1.1153552	0.0726075	1.0620606	0.7965106	0.9710396	0.9282762	1.1084942	1.0179364	0.0581338	0.2312001	0.8867155	1.0749995	0.2556468	0.8649306	0.8584804	0.0264787	1.1876256	0.3172104	0.8285547	0.0221752	1.1281568	0.9512334	0.0306276	0.3307076	0.4431428	0.5706738	0.9776602	0.1317265	0.9732413	1.0023080	0.0652912	0.0771539	0.0144096	1.1082311	0.9297418	0.2192273	1.2123916	0.2278034
0.4791448	0.0198275	0.7911290	0.4689642	0.2374939	0.7499767	0.2555167	0.5542860	0.6625907	1.1286550	0.6759877	0.8478629	0.5772307	0.3857284	0.4618741	0.0427869	0.6094673	0.4416341	1.2247247	0.2794397	0.9279546	1.0884763	0.9359911	0.6354013	0.3763841	0.6798492	0.2029402	1.0263160	1.0523878	0.4325184	0.3911313	0.0339612	0.0991773	0.0480281	0.0007300	0.8149581	0.0958711	0.3148241	0.7865894	1.0058624	1.1163656	1.0113684	0.5199421	0.1148504	0.6897225	0.8005880	1.0487536	0.1948288	0.3510956	0.5153113	0.7236577	0.5393205	0.8796886	1.0034093	0.0213786	0.9565122	0.7291295	0.7362873	0.4377715	0.2700216	0.0957855	0.3022849	1.0362639	0.0807065	1.1629690	0.8928303	1.2848027	1.0910178	1.1438558	1.0314115	0.1574194	0.3365979	0.9934224	1.1207096	0.2332893	1.0814040	0.9792606	0.0094235	1.0253144	0.3149744	0.8821404	0.0089159	0.6306242	1.1425049	0.0307985	0.3336219	0.5648969	0.6727168	0.7696827	0.1987534	0.6647567	1.0367080	0.0429285	0.0575471	0.0202271	0.9250994	1.1813139	0.2023848	0.8810748	0.3412348
0.6310922	0.0090933	0.5813145	0.4557541	0.4317093	0.4865783	0.2388502	0.4289728	0.4897394	0.8325440	0.6878727	0.7550570	0.3612724	0.3795450	0.6106165	0.0387579	0.7638573	0.4012590	0.8363263	0.3203011	1.0018444	0.8989497	0.9096529	0.5099330	0.5946693	0.9298502	0.4794648	1.1272565	1.1305391	0.4621605	0.4621004	0.0361189	0.1905395	0.0299888	0.0040951	0.6146716	0.1577177	0.1138272	0.8725012	0.5371790	0.9360702	1.1243284	0.3373240	0.0871475	0.6186930	0.8073013	0.9701865	0.0785999	0.3897904	0.5011895	0.8137358	0.6627926	1.0806417	1.1631408	0.0452944	1.0963297	1.0068283	0.8406969	0.6006927	0.2095559	0.1231561	0.3259164	0.8490909	0.1284998	1.1832376	0.8228768	1.0288168	1.1982583	1.0359541	0.9932732	0.1144350	0.3044974	0.9240491	1.2098976	0.2198311	0.9319900	0.9652864	0.0336073	1.1979279	0.2648644	0.8833438	0.0109000	0.8672375	1.1660630	0.0720267	0.2441180	0.4012872	0.3932702	0.7591604	0.0221565	0.9181180	0.9673717	0.0851728	0.0145717	0.0425886	1.0089862	1.1383710	0.3116357	1.0001840	0.3908286
0.5018837	0.0716598	1.0287650	0.2630211	0.3512225	0.5315843	0.2397928	0.3841041	0.7212681	0.8393810	0.8288492	0.7707561	0.7397310	0.5438275	0.4852881	0.1451933	0.7056947	0.8892861	0.9716753	0.4569514	0.8080880	1.0384224	0.9978115	0.6204197	0.5016811	0.7203482	0.6209172	0.9420153	0.9809562	0.6002215	0.3668735	0.1200414	0.1869099	0.0905764	0.0079038	0.5586503	0.0816339	0.0685326	1.0518008	0.3995157	1.2148022	0.9745553	0.3734553	0.1542724	0.4850881	0.8992425	1.0354612	0.0798671	0.4089937	0.6276963	0.9463280	0.5305173	1.1510346	1.0494331	0.0771411	0.7916324	0.9755239	0.7828815	0.6577636	0.2454105	0.1988892	0.3578095	1.0447767	0.2016862	1.0118308	0.6309096	1.0656225	1.0002482	1.0834815	1.0009207	0.0816993	0.3291653	1.0596130	0.9502775	0.1413146	0.9764755	0.9029119	0.0439250	1.0442631	0.2605858	1.1083896	0.0163682	0.6202177	1.0206054	0.0104462	0.2569297	0.5588914	0.4671173	0.7165344	0.1117633	0.8703517	1.0728577	0.0485913	0.0586262	0.0164530	1.2649130	1.1984285	0.1885200	0.9171971	0.5398073
0.4746799	0.0219449	0.9477010	0.4997810	0.1737671	0.7548765	0.2454020	0.2808517	0.4906415	0.8598025	0.7450965	0.6894720	0.7602001	0.5617937	0.6804169	0.0272811	0.7991607	0.7842427	1.0065341	0.5208077	0.9321239	0.9487014	1.1119974	0.6294269	0.3535543	0.5617718	0.8189209	1.0389185	0.9516327	0.3829888	0.4601270	0.0925213	0.2686656	0.0612394	0.0026098	0.4432834	0.1935168	0.0760613	0.8919557	0.4633535	1.2078090	0.9280156	0.4103249	0.1132809	0.4902509	1.1555499	1.1232533	0.0295487	0.6475695	0.4481593	0.7972301	0.7937646	0.9840811	0.9627823	0.0026247	1.1660791	1.2589338	0.8803310	0.6684076	0.2380038	0.1202907	0.4783878	1.0091623	0.1799872	1.1508185	0.7819574	1.0196619	1.0346605	1.2305187	1.1378328	0.0993199	0.2125167	1.0178739	1.1807278	0.3154425	0.9665804	0.9366279	0.0202308	1.0244863	0.3619854	1.1645636	0.0093127	0.6463869	0.8337544	0.0184760	0.2129848	0.5254287	0.6014485	0.5897084	0.0399237	1.1805856	1.1807395	0.0798810	0.0477689	0.0264080	0.9609156	0.9658289	0.3862301	1.0094941	0.3323693
0.4902513	0.0163235	0.9936095	0.3918988	0.3712705	0.2792941	0.2786895	0.3766830	0.5320550	0.8434190	0.6375706	0.8427332	0.7883328	0.5424294	0.5601574	0.0761081	0.6302005	0.4084952	1.0694679	0.2404207	0.9209600	1.1220110	1.1695771	0.8978587	0.6809097	0.5489626	0.5086588	0.9340955	0.9557292	0.5162221	0.6044020	0.0419781	0.1777805	0.0738161	0.0437712	0.2746519	0.3559679	0.0849166	1.0708137	0.5058882	0.9205145	1.1163244	0.4036727	0.1353389	0.5440207	0.9243326	1.0306098	0.0659526	0.3560800	0.5176418	0.7788304	0.6388549	1.0730708	1.1199578	0.0322344	0.9234218	0.8405420	0.7983965	0.4195205	0.2885159	0.0962694	0.3808237	1.1181714	0.1594954	1.1217765	0.6756685	1.1203295	1.1254926	0.9557175	0.8548175	0.0895913	0.2352151	1.0082134	0.8243676	0.2907870	1.0094792	1.0553351	0.0778724	0.9577480	0.3137596	1.1396642	0.0051523	0.6513202	0.8046636	0.0158027	0.1534473	0.3706516	0.6209620	0.2599488	0.0700122	1.0109042	1.0971850	0.0774802	0.0645928	0.0269469	0.9914214	1.0337359	0.1204377	0.9440867	0.3386576
0.6352507	0.0220547	1.1217802	0.7514035	0.3927155	0.6493013	0.2086103	0.2903996	0.6399425	0.7817080	0.7812273	0.5839788	0.4459844	0.6300191	0.4968463	0.0705958	0.6786403	0.4807863	1.1968592	0.4516182	1.0962142	0.8709452	1.0710543	0.8131984	0.6200261	0.5961037	0.6940074	1.0181053	1.0594015	0.4749769	0.3841221	0.0515216	0.2573930	0.0889243	0.0050625	0.4087925	0.3581157	0.1250626	0.7398570	0.8211128	1.1198176	1.1180740	0.3910278	0.0129028	0.5493964	0.9324296	0.9085650	0.0900971	0.2835946	0.5795859	0.8168265	0.6051359	1.1088583	0.9280697	0.0259865	1.0379381	0.8308240	0.9214930	0.5025445	0.3204179	0.0852977	0.4354842	0.8069104	0.1456808	1.0949679	0.7732341	1.1414454	0.8079399	1.1055680	1.3424128	0.0646331	0.2692054	0.9908855	0.9160675	0.1042608	0.8753239	0.8865073	0.0457181	0.9419592	0.3134191	1.1202011	0.0046386	0.4701989	0.9392008	0.0273270	0.4182503	0.3983795	0.5343407	1.1429355	0.1063230	1.2254758	0.8883968	0.0401188	0.0489586	0.0379294	0.8180232	1.1212391	0.1233722	1.0005832	0.3338380
0.7599952	0.0607655	1.0150403	0.6232516	0.2072551	0.5941467	0.3285024	0.1919902	0.6829620	0.9172934	0.7687632	0.7272289	0.5387960	0.6340659	0.6214938	0.0462600	0.7625596	0.5625023	0.9960398	0.3360337	1.1170197	1.0752527	0.7806803	0.5786756	0.4700421	0.7183620	0.5790959	1.1291240	0.9689435	0.3863695	0.5858642	0.0268414	0.1810428	0.0693162	0.0024122	0.6318241	0.0850576	0.0448635	0.9235985	0.7787703	1.0793965	1.1668891	0.3360374	0.0761725	0.5866512	0.8916743	1.1243791	0.0632192	0.4448955	0.4766597	0.8644541	0.8028367	1.0696730	1.3367370	0.0233901	0.9791585	1.1760699	1.0068786	0.5690731	0.1232743	0.0873514	0.2048643	1.0033133	0.1705038	1.2556673	0.7930370	0.9693777	1.0648574	1.2748898	1.1969136	0.1362206	0.3012456	0.9097392	1.0783928	0.2527789	1.1989819	0.9667596	0.0361418	0.8119780	0.2351550	1.1016659	0.0017249	0.5291503	0.9372060	0.0252950	0.1684380	0.3674990	0.5011526	0.8445712	0.0375043	0.9886560	1.1223565	0.0593198	0.0291069	0.0473568	1.0447339	1.0667387	0.2043409	0.9695965	0.3964737
0.7108311	0.0421952	1.1516763	0.4286487	0.3415477	0.5797276	0.1731804	0.1986973	0.1687939	0.8116557	0.5656073	0.6597326	0.8611877	0.9300141	0.8138260	0.1519430	0.7506268	0.4200209	1.2230044	0.2249891	0.9498487	1.0249012	1.1277739	0.6192815	0.5343645	0.6316718	0.5325898	0.9350157	0.8556406	0.6725006	0.4361047	0.0597793	0.1735924	0.0580945	0.0311683	0.6810930	0.1676782	0.2858168	0.8440603	0.8012357	1.0800691	0.9919718	0.3436308	0.0538975	0.5305269	1.0674640	0.9582692	0.2587167	0.2818203	0.5903679	0.7960825	0.5912839	0.9827499	1.1961077	0.0551525	1.1572966	0.8403002	1.1103182	0.7238548	0.2238692	0.1353391	0.4447873	1.0975421	0.1499295	0.9866029	0.5608191	0.8935944	0.9512820	1.0523184	1.1040656	0.0541636	0.2526385	0.9657215	1.3567413	0.2007879	1.0543545	1.1461549	0.0593950	1.0523244	0.3641123	0.9031925	0.0110401	0.6956518	1.0695426	0.0044237	0.3069628	0.5127233	0.5023506	0.7069000	0.1938485	0.6668296	0.9919820	0.0460090	0.0401085	0.0216311	0.7914153	1.0194984	0.0444946	0.9898284	0.3433823
0.6339467	0.0441543	1.1453360	0.5557628	0.3287867	0.5633653	0.2020610	0.3366397	0.5372458	0.3650577	0.9460789	0.6565295	0.7504847	0.6038480	0.5334367	0.1195623	0.8054894	0.7470464	0.9584843	0.4538004	0.8865890	1.0128349	0.8956043	0.5531757	0.3636696	0.6952731	0.3802772	1.1769008	1.0192977	0.6150397	0.4037550	0.1173714	0.2699323	0.0587451	0.0097237	0.7421284	0.1434930	0.1484066	0.8334395	0.7302735	1.1078707	0.9121631	0.5548667	0.0532030	0.4756564	0.6576383	0.9881828	0.1238409	0.3705022	0.6573355	0.9180764	0.5000977	1.2008127	0.9994613	0.0641275	1.0535370	1.0053300	0.8808227	0.5608588	0.2397879	0.1128274	0.3112395	0.8573564	0.1258424	0.8795239	0.6793606	1.0599106	1.1417376	1.0595778	1.2847635	0.1065615	0.3539929	1.0832509	1.1071676	0.1258294	1.0955144	1.0570874	0.0191365	1.1074039	0.2626822	0.8848600	0.0027023	0.6354776	0.8267576	0.0519997	0.2094277	0.3554129	0.4830932	0.9010159	0.1177719	0.8131721	0.9878986	0.0169067	0.0443058	0.0388350	0.8676547	1.1651277	0.1123564	0.9739118	0.2914916
