G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0,0000000	1,0000000	0,2348687	0,3107020	0,9054193	1,0000000	0,9347030	0,1343405	0,8929663	0,1564747	0,9986913	0,9942281	0,6388459	0,8969140	0,4915096	0,0600175	0,8165382	0,5591613	0,2472026	0,0710524	0,9577679	0,2048444	0,0521301	0,1218400	0,5665084	0,7409166	0,9339296	0,6997163	0,4760013	0,8755329	0,0003978	0,0038309	0,4772051	0,0144227	0,9966710	0,4437444	0,7506470	0,3860763	0,0197787	0,9909060	0,1098098	0,9910674	0,9348479	0,4503795	0,2324979	0,2942129	0,1429509	0,9116195	0,7850002	0,3017042	0,5839003	0,1900409	0,3468055	0,8131712	0,1357724	0,2847797	0,6382152	0,6444477	0,7644519	0,0502322	0,7401842	0,2013235	0,5424752	0,2413559	0,8707504	0,1984272	0,5609293	0,2784122	0,8664034	0,9992652	0,2429674	0,9813982	0,8535445	0,0858678	0,9955618	0,8445609	0,9688565	0,2832506	0,9552523	0,9271218	0,3780968	0,8299298	0,1373374	0,8794711	0,1566826	0,0200991	0,0249782	0,0155556	0,9989895	0,9141810	0,6019996	0,9368608	0,9945638	0,0597133	0,9658436	0,0579996	0,9473220	0,8544770	0,0964130	0,9338190
0,3339693	0,0000003	1,0000000	0,0274062	0,9999282	1,0000000	0,9930496	0,3509670	0,9018640	0,1561201	0,5593452	0,9999996	0,9999686	0,2729862	0,5844389	0,0138983	0,1188677	0,6525553	0,3347062	0,2600850	0,6348478	0,4981038	0,1212373	0,1256351	0,7461921	0,8860228	0,2586314	0,7106268	0,7533457	0,5761710	0,0232216	0,3868727	0,4488679	0,2663732	0,0008409	0,1880150	0,5237669	0,6326249	0,3688794	0,0360087	0,9999990	1,0000000	0,9965123	0,0233608	0,9990300	0,6614952	0,0772027	0,6749043	0,9097192	0,6002900	0,9780059	0,0892649	0,3278900	0,9999946	0,2790658	0,6685396	0,6401619	0,6696204	0,7885662	0,3430899	0,7785841	0,6397655	0,3036908	0,0841547	0,1631613	0,8498896	0,7757304	0,3403428	0,0543805	0,9999570	0,2506531	0,9995145	0,7558965	0,0844017	0,4831396	0,7348947	0,9690702	0,4597565	0,9952585	0,9190778	0,2487620	0,9936878	0,1338886	0,8794711	0,0782152	0,0200991	0,0248871	0,0056146	0,9679296	0,7530464	0,5977909	0,9370877	0,9946122	0,0432037	0,9999954	0,0579996	0,9486861	0,9960363	0,0805491	0,4526710
0,0000000	1,0000000	0,0000000	0,0274062	0,9054193	1,0000000	0,9347030	0,1343405	0,8929663	0,1564747	1,0000000	0,9903964	0,5622855	0,9120037	0,4222079	0,1037150	0,8339386	0,5600200	0,2639888	0,0039633	0,9577679	0,1651388	0,0140893	0,0114521	0,5665084	0,7400357	1,0000000	0,7742745	0,6198284	0,8755728	0,3584763	0,0007958	0,4888299	0,0061896	0,9999974	0,4445869	0,7506470	0,4304462	0,0197787	0,9909060	0,1098098	1,0000000	0,9348479	0,7432945	0,9990300	0,2942129	0,0772009	0,6740403	0,9092663	0,3017042	0,5839003	0,9999999	0,3468055	0,9999946	0,1357724	0,2847797	0,6382152	0,6444478	0,7644519	0,0106627	0,7745091	0,2013235	0,8018201	0,0841562	0,8707504	0,0170560	0,4379448	0,2784122	0,8664034	0,0200440	0,2429674	0,0474187	0,8535445	0,0858678	1,0000000	0,9752909	0,9688565	0,0008281	0,9552523	0,9271218	0,2541941	0,9936877	0,1373374	0,8794711	0,0782152	0,0200991	0,0249782	0,0056146	0,9989895	0,9141810	0,6019996	0,9368609	0,9945638	0,0432037	0,9999954	0,0579996	0,9473220	0,9960362	0,0805492	1,0000000
0,0037847	1,0000000	0,2348687	0,0000000	0,9054193	1,0000000	0,9347030	0,1343405	0,8929663	0,1564747	0,9986913	0,9942281	0,6388459	0,8969140	0,4915096	0,0600175	0,8165382	0,5591613	0,2472026	0,0710524	0,9577679	0,2048444	0,0521301	0,1218400	0,5665084	0,7409166	0,9339296	0,6997163	0,4760013	0,8755329	0,0003978	0,0038309	0,4772051	0,0144227	0,9966710	0,4437444	0,7506470	0,4897130	0,0197787	0,9909060	0,1098098	0,9910674	0,9348479	0,4503795	0,9999992	0,2942129	0,1429509	0,6041703	0,9995809	0,3017042	0,5839003	0,1900409	0,3468055	0,9999994	0,1357724	0,2847797	0,6382152	0,6444478	0,7644519	0,0502322	0,7745454	0,2013235	0,5424752	0,0762369	0,8707504	0,1984272	0,5609293	0,2784122	0,8664034	0,9992652	0,2429674	0,9813982	0,8535445	0,0858678	0,9955618	0,8445609	0,9688565	0,2832506	0,9552523	0,9271218	0,2541573	0,9999993	0,1373374	0,8794711	0,0778895	0,0200991	0,0249782	0,0056145	0,9989895	0,9141810	0,6019996	0,9368609	0,9945638	0,0432017	0,9999996	0,0579996	0,9473220	0,9999953	0,0805497	0,9338190
0,0037847	1,0000000	0,2348687	0,3107020	0,0000002	1,0000000	0,9347030	0,1343405	0,8929663	0,1564747	0,9986913	0,9942281	0,6388459	0,8969140	0,4915096	0,0600175	0,8165382	0,5591613	0,2472026	0,0710524	0,9577679	0,2048444	0,0521301	0,1218400	0,5665084	0,7409166	0,9339296	0,6997163	0,4760013	0,8755329	0,0003978	0,0038309	0,4772051	0,0144227	0,9966710	0,4437444	0,7506470	0,3860763	0,0197787	0,9909060	0,1098098	0,9910674	0,9348479	0,4503795	0,2324979	0,2942129	0,1429509	0,9116195	0,7850003	0,3017042	0,5839003	0,1900409	0,3468055	0,8131712	0,1357724	0,2847797	0,6382152	0,6444478	0,7644519	0,0502322	0,7401842	0,2013235	0,5424752	0,2413559	0,8707504	0,1984272	0,5609293	0,2784122	0,8664034	0,9992652	0,2429674	0,9813982	0,8535445	0,0858678	0,9955618	0,8445609	0,9688565	0,2832506	0,9552523	0,9271218	0,3780968	0,8299298	0,1373374	0,8794711	0,1566826	0,0200991	0,0249782	0,0155556	0,9989895	0,9141810	0,6019996	0,9368609	0,9945638	0,0597133	0,9658436	0,0579996	0,9473220	0,8544770	0,0964130	0,9338190
0,0428809	1,0000000	0,2348687	0,0275084	0,1878804	0,0000000	0,0026012	0,4182737	0,0913121	0,9915995	1,0000000	0,1612544	0,2957331	0,7795538	0,8514480	0,0718557	0,9305167	0,5489672	0,5229443	0,5587457	0,8665408	0,7001265	0,4290943	0,0114521	0,9980639	0,0312372	1,0000000	0,2275373	0,2662220	0,8709129	0,4366599	0,3894129	0,9835347	0,4939750	0,0008409	0,6099833	0,1611537	0,4304134	0,3890948	0,0360086	1,0000000	0,9910674	0,3193005	0,4503795	1,0000000	0,0185741	0,1429509	0,2548900	0,8709672	0,6248456	0,0464116	1,0000000	0,0214405	0,9999989	0,1368613	0,0391777	0,0150670	0,0960788	0,0008557	0,1627349	0,4567816	0,0582246	0,2736894	0,0842783	0,9686331	0,0170560	0,1251143	0,1162311	0,0543805	0,0200481	0,9968163	0,0474228	0,3251460	1,0000000	1,0000000	0,3347665	0,6687761	0,4222848	0,0582917	0,1717033	0,9896104	0,9936541	0,9982356	0,0930196	0,0782179	1,0000000	0,9822931	0,0056146	0,9410310	0,7081737	0,9948762	0,3857363	0,1838097	0,0432038	0,9999954	1,0000000	0,0684033	0,9960140	0,0805497	0,9338190
0,4757723	1,0000000	0,2348687	0,0274062	0,9054193	1,0000000	0,0000003	0,1343405	0,0908063	0,5850779	1,0000000	0,7492616	0,0730413	0,9120037	0,2796665	0,0600265	0,9794043	0,5591608	0,2472026	0,5587457	0,8292889	0,7232160	0,0626391	0,0114521	0,9351569	0,6028742	0,9339296	0,5730472	0,4760013	0,8755329	0,0003978	0,3871028	0,4772051	0,4939751	0,9966710	0,6096392	0,2881395	0,4304473	0,0197787	0,9909060	0,1098098	0,9910674	0,9348479	0,4503795	0,9990303	0,2942129	0,1429509	0,2538238	0,8716916	0,3017042	0,5839003	1,0000000	0,5265110	0,9999990	0,1368795	0,2847797	0,0150671	0,0960788	0,4061662	0,1633729	0,4567712	0,2013235	0,2726471	0,0842351	0,8707504	0,1984272	0,1251143	0,2784122	0,8664034	0,0200440	0,2429674	0,0474180	0,8535445	1,0000000	1,0000000	0,3347665	0,9688565	0,2832506	0,9552523	0,9271218	0,9999925	0,9936881	0,9982718	0,8794711	0,0782151	0,0200991	0,8218745	0,0056145	0,9989895	0,9141810	0,9949395	0,6049131	0,5041566	0,0432037	0,9999955	0,0579996	0,0679848	0,9960382	0,0805487	0,9338190
0,4757710	1,0000000	0,2348687	0,0274479	0,9054193	1,0000000	0,0026011	0,0000000	0,0913119	0,5849248	1,0000000	0,9999135	0,0029644	0,9315886	0,1005138	0,0600127	1,0000000	0,5600195	0,2472026	0,5587457	0,8102530	0,7232158	0,0626133	0,0114521	0,8187726	0,6028742	1,0000000	0,5730472	0,4760013	0,8755329	0,0000031	0,3870343	0,4772051	0,4939750	0,9966710	0,6099816	0,3871963	0,4304361	0,0197787	0,9909060	0,1098098	0,9910674	0,9348479	0,4503795	0,9990252	0,2942129	0,1429509	0,2546515	0,8714369	0,3017042	0,5839003	1,0000000	0,5265109	0,9999990	0,1368614	0,2847797	0,0150672	0,0960788	0,4061663	0,1627404	0,4567818	0,2013235	0,2736892	0,0842526	0,8707504	0,1984272	0,1251143	0,2768808	0,8664034	0,0200481	0,0161639	0,0474228	1,0000000	1,0000000	1,0000000	0,3347665	0,7425922	0,2832506	0,0582917	1,0000000	0,9896147	0,9936743	0,9982358	0,8794711	0,0782162	0,0200991	0,8216623	0,0056145	1,0000000	1,0000000	0,9948764	0,6050780	0,5044602	0,0432037	0,9999955	0,0579996	0,0683977	0,9960286	0,0805487	0,9338190
0,0037847	1,0000000	0,2348687	0,0274062	0,9054193	1,0000000	0,9347030	0,1343405	0,0000000	0,5933248	0,9986913	0,9942281	0,6388459	0,9120037	0,4915096	0,0600175	0,8165382	0,5591613	0,2472026	0,0710524	0,9577679	0,2048444	0,0521301	0,1218400	0,5665084	0,7409166	0,9339296	0,6997163	0,4760013	0,8755329	0,0003978	0,3894114	0,4772051	0,4939747	0,9966710	0,0000287	0,7506470	0,4807749	0,0197787	0,9909060	0,1098098	0,9910674	0,9348479	0,4503795	0,9990302	0,2942129	0,1429509	0,1743826	0,8703869	0,3017042	0,5839003	0,1900409	0,3468055	1,0000000	0,7160688	0,2847797	0,6382152	0,6444478	0,7644519	0,5694270	0,4561753	0,2013235	0,5424752	0,0842363	0,8707504	0,1984272	0,5609293	0,2784122	0,8664034	0,9992652	0,2429674	0,9813982	0,8535445	0,0858678	0,9955618	0,8445609	0,9688565	0,2832506	0,9552523	0,9271218	0,2541936	0,9936881	1,0000000	0,8794711	0,0782151	0,0200991	0,8313372	0,0056146	0,9989895	0,9141810	1,0000000	0,5991314	0,4916636	0,0432037	0,9999955	0,0579996	0,0419599	0,9960379	0,0805488	0,9338190
0,0037847	1,0000000	0,2348687	0,3107020	0,9054193	1,0000000	0,9347030	0,1343405	0,8929663	0,0000000	0,9986913	0,9942281	0,6388459	0,8969140	0,4915096	0,0600175	0,8165382	0,5591613	0,2472026	0,0710524	0,9577679	0,2048444	0,0521301	0,1218400	0,5665084	0,7409166	0,9339296	0,6997163	0,4760013	0,8755329	0,0003978	0,0038309	0,4772051	0,0144227	0,9966710	0,4437444	0,7506470	0,3860763	0,0197787	0,9909060	0,1098098	0,9910674	0,9348479	0,4503795	0,2324979	0,2942129	0,1429509	0,9116195	0,7850003	0,3017042	0,5839003	0,1900409	0,3468055	0,8131712	0,1357724	0,2847797	0,6382152	0,6444478	0,7644519	0,0502322	0,7401842	0,2013235	0,5424752	0,2413559	0,8707504	0,1984272	0,5609293	0,2784122	0,8664034	0,9992652	0,2429674	0,9813982	0,8535445	0,0858678	0,9955618	0,8445609	0,9688565	0,2832506	0,9552523	0,9271218	0,3780968	0,8299298	0,1373374	0,8794711	0,1566826	0,0200991	0,0162485	0,0155556	0,9989895	0,9141810	0,6019996	0,9999949	1,0000000	0,0597133	0,9658436	0,0579996	0,9473220	0,8544770	0,0964130	0,9338190
