G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0,0000000	0,0094777	0,0943146	0,5307519	1,0816557	0,0589987	1,0235797	0,5499520	0,8237762	1,1429072	0,5897967	0,2021177	1,2523128	1,2322748	0,1739425	0,5671816	0,1375401	0,0602472	0,8577131	1,0851701	0,3772637	0,9769499	0,1867454	0,9342151	0,3336664	0,8595945	0,8246068	1,0225580	0,5898013	0,1983921	0,7321239	1,0389038	1,0788725	0,0939486	1,3004373	1,0860025	0,7490009	0,0512146	0,0826901	0,7972619	0,8631826	0,0460296	1,3021175	0,3996272	0,3358616	1,0250834	1,0871061	0,0468458	0,0590245	0,0834200	1,1246686	1,0111856	0,3402251	0,0688274	1,5037468	0,0851601	1,1332932	0,0024338	0,9339525	0,0123504	1,2159680	0,9062663	0,0301574	0,0792655	0,4688482	0,0539634	0,0808050	0,1216943	0,4996349	1,0002008	0,0206007	0,1942627	1,2139037	1,3006815	0,0778299	0,8837939	0,6522060	1,1149579	0,0699914	1,1798390	0,3921887	0,1423937	0,1529285	0,6506340	1,2978799	1,1895881	1,0731584	0,1461872	0,9304287	0,0212439	0,0100806	0,5546478	1,0565346	0,6310769	0,0614589	0,9098515	0,0706024	0,8291512	0,0461773	0,7646571
1,0622882	0,0000000	0,4541114	0,0591119	0,8661799	0,2639719	0,9803820	0,7503336	0,7890164	0,7886635	0,6224115	0,3004830	1,0588476	0,8908866	0,0645075	0,5093711	0,9038699	0,0774388	0,8308789	1,3837953	0,6998043	1,0526023	0,9051326	0,6875883	0,3348949	0,4062875	0,8939105	0,8721244	0,9200409	0,0520068	0,6299405	0,1616602	0,6923245	0,9854617	0,0062777	0,4209036	0,4941365	0,6391245	1,1635430	0,2474324	0,0226696	0,7072367	0,1142765	1,2259012	0,6730046	0,2822741	0,3059828	0,8550429	0,9296149	0,4853312	0,1974107	0,0959512	0,6692927	0,9495521	0,4911249	0,9551659	0,0700053	0,9423339	1,1937429	1,3282428	0,1420491	0,1903546	0,9811077	0,9775881	0,0303751	1,0366675	1,0807868	0,9876910	0,8358316	0,4957738	0,8999053	0,5571053	1,1023779	0,2334580	0,7756538	0,0310580	1,0190569	0,2044801	0,7155953	0,1494999	0,0468231	0,8639387	0,7434940	0,5718016	0,0779332	0,4185585	0,1668432	0,6817082	0,3016406	0,6555398	0,8490614	0,3551302	0,7334982	1,0340471	0,5214330	0,1002432	0,5117729	0,1194826	1,0153458	0,1451664
0,7965373	0,6536985	0,0000000	0,6324032	0,9304399	0,0887038	1,0578185	0,6442682	0,9540000	1,2281972	0,9480098	0,2961866	0,9671113	1,3956541	0,0329982	1,2765667	1,0462271	0,0717624	1,1975757	1,2296139	0,2192124	0,7316504	1,1605408	1,1078464	0,2956715	1,1049502	0,5254461	0,7660370	0,6128259	0,0511976	0,9114001	0,2638564	1,2342031	0,6849758	0,0262499	0,9757771	0,8611675	0,7531858	0,9709221	0,3499992	1,1135112	0,4734767	0,0368872	0,4722450	0,7238481	0,3091599	0,3204248	0,8148821	1,0091145	0,0535859	0,8400128	0,0316050	0,3085230	0,0804616	0,5646917	1,1195511	0,1812707	0,8095613	0,9869449	0,6730468	0,1064129	0,3865885	0,9123183	0,9529662	0,4618217	1,0629208	1,0693499	1,0696357	0,6956865	0,2143834	0,9113722	0,3469087	0,5854203	0,1866617	0,9978316	0,0348130	0,8580981	0,0505156	0,4714116	0,2186721	0,3021167	0,0226731	0,5810526	0,6702225	0,1059564	0,2774302	0,0754130	0,9610408	0,7442273	0,6228705	0,9867566	0,3437749	1,1719748	0,9217930	0,9908495	0,0468994	1,0800363	0,1178844	0,8926596	0,2422050
1,0617253	0,7671598	0,6801213	0,0000000	1,3682214	0,1560738	0,9242748	0,4407457	0,9913924	1,0902662	0,5649995	0,4197815	0,9465279	0,9031460	0,9384301	0,8178207	1,2090732	0,0560573	0,4734962	0,1697176	0,2455101	0,6065006	0,9430119	0,7584261	0,2111691	0,4465270	0,6344571	1,0340581	0,7017531	0,0604447	0,6486549	0,0887539	0,5238323	0,6780803	0,0312506	0,4767666	0,3712840	0,8199929	1,1360140	0,3749107	0,0040015	0,4983601	0,0226023	0,7159425	0,5288644	0,3299070	0,4516064	1,1638311	1,2211704	0,4697858	0,1543876	0,1079781	0,3480341	0,8987993	0,4947861	0,7028248	0,1271845	1,0734816	0,8655636	1,1726539	0,0450431	0,4065112	0,9577659	0,7173194	0,0326668	0,7153841	0,8943961	1,0199857	1,1118040	0,2215067	1,0355477	0,6102722	1,0707601	0,2305842	0,8363731	0,0211935	1,3026105	0,1026074	0,6496035	0,2117112	0,0693143	1,1599295	0,7914361	0,4168229	0,0132215	0,6137537	0,1693820	1,1056732	0,2406478	0,7254550	1,1759001	0,4130204	1,0820707	1,1893973	0,6355448	0,2000229	0,5210180	0,0535838	1,2258712	0,2307172
1,0880507	0,7028166	0,5488502	0,5377173	0,0000000	0,3686527	1,1143060	0,4327042	0,7015982	1,0693134	0,6737634	0,2227346	0,7314348	0,5108040	1,0229446	0,6818916	0,9902509	0,9247388	0,3257824	0,0522267	0,4776422	0,5895055	1,0645982	1,0197301	0,5932269	0,0636723	1,0623321	0,0320201	0,3512689	0,6749532	0,6111384	0,0804009	0,5560863	1,2491855	0,0166065	0,2356915	0,3514509	0,6318704	1,2017975	0,2908894	0,0608288	0,4672664	0,0426773	0,3125318	0,5040040	0,1108250	0,3718382	1,3486854	1,1206403	0,6090931	0,1348811	0,1663671	0,3108309	1,0110090	0,6029075	1,1225047	0,1456828	1,1731000	0,7010290	1,0988787	0,0509446	0,3186912	1,2644583	1,0867947	0,5824861	0,8917928	0,8321366	0,7291945	0,4505976	0,2087692	1,0855098	1,0232816	1,0694090	0,1060040	0,9901970	0,0175428	0,6335232	0,0514711	0,8318541	0,1117681	0,4657420	1,2893332	0,8209928	0,3523316	0,1721609	0,3645758	0,2542163	0,9824106	1,0960892	0,9944678	0,9406884	0,4542807	0,0734695	0,5748050	0,7749201	0,1993316	0,8156200	0,0228375	1,0177541	0,1953957
0,9253449	1,1782475	0,3296461	0,0549925	1,1073741	0,0000000	0,9744651	0,5810661	1,2431211	1,1282705	0,6098439	0,4279911	1,1202023	1,1064029	0,7132333	1,0243943	1,0332525	0,0461660	0,3535340	0,1489353	0,2535384	0,6819684	0,8412736	1,0725820	0,2011727	0,7142684	0,8329046	1,0697496	0,6557665	0,0858212	0,8632619	0,1575713	0,9444978	1,1377282	0,0258867	0,3868495	0,4508359	0,9403866	1,1381478	0,3580651	0,0315208	0,6914435	0,0294140	0,9888964	0,9827958	0,5784131	0,3793422	1,0763852	0,9024746	0,3176993	0,4320414	0,0889888	0,6721894	1,2221023	0,4686991	0,9656199	0,2551105	1,1709808	0,5856514	1,1500445	0,0803208	0,4377165	0,4100886	1,2670338	0,0860791	0,9220409	1,0038910	0,8727446	0,9906448	0,1613681	1,1369699	0,5644940	1,3725714	0,1305447	0,9781774	0,1391314	0,7780270	0,1737799	0,8432159	0,1374100	0,0996248	0,9892333	0,5060452	0,4732334	0,0540674	0,5749431	0,2211849	0,7897320	0,2832763	0,6850900	0,8395452	0,6921752	0,9664839	0,8772361	1,2194207	0,1408977	0,6709581	0,1373913	0,7892113	0,2429991
0,9122201	1,3156351	0,7716030	0,0232411	0,7445339	0,3165278	0,0000000	1,3474525	0,9061910	0,7692763	0,5341732	0,2015535	1,0700606	0,4946952	0,9363558	0,8207111	0,0932602	0,0884012	0,3209122	0,2469079	0,5277264	0,5049076	0,9037770	0,3880784	0,5431990	0,3864000	0,3887088	1,3118956	0,7276416	0,6777043	1,1574165	0,1017873	0,5222266	1,1044063	0,0078640	0,7713977	0,2293004	0,7695448	0,9655017	0,3385485	0,0341869	0,7954018	0,0685073	0,7254365	0,0872893	0,4629037	0,5015468	1,0635327	0,9195677	0,6686572	0,3460059	0,0880168	1,2451634	0,9043612	0,5739341	1,4597062	0,1714724	1,3791018	0,0529568	0,8469134	0,0609336	0,2264059	0,6541652	0,7711416	0,0207468	0,7672646	0,9199992	1,2603913	1,1426755	0,2775585	1,0134447	0,7381023	1,1130463	0,1346762	0,5307292	0,0688266	0,0757916	0,1277697	0,6695623	0,1702058	0,0136499	1,0408630	0,5797957	0,6337090	0,0542679	0,4385778	0,1508615	0,8284378	0,0766734	0,7759226	0,7850690	0,9774049	1,1320009	0,0143162	0,9702454	0,0820666	1,0091182	0,0734756	0,9982117	0,0346384
1,4017537	1,1536848	0,5574393	0,0816477	1,0320397	0,1816779	0,8980784	0,0000000	0,9693950	0,8931481	0,7981204	0,3267585	1,3911278	0,9307218	0,9196326	0,9628583	1,0425797	0,0372401	0,5258066	0,3099200	0,3605982	0,7409741	1,1303272	0,8242511	0,2193176	0,6525606	0,6736425	1,0067504	0,6576064	0,1246194	0,8111752	0,0291904	0,4188186	0,7212811	0,0225234	0,7170000	0,5040263	0,9526605	1,1365067	0,3065467	0,0537713	0,7193493	0,0535558	1,0735563	0,6418969	0,3210921	0,2938380	0,6599685	1,0827936	0,7048490	0,2968691	0,1918601	0,4077864	1,4959838	0,4289673	0,9703875	0,0331628	1,4280292	0,4602201	1,3079491	0,1263436	0,1917895	0,6790967	1,0063868	0,0292658	1,0924092	0,9138424	0,9756779	0,9672825	0,4137874	0,9177768	0,5057220	0,8911783	0,1096694	0,9717853	0,0103805	0,5998914	0,2228236	0,5050456	0,0823208	0,0462016	1,0181052	0,9514131	0,5836264	0,0942213	0,3301641	0,1430384	0,9953774	0,2548156	0,8100527	1,0835807	0,5765439	1,2258850	0,7052730	0,5553408	0,0311217	0,5094252	0,1388742	0,8824438	0,1355695
1,1755218	0,7680993	0,8177384	0,0569158	1,0954641	0,0951814	1,3072157	0,4599409	0,0000000	0,8321229	0,0055026	0,1206710	0,8945098	0,9860558	1,0578176	0,9370592	0,9007189	0,0810884	0,3882688	0,1521691	0,3867490	0,4283018	1,2271499	0,7762582	0,5361187	0,3733769	0,7461050	1,0156352	0,5386216	0,3162701	0,6800761	0,1854335	0,6088884	1,1384230	0,0136935	0,4100390	0,6695176	0,6711099	0,9136457	0,3778721	0,0121119	0,2931673	0,0507551	1,2947704	0,4696435	0,3674245	0,2464461	0,8871190	1,0080408	0,3808008	0,2397416	0,0548588	0,5967586	0,9634898	0,4238299	0,9565475	0,0562889	0,9698425	0,9512626	0,9329703	0,1123582	0,2589273	0,5745912	1,0352931	0,0908331	1,1292569	0,8358725	0,7357617	0,9558707	0,3953941	1,2963923	0,5180696	0,0516817	0,2870687	0,8401568	0,0438091	0,4127713	0,1586292	1,0070068	0,1797538	0,1201825	1,1202333	0,7498134	0,9760741	0,0455957	0,7054444	0,1023042	0,9709251	0,1741294	0,5604961	0,9335487	0,8004051	1,3256308	0,9791128	0,7996897	0,0811037	0,5763108	0,1063121	0,8012236	0,1558593
1,0186336	1,2786945	0,4691647	0,1293363	1,0960275	0,2933514	0,9897661	0,4252576	0,5933262	0,0000000	0,4240049	0,4445223	0,8170218	0,6830103	0,8048117	1,0177202	0,9018975	0,0937633	0,4451877	0,3017247	0,4520937	0,5975052	0,1375497	0,7025221	0,3865959	0,5326097	0,8458480	0,0238380	0,6581909	0,0254225	0,6578306	0,1606555	0,5468790	0,7356284	0,0247966	0,5463426	0,3454307	1,0507399	1,1965080	0,3226693	0,0091253	0,5320764	0,0593747	0,8753663	0,5808849	0,3893118	0,3536259	0,9835717	1,2026313	0,4695861	0,5871991	0,0972007	0,4581732	1,0033334	0,5665917	0,7600110	0,1068232	1,0175055	0,8883390	0,9597259	0,0855965	0,4266468	0,6954736	1,0428989	0,0755820	1,1453296	0,7518375	0,9052592	0,9324528	0,3811459	1,0382114	0,5014411	0,8767977	0,0788256	0,8236189	0,0622096	0,7268686	0,1448912	0,5560756	0,1411692	0,0324736	0,9447886	0,5547063	0,5594562	0,0732041	0,4776172	0,1797897	0,7134863	0,1406929	0,5716938	0,9502342	0,5492354	1,1296186	1,0885936	0,6956703	0,1013539	0,8538240	0,0665995	0,7622765	0,2109649
