G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0,0849931	0,4950155	0,1423689	0,2919484	0,5910823	0,6343107	0,1481689	0,0912001	0,3636392	0,2553432	0,5310029	0,1753429	0,0988008	0,2680083	0,4934680	0,0998450	0,1628833	0,1478934	0,2168799	0,1997105	0,2957570	0,5537128	0,6626432	0,2963580	0,0853264	0,1231965	0,0824939	0,4681680	0,5190766	0,0408850	0,4493270	0,3543361	0,1946940	0,3451273	0,4462115	0,0336115	0,7401945	0,4846366	0,0017083	0,1111215	0,1123899	0,0418356	0,4287712	0,5391455	0,2195486	0,0615432	0,1000682	0,2964587	0,6550857	0,0485835	0,0895618	0,2951385	0,3320879	0,5893580	0,2284234	0,5007630	0,0252502	0,3141924	0,5571314	0,4353846	0,5290373	0,4815500	0,0672864	0,0577606	0,2350830	0,1259643	0,5792667	0,5098891	0,2281137	0,2512772	0,2327860	0,3144509	0,4607136	0,0240484	0,1125997	0,0800117	0,1199759	0,1693263	0,3898708	0,2087746	0,4678705	0,1064702	0,5056323	0,1326807	0,0997770	0,0708111	0,6049116	0,3137979	0,2270066	0,3133993	0,6484824	0,4378083	0,2738354	0,2208515	0,4876062	0,3601840	0,3902712	0,4756722	0,4304331	0,5353560
0,2827972	0,3156002	0,1027087	0,3293644	0,5011341	0,6183216	0,0915529	0,0223434	0,3379435	0,5612226	0,5937665	0,0728493	0,0108185	0,2691177	0,4330498	0,1775035	0,4074402	0,6133048	0,1715279	0,1433042	0,2075755	0,6204846	0,3304968	0,3979122	0,0862187	0,0829284	0,1391140	0,3345590	0,4678996	0,0115690	0,6848785	0,3057092	0,3182395	0,2911353	0,6710100	0,0529080	0,2706352	0,5218061	0,0547630	0,0811539	0,1661256	0,0435696	0,2630083	0,3086568	0,5293184	0,0058562	0,3062272	0,2338686	0,4319328	0,3694760	0,0448311	0,2281513	0,0328322	0,3397569	0,2596811	0,2515240	0,0096299	0,4027500	0,5976699	0,3560148	0,2772942	0,6258483	0,0855247	0,0462538	0,2396885	0,1485976	0,5758254	0,7164837	0,5765658	0,3350037	0,3887651	0,6373440	0,1872402	0,0511501	0,3794174	0,1181736	0,1727054	0,1250406	0,5850915	0,3142452	0,3166007	0,0979222	0,8629836	0,1816814	0,1298846	0,0189651	0,6267307	0,4004247	0,1823855	0,5869408	0,5138454	0,4753785	0,4371780	0,1568499	0,4008465	0,0871889	0,5594485	0,5747620	0,4800982	0,6603433
0,4244952	0,7899601	0,0348019	0,0523629	0,1717884	0,6909456	0,0060253	0,0402106	0,0912623	0,5899996	0,3405582	0,0989737	0,0333857	0,4566419	0,4001846	0,1953235	0,1204921	0,1923173	0,1788160	0,1342200	0,4432765	0,6338150	0,5354358	0,3415063	0,1164560	0,0270789	0,0405874	0,5899756	0,4265831	0,0426845	0,7260655	0,2203908	0,2074637	0,2318263	0,5260339	0,1020428	0,0919893	0,7216979	0,0121538	0,1177469	0,1338508	0,0298161	0,6100601	0,4867396	0,5395016	0,0135789	0,1223104	0,1661530	0,5168043	0,0560429	0,0451498	0,3472356	0,4284857	0,5656128	0,4087217	0,2026469	0,0725374	0,0426191	0,5131254	0,0418830	0,4521771	0,3103568	0,0295973	0,0177448	0,1671278	0,0705252	0,4056299	0,4487994	0,4282411	0,5716961	0,3308330	0,4310817	0,5480286	0,0632916	0,0080644	0,1904579	0,2037672	0,2524089	0,2564874	0,2167846	0,2343165	0,0198521	0,8498116	0,2580910	0,0536765	0,0247572	0,6678190	0,5611828	0,3117622	0,3975741	0,5740402	0,4138241	0,3656254	0,1752987	0,5232016	0,3114410	0,5789527	0,7708141	0,5049676	0,3989607
0,3863887	0,3236452	0,0335605	0,0669496	0,3394017	0,7554292	0,2100728	0,2019286	0,2671317	0,3388899	0,4427465	0,1147004	0,0112050	0,4134065	0,3978450	0,3684067	0,1945748	0,3952262	0,3742668	0,1122690	0,3251588	0,4225411	0,2249065	0,5433676	0,1417356	0,0157283	0,2977747	0,3630288	0,7256602	0,0176634	0,4012722	0,2536507	0,1882594	0,2002033	0,4494325	0,0245142	0,4113140	0,2685628	0,0149764	0,0977072	0,1335653	0,0813199	0,5801333	0,5030952	0,4059292	0,0999683	0,1305809	0,2450086	0,2833900	0,1381162	0,1010916	0,3016905	0,2187164	0,4933152	0,3404395	0,3836926	0,0091101	0,1702800	0,7083334	0,3976148	0,3222291	0,5011321	0,0559386	0,0843433	0,1766474	0,0440201	0,7649019	0,2203840	0,3352676	0,4879700	0,1425959	0,9528106	0,2718409	0,2991893	0,0531553	0,0072146	0,0677021	0,2584858	0,4606499	0,3979889	0,5018325	0,0312316	0,5539976	0,1844635	0,0725217	0,1351182	0,3834353	0,4089453	0,3081277	0,5603705	0,4971066	0,2615571	0,2461088	0,3926914	0,3067648	0,1226399	0,6466580	0,8243713	0,4615489	0,5146420
0,4890869	0,5080776	0,1673432	0,2016379	0,3773994	0,6394613	0,1857258	0,1067850	0,4594585	0,3218359	0,4682549	0,2158566	0,0603662	0,2049616	0,3831994	0,1779124	0,3884856	0,3774995	0,2996646	0,2455678	0,3443704	0,2465324	0,4856347	0,4850463	0,0984323	0,0404475	0,1855409	0,4947321	0,3491358	0,0104645	0,6012494	0,4606292	0,2398975	0,6198411	0,7846881	0,1399250	0,5339433	0,4194836	0,0020085	0,1808030	0,1243675	0,0174212	0,5878106	0,2185075	0,4702177	0,1630913	0,0561811	0,3354736	0,6223798	0,2681852	0,0330476	0,3972728	0,3247160	0,2759199	0,2416489	0,4557950	0,0115240	0,2346971	0,3753915	0,2396523	0,4487207	0,7035048	0,0890950	0,0991524	0,3271822	0,1166025	0,6149859	0,4799264	0,4877557	0,2182932	0,2243650	0,4567588	0,0756400	0,3560148	0,0890426	0,1011316	0,0562002	0,1839755	0,5439153	0,1569956	0,2954634	0,0152634	0,3783926	0,2882919	0,4779684	0,2752788	0,5361647	0,2238653	0,2729468	0,3459344	0,4671103	0,3939270	0,3590227	0,2145377	0,3230320	0,3198800	0,4719344	0,6850683	0,4964307	0,9005899
0,6269735	0,6575745	0,2053099	0,2164709	0,5004903	0,2588076	0,0653033	0,1143486	0,1925236	0,3236694	0,3043152	0,0832311	0,0140725	0,2614597	0,4122374	0,1937903	0,1930713	0,2299598	0,2317316	0,2494370	0,1743957	0,9599047	0,5836923	0,2063362	0,0470439	0,0279356	0,2257362	0,4653857	0,3170503	0,0440162	0,6656782	0,2073793	0,3489371	0,2825975	0,5811661	0,0226441	0,7129953	0,4459671	0,0038562	0,1307168	0,0628890	0,0472891	0,4434361	0,4680151	0,3867571	0,0731907	0,0951464	0,0361462	0,4344713	0,1106843	0,2378370	0,3701102	0,2936307	0,6992739	0,2044229	0,4429373	0,0742116	0,1815527	0,5308303	0,2902282	0,2051898	0,1512121	0,1948206	0,0466264	0,2009388	0,0470579	0,3762011	0,5237414	0,3345615	0,2615342	0,1406262	0,5072883	0,3942909	0,0692772	0,0966400	0,0506127	0,2568938	0,3368728	0,3475165	0,3969320	0,3971605	0,0810916	0,4462929	0,3449314	0,0821824	0,1750456	0,3210907	0,1653290	0,3936402	0,1568744	0,4848847	0,4568841	0,4691635	0,3665912	0,7195079	0,2165695	0,7162933	0,7414028	0,4321026	0,4593561
0,3735736	0,4408406	0,2154050	0,2321469	0,1022724	0,9011455	0,0119385	0,1546878	0,1751973	0,2274705	0,2173028	0,2205892	0,0032063	0,1380124	0,3726100	0,2900868	0,2273176	0,1296622	0,2283533	0,2622902	0,2177644	0,9357571	0,4282070	0,1859273	0,0467021	0,0401893	0,1551364	0,5147641	0,6042113	0,0683842	0,4944001	0,2655274	0,3104409	0,1916139	0,7087507	0,0892366	0,1844070	0,4423033	0,0309729	0,1282902	0,0943156	0,0035991	0,4802283	0,3074285	0,7618860	0,0657888	0,0618153	0,2305536	0,4159134	0,1958271	0,1030801	0,6190960	0,4767831	0,4516551	0,4648584	0,2517831	0,0284760	0,0458541	0,6621578	0,0147841	0,4168778	0,3887756	0,0778815	0,1352919	0,2541889	0,0404692	0,4542684	0,6432537	0,4908020	0,4672261	0,3314911	0,5147721	0,5716317	0,0396392	0,0978956	0,1440858	0,3735504	0,1791660	0,6071844	0,1322730	0,2151538	0,0670966	0,5728762	0,2337379	0,0805276	0,3427952	0,6397713	0,4922838	0,4277341	0,5645146	0,9160442	0,5573364	0,4384900	0,1189935	0,4838096	0,1929288	0,5180098	0,5348964	0,6023709	0,4852472
0,2828767	0,3665374	0,1386542	0,2403642	0,1141315	0,6992030	0,0035986	0,0538427	0,1556815	0,3861194	0,1572116	0,1625577	0,0122193	0,3383742	0,4570395	0,2655307	0,2020338	0,1951821	0,2118074	0,1859885	0,2435840	0,7041104	0,5246971	0,3371311	0,1358826	0,0087147	0,0675756	0,4382246	0,6868056	0,1290533	0,3940290	0,3781436	0,3308899	0,2560489	0,4648546	0,0633831	0,0485466	0,7531313	0,0271280	0,1466987	0,0674076	0,0137953	0,6772965	0,1943565	0,5125179	0,0293773	0,1544264	0,1082029	0,3189091	0,1018037	0,0526457	0,3361758	0,1491362	0,5556111	0,4974090	0,1030183	0,0605415	0,0300191	0,5925754	0,0118691	0,3305876	0,2000812	0,0299225	0,1533860	0,2669608	0,1126629	0,4624531	0,5987729	0,2878579	0,2425704	0,2348813	0,3629416	0,6243769	0,0164462	0,2311302	0,1147695	0,1506445	0,1372287	0,2981310	0,2363996	0,3804628	0,0233309	0,5993364	0,3696536	0,0751296	0,1471001	0,1761455	0,5099123	0,4847680	0,4169944	0,4026297	0,2083327	0,3359871	0,2573118	0,3437401	0,3170349	0,6834820	0,4375368	0,2724420	0,5564718
0,3576065	0,4844173	0,1179659	0,1656769	0,1823434	0,4125470	0,0052636	0,0940911	0,0553687	0,5106167	0,2421499	0,1855197	0,0657287	0,0663534	0,3825998	0,1099623	0,4046914	0,3237980	0,4727116	0,2142350	0,5173875	0,5925112	0,6210091	0,3059971	0,1537239	0,0536471	0,0546253	1,0736163	0,3825709	0,0388190	0,7861728	0,2585708	0,3527127	0,2336185	0,5438923	0,1370688	0,1616487	0,5563289	0,0702225	0,0497100	0,2341500	0,0075298	0,3254627	0,2928905	0,7727049	0,0900458	0,0415028	0,0952215	0,6493500	0,2324681	0,1693976	0,3263037	0,3750913	0,5698615	0,2926034	0,2985118	0,0029346	0,0210282	0,5395822	0,0617470	0,3844410	0,3672288	0,1047096	0,0248899	0,2148322	0,0304364	0,4468981	0,5718651	0,3290548	0,3436730	0,0853710	0,4710981	0,5856664	0,1226989	0,4077899	0,0818999	0,2134407	0,1547722	0,5374346	0,2248365	0,2901038	0,0386657	0,6346673	0,3504377	0,0121653	0,0425637	0,5065132	0,3436500	0,4398587	0,4735579	0,5001640	0,2740419	0,5249296	0,5254353	0,2780998	0,3380288	0,5444354	0,3840792	0,5139604	0,4420386
0,2590659	0,5093982	0,2307959	0,1979677	0,3221125	0,5030518	0,0328824	0,0285091	0,2203224	0,1251089	0,4390120	0,2242314	0,0153029	0,1381074	0,4808370	0,2728986	0,0382572	0,3242541	0,3434024	0,1753556	0,2918122	0,5926434	0,4349139	0,2030696	0,1569861	0,0804571	0,1891714	0,5926421	0,2673109	0,0458434	0,2756008	0,2452355	0,2193704	0,2242112	0,3725453	0,0463252	0,3225518	0,6323299	0,0241975	0,1778842	0,0975470	0,0631074	0,3360533	0,1465835	0,6788545	0,0791546	0,0932160	0,4441891	0,5290631	0,0521502	0,1335885	0,5637001	0,4488661	0,4878246	0,1788166	0,5111437	0,0464342	0,1916105	0,4906311	0,3316517	0,5872063	0,6192646	0,1283566	0,0795067	0,1587635	0,1309522	0,4568063	0,6483206	0,2855717	0,4857588	0,1250992	0,2614429	0,2844143	0,0039823	0,0683971	0,0664686	0,2520140	0,2672035	0,5667596	0,3993660	0,6827033	0,0168560	0,4486752	0,4114628	0,0208537	0,1921031	0,4639250	0,3286086	0,3368420	0,2797473	0,4697035	0,4648309	0,3794173	0,2433192	0,5570743	0,0537576	0,4320987	0,8192707	0,5663422	0,5144827
