G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0,0000000	0,6419072	0,1107931	0,8133804	0,0520521	0,4760764	0,6306798	0,0193586	0,5465025	0,0814534	0,1615167	0,6034960	0,0417938	0,2785400	0,6030910	0,4465616	0,5113918	0,3433230	0,6509365	0,0696825	0,2017388	0,1074452	0,5422072	0,4277355	0,1991019	0,3175095	0,4109077	0,1022010	0,9339951	0,0960419	0,5465430	0,3785981	0,0147064	0,4456376	0,2219353	0,3517173	0,3745217	0,1752548	0,1319942	0,2511903	0,0761335	0,0894951	0,5232733	0,0910087	0,0479836	0,0230631	0,0749249	0,4591571	0,0103217	0,5771914	0,0480142	0,1008815	0,4569725	0,0853633	0,5704693	0,4284418	0,5418232	0,4897008	0,0089359	0,0329835	0,0392803	0,0151665	0,1034731	0,5404226	0,5045140	0,5042190	0,4133754	0,3346983	0,0392610	0,5152190	0,0474251	0,5492275	0,3806633	0,6467407	0,5125731	0,0246339	0,3700877	0,4397522	0,8240852	0,3868683	0,0009749	0,0142328	0,0517234	0,0653192	0,4004561	0,4806142	0,0173560	0,0733536	0,0111309	0,4496841	0,0099861	0,0025051	0,3943066	0,7216760	0,8249647	0,3562488	0,3097590	0,1037345	0,6398154	0,4198749
0,0201819	0,0000000	0,1988217	0,5972024	0,0683200	0,2770532	0,5123893	0,4769838	0,4648688	0,0916436	0,2201668	0,4771066	0,0207732	0,2579152	0,4507738	0,6793109	0,5260340	0,3219757	0,5214478	0,2351329	0,0572501	0,1267251	0,3047196	0,5576142	0,1309051	0,3241297	0,5582656	0,1963344	0,5553754	0,0811819	0,5516588	0,3317685	0,2969197	0,6295596	0,2482261	0,2891264	0,5172735	0,3963296	0,2479705	0,2092312	0,1388073	0,3570981	0,4590495	0,1502387	0,1001171	0,4432663	0,0284474	0,5560867	0,0390572	0,6348149	0,4374962	0,1301812	0,5466850	0,0951401	0,3891013	0,3428769	0,6317477	0,4776105	0,0557119	0,0605009	0,0721743	0,0480917	0,0440404	0,4320687	0,5875873	0,5684386	0,2605564	0,5339554	0,2279360	0,2756742	0,4759603	0,5512508	0,1439388	0,6285115	0,4816633	0,0785952	0,5828689	0,7365564	0,4852401	0,5393199	0,0150180	0,1993451	0,0034650	0,0261039	0,4544229	0,6569208	0,0950838	0,0618724	0,0314713	0,4164211	0,2854802	0,0026295	0,5356525	0,6113987	0,4495342	0,4871041	0,4593276	0,0613726	0,4205214	0,5693270
0,0632753	0,3575799	0,0000000	0,4412880	0,0433656	0,2623774	0,5108291	0,2636254	0,4326177	0,1268979	0,2220914	0,5263519	0,0078354	0,2691839	0,3702493	0,4740150	0,6864300	0,1655330	0,4764483	0,1627573	0,1868442	0,0925903	0,5073446	0,5806943	0,2812101	0,3162078	0,2856361	0,0500026	0,5755582	0,0556314	0,3210182	0,5259790	0,2109189	0,4429080	0,5992829	0,3175520	0,5238172	0,2493043	0,1230049	0,1341431	0,2246455	0,3791440	0,3907751	0,2792425	0,0263518	0,1271681	0,0961788	0,5065098	0,0084212	0,7726054	0,1741501	0,0452495	0,5337217	0,0901778	0,6929493	0,4822543	0,5822089	0,6432732	0,0130543	0,0548060	0,0381975	0,0397790	0,0356967	0,7683564	0,6246327	0,2492193	0,4242258	0,3727443	0,2992730	0,5734100	0,2057153	0,6639428	0,1363533	0,6410336	0,4482664	0,0461525	0,6088419	0,6724622	0,4893979	0,4965101	0,0024067	0,0746419	0,0769760	0,0426359	0,3757360	0,2983419	0,0389125	0,0116133	0,1204096	0,5658886	0,0475719	0,0054371	0,5305106	0,5897421	0,5115299	0,3782596	0,3838730	0,1076522	0,5115640	0,6229445
0,6424351	0,0377543	0,5752022	0,0000000	0,4095257	0,4304050	0,4674719	0,6815392	0,3480596	0,2486236	0,7205543	0,2538646	0,0097746	0,3616670	0,1979331	0,1676698	0,1058192	0,3158637	0,2657045	0,1962749	0,6531555	0,2890255	0,4458322	0,3853325	0,2010460	0,0275463	0,4087968	0,5438574	0,7486953	0,4905229	0,7952461	0,0016157	0,6436752	0,0310159	0,0225860	0,6599536	0,0119137	0,2986486	0,3804804	0,2857538	0,2929727	0,7950673	0,1719429	0,1553979	0,2248532	0,4122885	0,5724532	0,2417567	0,3642127	0,6335624	0,8025741	0,1787017	0,2108216	0,5542591	0,0880416	0,1029184	0,1387475	0,1361793	0,4646550	0,3758243	0,7537919	0,3469752	0,5625250	0,5652944	0,3436519	0,1980689	0,0422048	0,3383496	0,3774536	0,1176771	0,3207114	0,1710674	0,0254903	0,1195096	0,4393599	0,3473171	0,3634433	0,3123075	0,5700350	0,5822647	0,3570398	0,3458658	0,5359450	0,2166098	0,0648267	0,2318766	0,5278767	0,2669894	0,4416851	0,4520889	0,6231285	0,3761373	0,2610738	0,1915417	0,4198877	0,3054919	0,0633220	0,3322690	0,3011644	0,0244477
0,0113573	0,2730752	0,1118897	0,6541349	0,0000000	0,3729892	0,6560246	0,4754153	0,3110641	0,0588544	0,3064427	0,4551164	0,0936663	0,3442396	0,4864517	0,5032322	0,4927497	0,1894148	0,5551088	0,0775855	0,1762072	0,1057554	0,3527612	0,5298923	0,2758212	0,3596184	0,4919741	0,1112704	0,4862316	0,0255770	0,4149570	0,4589949	0,1061924	0,5937234	0,3994869	0,2326653	0,4309592	0,3964103	0,0686474	0,1538105	0,0691833	0,7020339	0,3931605	0,1479655	0,0823083	0,3038438	0,0674915	0,4731337	0,0177144	0,4606312	0,3932798	0,1439370	0,4682491	0,0790904	0,7067997	0,3850798	0,5862434	0,2088365	0,0128246	0,0847793	0,0632443	0,0080295	0,0609920	0,5761920	0,4624963	0,5157358	0,3484080	0,2372206	0,2928793	0,4706049	0,3025449	0,6202597	0,1168463	0,6618224	0,5341797	0,0976972	0,3214982	0,4728091	0,5051100	0,2591978	0,0056810	0,2481848	0,0043075	0,0318679	0,4096612	0,9154354	0,0903545	0,1418970	0,0412962	0,5549710	0,0752503	0,0337558	0,5590595	0,5188448	0,4697282	0,5383811	0,4514347	0,1151194	0,5966840	0,6990434
0,0461444	0,3138483	0,0986923	0,5850195	0,0375980	0,0000000	0,5269671	0,5093144	0,2980909	0,0818356	0,5725702	0,4340219	0,0698089	0,2235271	0,5811023	0,5889048	0,5889894	0,2593122	0,5857047	0,0863869	0,0299514	0,1105922	0,3928136	0,4082981	0,2840365	0,3822283	0,1726160	0,1344622	0,4115401	0,0615709	0,5922421	0,3069477	0,0753897	0,5200699	0,4641761	0,3650954	0,6385107	0,5147878	0,2690652	0,0923348	0,1820100	0,3424038	0,2610837	0,2730908	0,1449265	0,3250652	0,0247588	0,4707648	0,0075462	0,4578275	0,4141547	0,1021236	0,5894457	0,1297779	0,5865739	0,3502886	0,4937605	0,5708200	0,0056759	0,1481895	0,0196717	0,0268207	0,0716572	0,4106663	0,4719240	0,5054204	0,3398167	0,4117163	0,2561602	0,4379680	0,3097893	0,3493112	0,1917489	0,5823350	0,4068647	0,0788627	0,6095408	0,5792655	0,5993444	0,4405560	0,0202273	0,1338193	0,0057731	0,0409385	0,2744124	0,2658210	0,1995710	0,0227289	0,0717438	0,6172892	0,1394273	0,0153681	0,7267738	0,5785875	0,5033272	0,4893361	0,6883602	0,1032457	0,4145754	0,6196135
0,0543931	0,3208498	0,0954788	0,4670387	0,0134829	0,4989270	0,0000000	0,4126270	0,3564372	0,1125496	0,2428596	0,6800218	0,0217876	0,6105239	0,6578499	0,6601506	0,3766818	0,3527456	0,5344188	0,0854943	0,2446464	0,0491592	0,3751920	0,5032347	0,2316473	0,2697529	0,5444391	0,1110670	0,4399206	0,0631845	0,4666309	0,3718820	0,1593193	0,5447991	0,3167088	0,4862123	0,6899033	0,2748428	0,1464159	0,3447493	0,1487733	0,5324710	0,5064125	0,1011713	0,0073546	0,1725283	0,0347751	0,4868695	0,0017785	0,6783612	0,2146867	0,1956841	0,5541558	0,0684839	0,4706232	0,5665382	0,5817154	0,5082438	0,0045326	0,0490726	0,0161989	0,0198761	0,0261710	0,4087242	0,4078600	0,4434926	0,2548077	0,2830701	0,4013468	0,4553136	0,5087208	0,3975728	0,2247957	0,5180564	0,6500353	0,1368302	0,6555166	0,3868078	0,4046140	0,4927085	0,0188737	0,1097351	0,0111695	0,0345987	0,5144014	0,6018485	0,0906578	0,0605301	0,0210638	0,4782778	0,0085516	0,0117849	0,5809004	0,4870242	0,8480620	0,5846174	0,5479172	0,0597686	0,6072600	0,4227528
0,0377775	0,3314898	0,3506123	0,5817623	0,0793236	0,3536483	0,6688380	0,0000000	0,6025467	0,0335242	0,3779452	0,3057795	0,0417813	0,3063857	0,7328153	0,3082714	0,3912132	0,3124585	0,2997190	0,1627004	0,1419353	0,2288043	0,6206536	0,5197077	0,2602188	0,2442699	0,3789289	0,1981244	0,4846005	0,0766775	0,6236919	0,3370530	0,1529767	0,5498332	0,3811807	0,5055643	0,6030207	0,2154884	0,2286280	0,1766754	0,1104975	0,0223981	0,7103408	0,0990937	0,0255358	0,2200367	0,0581999	0,6234269	0,0026972	0,5702022	0,2623704	0,3185886	0,6853657	0,0910852	0,6564861	0,4805905	0,4643673	0,5692606	0,0029699	0,0302875	0,0682343	0,0172626	0,0847798	0,6101253	0,4148610	0,6111301	0,2121392	0,2553270	0,0257188	0,5823773	0,3118875	0,5510999	0,2613619	0,4380486	0,6866082	0,0484062	0,4837118	0,5182179	0,4618530	0,4513745	0,0374824	0,0836672	0,0625250	0,0593802	0,3951866	0,1817607	0,0413252	0,0108627	0,0231505	0,4949221	0,0551242	0,0101462	0,3516737	0,6060575	0,6398246	0,5208150	0,5866150	0,0623814	0,6750503	0,6000179
0,0714210	0,0405417	0,1573970	0,4133993	0,0554436	0,4039451	0,4451046	0,5136036	0,0000000	0,4981501	0,2044132	0,5566417	0,0376411	0,3483199	0,4781642	0,6469099	0,3927154	0,2867182	0,6224624	0,0896647	0,0486062	0,1277156	0,4405129	0,5173241	0,2562850	0,3513269	0,2628008	0,1076535	0,3730240	0,0514183	0,5166293	0,3932830	0,2587794	0,6592239	0,4014187	0,3153146	0,6009670	0,4847759	0,1798462	0,2601343	0,4455663	0,5591656	0,4847321	0,5410523	0,0678716	0,4830375	0,0347762	0,5463823	0,0009088	0,1960527	0,3435545	0,0582535	0,4526181	0,0925087	0,5288833	0,1865915	0,3653172	0,0249412	0,0121880	0,0586841	0,0325557	0,0411825	0,0111293	0,0075385	0,6217895	0,3373333	0,2072722	0,1024874	0,2455343	0,5034444	0,3494143	0,3370871	0,1849594	0,7300737	0,7706798	0,0620005	0,2377423	0,2154175	0,1046766	0,0114794	0,0103617	0,1637931	0,0259948	0,0439588	0,3715746	0,4052287	0,1223518	0,3333418	0,0485187	0,6610028	0,2268055	0,0099568	0,6513034	0,4020179	0,3562131	0,4344390	0,6343364	0,0479475	0,4706876	0,3415764
0,0363770	0,3801668	0,1208149	0,7612795	0,0599419	0,4539490	0,3547106	0,4564858	0,5792550	0,0000000	0,3103236	0,4966617	0,0379325	0,1996512	0,4138689	0,5977911	0,3615031	0,2956644	0,4642213	0,0829502	0,1380814	0,1177029	0,3931435	0,5374026	0,1638517	0,3224636	0,6693644	0,1325764	0,4846469	0,0467205	0,6879466	0,5750232	0,1210865	0,4529346	0,4658624	0,4815250	0,4625709	0,2476220	0,1938511	0,2503207	0,0647787	0,5239278	0,4659487	0,2005295	0,0397247	0,2052441	0,0332607	0,5234587	0,0056538	0,4262545	0,2709061	0,0772629	0,5771458	0,0868567	0,4153480	0,2974606	0,4100789	0,5928636	0,0043424	0,0375126	0,0284565	0,0686455	0,0486391	0,5427365	0,6340310	0,5826084	0,1591699	0,3592925	0,2274413	0,5369646	0,2980972	0,7996678	0,2391356	0,5905174	0,4940471	0,0835047	0,6349682	0,6534326	0,6909368	0,5772198	0,0188935	0,1009672	0,0321807	0,0232639	0,4125999	0,4294011	0,0370824	0,0244163	0,0673769	0,4861507	0,1402509	0,0111157	0,4662056	0,5851693	0,5959011	0,5182819	0,6720165	0,0264564	0,7609406	0,2553667
