G2	G1	+
G6	G1	-
G2	G3	+
G7	G3	-
G4	G3	-
G6	G3	-
G2	G4	-
G9	G5	+
G4	G5	+
G2	G5	-
G6	G5	-
G7	G5	+
G6	G7	+
G8	G7	+
G2	G8	-
G6	G8	-
G7	G9	+
G6	G10	+
G9	G10	-
G8	G11	+
G4	G11	+
G6	G11	-
G2	G11	-
G7	G11	+
G2	G12	+
G7	G12	+
G8	G12	-
G6	G12	-
G4	G12	-
G8	G13	+
G6	G13	-
G7	G13	+
G4	G13	+
G2	G13	-
G2	G14	+
G6	G14	+
G7	G14	+
G8	G14	+
G4	G14	-
G7	G15	+
G9	G15	+
G4	G15	+
G8	G15	-
G2	G15	+
G2	G16	-
G8	G16	-
G7	G16	+
G4	G16	-
G2	G17	-
G8	G17	+
G7	G17	-
G4	G17	+
G4	G18	-
G8	G18	+
G7	G18	+
G2	G18	+
G4	G19	-
G6	G19	+
G2	G19	-
G6	G20	-
G4	G20	-
G7	G20	+
G7	G21	-
G2	G21	-
G8	G21	-
G6	G22	-
G4	G22	-
G7	G22	-
G7	G23	-
G4	G23	+
G6	G23	+
G6	G24	-
G4	G24	-
G7	G24	+
G7	G25	-
G8	G25	+
G6	G25	-
G6	G26	-
G4	G26	-
G7	G26	+
G7	G27	+
G6	G27	+
G4	G27	-
G6	G28	+
G4	G28	-
G8	G28	-
G4	G29	+
G6	G29	+
G2	G29	+
G6	G30	+
G2	G30	-
G4	G30	-
G4	G31	-
G8	G31	-
G6	G31	+
G9	G32	-
G6	G32	+
G4	G32	+
G4	G33	+
G6	G33	+
G2	G33	-
G4	G34	+
G9	G34	-
G7	G34	+
G2	G35	-
G6	G35	-
G4	G35	+
G7	G36	+
G4	G36	+
G9	G36	-
G7	G37	+
G8	G37	+
G2	G37	+
G4	G38	+
G5	G38	+
G7	G38	-
G2	G39	-
G6	G39	-
G2	G40	-
G6	G40	-
G6	G41	-
G2	G41	-
G2	G42	-
G6	G42	-
G2	G43	-
G4	G43	-
G2	G44	-
G4	G44	-
G5	G45	-
G6	G45	+
G6	G46	-
G2	G46	-
G4	G47	+
G2	G47	-
G9	G48	+
G5	G48	+
G9	G49	-
G5	G49	+
G2	G50	-
G6	G50	-
G2	G51	+
G6	G51	-
G6	G52	-
G2	G52	+
G4	G53	-
G7	G53	+
G9	G54	-
G2	G54	+
G5	G55	-
G9	G55	+
G6	G56	-
G7	G56	+
G6	G57	-
G7	G57	-
G7	G58	+
G6	G58	-
G6	G59	-
G7	G59	-
G5	G60	+
G9	G60	+
G2	G61	+
G6	G61	+
G4	G62	-
G9	G62	+
G4	G63	+
G7	G63	+
G9	G64	+
G5	G64	+
G4	G65	+
G6	G65	-
G6	G66	-
G2	G66	-
G8	G67	+
G6	G67	+
G7	G68	-
G4	G68	+
G6	G69	+
G2	G69	-
G7	G70	-
G4	G70	-
G7	G71	-
G4	G71	+
G8	G72	-
G6	G72	+
G7	G73	-
G6	G73	-
G6	G74	+
G8	G74	+
G4	G75	+
G7	G75	-
G7	G76	+
G4	G76	-
G6	G77	-
G8	G77	-
G6	G78	-
G4	G78	-
G6	G79	-
G8	G79	+
G8	G80	-
G6	G80	-
G7	G81	-
G5	G81	+
G4	G82	+
G4	G83	+
G9	G84	-
G7	G85	+
G3	G86	+
G5	G87	+
G8	G88	-
G5	G89	-
G1	G90	-
G6	G91	+
G5	G92	+
G5	G93	-
G6	G94	-
G5	G95	+
G5	G96	-
G6	G97	+
G8	G98	-
G5	G99	+
G9	G100	-
