G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0,2686305	1,4901449	0,4967526	0,3975120	0,2670356	1,2866357	0,0059518	0,2028941	0,3412129	0,4585289	0,7260254	0,0739792	0,0141671	0,2570951	0,8012410	0,2522025	0,1873346	0,5888068	0,7520307	0,5289275	0,9819038	1,0018190	0,7656566	0,5140724	0,2402707	0,0554885	0,2111099	1,1891395	0,6588196	0,1682332	0,6323667	0,4762201	0,8599025	0,2568720	0,7455176	0,2315471	0,6103675	1,4054603	0,1566886	0,0572928	0,3698428	0,0077794	0,8443064	0,8797062	0,8475516	0,2265687	0,0872898	0,4574744	1,1089748	0,2609671	0,2121324	0,7007684	0,5832701	0,8930946	0,4693434	0,3056040	0,0255904	0,0776970	1,3852859	0,6993524	0,6998045	0,8936862	0,0122632	0,2817126	0,3614430	0,0499184	1,0843233	0,9415773	0,9888074	0,6634388	0,5102986	1,3345951	0,8727088	0,0980866	0,1337905	0,0713669	0,5344597	0,6180863	0,6051219	0,4478915	0,7630699	0,0318831	1,3835585	0,3295694	0,0506021	0,4230504	0,9978435	1,0565968	0,4233551	1,3495952	0,7928876	1,1190474	0,6194692	0,4689843	0,9874480	0,4341778	1,4853779	0,8973673	1,1758620	1,0353285
0,8167153	0,5515278	0,0525505	0,9148740	0,7952445	0,9589776	0,0976850	0,1023748	0,4333795	0,8149716	0,7847755	0,0996010	0,1822906	0,2263230	0,8463767	0,4530545	0,5800586	0,3420036	0,2939689	0,2466313	0,7809065	0,8296452	0,9442327	0,4620673	0,3605726	0,1105852	0,0449260	0,9002209	1,2182289	0,0591757	1,0961989	0,9115071	0,7427847	0,4938809	1,3636280	0,1611078	0,0591361	0,8268910	0,0934809	0,2772329	0,2866954	0,0245768	1,1528666	0,4767903	1,2900411	0,2003268	0,5011038	0,5243443	0,7185859	0,2744583	0,2109039	0,5721628	0,0499934	0,8317199	0,2583614	0,6103308	0,0026748	0,1061066	1,0049222	0,2986793	0,5309475	0,5551356	0,4137595	0,0413579	0,6034902	0,3071211	0,5513844	1,4080827	0,5502196	0,7120818	1,1426232	1,1429013	0,8622611	0,0073099	1,0333601	0,2159847	0,4155772	0,1167375	0,7830971	0,8214893	0,7241442	0,9828150	0,9602782	0,5796165	0,0264298	0,0254676	1,3339459	0,7676147	0,6420786	0,9107920	1,0927269	1,0551463	0,5474020	0,4823021	1,5047494	0,4409118	1,1410494	1,2099921	0,9977763	1,1142579
1,0459210	1,3021925	0,1358453	0,5097691	0,7576332	1,2172203	0,0921015	0,1325847	0,4403498	0,4768784	1,0977679	0,4739753	0,0344532	0,2238836	1,5104901	0,2636047	0,4078167	0,3528614	0,3638542	0,0824728	0,8361598	0,7164266	0,5628471	0,7783477	0,2043883	0,2222519	0,0860417	1,2079735	1,1281043	0,1047808	0,9864833	0,2971324	0,6187531	0,3793950	1,2701343	0,0636387	0,6463524	0,7471574	0,0082796	0,1957112	0,2140010	0,1058047	0,8698970	0,5855633	0,8325657	0,3196998	0,2852607	0,4898702	1,1960664	0,2174273	0,3615847	0,6672767	0,4122229	0,4249360	0,4938188	0,4989809	0,0055605	0,4582348	0,9346507	0,5515451	0,7745746	0,9264838	0,1704067	0,2276603	0,5450695	0,4100511	1,6698302	1,2141236	0,3584495	0,8892994	0,5245193	0,7163018	0,8652005	0,0107826	0,5617184	0,1126136	0,4011471	0,2567288	0,5857259	0,6411567	0,8631718	0,1511779	0,9401764	0,1128584	0,0441470	0,0732892	0,2124857	0,9054587	0,4078802	0,8051099	0,8951109	0,9431584	0,5297727	0,5071997	0,5522671	0,4704101	1,1933436	1,4623294	0,9237246	0,8566021
0,6931082	1,3754033	0,3309902	0,2677139	0,8527214	0,7771298	0,3594152	0,1589497	0,6197634	0,3632237	1,2568933	0,0859359	0,0735840	0,3853622	1,0709672	0,0778950	0,6692588	0,5802693	0,5394894	0,6225288	0,9876968	0,9757520	0,6350780	0,3730287	0,1839186	0,2752955	0,2878562	1,4142491	0,7815008	0,0629543	1,3578024	0,4987675	0,4433271	0,1545534	0,8947203	0,1040469	0,6196802	0,7985185	0,0588261	0,3829574	0,2160439	0,0544071	1,1815345	0,7072747	0,7909140	0,1718163	0,0765860	0,4895421	0,8969070	0,4499483	0,1333070	0,3082039	0,5198309	0,5668600	0,8158738	0,7653569	0,0148110	0,2064965	1,3010657	0,7874992	0,5863579	1,2126274	0,1251294	0,4747001	0,4371901	0,2029558	0,9865586	1,0341183	0,6232339	1,1103260	0,6608223	1,1758906	0,7865057	0,2138207	0,1215418	0,1094833	0,8041289	0,7632561	1,1788577	0,6559409	1,0353702	0,0154262	0,8650230	0,2003228	0,3410516	0,3978137	0,6675686	0,6590906	0,4719437	0,4786012	1,0307241	0,5462762	0,5100196	0,5994596	1,1589924	0,2316367	1,3395124	1,2633894	1,4480575	0,2842827
0,6649051	0,7517435	0,2581289	0,3436366	0,3147029	0,9900387	0,1347733	0,2273145	0,1969069	0,9920371	1,1657827	0,1503830	0,0063838	0,6162764	0,7276175	0,3178589	0,3984606	0,3381461	0,2115812	0,1817717	0,7636025	1,1718772	1,1061006	0,5632573	0,1509279	0,0610413	0,0596459	1,4946231	1,2100884	0,0259451	0,6932246	0,9167862	0,7176481	0,7759760	0,8688039	0,1182024	0,3794250	0,8110317	0,1134000	0,3042457	0,1885697	0,0241544	0,8246976	0,7311442	1,2694846	0,1743864	0,2137372	0,1999240	0,8220107	0,6149411	0,0822143	0,5105743	0,3202425	1,3366270	0,5234557	0,5055044	0,2306177	0,1016333	1,1922170	0,1413638	1,0797125	0,6961291	0,3671587	0,0281786	0,6919934	0,0298524	1,1603511	1,1185607	0,6905423	0,4235789	0,6640896	1,1315394	0,4369499	0,0430542	0,3417331	0,0743860	0,8089705	0,7887696	1,2864830	0,6418363	0,5478799	0,2853585	1,1550562	0,3841099	0,0473641	0,1971742	0,2771874	0,9525182	0,7593061	0,7222207	0,7448909	0,0318717	0,4543994	0,2281402	0,2897977	0,8405188	1,2960402	1,0233243	0,0422820	1,1325843
1,1633194	1,3328469	0,5697035	0,2594664	0,8929449	0,1798191	0,0196671	0,1096987	0,1904800	0,0503885	1,0722851	0,2537792	0,0250540	0,1371322	0,5924865	0,0592820	0,0220265	0,3289527	0,1471736	0,2412073	0,4488295	0,9700967	1,0390811	0,3886889	0,3092473	0,1053850	0,1034206	0,7868382	0,6956404	0,1020585	0,4605208	0,6257559	0,4086683	0,2945377	0,7840627	0,2430433	0,3334906	0,9783058	0,1620104	0,3982292	0,6030150	0,1479526	0,6455933	0,3537094	1,2399786	0,4105372	0,4064378	0,5595775	0,8601989	0,2457513	0,4487703	1,1933551	0,0658580	1,1031587	0,1855462	0,7042033	0,0635092	0,1369830	1,0835389	0,7555456	0,9584935	0,4930743	0,1018933	0,3300533	0,8793718	0,2866135	0,6432497	1,3128946	0,1090906	0,6794591	0,7577847	0,7644718	1,0300243	0,0073173	0,3249057	0,0970957	0,7225644	0,1861784	0,6576211	0,7914614	1,1216893	0,5336362	0,9978281	0,5385498	0,0659402	0,5316820	1,1134102	1,0503177	0,3274860	0,4079307	1,3474678	0,8214907	0,3572675	0,7964394	0,9892476	0,1573320	1,0238412	1,2722154	0,9104185	0,4870613
0,6905422	1,1062620	0,5175208	0,0528596	0,3292381	1,0257155	0,1565167	0,2433140	0,6598215	0,3181309	1,2406048	0,4990941	0,0040252	0,4275743	0,8627288	0,2086446	0,4988750	0,7307083	0,5687983	0,5144016	0,4067635	1,0547665	0,6883721	0,3556394	0,3886184	0,2087590	0,1852987	0,8800206	0,2039921	0,3590796	1,2448320	0,3381553	0,2293377	0,2288055	0,7269857	0,0602192	1,0260511	1,1414700	0,0050900	0,4329856	0,4297736	0,0243371	0,4434187	0,7315764	1,5985266	0,0954929	0,0249116	0,4058111	1,0461549	0,0406255	0,3961151	0,8831787	0,9011846	0,7730214	0,8042943	0,4710669	0,0265029	0,4529058	1,4360746	0,6141376	0,7315864	0,8569520	0,0908246	0,4220450	0,2938805	0,2412539	1,2466055	0,9231844	0,3370282	0,5267176	0,4233941	0,6177397	0,9719618	0,3908250	0,0024403	0,0798116	0,8223139	0,4425824	0,8521885	0,4588810	0,6033949	0,1377934	0,7084326	0,1310537	0,0957169	0,2968494	0,6743051	0,2342711	0,6473748	0,3135163	1,7561915	0,6328302	0,8313098	0,6211017	0,6449880	0,3609783	1,6435890	0,6568056	1,1345149	0,3483175
0,7576491	1,0285998	0,0750743	0,5135303	1,5136203	1,1065638	0,1722300	0,1177203	0,6223962	0,0384462	0,8943024	0,0775595	0,1994590	0,6444410	0,8068388	0,1408436	0,4445791	0,5799095	0,1735273	0,3541234	1,0466405	1,0690612	0,7827276	0,9177129	0,1936797	0,0277921	0,1981477	0,7997767	1,4937797	0,0156340	1,2443245	0,4159270	0,3622916	0,4115527	1,0537136	0,0429343	0,5796889	0,8111482	0,0698629	0,3443185	0,1862338	0,0281226	1,1885909	0,5320165	1,2850611	0,2402064	0,2836064	0,5185974	1,1036721	0,3250995	0,4884912	0,6525232	0,0929478	0,6833335	1,1052375	0,5077379	0,0721313	0,3333114	1,5901604	0,8336980	0,5096943	0,9674920	0,3574323	0,1747986	0,6326286	0,0256837	1,3358358	0,6963770	0,6161158	0,4469540	0,5345471	1,0963057	0,7608162	0,0958438	0,5727264	0,1390872	0,3293796	0,2903830	0,6904703	0,1722438	0,6353162	0,6430494	1,0828285	0,2600346	0,0219882	0,1669368	1,3306458	0,6927734	0,7074024	1,2507284	0,8003824	1,0257508	0,9496196	0,4362993	1,0788918	0,2191306	0,8263100	0,7023840	1,2989856	0,9092589
0,8720768	0,9455715	0,4909430	0,5584994	1,0759047	0,6691560	0,1148605	0,1342442	0,4102736	0,3907862	0,7324673	0,2338630	0,1531748	0,2210774	1,0459051	0,2190767	0,5149478	0,7199010	0,3467430	0,4040956	0,4641810	1,0402191	0,6533665	0,5920512	0,2036628	0,4272942	0,1194105	0,8701054	0,2485052	0,0278340	0,4113568	0,4998682	0,3239346	0,5262124	0,9811141	0,2868782	1,0858644	0,9161836	0,4373768	1,0775965	0,8553204	0,0686924	1,1526124	0,3210842	0,8388191	0,2982391	0,3234361	0,5859761	1,0188898	0,8070266	0,2897005	1,4059198	0,1376767	1,2364358	0,1143302	0,8488488	0,0728649	0,4443578	0,8429852	0,5609932	0,5252780	0,3853715	0,3165764	0,0545096	1,0743540	0,1608040	1,1635896	1,2607806	0,4209785	0,6358068	0,2743619	0,6922769	1,1040929	0,3570770	0,2604766	0,2057425	1,0155706	0,2574322	1,0505647	1,2652608	0,4896725	0,4131369	0,8244997	1,0222669	0,1883952	0,2041422	1,3504891	0,2768029	0,3970057	1,2399210	0,4385870	1,4915089	0,4638440	1,0527177	1,2029195	0,1198026	1,2865958	1,3763607	1,2669004	0,9508061
0,6465947	0,8584337	0,6485826	0,2466286	0,5070533	1,1353838	0,0545564	0,0582710	0,2766973	0,1335926	0,6840683	0,1880940	0,0081958	0,4755693	0,6105007	0,3521534	0,3057982	0,8972385	0,0925474	0,2889776	0,8824548	0,9530758	0,7212577	0,9123066	0,1546530	0,0680037	0,2145155	0,9642013	0,7487330	0,0432666	1,0370607	0,0494592	0,3955098	0,4696910	0,8986624	0,0309069	0,8438891	0,6096037	0,1405962	0,2697905	0,1013866	0,1634000	0,8099999	0,4778009	1,3679290	0,1748261	0,3640385	0,3143209	0,5068322	0,1912093	0,4313460	0,9724787	0,4049325	0,9928650	0,2960844	0,4448713	0,0064425	0,3032744	1,4731679	0,5418702	1,0395260	1,0730268	0,1338804	0,0273385	0,4988947	0,0192462	0,9439854	0,9983210	0,3460028	0,7375452	0,3440254	1,1198773	0,8986679	0,2040088	0,3900638	0,0518503	0,4530143	0,5351596	1,0995519	0,6221530	0,5630189	0,0968738	1,2697280	0,4854168	0,1507067	0,1433433	1,2143624	0,9222778	0,3649747	0,1908138	1,0697211	1,2399396	0,6430571	0,4489943	1,0594850	0,4687121	1,3260556	1,3692946	0,9229815	0,9380293
