G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0,3201533	1,0000000	0,2675465	0,3208437	0,3276573	1,0000000	0,0217209	0,0977495	0,1106398	0,6893395	0,3240960	0,0620219	0,0029549	0,4369095	0,5987463	0,3402858	0,2359236	0,4011594	0,4392030	0,2667003	0,5768209	0,9999952	0,7833501	0,3951541	0,1922567	0,0362750	0,0548852	0,9679383	0,9113709	0,0291058	0,9346247	0,5221694	0,6048197	0,4945189	0,9999317	0,0790219	0,0565432	0,9970441	0,0170817	0,1786563	0,2270398	0,0465093	0,9311905	0,5606378	0,9975431	0,1053851	0,1269279	0,1578039	0,9999986	0,2072345	0,1396146	0,7522830	0,4760736	0,9152044	0,5224893	0,2902497	0,0452679	0,0323832	0,9999986	0,0481744	0,7666280	0,8158835	0,0999226	0,0341875	0,3938285	0,1113960	0,9446269	0,9268017	0,5627394	0,5698152	0,5055063	0,8336813	0,9969327	0,0359077	0,0760333	0,0921621	0,4557923	0,3830395	0,7690740	0,3912372	0,5627339	0,0300388	0,9822650	0,8230898	0,0488024	0,2076407	0,7432757	0,9907644	0,7559009	0,9940676	0,9956499	0,4693115	0,8291314	0,5181956	0,7601900	0,4659736	0,9972400	0,9987679	0,5112560	0,9907305
0,4355070	0,5000000	0,0471033	0,7609171	0,5609823	1,0000000	0,0254582	0,1052178	0,1233436	0,6856136	0,5495529	0,0034867	0,1193443	0,3534972	0,7833654	0,1991723	0,4974186	0,3114550	0,2150910	0,1550983	0,6615296	0,9999910	0,9690328	0,2528500	0,1922567	0,0140111	0,0519240	0,8200976	0,9928911	0,0579439	0,9339739	0,6640548	0,8475430	0,5381352	0,9999970	0,0790220	0,0186949	0,9999821	0,0731019	0,1789718	0,2293150	0,1041658	0,8620657	0,4370310	0,9829417	0,1067701	0,4778837	0,2320321	0,9999998	0,7984974	0,0747028	0,4041573	0,0418131	0,8590703	0,3324743	0,2943065	0,0280815	0,0337842	0,9999974	0,0634974	0,6469485	0,3271958	0,3452081	0,0396779	0,4466871	0,1901559	0,9521167	0,9864541	0,7041041	0,5098675	0,7261645	0,8334918	0,9953362	0,0364086	0,9503301	0,0921625	0,4535255	0,1824856	0,7845171	0,3910801	0,6018220	0,8369754	0,9965437	0,7984507	0,0488073	0,0595985	0,9711212	0,9843679	0,5961794	0,9692857	0,9956499	0,9416591	0,6539783	0,5181956	0,8937209	0,2177138	0,9972400	0,9984504	0,8680249	0,9879234
0,6403063	1,0000000	0,1337734	0,3208437	0,3276573	1,0000000	0,0217209	0,0977495	0,1106398	0,6893395	0,3240960	0,0620219	0,0029549	0,4369095	0,5987463	0,3402858	0,2359236	0,4011594	0,4392030	0,2667003	0,5768209	0,9999952	0,7833501	0,3951541	0,1922567	0,0362750	0,0548852	0,9679383	0,9113709	0,0291058	0,9346247	0,5221694	0,6048197	0,4945189	0,9999317	0,0790219	0,0565432	0,9970441	0,0170817	0,1786563	0,2270398	0,0465093	0,9311905	0,5606378	0,9975431	0,1053851	0,1269279	0,1578039	0,9999986	0,2072345	0,1396146	0,7522830	0,4760736	0,9152044	0,5224893	0,2902497	0,0452679	0,0323832	0,9999986	0,0481744	0,7666280	0,8158835	0,0999226	0,0341875	0,3938285	0,1113960	0,9446269	0,9268017	0,5627394	0,5698152	0,5055063	0,8336813	0,9969327	0,0359077	0,0760333	0,0921621	0,4557923	0,3830395	0,7690740	0,3912372	0,5627339	0,0300388	0,9822650	0,8230898	0,0488024	0,0828015	0,7432757	0,9907644	0,7559009	0,7973524	0,9956499	0,4693115	0,8291314	0,5181956	0,7601900	0,4659736	0,9972400	0,9987679	0,5112560	0,9907305
0,6403063	1,0000000	0,3328516	0,1604219	0,3201228	1,0000000	0,0217209	0,0977495	0,1106398	0,6893395	0,3239888	0,0712423	0,0011972	0,4369095	0,5880761	0,4554258	0,2343751	0,4398552	0,5536457	0,3356744	0,5768209	0,9999958	0,7213373	0,4429303	0,1922567	0,0613301	0,0551622	0,9706770	0,3740122	0,1653271	0,9348950	0,4889623	0,5038632	0,3680334	0,9991697	0,0790219	0,0565432	0,9629582	0,0170817	0,1786563	0,2270398	0,0465093	0,9810959	0,6283479	0,9977502	0,1053851	0,0042350	0,1572231	0,9999985	0,2072345	0,1396146	0,7522830	0,9925719	0,9152044	0,5275862	0,2902497	0,0452679	0,0323832	0,9999986	0,0481108	0,7666280	0,9669167	0,0832606	0,0340591	0,2937539	0,1113960	0,9446269	0,8127680	0,5627394	0,6500475	0,4672364	0,8336813	0,9969327	0,0359077	0,0053047	0,0921621	0,4557923	0,4304997	0,7690740	0,3912372	0,5624272	0,0089530	0,9365294	0,8230898	0,0488024	0,3017314	0,7227397	0,9907644	0,7618021	0,7973524	0,9956499	0,4391785	0,8348735	0,5181956	0,7524696	0,4784666	0,9972400	0,9987679	0,4915786	0,9907305
0,6403063	1,0000000	0,2675465	0,3208437	0,1638287	1,0000000	0,0217209	0,0977495	0,1106398	0,6893395	0,3240960	0,0620219	0,0029549	0,4369095	0,5987463	0,3402858	0,2359236	0,4011594	0,4392030	0,2667003	0,5768209	0,9999952	0,7833501	0,3951541	0,1922567	0,0362750	0,0548852	0,9679383	0,9113709	0,0291058	0,9346247	0,5221694	0,6048197	0,4945189	0,9999317	0,0790219	0,0565432	0,9550178	0,0170817	0,1786563	0,2270398	0,0465093	0,9311905	0,5606378	0,9998281	0,1053851	0,1269279	0,1525081	0,9999816	0,2072345	0,1396146	0,7522830	0,4760736	0,9152044	0,5869359	0,2902497	0,0452679	0,0323832	0,9999986	0,0476849	0,7666280	0,8158835	0,0999226	0,0308480	0,3938285	0,1113960	0,9446269	0,9268017	0,5627394	0,5698152	0,5055063	0,8336813	0,9969327	0,0359077	0,0760333	0,0921621	0,4557923	0,3830395	0,7690740	0,3912372	0,5601405	0,0300388	0,9822650	0,8230898	0,0488024	0,2076407	0,1400008	0,9907644	0,8904640	0,7973524	0,9956499	0,0539691	0,9431689	0,5181956	0,4819881	0,7970847	0,9972400	0,9987679	0,1011325	0,9907305
0,8173187	1,0000000	0,5293912	0,3208437	0,4687218	0,5000003	0,0164405	0,1015999	0,0931926	0,3936381	0,3093303	0,0505135	0,0059490	0,1820432	0,5948024	0,3353933	0,2370296	0,3976666	0,4385286	0,2673865	0,5732989	0,9999992	0,6903184	0,3896274	0,2516044	0,1250821	0,0323131	0,9635599	0,3424994	0,0290993	0,6449997	0,4873476	0,4670018	0,4951799	0,9999317	0,0790219	0,0387475	0,9993203	0,0669037	0,5492419	0,2525466	0,1292550	0,9311905	0,5606378	0,9818786	0,1943187	0,1269279	0,1622773	0,9999997	0,2093252	0,5379360	0,8612156	0,4760727	0,9268619	0,4043355	0,5326290	0,1050368	0,0310688	0,9999998	0,0501760	0,6553186	0,8154351	0,0999225	0,0335345	0,5186995	0,1665610	0,8200659	0,9268633	0,1726396	0,5698152	0,5066328	0,6193042	0,9995637	0,0352198	0,0760334	0,0921619	0,6051567	0,3847939	0,9069449	0,7606713	0,5771991	0,0300388	0,9822650	0,8571210	0,0487989	0,5886816	0,9366089	0,9878204	0,6538258	0,5213628	0,9391172	0,8582709	0,7210751	0,8221127	0,8584108	0,2887110	0,9849518	0,9986104	0,7801766	0,9939045
0,6403063	1,0000000	0,2676903	0,3208437	0,3203542	1,0000000	0,0108605	0,0977495	0,0758277	0,6975184	0,3043912	0,0541924	0,0028164	0,4369089	0,5917960	0,3402592	0,2363091	0,3915512	0,4392030	0,2666999	0,5768209	0,9999997	0,7853534	0,3831668	0,1922567	0,0360871	0,0395040	0,9679383	0,9113709	0,0291058	0,9346247	0,6409701	0,6048197	0,4956076	0,9999317	0,0790219	0,0245556	0,9967618	0,0170817	0,1786563	0,2270398	0,0465093	0,9311905	0,5606378	0,9977440	0,1053851	0,1269279	0,1160186	0,9999990	0,2072345	0,1396146	0,7522830	0,4760724	0,9399346	0,5262283	0,2802680	0,2291522	0,0303429	0,9999999	0,0478244	0,7666280	0,8151005	0,0999225	0,0303725	0,3938285	0,1113960	0,9446269	0,9269082	0,5627394	0,5698152	0,5073027	0,8336813	0,9995101	0,0359077	0,0760334	0,0921618	0,4557923	0,3830395	0,7690740	0,3912372	0,5624368	0,0300388	0,9822650	0,8905730	0,0487976	0,2078309	0,7234005	0,9907644	0,7616188	0,7973524	0,9956499	0,4401292	0,8346939	0,5181956	0,7527161	0,4780723	0,9972400	0,9987679	0,4921947	0,9963211
0,6403063	1,0000000	0,2677022	0,3208437	0,3193705	1,0000000	0,0091095	0,0488747	0,0707237	0,6984602	0,3038137	0,2736120	0,0026222	0,4369088	0,5910769	0,3932019	0,2312376	0,3751323	0,4392030	0,2666998	0,6212045	0,9999998	0,7855903	0,3814984	0,1922567	0,0360742	0,0370555	0,9857678	0,9113709	0,0291058	0,9350710	0,6643384	0,6048197	0,4956976	0,9999317	0,0790219	0,0189329	0,9967209	0,0170817	0,1786563	0,2270398	0,0465093	0,9311905	0,5606378	0,9977702	0,1053851	0,1269279	0,1094922	0,9999990	0,2072345	0,1396146	0,7522830	0,4760724	0,9440523	0,5267760	0,2789766	0,2844833	0,0302212	1,0000000	0,0477955	0,7666280	0,8150216	0,0999225	0,0299459	0,3938285	0,1113960	0,8020670	0,9269182	0,5627394	0,5698152	0,5074239	0,8343256	0,9996925	0,0349708	0,0760334	0,0921618	0,4709724	0,3830395	0,6234233	0,3917352	0,5623989	0,0300388	0,9822650	0,9002462	0,0487975	0,2078469	0,7206134	0,9999391	0,7623929	0,7973524	0,9956499	0,4361733	0,8354440	0,5181956	0,7516820	0,4797297	0,9972400	0,9998579	0,4895931	0,9968994
0,6403063	1,0000000	0,2675465	0,3208437	0,3166036	1,0000000	0,0217209	0,0977495	0,0553199	0,7008956	0,3240960	0,0620219	0,0029549	0,4369095	0,5896166	0,3402858	0,2359236	0,4011594	0,4392030	0,2667003	0,5768209	0,9999952	0,7833501	0,3951541	0,1922567	0,0362750	0,0548852	0,9679383	0,9113709	0,0291058	0,9346247	0,7393395	0,6048197	0,4958905	0,9999317	0,0790219	0,0565432	0,9965994	0,0170817	0,1786563	0,2270398	0,0465093	0,9311905	0,5606378	0,9978426	0,1053851	0,1269279	0,0893188	0,9999992	0,2072345	0,1396146	0,7522830	0,4760736	0,9571433	0,5283589	0,2902497	0,0452679	0,0323832	0,9999986	0,0477324	0,7666280	0,8148328	0,0999226	0,0288584	0,3938285	0,1113960	0,9446269	0,9268017	0,5627394	0,5698152	0,5055063	0,8336813	0,9969327	0,0359077	0,0760333	0,0921621	0,4557923	0,3830395	0,7690740	0,3912372	0,5622940	0,0300388	0,9822650	0,9284958	0,0488024	0,2076407	0,7126471	0,9907644	0,7645726	0,7973524	0,9956499	0,4250682	0,8375479	0,5181956	0,7487455	0,4844168	0,9972400	0,9987679	0,4822433	0,9983040
0,6403063	1,0000000	0,2675465	0,3208437	0,3276573	1,0000000	0,0217209	0,0977495	0,1106398	0,3446701	0,3240960	0,0620219	0,0029549	0,4369095	0,5987463	0,3402858	0,2359236	0,4011594	0,4392030	0,2667003	0,5768209	0,9999952	0,7833501	0,3951541	0,1922567	0,0362750	0,0548852	0,9679383	0,9113709	0,0291058	0,9346247	0,5221694	0,6048197	0,4945189	0,9999317	0,0790219	0,0565432	0,9970441	0,0170817	0,1786563	0,2270398	0,0465093	0,9311905	0,5606378	0,9975431	0,1053851	0,1269279	0,1578039	0,9999986	0,2072345	0,1396146	0,7522830	0,4760736	0,9152044	0,5224893	0,2902497	0,0452679	0,0323832	0,9999986	0,0481744	0,7666280	0,8158835	0,0999226	0,0341875	0,3938285	0,1113960	0,9446269	0,9268017	0,5627394	0,5698152	0,5055063	0,8336813	0,9969327	0,0359077	0,0760333	0,0921621	0,4557923	0,3830395	0,7690740	0,3912372	0,5627339	0,0300388	0,9822650	0,8230898	0,0488024	0,2076407	0,7432757	0,9907644	0,7559009	0,7973524	0,9956499	0,4693115	0,8291314	0,5181956	0,7601900	0,4659736	0,9972400	0,9987679	0,5112560	0,9907305
