G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.2063951	0.0204817	0.3051573	0.3631976	0.0730922	0.1039648	0.0606856	0.2407013	0.3371004	0.3012554	0.3648385	0.4620243	0.4094532	0.2131998	0.4209704	0.0465773	0.3193642	0.2002386	0.4078508	0.1645678	0.3189372	0.6332174	0.6236433	0.4004370	0.2615590	0.3952734	0.2610372	0.4665404	0.2847650	0.4754858	0.1894906	0.0118605	0.0262969	0.0374462	0.0037356	0.2579696	0.0443958	0.4652049	0.3951513	0.2980526	0.4449540	0.4152688	0.1354595	0.0200840	0.3170436	0.3026491	0.4399599	0.0576165	0.1745191	0.1248384	0.4856335	0.2723307	0.7295730	0.4212338	0.0028033	0.3407171	0.4747534	0.3315261	0.1738503	0.0340815	0.1243643	0.2129918	0.7031864	0.0400493	0.6412237	0.3517560	0.3632766	0.5789422	0.5156474	0.6805220	0.0133387	0.1309436	0.3503535	0.4784290	0.1427089	0.2493300	0.4854611	0.0252077	0.3637388	0.0920952	0.4914098	0.0002944	0.2560471	0.4928497	0.0059730	0.1576384	0.1284055	0.2733766	0.2381805	0.1325881	0.2617322	0.5339282	0.0237754	0.0482062	0.0211504	0.4347642	0.4442331	0.1293969	0.4743465	0.1826026
0.3641324	0.1001188	0.6121485	0.2169702	0.0351794	0.1044610	0.0913790	0.1694684	0.3719572	0.4621128	0.3279423	0.4692825	0.1909819	0.1810821	0.3058415	0.0065128	0.3146271	0.2041122	0.7014892	0.1308296	0.6279786	0.5376726	0.7007337	0.1751942	0.2256599	0.4146668	0.3820334	0.4462965	0.6420642	0.2156142	0.1258873	0.0160575	0.1832790	0.0183379	0.0310985	0.2498304	0.1412998	0.0788591	0.3282668	0.1973992	0.5759529	0.4173145	0.1863243	0.0939154	0.3051013	0.4184312	0.7204358	0.1507080	0.1923720	0.1859745	0.3053354	0.3237126	0.6283113	0.3414855	0.0017576	0.4117403	0.2397558	0.6118797	0.3163926	0.1405576	0.0756522	0.2186328	0.4095717	0.0835372	0.3080906	0.2830698	0.9181097	0.6405688	0.4917912	0.3729229	0.0372458	0.1280622	0.4313020	0.5547692	0.1125878	0.3866179	0.4953018	0.0381231	0.5592872	0.0759765	0.3626646	0.0017178	0.1116135	0.6369568	0.0063697	0.0986727	0.2565523	0.4570726	0.1745262	0.1139744	0.1434774	0.3989078	0.0343929	0.0421986	0.0125379	0.5050135	0.5547263	0.1677582	0.4059335	0.2223574
0.4504422	0.0119594	0.1269420	0.3435641	0.0551490	0.1303468	0.1241108	0.0733040	0.3758611	0.3431491	0.2244116	0.3174908	0.4742909	0.3584817	0.5078813	0.1562842	0.3228529	0.1486909	0.4101392	0.1536208	0.4512143	0.1694656	0.4934592	0.3159117	0.1667826	0.3872267	0.2771108	0.5455870	0.3581641	0.4123603	0.1602788	0.0557601	0.0692479	0.0864499	0.0122928	0.2934966	0.1570558	0.1198947	0.2521095	0.4541490	0.3990351	0.3845551	0.1452484	0.0958890	0.2250033	0.4377134	0.3325806	0.1993932	0.1265366	0.3353531	0.3118183	0.2056133	0.2579735	0.5631638	0.0419597	0.4514766	0.3109913	0.3832452	0.2453107	0.1291891	0.0252853	0.0062081	0.3946910	0.0289266	0.4855680	0.4247347	0.6300028	0.2411682	0.4679910	0.3605356	0.0326048	0.2714845	0.6130921	0.5285612	0.0729650	0.7367404	0.5701877	0.0534384	0.5275441	0.1180593	0.4194313	0.0078215	0.3922052	0.4366811	0.0192167	0.1369462	0.1382132	0.3250039	0.0563378	0.1089010	0.4946917	0.5076106	0.0471273	0.0421062	0.0149148	0.4016256	0.5045071	0.3633640	0.2442642	0.1834130
0.2624723	0.0785216	0.5639682	0.2095403	0.0670718	0.1834960	0.0505152	0.0444528	0.2834106	0.6056368	0.3140020	0.5097507	0.1555424	0.2770284	0.1729114	0.2702555	0.3172287	0.1453649	0.6260826	0.0245933	0.2366313	0.5894057	0.4128113	0.1201131	0.0699259	0.4981985	0.3752241	0.5458193	0.4407441	0.3702977	0.2223962	0.0598821	0.0725134	0.0211153	0.0374403	0.2271744	0.1341556	0.0301718	0.2624909	0.3800687	0.5514671	0.3637280	0.2063256	0.1612539	0.2564102	0.0529264	0.4152045	0.0045941	0.2956127	0.1500858	0.4829531	0.2409970	0.6535603	0.3294880	0.0682732	0.3645594	0.0192426	0.4041957	0.2461872	0.0502754	0.0408569	0.1033551	0.3066619	0.0136862	0.2602907	0.2793183	0.3485955	0.4165501	0.2658449	0.3924614	0.0913079	0.1791698	0.4535588	0.3659301	0.0982960	0.3874498	0.4330498	0.0765409	0.3395012	0.1371787	0.3360183	0.0002743	0.2138992	0.5773713	0.0061315	0.0672190	0.3134148	0.1995146	0.2832145	0.0764285	0.3123822	0.5206842	0.0854763	0.1059122	0.0091301	0.5583188	0.3050766	0.1842784	0.3740011	0.1500602
0.3299116	0.0565762	0.5609551	0.4769007	0.0311557	0.0967658	0.1403559	0.0195453	0.1451656	0.4195067	0.2403655	0.1980231	0.2758630	0.5046634	0.4020322	0.0480551	0.4643449	0.1731504	0.3410928	0.0801160	0.3854791	0.4755093	0.4230765	0.3091924	0.2512203	0.3361727	0.2748701	0.4648375	0.0479989	0.2729458	0.2081118	0.1173506	0.1981511	0.0328106	0.0143967	0.2270299	0.0772837	0.0074216	0.6464245	0.3360215	0.4496723	0.5753560	0.1950351	0.0038651	0.3413741	0.4791315	0.5425420	0.0833103	0.1511607	0.2652776	0.2857578	0.4555363	0.1755696	0.4565254	0.0215965	0.4298744	0.6032269	0.3712781	0.1441470	0.0682780	0.0486010	0.2348501	0.5380222	0.0969708	0.4288450	0.4433748	0.4623579	0.3271639	0.6994670	0.4202858	0.0432684	0.0295613	0.5793858	0.3924992	0.1013152	0.5008581	0.4314053	0.0470792	0.4622780	0.1500016	0.5449144	0.0387541	0.2309923	0.6084827	0.0421219	0.0959775	0.1279360	0.3694036	0.1060490	0.0353025	0.4954094	0.3672327	0.0450618	0.0540717	0.0290741	0.5115030	0.4297673	0.2741954	0.4692993	0.1483060
0.6395795	0.0308793	0.3319042	0.5795915	0.1154233	0.0812102	0.0769282	0.0514143	0.2150598	0.3486218	0.0714680	0.3545184	0.2611650	0.3324742	0.2937538	0.2023269	0.5351414	0.1811336	0.5320028	0.0242063	0.3959712	0.5657006	0.3301154	0.3284319	0.2764619	0.3218658	0.2110750	0.3271672	0.2003425	0.2748440	0.0605577	0.1724826	0.3159055	0.1249807	0.0491764	0.0630017	0.1765619	0.1571190	0.2855913	0.3798920	0.5084158	0.4303134	0.1488409	0.0384351	0.3178167	0.3441106	0.3934798	0.0335498	0.0969189	0.2370188	0.5503004	0.3654064	0.4183192	0.4333293	0.0701337	0.2096909	0.7071045	0.3687703	0.2778954	0.1101108	0.0323498	0.1084511	0.4347525	0.0492281	0.4453769	0.2471794	0.5229087	0.3420041	0.4437848	0.5858451	0.0286584	0.0450495	0.5838758	0.5639392	0.1858888	0.2666647	0.2700978	0.0825226	0.6413075	0.2443899	0.5998063	0.0008600	0.2450221	0.5483843	0.0112980	0.0661716	0.2401020	0.2539064	0.1077479	0.1077683	0.3574758	0.5140296	0.0913856	0.0746741	0.0038087	0.5630652	0.4559611	0.1426522	0.3811414	0.2473115
0.2851467	0.0057285	0.5027775	0.3261525	0.0917319	0.0732606	0.0441111	0.0403426	0.2574547	0.4255637	0.5354427	0.3205643	0.1605237	0.2232606	0.3111793	0.0097135	0.4169051	0.0868247	0.5916747	0.0288197	0.3465075	0.5405573	0.4785976	0.2974697	0.1773612	0.2958833	0.1510554	0.5265948	0.1908493	0.4049840	0.1067257	0.1860077	0.2509052	0.0337320	0.0181004	0.1057884	0.0812566	0.4057069	0.4322676	0.5171681	0.2353573	0.4051044	0.2042784	0.0713942	0.1894487	0.4868430	0.2853743	0.0296186	0.0889662	0.2567885	0.4228963	0.6170542	0.4999375	0.5106291	0.0064395	0.2708578	0.4802116	0.3708559	0.3100379	0.2358944	0.0229844	0.0595462	0.4334490	0.1065353	0.1952210	0.3615937	0.3808279	0.4229989	0.4960222	0.3128982	0.0451434	0.1195760	0.4333429	0.5615293	0.2354095	0.4897405	0.5000534	0.0324142	0.4118171	0.0528166	0.4311646	0.0142254	0.2476733	0.7720695	0.0244969	0.1151056	0.2750104	0.2096543	0.0650264	0.0985171	0.4351931	0.3262667	0.1741234	0.0177207	0.0194853	0.6765568	0.4674758	0.0972087	0.4442225	0.0863648
0.3716556	0.0848868	0.3377449	0.2489713	0.2445664	0.2753889	0.1909498	0.0840696	0.3389994	0.5956817	0.1446726	0.4152512	0.3109975	0.4534033	0.3033814	0.0519463	0.3637460	0.3213124	0.6303792	0.0671475	0.3823996	0.4159313	0.4817885	0.2715887	0.1253405	0.2087543	0.3288854	0.4416844	0.3529104	0.3032279	0.1965187	0.0966627	0.1319074	0.0718898	0.0019117	0.2356341	0.1783718	0.1084021	0.4830917	0.5089305	0.4975283	0.3087718	0.1533844	0.0591585	0.1420226	0.1751920	0.4171881	0.0951790	0.1109563	0.2438318	0.2325490	0.2350015	0.4900735	0.5004511	0.0042012	0.6671418	0.5467126	0.3715586	0.3475343	0.0665929	0.1185159	0.2799693	0.6248728	0.0238754	0.3905120	0.4875613	0.4422299	0.3790491	0.4143573	0.4469804	0.0546029	0.0492656	0.4439134	0.4779980	0.1005122	0.3920330	0.2268572	0.0344113	0.3135402	0.2742143	0.3861981	0.0004823	0.1888031	0.3728490	0.0016610	0.0998051	0.2074839	0.2215844	0.4069549	0.1261413	0.2057601	0.2760230	0.0058792	0.0522144	0.0661773	0.3273275	0.6746812	0.0557965	0.5039455	0.0822409
0.2921448	0.0980761	0.6904429	0.1925825	0.2397208	0.1988884	0.0559306	0.0496059	0.1513936	0.6614465	0.3956859	0.2180300	0.5550174	0.5365470	0.3024359	0.0842212	0.2219217	0.1131182	0.6574088	0.1857128	0.4214293	0.4430585	0.5724068	0.3613412	0.2788317	0.4021956	0.1598856	0.3166181	0.4380986	0.2269540	0.1543487	0.0240267	0.1147317	0.0554509	0.0014583	0.0367659	0.3157836	0.0227273	0.3602058	0.2990855	0.3833416	0.4933229	0.2843230	0.0624677	0.3579986	0.5559947	0.4644769	0.0429845	0.2395233	0.3841445	0.4653591	0.0822286	0.2295871	0.3974903	0.0090706	0.3726968	0.3807280	0.5731414	0.2166481	0.1488556	0.0689219	0.1355415	0.4212596	0.1519529	0.3963201	0.1621098	0.4533426	0.2183385	0.1652173	0.4722231	0.0222766	0.0998532	0.3489268	0.4457612	0.1632595	0.5276933	0.4341490	0.0266989	0.2996811	0.0794625	0.5028531	0.0033999	0.3142084	0.6424417	0.0271449	0.1494667	0.2048447	0.0829884	0.3614402	0.0944916	0.1230374	0.4421647	0.1180446	0.0765395	0.0638613	0.3809812	0.5507468	0.2131541	0.2494647	0.2948703
0.3023528	0.0741600	0.4288604	0.2825229	0.0447736	0.2244365	0.1232075	0.1197567	0.2901544	0.1675560	0.3783329	0.2845961	0.1616530	0.3001105	0.2719095	0.0808401	0.2951228	0.0176802	0.6556091	0.0826021	0.3569176	0.4595438	0.5988783	0.2894408	0.1920309	0.3496763	0.1565209	0.4736568	0.4543221	0.2377910	0.1480599	0.0737276	0.0571295	0.0800803	0.0002448	0.2813029	0.1373693	0.0866260	0.3344857	0.5032280	0.3405836	0.5848762	0.0364319	0.0331323	0.2275788	0.3972034	0.3062618	0.1098438	0.0553392	0.2821589	0.5288378	0.4997360	0.6476436	0.3782707	0.0800976	0.5104585	0.5982269	0.5315161	0.2416214	0.1922741	0.0513156	0.1449145	0.4574655	0.1024013	0.7471921	0.3459265	0.3116507	0.3300680	0.3632639	0.3444608	0.0592055	0.1517112	0.6269225	0.7457048	0.3359858	0.3247780	0.2367209	0.0322639	0.5489033	0.0694975	0.4731504	0.0238331	0.2453136	0.5091310	0.0029096	0.2369576	0.2185471	0.2376811	0.1845024	0.1642241	0.2830743	0.5544902	0.0043660	0.0266914	0.0041431	0.4056769	0.4438563	0.2262802	0.3348998	0.2666252
