G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.5604759	0.3233205	0.5395256	0.0323219	0.0965147	0.6041014	0.4772050	0.4883232	0.2376066	0.3076502	0.1167099	0.1706632	0.2038071	0.1357507	0.1586205	0.4921033	0.4697770	0.1637089	0.2746730	0.1462242	0.1281064	0.2869843	0.3311493	0.2506048	0.3391890	0.2154175	0.6371476	0.0373039	0.0072138	0.0532591	0.3562120	0.5459027	0.2321247	0.0782351	0.1018417	0.5704140	0.0217695	0.5086175	0.2209108	0.6597783	0.0228083	0.3921879	0.0932925	0.0323112	0.3849606	0.1960162	0.1925495	0.4758269	0.3629082	0.0460163	0.5563131	0.5070799	0.4175392	0.5323461	0.3802985	0.0999505	0.0088519	0.0296026	0.4454177	0.0085538	0.1541861	0.2190836	0.2827463	0.0753031	0.5535644	0.0203336	0.2506429	0.0263380	0.0541361	0.3226337	0.1804570	0.3209978	0.0557683	0.3393842	0.1078206	0.6043050	0.2685884	0.2127813	0.1887951	0.4275015	0.4331877	0.5974649	0.0110907	0.3435389	0.4965400	0.0488176	0.5509623	0.2343293	0.4524208	0.5063581	0.3097575	0.1022758	0.1990274	0.0734560	0.3482191	0.5837441	0.5083633	0.0325448	0.6528593
0.1697447	0.0000000	0.3864918	0.4307656	0.1130658	0.2955037	0.3357255	0.2774381	0.5672076	0.0485295	0.2074121	0.0564195	0.1095763	0.1235518	0.2060699	0.3869442	0.5237977	0.1870726	0.1732617	0.3075301	0.1623458	0.1969119	0.3338558	0.2507939	0.3694376	0.5595377	0.2462962	0.4478131	0.1596295	0.0066029	0.2587370	0.3193350	0.5386239	0.1911915	0.1525320	0.2120254	0.4271139	0.0929946	0.5483268	0.2811930	0.4517105	0.0223748	0.4407082	0.0757974	0.0808383	0.8121677	0.1609096	0.1395447	0.4962295	0.3114527	0.1816874	0.5783991	0.1794335	0.2290210	0.6600427	0.6104018	0.4212594	0.1060425	0.0140088	0.5368392	0.0775603	0.1788571	0.3690012	0.3332133	0.1241023	0.4743940	0.0044953	0.1227477	0.1743129	0.0210871	0.2580837	0.1138894	0.2151641	0.0193486	0.1779179	0.0123183	0.7700650	0.3297959	0.2615657	0.2837853	0.2112078	0.2235852	0.5284434	0.0389266	0.5318738	0.2983414	0.0615352	0.6396784	0.2719705	0.4395730	0.2638357	0.6788766	0.1080924	0.3656753	0.0987605	0.3704838	0.4010600	0.5517024	0.0268646	0.3530811
0.3684677	0.1356067	0.0000000	0.4816488	0.0220188	0.4707386	0.3961399	0.3311476	0.6384828	0.0484626	0.3312285	0.0506511	0.0854313	0.3090444	0.2393701	0.1646967	0.6378424	0.1897284	0.1471275	0.2044811	0.1365840	0.1263495	0.4125432	0.1181880	0.6030794	0.6882210	0.4494257	0.3526166	0.1840085	0.0063421	0.2897612	0.2058730	0.4620606	0.1524223	0.1718316	0.2165941	0.5086305	0.0632348	0.6031742	0.3683997	0.5271429	0.0751462	0.4410400	0.0114143	0.0395675	0.4118376	0.2837724	0.0784463	0.3167831	0.1360001	0.0444992	0.3087536	0.3912492	0.4204097	0.4854484	0.4867679	0.1135658	0.0812935	0.0401376	0.4372371	0.0369461	0.2582520	0.2561931	0.5499787	0.0520559	0.5509898	0.0815741	0.1505723	0.1324531	0.0286565	0.5395040	0.1628484	0.2975270	0.1257312	0.2064612	0.0293256	0.7590741	0.4944505	0.3827770	0.2628349	0.1880646	0.2360961	0.9277498	0.0241568	0.4756627	0.3761783	0.0008940	0.5925026	0.2990293	0.4769752	0.5216996	0.6623512	0.0289001	0.4740738	0.0473547	0.2582429	0.5441918	0.5448000	0.0232915	0.3835674
0.3578261	0.2218181	0.4411445	0.0000000	0.1625998	0.5530454	0.1532734	0.3280459	0.6565636	0.4478539	0.2613555	0.1892193	0.1213630	0.1851028	0.1416812	0.2061326	0.3824448	0.2981219	0.3884619	0.4483329	0.0838744	0.0171362	0.3594981	0.2804201	0.3376204	0.4201397	0.2786058	0.3981867	0.0830330	0.0667561	0.1536422	0.2023039	0.5389437	0.2227756	0.0541101	0.1434579	0.3605043	0.0115467	0.3535476	0.1671382	0.6168517	0.0246238	0.3644343	0.0174549	0.0705588	0.6302696	0.2637418	0.1703522	0.3276248	0.7279446	0.5238282	0.2541154	0.2257898	0.4788247	0.7165845	0.4953959	0.1285679	0.0711139	0.0398536	0.4558152	0.0252991	0.2232512	0.3335677	0.4237808	0.0778121	0.4127963	0.1918157	0.0335686	0.0410881	0.0811381	0.2123849	0.1989138	0.2190978	0.0457723	0.2505451	0.0078965	0.6061747	0.2643765	0.2829844	0.1876112	0.2066400	0.0050509	0.6245961	0.0034407	0.4607948	0.3557979	0.0153284	0.2905080	0.1837273	0.4252264	0.5913958	0.4386498	0.1105850	0.5266330	0.0566363	0.4321763	0.4212708	0.3900670	0.0969399	0.4959862
0.3737856	0.1177517	0.2763403	0.2233172	0.0000000	0.3364214	0.4772059	0.4478782	0.4792987	0.1079434	0.1743545	0.0597665	0.2460963	0.2926641	0.2804013	0.2380348	0.2694729	0.2863704	0.4082923	0.2376735	0.1768810	0.1797065	0.4532519	0.6635083	0.5810417	0.3419535	0.2247405	0.4168926	0.1464996	0.0050686	0.2406911	0.5449978	0.4562786	0.2669017	0.2777833	0.2527625	0.5242094	0.0130558	0.6249420	0.3673176	0.4994218	0.0471640	0.6499390	0.0191520	0.1386093	0.5404238	0.0136705	0.1012679	0.2889066	0.3409974	0.0096560	0.4531567	0.2766771	0.2707486	0.4855961	0.4030468	0.1691045	0.0038222	0.0441917	0.5358023	0.1027760	0.0964010	0.2777614	0.3346062	0.1124965	0.3970364	0.0195913	0.1386147	0.2814518	0.0473167	0.3490027	0.2365532	0.0650611	0.1095051	0.2075357	0.0180593	0.4273182	0.2132784	0.2419242	0.3239720	0.2261745	0.0572016	0.3487265	0.0557885	0.3282291	0.3814659	0.0023351	0.3890235	0.0746740	0.3806407	0.5768151	0.5778214	0.1227993	0.3545943	0.0647348	0.4748472	0.4548047	0.4296789	0.1594537	0.3979905
0.1781875	0.2209975	0.3618968	0.2321469	0.1034200	0.0000000	0.4818358	0.4228989	0.3672316	0.1234992	0.1476448	0.2466738	0.2030037	0.3251560	0.2034800	0.0634843	0.5520127	0.1898036	0.1374480	0.1298620	0.2707482	0.3784654	0.3847611	0.1057840	0.3155124	0.4698876	0.6063863	0.4837077	0.0750297	0.0159301	0.1917803	0.1498266	0.5529572	0.3349701	0.0361595	0.1632741	0.3229997	0.0095862	0.6006576	0.1044748	0.5514102	0.1368943	0.2872777	0.0316596	0.0539266	0.4238590	0.2044650	0.1305472	0.3892468	0.3379742	0.3023211	0.2981865	0.4408898	0.2708740	0.3819835	0.3158731	0.0732318	0.0370424	0.0861207	0.4437127	0.0459631	0.1999413	0.2614257	0.3948564	0.2453229	0.4138477	0.1494132	0.0382969	0.6625226	0.0219590	0.3056550	0.4249452	0.3188649	0.0194285	0.3769165	0.0412560	0.3893952	0.3447566	0.2395952	0.3517513	0.3335717	0.2354500	0.3928127	0.0593806	0.3090744	0.1579993	0.0054869	0.3332778	0.0381238	0.5832514	0.6074626	0.3129592	0.3113973	0.1329463	0.3513135	0.3270032	0.3450983	0.3218087	0.0081265	0.3343215
0.1684510	0.1434469	0.4254611	0.4446000	0.0617704	0.4430173	0.0000000	0.3745080	0.7261594	0.1622304	0.2833524	0.1834739	0.2891758	0.2817019	0.2031063	0.1830222	0.4618190	0.0783773	0.1509282	0.3926996	0.2514555	0.4480214	0.4954565	0.3577397	0.3922085	0.5945041	0.1898261	0.3894773	0.2573101	0.0115076	0.3458492	0.2330397	0.3860009	0.2503995	0.2406960	0.2832251	0.4177608	0.0717692	0.4429900	0.2730149	0.4033155	0.0533139	0.2814910	0.0856634	0.2029670	0.7435256	0.3955577	0.2993555	0.5701658	0.2311861	0.2120848	0.2683897	0.2650989	0.2151068	0.4659705	0.7688941	0.1774263	0.1028711	0.0099998	0.4762928	0.1534564	0.0343748	0.2642763	0.1896901	0.1384260	0.2846958	0.0793155	0.0525188	0.1071387	0.0201882	0.1795517	0.2397251	0.1987758	0.0113561	0.5374514	0.0336627	0.3487752	0.4614637	0.4168392	0.3850193	0.2342683	0.1682775	0.7068855	0.0444452	0.1362418	0.1519791	0.0021618	0.1820730	0.0847181	0.6846904	0.2838793	0.6056402	0.0121461	0.4015654	0.0101559	0.4010072	0.4103469	0.6812842	0.0294542	0.4675162
0.0704086	0.4388172	0.3098191	0.6695674	0.0693954	0.0818075	0.5499436	0.0000000	0.5638465	0.1351325	0.2209479	0.1331306	0.0865753	0.2520255	0.1165587	0.2639497	0.5453135	0.3144986	0.3866185	0.2870949	0.1939685	0.0889861	0.4777479	0.4880778	0.6158644	0.3418893	0.3723706	0.3411660	0.0413454	0.0273717	0.1544267	0.3149433	0.2891176	0.1594275	0.1393789	0.0188701	0.4564433	0.0038768	0.3120613	0.3590363	0.7680696	0.0420256	0.4173731	0.0503086	0.0496153	0.5235470	0.2274712	0.2317791	0.4420045	0.1567913	0.0729772	0.6716325	0.4670672	0.1824457	0.3689190	0.6258340	0.1059936	0.0050268	0.0231252	0.7352640	0.0094727	0.1219250	0.2442293	0.5312687	0.0146672	0.6738211	0.0595940	0.1625530	0.0719572	0.0607754	0.4633473	0.1401591	0.2202169	0.1071350	0.1797207	0.0127075	0.1344550	0.4079333	0.3205126	0.4368708	0.3402326	0.3303902	0.4232584	0.1216109	0.3513699	0.4903185	0.1059936	0.3040356	0.1013630	0.6844995	0.4560068	0.7081835	0.0490099	0.6560942	0.1252846	0.4187891	0.4202773	0.5265640	0.0752753	0.5936800
0.3641116	0.2956677	0.4920894	0.1495637	0.0716068	0.4687687	0.3550641	0.1889528	0.0000000	0.4886183	0.3855109	0.4210002	0.2107072	0.2568901	0.0677353	0.3280994	0.2933581	0.0263528	0.3855277	0.4805575	0.1515545	0.2788809	0.4398442	0.3516082	0.3667188	0.3501606	0.2612399	0.3041403	0.0751473	0.0273909	0.1856320	0.0673254	0.4614163	0.1440476	0.0732514	0.1430957	0.2551205	0.0359143	0.5159891	0.2204066	0.4754771	0.0218317	0.3739151	0.0871472	0.1298767	0.5551872	0.4406761	0.0951180	0.3439972	0.5354540	0.2935268	0.2104970	0.4062348	0.2993725	0.5178236	0.6004952	0.1926055	0.0450978	0.0745169	0.5489560	0.0113503	0.0444411	0.2436690	0.4121081	0.2016916	0.3661469	0.1450960	0.0641898	0.1336000	0.1803447	0.4536797	0.1941449	0.2043132	0.0540677	0.2821596	0.0813881	0.4832208	0.3298697	0.2808504	0.2472820	0.1349092	0.2127664	0.4266866	0.0715639	0.2857123	0.1861920	0.3740593	0.4544645	0.1193483	0.5464517	0.3150593	0.4729296	0.1051533	0.3693887	0.1086071	0.4998776	0.3483076	0.5740453	0.0392674	0.5125574
0.4153300	0.3125489	0.6088768	0.2641673	0.0776986	0.5423245	0.5008411	0.4285852	0.5544774	0.0000000	0.1819604	0.0156048	0.1060279	0.2932865	0.2314418	0.1584349	0.5265273	0.1427737	0.4016804	0.1007406	0.1146922	0.0317887	0.2851964	0.5361083	0.3123808	0.4387773	0.4004172	0.5784804	0.2243419	0.0189617	0.3175763	0.2442313	0.4986827	0.3703090	0.1360176	0.0790740	0.3693002	0.0112214	0.3388521	0.4227666	0.5077515	0.0742793	0.5411457	0.0401641	0.0902621	0.4828368	0.4763216	0.2350339	0.5652966	0.4078878	0.2705085	0.2819757	0.2377791	0.3667040	0.4335981	0.8832003	0.1760840	0.0060099	0.0509013	0.3266050	0.0062782	0.0975483	0.4226015	0.2718347	0.0750608	0.4115263	0.0083859	0.1226600	0.0675272	0.0145424	0.3608350	0.0426221	0.3330963	0.0339413	0.1507388	0.0812847	0.7047784	0.3640454	0.2193239	0.1557278	0.2048178	0.1423555	0.4778013	0.0894741	0.5030175	0.7791570	0.1531692	0.5630332	0.3678500	0.4512002	0.7739617	0.4534054	0.0152244	0.6311706	0.1541290	0.5607874	0.4096370	0.3688219	0.0289170	0.4351957
