G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.9711206	0.7060683	1.1585824	0.0709619	0.2255216	1.0667447	0.9037031	1.0458721	0.5417596	0.5142468	0.2544310	0.3733404	0.3772739	0.2901407	0.3256758	1.0570091	0.7797525	0.3469299	0.5458697	0.2708690	0.2584204	0.6140903	0.7832992	0.5716820	0.6229331	0.4885148	1.2944110	0.0872168	0.0279521	0.1157789	0.5158409	0.9916136	0.5196880	0.1897331	0.2628029	1.1874258	0.0535403	1.1418228	0.4518906	1.2477363	0.0357876	0.8106152	0.2082121	0.0578057	0.8139924	0.4217516	0.3680484	0.9285606	0.7376239	0.0773934	1.0560098	1.0677569	0.8425308	1.1599806	0.7024384	0.1508145	0.0213044	0.0431691	0.9340323	0.0249343	0.3173319	0.4897159	0.4573882	0.1693444	1.1936479	0.0580930	0.4825809	0.0571833	0.0897309	0.5408910	0.3740256	0.5151222	0.0931092	0.7088559	0.2487023	1.3097819	0.5963242	0.4611053	0.3862626	0.8728923	0.6684079	1.1702110	0.0288766	0.6252178	1.1039233	0.1333095	1.1735691	0.5001047	0.9837845	1.1611691	0.6911168	0.2204483	0.4047774	0.2257820	0.6898108	1.0625621	1.1066812	0.1033838	1.3020426
0.4002861	0.0000000	0.8541977	0.8744359	0.2023825	0.5715984	0.6460198	0.4760209	1.1403992	0.1282586	0.3942687	0.1301247	0.2733254	0.3424295	0.3526546	0.7500080	1.0320780	0.3794467	0.3777830	0.7420781	0.2623594	0.3725112	0.7126493	0.5527293	0.8410408	1.0153443	0.4955262	0.9309189	0.3650257	0.0172912	0.6846166	0.7472963	0.9962706	0.4554676	0.3200950	0.4003995	0.9132970	0.2331018	1.1441941	0.4711824	0.8888876	0.0537234	0.8338354	0.1452087	0.1866550	1.5951282	0.2606922	0.3545402	1.0182583	0.6187665	0.3630660	1.1430814	0.3503672	0.4145243	1.2592924	1.1266830	0.7909730	0.1358479	0.0296247	1.0319482	0.1919386	0.3825071	0.8436193	0.6006404	0.2939793	1.0177287	0.0124607	0.2392214	0.3459278	0.0724104	0.5520464	0.2436776	0.4965248	0.0291441	0.3344460	0.0227545	1.3750313	0.7944703	0.5147031	0.5465208	0.5017480	0.5549333	1.0153986	0.0717338	1.0103366	0.6535414	0.1555656	1.2835867	0.5440902	0.8740020	0.6564533	1.3040518	0.2135980	0.7021381	0.2303304	0.8633613	0.8256941	1.1071415	0.0585402	0.6919720
0.6644181	0.2799262	0.0000000	0.8812475	0.0338835	0.9522033	0.7773809	0.7272260	1.3259767	0.0845429	0.7689414	0.1041713	0.2006359	0.7105952	0.4402281	0.3143777	1.2637228	0.4018307	0.2738720	0.3485854	0.2698136	0.2175284	0.9103803	0.2164741	1.0563825	1.4058016	0.9363211	0.7203937	0.4298136	0.0294356	0.4948605	0.4351913	1.0678578	0.2459814	0.4554511	0.4467102	0.9714799	0.1110148	1.2522032	0.6952087	1.2394119	0.1191340	0.9514359	0.0454736	0.0828196	0.8374664	0.5682828	0.1298036	0.6505493	0.2747436	0.0772375	0.7863549	0.6427919	0.8388358	0.9204613	0.9669061	0.2877882	0.1430125	0.0888277	0.9690939	0.0909479	0.4718700	0.5234927	1.2624711	0.1199246	1.1005190	0.1237989	0.2560969	0.2385163	0.0939354	1.0985205	0.2626687	0.6185349	0.2786135	0.4130596	0.0513544	1.5348020	0.9268607	0.7750083	0.5325765	0.4194734	0.5389722	1.7742698	0.0573292	0.9322243	0.6657278	0.0022655	1.2089398	0.5325954	0.9004293	1.0572574	1.2147863	0.0724089	0.8385621	0.1254405	0.5457124	1.0118184	1.1457731	0.0236589	0.7522185
0.8559867	0.4757917	0.8467174	0.0000000	0.3191940	0.9459507	0.4065439	0.6453376	1.2151380	0.7530384	0.5641718	0.4356500	0.2665151	0.3591648	0.2445709	0.3884514	0.7251239	0.5328430	0.7608059	1.0026170	0.1471218	0.0384622	0.7636869	0.5311824	0.7979837	0.9335537	0.6050498	0.7601525	0.1673843	0.1276431	0.2308865	0.4453715	1.2839604	0.4367318	0.0792024	0.2590670	0.6815965	0.0083323	0.7255925	0.3093992	1.2554930	0.0680734	0.7933558	0.0568447	0.1791337	1.2334465	0.5748765	0.4344275	0.7287698	1.3324800	0.9517298	0.6206350	0.4556518	1.0248861	1.4823943	0.7899106	0.3821402	0.0917246	0.1011171	0.9238729	0.0383579	0.4030946	0.6959355	0.8252197	0.0772507	0.9632329	0.3016565	0.0812080	0.0701223	0.2256818	0.4870323	0.3584007	0.4212558	0.1100195	0.6605056	0.0207882	1.1644364	0.6552017	0.6636156	0.3934788	0.3910753	0.0186671	1.3026859	0.0091736	0.9554457	0.7593384	0.0453405	0.6486220	0.3893265	0.9019728	1.2200919	0.9530475	0.1871768	1.0522071	0.1839267	0.8838976	0.7157218	0.8094208	0.2337572	1.0673111
0.8212966	0.2462551	0.6443554	0.4867973	0.0000000	0.7718619	0.8871794	0.8757172	1.0276379	0.1517354	0.3301812	0.1090028	0.5206116	0.7091332	0.5534415	0.4813616	0.5252024	0.6132811	0.8982314	0.4542933	0.4552054	0.3522811	1.0599273	1.4337141	1.0400469	0.7503845	0.4518180	0.8247990	0.3371957	0.0067343	0.5421315	1.1072789	0.9634010	0.4687026	0.5064969	0.5296409	0.9718337	0.0309507	1.3369661	0.6800285	1.0605628	0.0957335	1.2063502	0.0646719	0.2642777	1.0265778	0.0309375	0.2124132	0.6311667	0.7175143	0.0175790	0.8527811	0.5435124	0.5322231	1.0054641	0.9032412	0.3334400	0.0088432	0.1027436	1.1097073	0.1336979	0.1799758	0.5755919	0.7340904	0.2897078	0.8068162	0.0219440	0.2471906	0.5948092	0.1065838	0.8421738	0.4974537	0.1771882	0.2905449	0.4401145	0.0485295	0.9165651	0.4704195	0.5752148	0.5889427	0.4635116	0.1073028	0.7472218	0.1113458	0.6124418	0.8281057	0.0053489	0.6999135	0.1234349	0.7887654	1.0969886	1.1703779	0.2161349	0.7766345	0.1215797	1.0006100	0.9742091	0.9362860	0.3367886	0.8001084
0.4233863	0.4536558	0.8011562	0.4574249	0.2224649	0.0000000	1.1483103	0.9769179	0.7016697	0.3154532	0.3561430	0.5215617	0.5644568	0.7265697	0.4377415	0.1065594	1.0182524	0.4011422	0.2959543	0.3770065	0.5695354	0.8125379	0.8904333	0.2025075	0.5640181	1.0465397	1.2741138	1.0000281	0.1177266	0.0261853	0.3541162	0.3257515	1.1781373	0.5922432	0.0946112	0.3928877	0.6620096	0.0341598	1.3189857	0.2041235	1.1735297	0.2432821	0.5958198	0.0765442	0.1127297	0.9526044	0.4291951	0.3135737	0.8992730	0.5914059	0.6569090	0.7046509	0.9031440	0.6832589	0.7428962	0.6860285	0.1456247	0.0956048	0.1790396	0.7750446	0.0914469	0.3789722	0.5335178	0.8257588	0.4204721	0.8482296	0.3909041	0.0788087	1.4483271	0.0528273	0.6956101	0.8514935	0.6798077	0.0494225	0.7759854	0.0844918	0.8477796	0.7188039	0.5368303	0.7392521	0.6642708	0.5607172	0.7326214	0.0999870	0.6740679	0.3443741	0.0063820	0.8125350	0.0950453	1.0723576	1.2341846	0.7899694	0.5792330	0.2704549	0.6361866	0.7318682	0.7176614	0.6974056	0.0239754	0.8747621
0.3138728	0.2981415	0.8787138	0.7477701	0.1062770	0.9641773	0.0000000	0.6603175	1.4922878	0.3167077	0.4961081	0.4876133	0.6441700	0.5419511	0.3658352	0.4374323	1.0525991	0.1685980	0.3553574	0.8633223	0.5194021	0.7997293	1.0208860	0.7334216	0.7401073	1.0887185	0.3832614	0.8875282	0.5430318	0.0217972	0.8395762	0.4785294	0.8177130	0.5632313	0.4627042	0.5054355	0.8629915	0.1443374	1.1041998	0.5105022	0.9737926	0.1315042	0.5834252	0.1789515	0.3925877	1.4012490	0.8373908	0.5628207	1.1654844	0.4639134	0.5490689	0.6060779	0.5916067	0.4348254	0.9756405	1.6228238	0.3979313	0.1611250	0.0143057	1.0490827	0.2452071	0.0700442	0.3666912	0.4193792	0.2999429	0.5916876	0.1584742	0.1043942	0.2007267	0.0503857	0.4209983	0.5718835	0.4085104	0.0369150	1.1392510	0.0565625	0.7976080	0.9517574	0.8866018	0.9014031	0.4640257	0.3326796	1.4921698	0.1020868	0.3813259	0.3630296	0.0019366	0.3803445	0.2010537	1.3473875	0.5888112	1.0708091	0.0582435	0.9047506	0.0282724	0.7541052	0.9538515	1.4602560	0.0615981	0.9261935
0.1689108	0.8434478	0.7766078	1.2522444	0.1542296	0.1742303	1.2279745	0.0000000	1.1439397	0.1806045	0.4678951	0.2509723	0.1848787	0.4510558	0.3377108	0.4963219	1.1718975	0.6173971	0.8762767	0.5353967	0.3889686	0.1754343	0.9988316	1.0783514	1.2507181	0.6788167	0.7661268	0.7508741	0.1054321	0.0579791	0.3437980	0.6034590	0.6176479	0.3018591	0.2350393	0.0333443	0.9903362	0.0103595	0.7344412	0.6567798	1.5072052	0.0923513	1.0009666	0.0810958	0.1524322	0.9846411	0.4496843	0.5118867	0.9857682	0.3789129	0.1803616	1.1753773	0.8354777	0.3394635	0.8945204	1.2431267	0.2953568	0.0182517	0.0412848	1.5078717	0.0262150	0.2006014	0.4000776	1.0770173	0.0447958	1.2243086	0.1491687	0.2652347	0.1595527	0.1031274	0.8584329	0.3266847	0.3760275	0.2071012	0.3498828	0.0372441	0.3465692	0.8172944	0.6252238	0.9256273	0.6151274	0.6634920	0.8619856	0.2111785	0.7871665	1.0287016	0.2453925	0.6570876	0.1728673	1.2739844	0.9620838	1.2290198	0.1292204	1.2466505	0.2499700	0.8308525	0.8486236	1.0741831	0.1322646	1.4582409
0.7128683	0.6634354	1.0752711	0.3054598	0.1673980	1.0639682	0.7186005	0.3662336	0.0000000	0.9280337	0.9215658	0.8089844	0.3803542	0.4193088	0.1837605	0.5293023	0.5559304	0.0463034	0.8382737	0.9068999	0.3016552	0.5295037	0.9552846	0.6653930	0.7175779	0.8054685	0.4666007	0.6878686	0.1327723	0.0579524	0.3656283	0.2130606	1.0113503	0.3738212	0.1881169	0.2395428	0.6726488	0.0854358	1.0691431	0.4628746	1.1448829	0.0519541	0.8054334	0.1684699	0.2771587	1.1062510	0.8857316	0.2046090	0.7338111	1.1192734	0.6624198	0.5104201	0.7991891	0.6117121	1.0083548	1.1405804	0.3989336	0.0949414	0.1331720	1.0741045	0.0427133	0.0812394	0.4750834	0.7913412	0.4582692	0.8925434	0.2656804	0.1111221	0.3162033	0.3664889	1.0789458	0.4305423	0.4129744	0.1244733	0.5513996	0.1435867	1.0667787	0.6510173	0.5056882	0.5018436	0.3243709	0.4700931	0.9022348	0.1034874	0.6597256	0.4369651	0.8084153	0.9441865	0.3124867	1.0917976	0.6282055	1.0390707	0.1476397	0.7222919	0.1599727	0.9485991	0.6680408	1.1958048	0.0533384	1.1596746
0.8486074	0.5896433	1.2862956	0.6035670	0.1253070	1.1431113	0.9259698	0.9037942	1.1272435	0.0000000	0.3624554	0.0407186	0.1891686	0.6522905	0.4457832	0.3674510	1.0479350	0.3273622	0.7508713	0.2580080	0.2042883	0.0850401	0.5308379	0.9743499	0.6823117	0.9369298	0.7103813	1.1312123	0.4665261	0.0515176	0.6643114	0.5139597	0.9051176	0.7350574	0.2910016	0.1491014	0.6910452	0.0079468	0.6495790	0.8032421	1.0234159	0.1373666	1.1467142	0.0665545	0.2024031	1.0191856	0.9367482	0.3985761	0.9245263	0.7542701	0.5266982	0.6129932	0.4976833	0.6979923	0.9188383	1.6282786	0.3502839	0.0141760	0.1481560	0.7688810	0.0215908	0.1936761	0.8112091	0.5841583	0.1490086	0.7201936	0.0307338	0.2067557	0.1229283	0.0400049	0.6120378	0.1063526	0.7892220	0.0877176	0.3065401	0.2498706	1.3207718	0.9257681	0.4689540	0.2784787	0.4047423	0.2196948	1.0241316	0.1291835	1.0481614	1.4698604	0.2937982	1.0427803	0.6775623	1.0077610	1.4509585	0.9273776	0.0170627	1.3685374	0.3162128	1.1243438	0.8778008	0.7761506	0.0334441	0.8234514
