G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0,1705889	0,2327320	0,2022604	0,0622958	0,5014654	0,0393250	0,3920419	0,3382202	0,4424239	0,6129849	0,1649559	0,0472541	0,6166003	0,5113810	0,3045024	0,6906262	0,2167136	0,0279124	0,1848471	0,0850191	0,3002931	0,1652722	0,4106889	0,4592712	0,1342626	0,3657220	0,1841920	0,5761614	0,2702802	0,0651435	0,3761500	0,2044237	0,2958507	0,1823314	0,0081622	0,3604506	0,4279939	0,3246030	0,0525038	0,4211032	0,0353029	0,1172753	0,2018976	0,6456646	0,1944315	0,3229915	0,3708999	0,3390513	0,6585211	0,2099371	0,1480930	0,0822682	0,3674936	0,4849594	0,3085362	0,4567635	0,1205857	0,1301354	0,2153235	0,3755762	0,0542841	0,4540936	0,2653135	0,2430801	0,0039866	0,3867105	0,1711527	0,1166880	0,5794110	0,2712478	0,2768302	0,0854716	0,4708203	0,1620814	0,3287590	0,0434432	0,1467111	0,2958909	0,1988165	0,4375280	0,0654941	0,4385317	0,2548370	0,2897746	0,0534013	0,3570441	0,2565043	0,1380061	0,0743360	0,1967265	0,2861471	0,3634195	0,5191285	0,3920445	0,1560523	0,4124523	0,2240453	0,4914600	0,2253394	0,1593205
0,5688108	0,1810666	0,2497014	0,0143629	0,5466492	0,1653528	0,3906810	0,3220658	0,5260727	0,4452434	0,2530449	0,1700484	0,5635825	0,7236238	0,6615569	0,4961379	0,3090096	0,0066638	0,6975697	0,4549223	0,4067647	0,4485534	0,4949274	0,7273245	0,2791445	0,1163656	0,2359310	0,4832835	0,6744155	0,0111651	0,2958554	0,0539536	0,2099951	0,6790414	0,0124812	0,2243175	0,1549004	0,2832923	0,2746886	0,2066910	0,0367171	0,2948796	0,0740754	0,4454183	0,2224764	0,1944431	0,1516515	0,5392600	0,5999198	0,3204721	0,0075194	0,0297141	0,3907308	0,5249283	0,1811197	0,5648561	0,0124242	0,5185734	0,0584894	0,3525827	0,0169749	0,0825131	0,2372000	0,5628701	0,0048414	0,4631289	0,4873792	0,2728543	0,5932861	0,0969135	0,2864307	0,2855830	0,3741082	0,0335801	0,4670513	0,0260314	0,0808147	0,0556479	0,2371363	0,0300767	0,0080569	0,6476049	0,4705719	0,2616861	0,0292124	0,1056782	0,1038389	0,4616574	0,1061978	0,3682990	0,4095718	0,6104220	0,4606194	0,2604371	0,6001185	0,0443990	0,3691271	0,0566087	0,5470313	0,1064588
0,5294740	0,5238919	0,1295924	0,0952288	0,3265510	0,0413489	0,4974482	0,3118493	0,4621710	0,2728056	0,3321633	0,1904280	0,5610509	0,4521904	0,4422554	0,4763018	0,4683366	0,0460016	0,5391400	0,2645734	0,1593154	0,2416133	0,3737422	0,3589519	0,0845783	0,3798003	0,3636548	0,4860873	0,4375872	0,0043635	0,3282581	0,0178636	0,4589613	0,4415612	0,0266223	0,1220790	0,0741713	0,4327111	0,3875643	0,1835804	0,0579417	0,3121852	0,0614845	0,2703691	0,1202425	0,0987469	0,2049550	0,5542957	0,4715321	0,1347957	0,6735759	0,0945740	0,4346500	0,4452698	0,3250901	0,3243081	0,0584544	0,4082957	0,3323296	0,5411578	0,0239578	0,1268960	0,4903970	0,4395483	0,2689844	0,3549285	0,3871550	0,3686712	0,5562749	0,1779371	0,5621130	0,3947401	0,3014237	0,0193351	0,3018810	0,0481113	0,5004911	0,0954700	0,4762836	0,0693559	0,0789721	0,3609356	0,4266026	0,2936244	0,1546740	0,2267596	0,3122580	0,6144298	0,4097952	0,2416101	0,4559606	0,3471841	0,4164163	0,3222023	0,2063766	0,0465198	0,3005887	0,0760184	0,4344482	0,0771417
0,4057008	0,3465370	0,3544878	0,0151202	0,5482157	0,0193348	0,7244324	0,2528119	0,5756579	0,2494993	0,1744433	0,1841117	0,6437029	0,4459755	0,6635240	0,4425375	0,5107226	0,0880008	0,1962141	0,0996165	0,3023881	0,0676242	0,3960710	0,4213468	0,1701728	0,0937386	0,4317174	0,3842155	0,2479937	0,0398374	0,3907348	0,0784758	0,1366522	0,4416131	0,0088479	0,1599202	0,2198505	0,4993142	0,4190235	0,1500542	0,0360340	0,2622685	0,0686178	0,6455512	0,3450871	0,1765484	0,0944125	0,5754116	0,6309578	0,3022090	0,0526779	0,1844248	0,1938866	0,6853820	0,2756035	0,5441716	0,0201447	0,4331483	0,4506086	0,4714446	0,0348980	0,1216953	0,4827432	0,7227443	0,0231139	0,3507220	0,6586244	0,3034797	0,4460154	0,0760043	0,4799916	0,3923193	0,6982928	0,0617666	0,5583446	0,0074651	0,3210426	0,0601161	0,1674355	0,0670132	0,0225931	0,5421292	0,4368555	0,1111054	0,0261612	0,2115174	0,1482130	0,6280530	0,0780060	0,3791879	0,3554337	0,1448272	0,4696932	0,3414938	0,5224680	0,0384522	0,3390451	0,0759895	0,3460324	0,1718593
0,6246461	0,2696473	0,2570093	0,0361670	0,2489054	0,1399790	0,4629510	0,3791500	0,5039063	0,5068615	0,2278414	0,1030987	0,5968785	0,3121958	0,5100562	0,4259105	0,5243595	0,0328261	0,2117881	0,1556135	0,2940131	0,1024664	0,4162242	0,6084628	0,1812048	0,1854403	0,3280609	0,4526874	0,1882254	0,0595971	0,1780006	0,0401495	0,2158002	0,6057632	0,0123073	0,2657914	0,1401456	0,3075023	0,3954778	0,0540030	0,0347544	0,2215776	0,1048625	0,6547995	0,2848351	0,1538587	0,2152176	0,3197332	0,5342710	0,1035576	0,0516831	0,0386410	0,3231606	0,4824851	0,2901446	0,4673370	0,0509670	0,5909228	0,4219617	0,7403910	0,0746489	0,0755698	0,4940754	0,4538014	0,0030661	0,5559226	0,5614341	0,3723020	0,3262159	0,0639926	0,4846813	0,3695091	0,5639153	0,0292130	0,4958668	0,0021265	0,3094778	0,0654449	0,4213433	0,0667828	0,0100211	0,2137704	0,2209023	0,3813234	0,0838504	0,2703328	0,1736353	0,4171750	0,0638585	0,4414439	0,4987627	0,1835775	0,4835528	0,3923945	0,4920735	0,0143771	0,3723413	0,0706679	0,4315613	0,0397624
0,6244661	0,3162399	0,3481436	0,0377002	0,4800396	0,0378387	0,5311074	0,1046899	0,2851469	0,3712388	0,3275474	0,1588818	0,3272929	0,3583052	0,5006220	0,4956222	0,5905186	0,0209417	0,1737508	0,0350480	0,2520053	0,0939319	0,5300339	0,3002556	0,1539802	0,2647672	0,4502511	0,5195764	0,1041650	0,0323890	0,4052655	0,0898354	0,4084404	0,3456340	0,0656654	0,1615063	0,0601446	0,3165241	0,4586275	0,1563307	0,0342529	0,3768448	0,0088021	0,4084991	0,3955438	0,1589243	0,1942260	0,3662205	0,4925112	0,5201574	0,0313853	0,0115353	0,2951838	0,5796891	0,3377199	0,6165407	0,0086465	0,5216061	0,3019222	0,4739039	0,0079206	0,1232152	0,3901386	0,2915671	0,0459736	0,5261139	0,3519080	0,4626507	0,4544735	0,0525834	0,5495943	0,2053698	0,2109161	0,0594748	0,2518074	0,0246642	0,2879280	0,0285150	0,3405797	0,0303699	0,0410128	0,3379827	0,5846035	0,2593775	0,0141833	0,1117057	0,1036101	0,6966836	0,0508144	0,2718671	0,4618872	0,0964880	0,6371739	0,4717348	0,3900719	0,0400941	0,3285657	0,1018322	0,2271594	0,0149276
0,4926443	0,4043021	0,2233563	0,1251178	0,4328884	0,0595783	0,2118398	0,3120487	0,5515125	0,2746148	0,2398224	0,1667716	0,4568491	0,5070356	0,6448765	0,5299033	0,2544094	0,0067506	0,2778591	0,1334665	0,1047905	0,0915617	0,3985793	0,5298637	0,1528685	0,1321784	0,2178110	0,5590009	0,3606077	0,0520493	0,5263368	0,0165948	0,2537957	0,3241669	0,0664022	0,1178687	0,2471307	0,3324282	0,4687968	0,0988783	0,0238813	0,3000412	0,1003134	0,6060570	0,0816900	0,1739960	0,3351074	0,5949751	0,3171465	0,2104428	0,4196739	0,1413030	0,2816296	0,3161394	0,3775531	0,4382649	0,0218964	0,4262952	0,0487049	0,6040482	0,0722016	0,1304118	0,3029105	0,3488263	0,0233817	0,3618783	0,4830487	0,2461240	0,3535803	0,1451209	0,4998821	0,1916203	0,5941985	0,3472815	0,5072782	0,0270560	0,1870271	0,2112680	0,3475847	0,0417395	0,0235625	0,3814070	0,5643236	0,2140878	0,0192723	0,2541362	0,1656344	0,5474840	0,3133332	0,5822672	0,4712378	0,6466317	0,3035955	0,2336248	0,5394072	0,0794553	0,3893787	0,0259404	0,4197121	0,1016185
0,5720789	0,6694467	0,3300336	0,0379960	0,4342387	0,0407771	0,4764154	0,1997599	0,6388606	0,6077434	0,3438596	0,2208922	0,6127799	0,4124470	0,6712006	0,4421558	0,6108783	0,0434315	0,1754032	0,1603779	0,1675587	0,1629479	0,3878884	0,4224412	0,0987338	0,2998785	0,2700090	0,5631466	0,4981123	0,0532563	0,6094857	0,0272210	0,1423661	0,2928748	0,0114494	0,2301482	0,0124007	0,3127906	0,2958074	0,2250099	0,0045167	0,2984813	0,0064741	0,4248084	0,2472101	0,1410825	0,1465421	0,7267501	0,4690329	0,2760454	0,0503946	0,1039756	0,3382620	0,5061784	0,2574646	0,5184800	0,0543701	0,6194018	0,2481405	0,2322137	0,0406041	0,0858227	0,4421949	0,4348476	0,0362293	0,6077980	0,5795861	0,5123651	0,5634095	0,0125027	0,4916954	0,4461019	0,6084691	0,0394437	0,6966728	0,0261588	0,4095993	0,0314008	0,4571791	0,0863066	0,0753591	0,3175871	0,3867785	0,0525931	0,0432287	0,1944869	0,0519273	0,5746457	0,0604520	0,4904657	0,4727237	0,0760893	0,4626739	0,5262803	0,2240450	0,0191013	0,2816922	0,0147809	0,5044451	0,0059708
0,3619587	0,4563550	0,1885482	0,0398242	0,4470176	0,0645669	0,5535795	0,2584087	0,1492902	0,3986594	0,2128204	0,1821284	0,5964105	0,5332664	0,4129492	0,4791463	0,4546578	0,0355178	0,2532313	0,0647526	0,1710300	0,3883489	0,4827936	0,3661773	0,1898044	0,4488482	0,3790862	0,4159446	0,2902987	0,0198917	0,2141274	0,0307907	0,2092811	0,4703890	0,0284119	0,2044508	0,1246651	0,4337220	0,5793953	0,1063928	0,0145883	0,3044684	0,0163524	0,2208894	0,4142409	0,0873318	0,1757561	0,6265838	0,2822960	0,4078746	0,2645592	0,1187785	0,1079930	0,5249899	0,2293345	0,3707236	0,0328350	0,3186040	0,5256282	0,6213490	0,0703393	0,1330933	0,5550696	0,6367883	0,0503904	0,4733953	0,3831643	0,3075143	0,4986017	0,2009074	0,3706070	0,2825624	0,3097933	0,0909192	0,3217499	0,0087117	0,5024235	0,0125683	0,2770606	0,0948910	0,0722554	0,3588621	0,3096205	0,4762869	0,0442636	0,1572890	0,0639534	0,4701908	0,1691903	0,4642509	0,3939633	0,2040924	0,6730655	0,4797972	0,3309184	0,0737961	0,3943280	0,0228923	0,4582920	0,0864971
0,4653101	0,5040125	0,2913202	0,0054538	0,7289145	0,0668123	0,4666472	0,3400766	0,4432627	0,1930349	0,3753051	0,1836697	0,3345669	0,2010976	0,5205822	0,4318751	0,5551266	0,0139665	0,1145114	0,0686076	0,1963398	0,1464403	0,5987593	0,2409996	0,0527856	0,1692746	0,3598549	0,6489640	0,4777586	0,0719049	0,6540239	0,0322097	0,1106635	0,4539014	0,0340591	0,2238716	0,1956245	0,3129990	0,3781145	0,1270384	0,0527776	0,1595669	0,0132127	0,4679794	0,2904229	0,0910809	0,0462480	0,6289562	0,5486862	0,4328096	0,0576413	0,0078066	0,1930257	0,4195132	0,3785776	0,3211664	0,0262023	0,4307968	0,2525724	0,4343114	0,0253157	0,1146837	0,2833280	0,4363919	0,0236763	0,5390373	0,5768766	0,3426598	0,4500834	0,1839700	0,5124870	0,4216061	0,4505745	0,0609697	0,2458127	0,0156863	0,2423848	0,0431323	0,3092108	0,0698332	0,0096069	0,5075888	0,5243095	0,2016785	0,0130948	0,1489390	0,1419821	0,3489866	0,1318441	0,2191094	0,4711238	0,1610648	0,3852028	0,2695936	0,5894028	0,0332800	0,3219147	0,0568576	0,4462458	0,0398391
