G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.5153010	0.2339738	0.8179740	0.3124452	0.9566453	0.4791195	0.5415992	0.4856994	0.9547980	0.8597113	0.8669350	0.2431014	0.3869164	0.3550148	0.7952001	0.3894931	0.9822144	0.6284557	0.1142939	1.0000130	0.6091323	0.4095994	1.0028273	0.5568613	0.0357152	0.0394088	0.2207456	0.9851093	0.7459202	1.0071540	0.6984323	0.9981975	0.1221987	1.0384675	0.8883771	0.5022489	0.6070286	0.7525457	0.8316879	0.4917216	0.3498763	0.6101334	0.2550632	1.0222880	0.9915168	0.0093494	0.1940329	0.8182418	0.6272965	0.4190997	0.5403296	0.9370799	0.4885514	0.9611631	0.9616029	0.1121727	0.7870296	0.8466565	0.9621788	0.8195217	0.8577077	1.0016720	0.5419349	0.3415167	0.3757781	0.7511923	0.4394596	0.3715665	0.9777354	0.2696665	0.2381083	0.2455314	0.2079650	0.5893240	0.5843561	0.2091535	0.0041813	0.6786244	0.7613631	0.2985740	0.4743283	0.3967487	0.7536701	0.2426473	0.5332720	0.9973822	0.3305325	0.7453434	0.6675984	0.8756095	0.6263706	0.6064624	0.7896741	1.0125845	0.9507014	0.9618906	0.4819745	1.0154250	1.0163900	1.0114830
1.0245323	0.0611524	0.6938620	0.5970206	0.3762182	0.6822028	0.6958140	0.0843200	0.9355653	0.2971667	0.9069449	0.8822759	0.7738752	0.4792950	0.9876760	0.2478471	0.4779056	0.6679119	0.3823999	1.0181740	0.3061940	0.0412229	0.9749999	0.5676175	0.0342220	0.0378793	0.1941568	0.9966076	0.7967422	0.9652148	0.6876821	1.0219484	0.1520374	0.9880315	0.7917313	0.4770248	0.6486159	0.7908236	0.6604215	0.5156918	0.0264010	0.3168727	0.4646767	1.0002267	0.9438365	0.0175291	0.1724870	0.6957885	0.6231665	0.8054907	0.3552825	1.0168348	0.1124173	0.6638349	0.8776730	0.2132012	0.6025260	0.7571483	1.0152547	0.7747166	0.8082720	1.0291540	0.5489012	0.3441834	0.3859891	0.7799898	0.4489938	0.3289339	0.9849535	0.3208691	0.2368300	0.2731654	0.2444768	0.5734081	0.5434114	0.2130014	0.0044879	0.6903889	0.7380544	0.2959404	0.4861910	0.3641421	0.8098606	0.1789042	0.4991300	0.9787532	0.3203956	0.7721265	0.6377536	0.8619642	0.6225370	0.5963166	0.7918714	1.0153175	0.9743292	1.0390371	0.4133391	0.9892818	0.9684395	1.0285690
0.9822296	0.1143982	0.3528305	0.7130364	0.4284297	0.6657269	0.7249533	0.1001023	0.9301978	0.3231036	0.8898811	0.8612771	0.8025230	0.5433808	0.9349883	0.2564994	0.5188946	0.6662185	0.3033411	0.9896152	0.3668925	0.0299818	0.9960878	0.5366376	0.0339781	0.0446926	0.2196981	1.0382660	0.8008166	1.0186730	0.6881734	1.0304339	0.1486320	1.0155451	0.8274162	0.4907729	0.6153286	0.7303221	0.6637090	0.5032125	0.0219852	0.3519972	0.3882922	1.0685819	1.0121818	0.0121317	0.1598591	0.7089401	0.6698599	0.7050802	0.3253793	0.9573527	0.1274416	0.7656169	0.8639898	0.1607473	0.6538068	0.7761070	0.9651397	0.8117300	0.8715384	0.9691066	0.5218333	0.3803068	0.3972895	0.7643894	0.4292707	0.3130650	0.9894740	0.2292134	0.2351749	0.2449159	0.1914332	0.5823858	0.5919981	0.1780631	0.0023348	0.6454009	0.7821969	0.2604836	0.5085428	0.3985507	0.7889618	0.2110264	0.5035359	0.9265761	0.3340711	0.7933911	0.6976462	0.8969902	0.5737284	0.5919512	0.7540330	0.9818432	0.9772696	0.9839871	0.4334529	0.9848400	1.0473434	0.9696730
0.9897938	0.1175542	0.7016077	0.2689603	0.3888693	0.7063518	0.7014030	0.1094394	0.9078640	0.3128036	0.9434934	0.9173066	0.8125577	0.5154749	0.9759218	0.2334510	0.4682173	0.6374588	0.3515717	0.9918323	0.2905288	0.0435048	1.0552420	0.5773307	0.0392076	0.0582935	0.1900565	1.0376006	0.7873962	1.0225125	0.6616719	1.0189477	0.1312159	1.0244882	0.8249302	0.5142925	0.6590834	0.7290939	0.6562838	0.5032017	0.0198944	0.3499987	0.4001568	1.0050000	0.9521529	0.0187907	0.1737447	0.7311303	0.6327972	0.7953814	0.3446315	0.9439376	0.1118850	0.6635791	0.8687430	0.1817178	0.5592432	0.7982375	0.9563048	0.7968604	0.9030617	1.0117957	0.5574952	0.3481652	0.3605213	0.7637483	0.4349260	0.3473216	0.9975624	0.2750308	0.2350805	0.2541489	0.2283510	0.6072396	0.6285779	0.2233268	0.0005470	0.7037621	0.7800099	0.3244161	0.4916509	0.3350921	0.7839496	0.1878869	0.5141644	0.9998728	0.3190483	0.7448590	0.6144349	0.8607976	0.5883481	0.5784648	0.7609490	1.0017333	0.9738122	0.9659934	0.4057861	1.0295229	0.9682079	1.0081895
0.9412370	0.1221332	0.8082395	0.1567463	0.2125649	0.7975499	0.7169642	0.1111615	0.8860801	0.3598959	0.8517522	0.9419800	0.8425861	0.6283498	0.9800252	0.2703755	0.2285894	0.5974768	0.4562444	1.0710681	0.1585672	0.0300493	1.0140354	0.5823740	0.0332366	0.0434133	0.2016283	0.9969068	0.7690583	0.9886366	0.6826318	1.0483675	0.1340124	1.0455248	0.6124441	0.4725033	0.6517391	0.7642761	0.5923048	0.4983655	0.0188006	0.2676642	0.4854492	0.9820178	0.9338874	0.0087445	0.1431049	0.6709069	0.6716328	0.9313205	0.2466509	0.9818503	0.0560926	0.4548871	0.8442103	0.2948784	0.4144983	0.6502860	0.9748077	0.8355833	0.8412241	1.0069428	0.5609410	0.3401030	0.3942157	0.8094778	0.3662773	0.3341462	1.0312495	0.2881383	0.2374436	0.2211511	0.1956006	0.5694646	0.5256309	0.1944912	0.0067422	0.6824548	0.7179287	0.3296587	0.4382734	0.4028042	0.8137946	0.1977690	0.5178612	1.0180052	0.3053382	0.7632532	0.5973701	0.8836303	0.6398706	0.6225666	0.8112772	0.9741088	0.9836490	0.9755547	0.4100905	0.9628910	1.0024417	1.0308766
0.9781891	0.1243070	0.7010778	0.6921388	0.3880077	0.3440235	0.7136758	0.0981671	0.8820663	0.2966913	0.8712036	0.8461779	0.8797740	0.5155119	0.9728699	0.2541423	0.5394154	0.6175187	0.3523511	0.9773425	0.3667027	0.0377613	1.0385126	0.5551019	0.0242264	0.0416939	0.2180137	1.0625158	0.7716746	1.0381477	0.6880261	1.0299492	0.1402422	0.9823071	0.7721891	0.5070543	0.6728982	0.7881002	0.7160140	0.4717591	0.0286614	0.3565158	0.3831761	0.9843937	0.9905520	0.0141744	0.1613186	0.7367107	0.6324357	0.7261249	0.3307249	0.9277516	0.1285339	0.7084342	0.8756542	0.1736606	0.6252753	0.8321109	0.9410945	0.7664160	0.8724814	0.9963890	0.5482919	0.4070518	0.3841592	0.8066809	0.3570242	0.3236386	0.9909301	0.2651263	0.1971284	0.1843937	0.1761421	0.5825724	0.5375866	0.1517108	0.0017031	0.6742877	0.8023507	0.2967456	0.5039383	0.3510861	0.7397321	0.1847061	0.5254276	0.9428463	0.3475129	0.7945702	0.6740916	0.9690764	0.5705586	0.5635140	0.7080988	1.0101826	0.9906082	0.9708843	0.4124628	1.0290860	0.9804276	1.0126741
0.9977271	0.1113620	0.7245916	0.6446715	0.4293509	0.6633315	0.3600866	0.0914484	0.9080749	0.3061501	0.8468945	0.9149388	0.7745399	0.5404330	1.0064618	0.2790361	0.5107095	0.6476989	0.3308173	0.9624872	0.3910462	0.0384556	1.0201649	0.6204307	0.0345650	0.0490059	0.2421600	1.0331403	0.6528876	1.0265249	0.7323866	0.9979450	0.1556641	1.0162914	0.7545908	0.5017949	0.5731486	0.7125446	0.6311197	0.4748792	0.0313740	0.3963250	0.3882188	1.0077853	1.0081867	0.0108860	0.1809780	0.7755981	0.6649228	0.7601023	0.3377555	0.9604980	0.1219068	0.7484744	0.8718072	0.1961308	0.6203611	0.7881277	1.0026244	0.8314589	0.8277598	0.9619370	0.5358602	0.3199116	0.3853742	0.7584694	0.4611057	0.3650473	0.9693037	0.3081633	0.2619707	0.3289202	0.3031145	0.6437009	0.5223766	0.2470470	0.0014433	0.6353984	0.8442175	0.2839583	0.4679057	0.3698923	0.7526227	0.1799910	0.5017225	0.9787915	0.3532253	0.7748527	0.7295753	0.9431583	0.5209749	0.5760471	0.7516974	1.0200053	0.9614587	1.0174747	0.4249788	0.9943657	1.0275342	0.9990492
1.0182580	0.1105567	0.7120200	0.7283200	0.3943617	0.6474426	0.7424497	0.0501244	0.9791946	0.3141330	0.8731421	0.9357319	0.7605294	0.4810684	0.9691751	0.2699407	0.5210238	0.6643247	0.3274792	1.0120242	0.3612930	0.0451442	1.0528309	0.5980189	0.0289013	0.0472304	0.2201266	0.9858724	0.7804182	0.9932598	0.7000513	0.9681874	0.1478794	1.0436951	0.7981195	0.4825182	0.6455174	0.7223381	0.7023360	0.4911720	0.0265420	0.3380774	0.4054604	0.9920684	0.9784114	0.0074368	0.1851992	0.7215072	0.6678008	0.7359022	0.3716165	0.9793258	0.1178899	0.7721400	0.9398867	0.1544216	0.6227011	0.8193543	1.0140149	0.7833400	0.8353903	1.0050397	0.5329564	0.3894489	0.3775990	0.7986974	0.3641213	0.3271339	0.9694160	0.3061078	0.2456829	0.2134928	0.1738540	0.5631212	0.6059198	0.1736516	0.0016772	0.6641575	0.8093724	0.2686354	0.4620642	0.3826135	0.7976927	0.2194447	0.5358083	0.9939433	0.3345498	0.7831128	0.7187869	0.9029282	0.5891574	0.5779674	0.7607437	1.0195173	1.0022013	0.9457374	0.4221872	1.0317440	1.0119802	1.0516648
1.0219394	0.1077805	0.6985173	0.5528228	0.3803443	0.6825211	0.7128921	0.0869864	0.4654420	0.3143617	0.9014786	0.9089094	0.7512923	0.5776904	0.9959892	0.2732478	0.4522502	0.6441036	0.3521620	0.9879163	0.3085707	0.0402351	0.9559227	0.5539897	0.0242497	0.0494347	0.1829524	1.0141263	0.7472658	1.0077971	0.6587208	0.9618735	0.1418509	0.9744999	0.7999425	0.5554844	0.6282273	0.7358980	0.6765645	0.4916021	0.0252271	0.3448680	0.4225496	1.0329214	0.9874351	0.0124677	0.1885854	0.7115295	0.6410992	0.8193256	0.3346805	0.9765047	0.1095649	0.6808543	0.8768500	0.1794628	0.6190163	0.7791327	0.9823918	0.8415822	0.8509350	1.0056812	0.5514607	0.3511615	0.4036314	0.7814827	0.4030151	0.3511501	0.9988999	0.2344761	0.2272146	0.2480356	0.1950740	0.6024004	0.5423587	0.2309259	0.0038730	0.6716519	0.8221840	0.2853542	0.4819022	0.3673738	0.7822777	0.2354663	0.5595571	1.0025720	0.3414284	0.8191458	0.7707708	0.8890934	0.6015214	0.5701405	0.7977286	0.9748712	1.0413703	1.0364582	0.4361221	0.9683821	0.9761243	1.0451892
1.0325596	0.1346847	0.6863046	0.6860290	0.3988234	0.6593968	0.6825660	0.1061977	0.9588561	0.1693616	0.8340770	0.8605770	0.7964254	0.4993554	1.0083120	0.2914676	0.5553632	0.6306140	0.3193801	0.9816181	0.3811582	0.0462467	1.0226197	0.5116627	0.0281885	0.0473321	0.2153191	0.9923774	0.7679313	1.0098143	0.7089891	0.9816609	0.1474783	1.0409027	0.8242746	0.4889010	0.5887558	0.7488162	0.6907898	0.4992656	0.0286236	0.3711309	0.4120409	1.0117650	1.0450866	0.0074613	0.1824370	0.7423462	0.6233399	0.7318623	0.3357264	0.9556146	0.1247854	0.7921469	0.8939548	0.1669863	0.6084005	0.7861300	0.9939630	0.8125422	0.8347447	1.0196672	0.5193153	0.3398328	0.4088928	0.7882171	0.3921598	0.3274365	0.9544085	0.2599240	0.2250385	0.2156825	0.1869914	0.5917330	0.6039127	0.1849512	0.0021411	0.6536579	0.7562754	0.3161373	0.4796264	0.3793310	0.7558409	0.1907785	0.5176823	1.0237470	0.3436410	0.7765615	0.6665482	0.8271011	0.5966964	0.6009124	0.7746557	1.0393562	0.9936029	0.9613422	0.4162997	1.0107303	1.0002471	0.9729413
