G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.2754091	0.0104692	0.7932647	0.1312721	0.2201920	0.6409808	0.2258919	0.4139258	0.4658765	0.5360440	0.5232398	0.6306615	0.5215513	0.3073580	0.4161010	0.0499820	0.3184409	0.4764690	0.6679700	0.3332535	0.5097781	0.7176893	0.7439188	0.4820125	0.4342786	0.4180725	0.4030447	0.5401059	0.7066652	0.3917011	0.3169531	0.0209309	0.1209327	0.0348319	0.0039651	0.4687012	0.0787995	0.0292464	0.6424229	0.3749839	0.6947108	0.7062040	0.3000582	0.0696145	0.3906680	0.5249859	0.6565118	0.0616608	0.2256356	0.3956648	0.5315523	0.5110148	0.7796555	0.6279980	0.0445418	0.6939922	0.6193840	0.7418010	0.2921932	0.1413579	0.0933757	0.3416469	0.6392095	0.0828260	0.8102999	0.5092876	0.7046058	0.7018160	0.8287100	0.8098101	0.0479945	0.1642354	0.5915078	0.6942767	0.1170594	0.6571111	0.6852911	0.0114750	0.7641605	0.2403755	0.6549173	0.0008071	0.6427775	0.7508608	0.0200231	0.2690330	0.3609870	0.2792349	0.7423334	0.0353976	0.7022723	0.7330172	0.0334833	0.0332678	0.0081303	0.7736426	0.8300809	0.1000473	0.6332695	0.2547060
0.5250735	0.0106858	0.6859192	0.3429865	0.1605831	0.5402518	0.1535160	0.1814989	0.2911503	0.6411260	0.5183821	0.5276139	0.5164926	0.5351274	0.3289589	0.0486332	0.5935540	0.3975924	0.7291481	0.2285880	0.5624948	0.6836577	0.6406209	0.5140796	0.3602202	0.3227508	0.4004913	0.6495999	0.6071277	0.4025139	0.3232860	0.0267225	0.1159586	0.0542192	0.0058101	0.3828279	0.0864358	0.0531354	0.7154164	0.4173262	0.6763027	0.8411875	0.2591120	0.0550033	0.3961908	0.6079662	0.7623108	0.0651054	0.3186503	0.3455218	0.5647281	0.4540383	0.6964161	0.6791902	0.0334000	0.6848995	0.7773402	0.5373000	0.2667589	0.1604104	0.0899873	0.2676888	0.7504297	0.0965742	0.7025609	0.4799779	0.6720645	0.7626165	0.6242910	0.6224115	0.0452658	0.2328444	0.7909138	0.7841092	0.1488467	0.6748768	0.7003003	0.0092261	0.7312828	0.2726487	0.6571774	0.0006510	0.4771473	0.6898404	0.0109905	0.1506422	0.2490036	0.4079839	0.5536837	0.0422509	0.6200500	0.6420974	0.0595200	0.0117983	0.0133260	0.5938424	0.6302992	0.0824690	0.7378899	0.2187185
0.4407755	0.0149762	0.2884976	0.3112808	0.2108112	0.4591664	0.1538270	0.2394563	0.3635413	0.6247504	0.5578928	0.4997067	0.4365201	0.3731271	0.3950099	0.0341222	0.4586224	0.4775651	0.6389119	0.2518939	0.6459080	0.7701190	0.7585772	0.4564221	0.4668526	0.4758926	0.3126597	0.7675173	0.7505211	0.3837010	0.3946546	0.1034474	0.1197137	0.0239951	0.0008306	0.5362782	0.1020564	0.0437189	0.7767430	0.4125765	0.6988894	0.6927843	0.3079368	0.0735028	0.3929317	0.6197289	0.5784268	0.0329738	0.2630717	0.3291190	0.5406814	0.4210851	0.6821475	0.6429309	0.0256897	0.6742682	0.8969272	0.6871097	0.3167278	0.1895561	0.1201531	0.3057093	0.6820327	0.0933918	0.5874348	0.5125175	0.6882142	0.5654836	0.7268542	0.6026510	0.0223721	0.1475118	0.6883666	0.5979016	0.1101195	0.6024746	0.7342112	0.0066113	0.7021684	0.1984259	0.7736358	0.0005344	0.4333923	0.6335826	0.0122606	0.1950138	0.3128044	0.2974620	0.5740665	0.0537210	0.7413770	0.7670580	0.0533644	0.0411824	0.0631749	0.8437547	0.6368586	0.0932520	0.7899681	0.3335101
0.2828735	0.0120103	0.6021442	0.1788343	0.1895527	0.4583333	0.1390514	0.3454445	0.3459861	0.4633826	0.5241630	0.5745936	0.4928340	0.4906707	0.3239232	0.0372998	0.7076351	0.4168230	0.7333466	0.3906344	0.7000810	0.6420900	0.6730740	0.3989522	0.2998696	0.5148073	0.2463717	0.7477071	0.7449851	0.3361874	0.2581276	0.0459923	0.1334495	0.0260879	0.0010637	0.5021576	0.1018908	0.0417801	0.6768711	0.4479427	0.6852346	0.7144663	0.3008064	0.1001949	0.3668533	0.4996249	0.7377001	0.0267278	0.3244257	0.3780331	0.6884093	0.4785406	0.6379129	0.7502846	0.0312582	0.6510037	0.6170242	0.5896278	0.3688113	0.1878191	0.0675348	0.2660570	0.6862071	0.0854094	0.6932787	0.5251989	0.7019705	0.7328280	0.7166048	0.7078775	0.0523845	0.1528048	0.5666564	0.7341383	0.1790316	0.6866300	0.6807839	0.0283540	0.7203147	0.2725986	0.5649054	0.0015955	0.5927949	0.5972571	0.0194946	0.2268716	0.3188677	0.3523834	0.5864614	0.0494920	0.7062215	0.8521895	0.0397630	0.0197113	0.0129981	0.6997730	0.6645563	0.1180064	0.6381782	0.2208280
0.3961028	0.0099960	0.7328615	0.3514188	0.1013686	0.5042571	0.1740891	0.2615973	0.2619855	0.6429124	0.6043197	0.6021161	0.3819882	0.3415221	0.3691785	0.0773152	0.5816418	0.5029898	0.6032289	0.2546396	0.6538843	0.7460373	0.8395804	0.5099937	0.4274048	0.4496187	0.3644768	0.6811304	0.8793114	0.2879550	0.2510431	0.0250261	0.1088606	0.0566320	0.0086836	0.4198759	0.0776922	0.0292071	0.7497954	0.4948105	0.7751646	0.6221984	0.2310033	0.0426204	0.4182853	0.6510754	0.6715332	0.0699426	0.3092524	0.3011912	0.7190096	0.4939091	0.6960589	0.7717312	0.0170527	0.7393378	0.6118696	0.6316034	0.3726559	0.1365003	0.0482728	0.3111295	0.7452954	0.0723831	0.6449790	0.5691766	0.7414388	0.7930552	0.7178650	0.7158943	0.0487651	0.1674310	0.6960748	0.6897733	0.1432434	0.7847969	0.6143644	0.0141918	0.6983670	0.2135267	0.6651645	0.0005309	0.4967038	0.8342377	0.0133571	0.2412545	0.3491759	0.3302268	0.5156568	0.0400780	0.6071244	0.6752445	0.0421197	0.0194677	0.0164761	0.7015240	0.6867354	0.1278756	0.7117837	0.2470932
0.4094970	0.0148628	0.5525859	0.3324739	0.2148070	0.2420215	0.1597779	0.2798264	0.3167517	0.5193047	0.5250684	0.4598693	0.5487037	0.4631672	0.4371821	0.0420351	0.6150176	0.5302758	0.7207012	0.2701789	0.5965582	0.6791891	0.7424714	0.3981895	0.3985510	0.4278943	0.3600906	0.7533652	0.5734500	0.4010955	0.3131513	0.0666553	0.1707453	0.0414805	0.0158494	0.2626017	0.1387686	0.0627078	0.6219841	0.4532048	0.7491415	0.6282994	0.3526643	0.0558226	0.3887240	0.6278588	0.7204355	0.0322675	0.3461024	0.3921548	0.5535977	0.4331831	0.7673277	0.6583553	0.0472503	0.6506030	0.5994619	0.5321924	0.4669079	0.1574460	0.0919903	0.3350602	0.4795228	0.0981114	0.6699913	0.6727688	0.7275356	0.6520728	0.7054629	0.7312078	0.0350057	0.1987699	0.7445453	0.6296957	0.1810060	0.6339393	0.6957809	0.0430350	0.6775714	0.2324746	0.7452312	0.0004332	0.5080675	0.7021411	0.0259502	0.1847914	0.2503447	0.5751000	0.0663025	0.0514490	0.7539835	0.8010518	0.0590854	0.0316262	0.0190205	0.5510009	0.6088574	0.0829415	0.5971588	0.2160819
0.3998755	0.0154569	0.6565235	0.3325411	0.2461060	0.4750659	0.0996262	0.2215963	0.3147899	0.4512579	0.5744226	0.5314253	0.5647058	0.3734781	0.3347305	0.0575214	0.5154417	0.5258197	0.7152354	0.3134484	0.5965417	0.7631148	0.6660856	0.5550139	0.3589647	0.5265878	0.2885789	0.6391368	0.6835066	0.2989485	0.3036951	0.0430629	0.1191587	0.0320138	0.0002240	0.4730784	0.1177842	0.0480317	0.6255981	0.4891875	0.7382535	0.8158838	0.2943206	0.0872350	0.4442128	0.5928870	0.6848265	0.0326007	0.3280245	0.2989145	0.5896055	0.4255181	0.6182751	0.5490498	0.0134442	0.6865042	0.7378754	0.7056072	0.3819800	0.1676144	0.0640375	0.3977002	0.7149197	0.0686731	0.7999349	0.6742449	0.7371761	0.7840719	0.7060770	0.7491124	0.0384544	0.2226709	0.6699700	0.7700101	0.2277323	0.8387871	0.7661387	0.0220512	1.0239243	0.2057211	0.9555918	0.0002508	0.4775632	0.7993116	0.0082365	0.1779356	0.3002842	0.3713815	0.6343808	0.0136769	0.7529252	0.7847618	0.0229858	0.0188785	0.0130498	0.8458293	0.6659623	0.0621448	0.7745717	0.1637211
0.3752426	0.0057248	0.7303765	0.3323538	0.1915304	0.4970586	0.2015923	0.1784884	0.3520148	0.5632968	0.6581911	0.5129661	0.4737107	0.4153469	0.3853117	0.0450386	0.5127987	0.4076368	0.7258989	0.2556951	0.7009223	0.6523404	0.7207837	0.3417462	0.3299954	0.4668363	0.4151288	0.7590555	0.6097617	0.4169352	0.2433626	0.0437661	0.1271567	0.0471125	0.0109046	0.5370298	0.1226414	0.0620272	0.6220880	0.3773878	0.6798132	0.6349972	0.2882992	0.0714110	0.4499495	0.5990853	0.6299575	0.0767696	0.2696673	0.3840370	0.6331756	0.4523266	0.6687864	0.7784630	0.0207713	0.6933461	0.6883265	0.6162755	0.2770941	0.1953119	0.0748979	0.2781480	0.7322301	0.0769112	0.7524588	0.4744382	0.7060389	0.6548753	0.5558508	0.6808887	0.0457435	0.1986223	0.6578043	0.6677487	0.1573967	0.6781006	0.6624985	0.0242884	0.6872808	0.2091800	0.6965788	0.0003799	0.4598733	0.7824688	0.0080770	0.2088298	0.3412078	0.3493486	0.5795080	0.0648511	0.8778287	0.7454127	0.0265918	0.0229660	0.0110844	0.7856057	0.6432010	0.0575996	0.5820743	0.2250943
0.3750838	0.0128267	0.7245201	0.3286483	0.1795253	0.3816809	0.1308669	0.1328215	0.2132948	0.4457859	0.4372746	0.5243913	0.5202178	0.4977190	0.5258604	0.0366937	0.5411505	0.2551323	0.6510914	0.1576285	0.5291224	0.7176539	0.6726781	0.4396837	0.3587918	0.3909558	0.2804096	0.7002557	0.7520818	0.3988737	0.2940230	0.0303819	0.1273798	0.0363424	0.0001256	0.4897243	0.0839353	0.0620307	0.6725507	0.5205446	0.6841205	0.6703408	0.3278505	0.0762265	0.3864439	0.6195635	0.7002341	0.0870894	0.2730744	0.3867277	0.5718307	0.5757294	0.8263048	0.5939395	0.0124506	0.7552618	0.7337769	0.6565476	0.3691089	0.1435434	0.0923240	0.2002476	0.6875282	0.0950940	0.6233906	0.6039845	0.7548400	0.6586235	0.6421748	0.6830285	0.0396711	0.1958255	0.7768140	0.6949878	0.1245167	0.6165794	0.7298884	0.0152707	0.7033439	0.2050137	0.7032427	0.0001338	0.4547318	0.6848896	0.0207660	0.1397501	0.3592957	0.3612915	0.5642191	0.0448001	0.6129082	0.7284929	0.0187057	0.0245828	0.0032344	0.6974672	0.6033416	0.0754746	0.6113984	0.2284460
0.5083699	0.0231425	0.7496813	0.3532389	0.1656179	0.6121967	0.1530791	0.2418502	0.3655132	0.3187228	0.5354813	0.4635970	0.5062399	0.5139027	0.3123380	0.0317183	0.4525305	0.4898222	0.7792996	0.4190398	0.5482244	0.7502555	0.6436963	0.4770954	0.4444246	0.4166431	0.3056907	0.6698358	0.6691339	0.3292201	0.3147228	0.0399706	0.1223005	0.0243237	0.0006857	0.5104834	0.0691631	0.0332431	0.6989187	0.3382486	0.7333200	0.7673399	0.2676129	0.0474603	0.4141205	0.6940435	0.7281824	0.0484936	0.2603549	0.4164958	0.5901335	0.4574352	0.7086267	0.6292991	0.0067254	0.6938841	0.7097987	0.5307569	0.4023756	0.2125327	0.1282734	0.3815673	0.6787195	0.1067492	0.4905176	0.5264052	0.7926766	0.7680176	0.7617508	0.8121248	0.0347483	0.2322387	0.8092364	0.6545097	0.1495305	0.7892703	0.7299132	0.0137133	0.7549045	0.1584047	0.7809183	0.0000867	0.5203515	0.6712402	0.0182403	0.1798289	0.3913762	0.3284976	0.5924075	0.0348725	0.5877391	0.6989241	0.0386207	0.0126929	0.0090390	0.6273846	0.6579296	0.1316388	0.7546883	0.1876925
