G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0,0000000	1,1965189	0,1961842	1,0027993	0,1548551	0,9590481	1,3780671	0,0286139	1,2705613	0,1839477	0,4377345	1,2067892	0,0455275	1,6287989	1,2736475	0,7310075	1,5068815	0,3918223	0,9791762	0,0818896	0,4107782	0,0945729	0,6685615	0,9412491	0,3968415	0,5812262	1,1355163	0,2392746	1,6006100	0,2790335	1,6617877	0,9575293	0,1042628	0,8008912	1,0529484	1,2522216	0,3862950	0,3916610	0,5907474	0,1737138	0,4040303	0,2052959	1,1177010	0,4032131	0,0412249	0,0144781	0,2425286	1,5270649	0,0896073	0,5091843	0,1025041	0,2447709	1,2853282	0,1563722	0,9453776	0,9676362	0,9274391	1,0768154	0,0015272	0,1218330	0,0385861	0,0333163	0,2265017	1,5895062	1,1638379	1,3149189	1,5723444	0,3322829	0,2952034	1,0548007	0,0793606	0,7081356	1,5238930	1,1004557	0,8401729	0,1489560	0,9502661	0,5912102	0,9146369	0,9899426	0,1536581	0,0413402	0,0127582	0,0167631	0,7847447	0,7374772	0,0620811	0,0727584	0,2528087	0,9696459	0,0597094	0,1047291	1,1633683	0,8485466	1,2910006	0,6382261	0,9704340	0,0941481	1,4998629	1,0386378
0,4118256	0,0000000	0,2600056	1,4228107	0,4280085	0,3621069	0,6659964	0,9656052	0,9364492	0,3278441	1,0013241	0,7500387	0,2177595	0,6904151	1,0935546	0,8378255	0,9461282	0,4920309	1,1774355	0,1355072	0,4608399	0,0761670	0,7223907	0,8043585	0,7110884	0,5919712	0,7278268	0,2528481	0,5507451	0,1560017	0,6281034	0,3985545	0,3239643	0,7750654	0,5943519	0,8317351	0,7051977	0,2854545	0,2725639	0,7878383	0,5577842	1,5200642	0,8731948	0,2561837	0,1168906	0,7678211	0,2722840	1,0570780	0,0129624	0,9061341	1,3081182	0,2778119	1,1989653	0,1838596	0,6073082	0,4151082	1,1113877	0,1606821	0,1086390	0,2056931	0,1042941	0,0376727	0,0780424	1,4670532	0,5525528	0,7858760	0,2868287	0,8430879	0,5685560	0,4444608	0,8175712	0,9632476	0,1546816	1,2378482	0,8031745	0,0645699	0,8136430	0,4327205	0,3414943	1,1049570	0,0552584	0,4920843	0,0592151	0,0532857	0,5824943	1,2172196	0,2343939	0,3730784	0,1731208	0,7291126	0,4687577	0,0081805	1,1774625	0,7737257	1,2750669	1,1917447	0,7618595	0,2040152	1,1151968	1,1038627
0,0280052	0,7773371	0,0000000	1,2641457	0,1521702	0,5148806	0,5728142	0,4814751	1,0112918	0,5648213	0,6750345	1,1640591	0,0451418	0,4579869	0,6926080	0,5912553	0,6432217	0,6499456	1,0523034	0,2415460	0,0884514	0,0923310	0,6506672	1,5098502	0,2696989	1,1858343	0,8098864	0,2080558	0,8946284	0,4615446	0,7532554	0,5100512	0,3823790	1,0706484	1,0037540	0,8288640	0,9934634	0,6768354	0,2543489	0,1897352	0,1088018	1,0753325	0,6490653	0,7197650	0,1960472	0,8532124	0,3437380	0,9393607	0,0325622	0,6885991	0,6271063	0,1339721	0,8525307	0,4426588	1,2437728	0,3670121	1,2975969	0,6665269	0,0114245	0,0141574	0,2648022	0,0973398	0,0697408	0,7313238	1,1899924	1,1055492	0,6109900	0,4748370	0,5895878	0,9458785	0,9156070	0,9425596	0,4108222	0,9783526	1,6235238	0,2566487	0,3607849	0,6045069	0,4866176	1,3895916	0,0461014	0,3703683	0,1318850	0,0570546	0,7791961	1,0658667	0,0848484	0,1506850	0,1474367	1,3674322	0,5172402	0,0779546	1,1164643	1,6292050	0,7915275	1,3361842	0,9533093	0,2274404	1,0147026	1,4467291
0,6614659	0,0468442	0,7423670	0,0000000	0,2474878	0,5477929	0,4802049	1,0501952	1,1238797	0,6972582	1,1908821	0,7600585	0,0154147	1,7891922	0,9932368	0,7118905	0,5086733	0,9108939	0,5983584	0,7250288	0,8438439	0,3255558	0,4984411	1,1117893	0,0557159	0,0410915	0,5587391	0,6936842	1,1894878	1,2172082	1,4635118	0,0168366	1,6271548	0,1241913	0,0442773	0,9785320	0,0299419	0,0191544	1,0132746	0,5918303	0,6778418	1,1382713	0,4837712	0,5076097	0,6549225	1,1987578	0,2343266	0,6028577	0,3247396	0,9018454	1,4810343	0,4986440	0,7538000	0,6294646	0,4211096	0,2828095	0,9638342	0,3884539	0,2842729	0,2019338	0,8579090	0,2272075	0,7862998	0,8902738	1,0205658	0,8106652	0,0134420	0,6559005	0,5481989	0,4490331	1,1160375	0,9217072	0,0166615	0,9261032	1,4282471	0,2171328	0,7331641	0,5894393	0,9692340	0,8665974	0,3558259	0,8654743	0,5506188	0,2326945	0,1089989	0,6365030	1,2508825	0,1635110	0,4646607	1,7414968	1,2315366	0,3331121	0,5331072	0,8460351	0,5888822	0,5140070	0,2238764	0,6077722	0,6430918	0,0187554
0,1466690	0,4541930	0,1482690	0,8635029	0,0000000	0,7793152	1,2272304	0,5697564	0,5816505	0,7992685	0,4156496	1,1619139	0,0114239	0,3876931	0,8606929	0,8538574	0,9147318	0,6473000	1,1684846	0,1773186	0,1993615	0,2775895	0,4917356	0,8844002	0,8794045	0,9033264	0,7597203	0,3160857	0,6670676	0,0777015	1,0752684	0,3851623	0,0503293	1,1698102	1,0099483	0,6713941	0,6521173	0,5763563	0,5121341	0,3039518	0,4354773	1,4862520	0,7794688	1,0616742	0,0999628	0,3756903	0,0761215	1,0584344	0,0272595	0,2245492	0,5121766	0,2824785	1,1969104	0,0607443	0,9361522	0,7722658	1,4171549	0,0994796	0,0370829	0,0226761	0,0687594	0,0205977	0,0519544	1,1547969	0,9588357	0,8451469	0,6267850	0,4617904	0,5930802	0,9460738	0,5993568	1,0956749	0,9967482	0,7407343	0,7872031	0,1384308	0,5696274	0,1188868	0,6089137	0,9681699	0,0469979	0,3590837	0,0626936	0,0169586	0,4665289	1,5821698	0,1662107	0,6696964	0,1048280	0,8000586	0,0270327	0,0333687	1,1117121	0,6788728	0,9864685	0,9996306	0,7561811	0,0515488	1,4615576	0,9926787
0,0565874	0,6615563	0,1329242	1,1889536	0,0228552	0,0000000	1,1270781	0,7755136	0,4852387	0,0854818	1,5720611	1,3878227	0,0998869	0,9240177	1,0677633	1,4147046	0,9922208	0,7318036	0,6370529	0,2524230	0,2093598	0,2373780	0,8414168	1,1593363	0,1958326	0,6556964	0,2399164	0,5201735	1,2545416	0,0684701	0,8142645	0,6311746	0,2291122	1,1879093	1,1420918	0,8256571	1,3397934	0,7936932	0,9799224	0,0899668	0,0690927	1,2144064	0,8719469	0,0659126	0,1813447	0,3806777	0,0522914	1,3754532	0,0315466	1,2932087	0,6129548	0,1812611	1,5877105	0,3502074	1,3806568	0,3814396	1,1546706	0,4305698	0,0505895	0,1397952	0,1671408	0,0130223	0,1303796	0,6589632	1,3478391	0,8840218	0,2486336	0,5953802	0,2572704	0,9585933	0,5413096	0,5743416	0,6666566	0,8031887	1,0388371	0,1221348	1,3994106	1,0961898	0,6160017	1,1793902	0,0414410	0,2775386	0,0722487	0,1160919	0,7489622	1,3620032	0,0458149	0,1994494	0,0597014	1,6977484	0,0939618	0,0591960	0,9539908	0,9612602	1,1856056	0,7402467	1,1799535	0,1797096	0,8126410	1,1839079
0,1239174	0,5047705	0,1618227	0,7476405	0,0526438	1,1235684	0,0000000	0,7344103	0,4596453	0,6045922	0,3013010	0,7248192	0,0398468	0,8735185	1,1775884	0,8966910	0,5177679	0,3640191	0,1671882	0,3458079	0,5722631	0,0481045	0,9506865	1,6466606	0,4479740	0,9146055	0,7459175	0,4090421	0,8077950	0,0769267	0,8241010	0,8698173	0,2451168	1,1345328	1,0291894	0,4678262	0,9970851	0,5679130	0,2355806	0,6024795	0,4584941	1,0484207	0,9669177	0,8960214	0,1275900	0,6505145	0,0170837	1,2075441	0,0260070	0,4183312	0,6103781	0,2597587	0,8152778	0,0856722	1,3437584	0,6390358	0,8555988	0,0968094	0,0950779	0,0687300	0,2122737	0,0583573	0,1054098	0,8266601	0,5843377	0,8143963	0,8979499	0,6186947	0,3914237	0,8782707	0,5053458	1,1006121	0,3112487	1,3499080	1,4009639	0,1481074	0,4890859	0,5032963	0,6957398	1,1704502	0,0289796	0,2390653	0,0735506	0,1027700	0,7452870	0,7604766	0,2046438	0,1206409	0,0141295	1,6086715	0,3113301	0,0429183	0,6720628	0,9588415	0,3932476	1,6812471	1,0715263	0,2657932	1,2456670	1,3299283
0,3954135	0,2403752	0,0989593	1,3228496	0,0661620	0,4091199	1,1166177	0,0000000	0,9759725	0,0576202	0,7301159	1,2076535	0,2004878	0,8877115	1,0301562	1,2479180	0,9393984	0,8466292	1,0205004	0,1502666	0,3525480	0,0508561	0,6558239	1,1724338	0,3085169	0,1666495	1,1117815	0,3476374	0,5986337	0,2176924	1,3895473	0,1750922	0,4645768	0,8389914	0,7789135	0,3199287	0,7031814	0,5136512	0,4872731	0,6254709	0,4680031	0,0090609	0,6067104	0,0603669	0,4478832	0,9018668	0,0994659	0,7281680	0,0197773	1,3999705	1,3110901	0,3583327	1,4343315	0,9033297	0,8828619	0,3878841	0,9233677	1,1920280	0,1754662	0,0694863	0,1797446	0,0290216	0,2059960	1,2104575	0,8039020	0,9032864	0,3349729	0,6450805	0,0103829	0,7237218	0,9234988	1,0827834	0,1361869	1,0955022	0,7847194	0,3236070	0,7257134	1,6766573	1,1634183	0,8915714	0,0705876	0,6239718	0,4344784	0,0478870	0,7442918	1,0987362	0,6895425	0,0745898	0,1887445	1,1965114	0,9302302	0,0621111	1,2508657	1,4291021	0,9771328	1,0098365	0,8527507	0,1516797	0,9490219	0,8646334
0,0737470	0,8032375	0,2871077	1,2236394	0,1410463	0,9536070	1,5965256	0,4492091	0,0000000	1,2285955	0,4784714	0,6295388	0,0774417	0,5641467	1,1299415	1,2355925	1,1736087	0,3926668	1,3732400	0,2375036	0,1002990	0,2837047	1,4286224	0,8281294	0,9998622	0,7477660	1,3666230	0,3458584	1,5097585	0,1713558	0,9554849	1,0475376	0,0653524	1,4119183	0,6874389	0,9094030	0,9489250	0,1638658	0,3816068	0,3913005	0,9900019	1,2370718	1,2177419	1,5935185	0,1533944	0,1367427	0,1921333	1,5323830	0,0149926	0,4202043	0,2341001	0,3608103	1,1394386	0,0903787	1,0590430	0,8845623	1,3439749	0,1006539	0,0287924	0,2054567	0,0238143	0,0839355	0,1713655	0,1280373	0,4950541	1,0445999	1,0427440	0,0488869	0,4666801	1,6049947	0,5340681	1,4723129	1,1965183	1,1935892	0,9312711	0,0288477	0,6598766	0,3991423	0,2618524	0,0116467	0,0127487	0,0569580	0,0705891	0,2288095	1,2044772	1,7506878	0,0724115	0,7661554	0,0203876	1,5237768	0,1530408	0,1478876	0,9880776	0,8715948	1,8177173	1,1629374	0,9484227	0,0819607	0,8999345	0,6068037
0,1180176	0,3295429	0,2872349	0,7238816	0,0632960	0,8801059	0,9328181	0,6547931	0,6688863	0,0000000	0,6872381	0,9055146	0,0753738	1,3556114	0,8705388	0,7421802	0,9648602	1,0376442	1,0398953	0,4596040	0,2864299	0,2930327	0,6856065	1,1366279	0,2740365	0,2234278	0,8856995	0,4273908	1,2241142	0,2147875	1,2291395	0,2659282	0,2351272	1,0123743	0,4812781	0,8023131	0,8860986	0,4838235	0,5155707	0,3397630	1,2960942	0,8752710	1,0908973	0,4847207	0,0454816	0,2907579	0,1048480	1,2594207	0,0191161	1,0005049	0,5659242	0,1831592	0,5935283	0,1330310	0,9431159	1,1548104	1,3145021	1,1118294	0,0076479	0,0842094	0,0611375	0,1288720	0,1763841	0,9905949	0,6653992	1,3190770	0,7345996	0,5722405	0,3778214	0,9431692	0,7206696	1,3711965	1,1100660	1,1401850	1,0454303	0,0584865	1,2813201	1,1764591	1,3206695	1,1131165	0,0179040	0,2311256	0,0769244	0,1835335	0,4762636	1,4008252	0,3954004	0,0625088	0,0364349	1,0615349	0,1016784	0,0258754	1,1438577	0,8357715	0,9026110	0,8938426	1,0196242	0,0202834	1,2912561	0,5733586
