G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0,0173703	0,5915630	0,2950389	1,2957346	0,3331520	0,6732049	1,0036288	0,5973209	0,5238044	0,6071332	0,2220684	0,9596001	0,1256619	1,0977500	0,5094408	1,0407773	0,8676171	0,0984155	0,7896033	0,3655062	0,4460800	0,1407667	1,0524233	1,2472140	0,3534730	0,9636756	1,2586316	0,2043378	1,1287195	0,1305518	0,8420373	1,0498847	0,1888319	1,1300426	0,5048200	0,7164627	0,8436206	0,2354466	0,3597031	0,4018173	0,4551337	0,8751561	1,7412957	0,4173640	0,1952988	0,1508113	0,0547991	1,9885139	0,0693700	0,7892792	0,2670420	0,0911892	1,2407027	0,2018942	1,4857657	0,8573783	1,0868004	1,1638283	0,1413594	0,0995787	0,0575620	0,2656172	0,1145400	0,9286333	1,4977978	0,9105740	0,5282577	0,2916041	0,2629391	0,9166783	0,5307112	1,1317019	0,2530290	1,2120274	0,9761312	0,0995324	0,6414907	0,7789182	0,8537761	0,7245910	0,2425635	0,1033798	0,2355695	0,3488777	1,2564162	0,7894024	0,2687805	0,0301688	0,2074349	1,3388234	0,0169509	0,0720887	1,5460316	0,9181514	0,7796807	0,8877784	1,0690763	0,0471219	0,7491054	1,6805422
0,1702738	0,2993025	0,5581217	1,3190958	0,1897389	0,6683006	0,7748935	0,6873643	0,5128094	0,3001406	0,6431769	0,5577692	0,1002836	1,0629217	0,7536747	0,8416371	0,6575550	0,7496009	1,1748419	0,2519530	0,2012241	0,4882272	1,1151274	1,2579542	0,6324118	0,0379263	1,2116770	0,1769341	1,1701513	0,0721329	1,0810044	0,4034498	0,8312075	1,1019153	0,3144634	0,4697964	0,8348864	0,3976425	0,4264788	0,2370321	0,1469561	1,4334250	0,7158813	0,3230617	0,3088536	0,7785536	0,0706113	0,2595227	0,0297883	0,4206991	0,5423215	0,3131641	1,0537970	0,1411315	1,4022760	0,6853607	1,4495394	0,0666912	0,0064073	0,1196532	0,1609016	0,0697731	0,2240662	1,1989850	0,9272984	0,6953069	0,3493751	0,3545604	0,2985305	0,9128162	0,7917694	1,0222146	0,2155466	1,0728801	1,4782365	0,3656388	0,9636283	0,6535009	0,4002406	1,0383547	0,0165820	0,5920359	0,0289453	0,0432501	1,0690976	0,8556320	0,2597436	0,7538030	0,1062727	0,7934382	0,7540298	0,1195984	1,4386699	0,4254857	0,7829330	1,5826761	1,2760000	0,2075034	1,0754705	1,0718479
0,1822373	1,1330062	0,1115256	1,1975116	0,2453689	1,1046690	0,6928843	1,2973662	0,9045542	0,6357466	0,4550801	1,5375534	0,0361271	1,0177531	1,4508042	1,4910280	1,1161939	0,4710440	0,6410966	0,2199523	0,4141922	0,1690495	0,7775013	1,0049792	0,5356543	0,3636255	1,0195810	0,4500054	0,8783241	0,2627342	1,1681938	0,6981872	0,3399127	0,7843366	0,9442265	0,9493348	0,6838681	0,8044359	0,3640329	0,6654408	0,5218113	1,3999277	0,7272469	0,7955215	0,2219089	0,5058648	0,1566010	0,8643781	0,1086641	0,7688957	0,6592456	0,3803763	1,1042557	0,3880548	1,1277492	0,3929435	0,8576513	0,0377096	0,0390031	0,0263893	0,0214649	0,1246320	0,0449508	0,4103161	0,9964282	0,3476792	1,1043706	0,3499168	0,3284861	1,0775546	0,2037298	0,9513541	0,6008433	1,8212700	1,3193133	0,0997740	0,5908076	0,4608774	0,3828452	0,6616482	0,0482057	0,2585843	0,2331539	0,1918940	0,6241584	1,0667480	0,0427159	0,1333465	0,1585658	0,7040681	0,2004403	0,1457894	0,6416241	0,9234077	1,2422162	0,8283078	0,9999175	0,0911340	1,4841879	0,7818797
0,0601471	0,7091972	0,3967675	0,7156580	0,4460854	1,4555354	0,8523435	0,6050106	0,5235277	0,5567745	0,7640081	0,9687260	0,0305956	1,1671075	1,0437376	0,4169197	1,5356405	1,0583512	0,8302144	1,0351173	0,2576812	0,2697574	0,7996855	1,6148757	0,1123903	0,4077305	0,9129247	1,0809241	1,4024869	0,2516915	0,7734154	0,2472780	0,6558850	1,1157741	0,2587442	0,5991323	0,4726020	0,1949362	0,7669798	0,4966541	0,6256682	1,5017098	0,5655505	0,1848091	0,1502405	0,5244273	0,1339871	0,8384464	0,0561126	0,6360424	0,5774849	0,5696109	1,6317818	0,3318641	1,1954241	0,7038037	0,9193291	0,5652635	0,0806046	0,1833518	0,3374953	0,1657520	0,1107679	1,4460864	0,7668661	1,6853003	0,6048788	0,4248114	0,5275254	1,0230151	0,6872581	0,6415536	0,4893201	1,3706440	1,3781434	0,2688840	0,5479232	0,2848664	0,7273839	0,7741854	0,0885314	0,5638209	0,0918263	0,0749928	0,6877962	0,9320250	0,4848779	0,0992343	0,1383544	1,2327225	0,6503083	0,1111134	1,2302612	0,9691255	0,4952389	1,4959357	0,7092907	0,2865970	0,9962318	0,6431876
0,2074516	0,4063607	0,3798828	0,6568853	0,3634046	0,7080457	1,7996112	1,2413238	0,2958288	0,5502176	1,0045194	1,2508357	0,1973777	0,4444261	0,7697646	0,7077274	0,6332594	0,3330677	0,9076654	0,2111487	0,1257729	0,2487854	0,8211011	1,6474154	0,9744378	0,8235345	1,7385505	0,3027941	0,6302198	0,1684111	1,3772538	0,2711752	0,2747715	1,2884434	0,5432556	0,8327743	0,9163201	1,0532024	0,5543840	0,8456638	1,0530553	1,7683612	0,7192376	0,4200763	0,3745103	0,4944618	0,0775007	0,7952852	0,0134102	0,6223994	0,6820114	0,1675531	1,6344704	0,4639812	0,5512680	0,1139135	1,0307490	0,6230242	0,1128751	0,1715935	0,0677718	0,1508682	0,0970425	0,8107396	1,0848600	0,6204891	0,1762707	0,7363854	0,7551754	0,7440292	0,5254810	0,6838047	0,1763101	0,9011675	1,2005967	1,2741647	1,0951896	1,3704721	0,9193766	1,1013287	0,1116552	0,1802897	0,0075873	0,1705266	0,6018180	1,0747835	0,3454550	0,1189874	0,0724231	0,5687995	0,4494831	0,0113873	1,1781302	0,4552871	1,3518630	1,4131109	0,4540511	0,2718625	1,1319131	1,1074109
0,2682898	0,3921489	0,1839395	1,6657106	0,3133926	0,6072251	0,6197011	0,5955348	1,2959643	0,1990011	0,7894832	0,8064319	0,2344746	0,7780318	1,4058742	0,8619583	1,4074962	0,5530242	0,9465355	0,8256243	0,2735648	0,1361680	0,9639343	1,2745695	1,0545792	0,9380407	1,0388139	0,3236891	1,1448444	0,1048457	0,8181680	0,9914884	0,2502914	0,7449937	0,8259086	0,5411114	0,7630322	0,4751721	0,4059610	0,1522797	0,0543433	0,8237113	0,9460613	0,2392854	0,6607328	1,1009518	0,2596263	0,7405411	0,0692729	1,0225077	0,9120323	0,4534243	1,4094169	0,6927705	0,9987196	0,8495166	1,1071933	1,1939445	0,2966162	0,4501486	0,1223641	0,0830182	0,1175531	1,0144118	0,8739202	1,8368151	0,2192104	0,2082227	1,2593704	0,5440720	0,8397162	0,4753295	0,1597687	0,4980690	1,1361938	0,3979374	1,2082907	1,4924407	1,0857679	1,6928716	0,2681374	0,4980481	0,3103159	0,1671640	1,0448257	0,2133075	0,4475236	0,1639845	0,8046200	1,7256343	1,1949775	0,0273578	1,1389205	0,8447033	1,0863846	0,8661480	0,9910572	0,2822545	0,7345318	0,5018147
0,2474060	0,3436317	0,2385729	0,7945748	0,0575385	0,3527294	0,9268384	0,9175341	1,8859895	0,2915873	0,4485723	0,6841039	0,1644717	0,9353436	1,8862694	1,0795324	0,5372085	0,7949276	1,4846726	0,4481497	0,4044287	0,2127259	1,5828154	1,1835950	0,3345548	0,7743692	0,9399416	0,4014990	1,1865242	0,0830280	1,2655191	0,3004062	0,2832365	1,3850332	1,0982424	1,2670783	1,0138560	0,6629920	0,7506187	0,6521988	0,2359272	2,7466528	1,4632324	0,2508710	0,3684000	0,3736681	0,1598702	1,0117206	0,0177693	1,1084961	0,6465442	0,4992975	1,7787929	0,2721632	0,7538875	0,6784240	0,4832382	0,2658238	0,0325168	0,2125793	0,1818562	0,0694703	0,3325347	0,9433922	1,2300030	0,9732457	0,5948756	1,1888861	0,6432418	0,8136267	0,3628228	1,2130371	0,5604042	0,5555573	1,4926826	0,1102424	0,7979700	0,6448339	1,1474454	1,0244359	0,0205128	0,2120304	0,1141159	0,0934393	0,3002408	1,0832616	0,2784436	0,4606454	0,2926451	1,0212501	0,9426262	0,0747383	0,5866780	0,7544089	1,7569838	1,0077433	2,3781526	0,0506758	1,5834939	0,6725266
0,1138147	0,6334402	0,3966041	1,2002267	0,1774269	0,7607857	2,4947323	0,6765923	0,3608560	0,1027578	0,6561269	1,4707569	0,1100297	0,7278928	1,3970648	1,0114113	1,4017107	0,3184425	0,7154787	0,2255582	0,3597150	0,2793000	1,2931159	1,7486154	0,3816612	0,3545162	0,6813584	0,0686004	0,7409215	0,0430887	1,1543192	0,3434839	0,3730141	1,1811168	0,8655662	0,9386335	1,3673577	0,9203658	0,5503402	0,4636893	0,1659883	0,8285012	0,9963002	0,6407871	0,6340369	0,4401827	0,0238754	0,7114003	0,0314478	0,8580129	0,3475204	0,3083219	1,1210895	0,2976897	1,3188176	0,4874612	0,9375359	0,5099608	0,0490017	0,0746729	0,0620080	0,0751773	0,2396069	0,4946447	1,0151186	0,7120622	0,1842309	0,4002690	0,7226257	0,3090020	0,9126447	1,2880470	0,3220237	0,9054812	1,0262172	0,3371627	0,6644564	1,0690813	1,2759869	0,9919067	0,0580330	0,4683678	0,1623402	0,1906095	1,4407498	0,5482980	0,2989819	0,2091421	0,0671552	0,6850589	0,5828140	0,0421355	1,5212210	0,8953260	0,8351037	1,2697107	0,9872587	0,0973455	1,6456582	1,3124580
0,6381914	0,1609707	0,2762820	0,8425465	0,1602617	0,9516904	0,6240756	1,5319502	0,6046252	0,7033742	1,0060043	0,7953408	0,1075323	0,8046813	0,9635945	0,8294846	0,8777468	0,3714524	0,6070288	0,3643799	0,1612278	0,5331423	0,7395227	1,1131417	0,4636673	0,6516877	1,1660354	0,1830064	0,6853964	0,4440092	0,9070897	0,1396708	0,5695615	0,4935522	0,5345365	0,5672564	0,5697415	0,6783620	0,2783126	0,6375481	0,8955040	1,4635012	0,8516701	0,8872421	0,3410333	0,7028890	0,7089266	0,9861217	0,0503853	0,9998654	0,6599716	0,1814406	1,0490005	0,2860034	1,2170741	0,6092493	1,2019643	0,2074870	0,1091522	0,3309589	0,2391474	0,0899441	0,4644354	0,6438716	0,7060408	1,8801885	0,2745422	1,0007091	0,9912790	0,6851986	0,8858873	1,0894549	0,0736749	0,9337060	1,6351831	0,7037515	0,7353628	1,0321978	0,8903848	1,1207249	0,0235397	0,6636372	0,1720785	0,3500917	0,6492549	0,7793297	0,3894855	0,2154330	0,2333236	0,6798156	1,2075520	0,1329071	1,1920809	0,8390863	1,3660741	1,0727347	1,5868173	0,0239217	1,0063399	0,2009619
0,0851199	0,2936541	0,1744991	1,1223506	0,0096635	1,0324508	0,6885549	0,7566228	1,0591739	0,2235754	0,5429892	1,1803265	0,0561099	0,1276993	0,3888835	0,7361454	1,4566567	0,2471847	0,7840581	0,2009227	0,0733908	0,5274424	1,9260935	0,6434885	0,1805527	0,8103610	1,0352143	0,1214507	1,0376301	0,1332728	0,4657487	0,7043474	0,3618994	1,6408136	0,1691885	0,2118458	0,8523958	0,4976355	0,3593665	0,6323996	0,5172051	1,8677416	0,7267421	0,4582799	0,2557159	1,1302681	0,1438352	0,8296624	0,1493271	1,7177977	0,5551417	0,2421851	1,9125672	0,1174166	0,8870221	0,4663330	0,8460003	0,4658995	0,0246235	0,0916755	0,1044501	0,0893199	0,2182419	1,1914609	0,7582443	0,6770482	0,1801810	0,3549038	0,4847552	0,4437629	0,9808275	1,0281565	0,1812197	1,0078005	1,0028952	0,1928017	0,8332534	0,7815346	1,2467825	1,2609096	0,0294409	0,5388105	0,0622496	0,2046986	0,7159943	1,0010581	0,3841262	0,0922312	0,4497878	1,0811155	0,9170679	0,1315885	0,6353156	1,1899128	1,0102291	0,7192781	1,1911015	0,4367395	0,5845363	0,9190981
