G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0,0000000	1,0000000	0,1917764	1,0000000	0,1115498	0,7063751	1,0000000	0,0118326	0,9999979	0,0582419	0,1938884	0,8412262	0,0287968	0,5967452	1,0000000	0,9543775	0,9293126	0,4917683	0,8966401	0,1980602	0,2028483	0,2105554	0,7344685	1,0000000	0,3583340	0,5871094	0,9567516	0,2320454	1,0000000	0,1167430	1,0000000	0,8580616	0,0618431	0,9777322	0,8548761	1,0000000	0,8563817	0,3419339	0,2961178	0,2817883	0,1288717	0,0372220	1,0000000	0,2360922	0,0462330	0,0107259	0,0747853	1,0000000	0,0014480	0,9977278	0,0849961	0,1811312	1,0000000	0,0991152	1,0000000	1,0000000	1,0000000	0,9986712	0,0010800	0,0702546	0,0483375	0,0294527	0,0525332	0,9886434	1,0000000	1,0000000	1,0000000	0,6619289	0,0280173	1,0000000	0,0228743	0,9995028	0,9999999	1,0000000	1,0000000	0,0206854	0,9988030	0,9576990	0,9467051	0,9859993	0,0078044	0,0213963	0,0308120	0,0382007	0,7952985	0,8652362	0,0170892	0,0317160	0,0365204	1,0000000	0,0273320	0,0158797	1,0000000	0,9999998	1,0000000	1,0000000	1,0000000	0,0577900	1,0000000	0,8533232
0,0625634	0,0000020	0,1961620	1,0000000	0,1115498	0,6689412	1,0000000	0,7800510	0,6732617	0,1771288	0,3480473	0,8411748	0,0288899	0,5967452	0,9999998	0,9543440	0,9293126	0,4917622	0,9089071	0,1980382	0,2028483	0,2105554	0,7399016	0,9982310	0,3613898	0,5831550	0,9480269	0,2321123	0,9565193	0,1167444	0,9998027	0,8159822	0,1677944	0,9752261	0,8359508	0,9524044	0,8562332	0,4707725	0,3117438	0,3208436	0,3276461	0,9581460	0,9677640	0,3776053	0,0506353	0,1787814	0,0747862	0,9823100	0,0014541	0,9643599	0,4021221	0,1845447	0,9999513	0,1014463	0,9991517	0,7765448	0,9999749	0,8922894	0,0015720	0,0702828	0,0483375	0,0294714	0,0525945	0,9613768	0,9546308	0,9998572	0,6748369	0,4935679	0,4264503	0,9689911	0,5276887	0,9995028	0,6572205	0,9987228	0,9999947	0,0689250	0,9787193	0,8410589	0,8357535	0,9773997	0,0078058	0,1426911	0,0308218	0,0393201	0,7952985	0,8652362	0,0276773	0,0525580	0,0404879	0,9998701	0,0369891	0,0158805	0,9986219	0,9448917	0,9999083	0,9999018	0,9999991	0,0599821	0,9999922	0,8533232
0,0625634	0,6734555	0,0000005	1,0000000	0,1115498	0,6689412	1,0000000	0,7800510	0,6732617	0,1771287	0,3480473	0,8411748	0,0288899	0,5967452	0,9995625	0,9543440	0,9293126	0,4917622	0,9089071	0,1980382	0,2028483	0,2105554	0,7399016	0,9982310	0,3613898	0,5831550	0,9480269	0,2321123	0,9565193	0,1167444	0,9998027	0,8159822	0,1677944	0,9752261	0,8359508	0,9524044	0,8562332	0,4707725	0,3117438	0,3208436	0,3276461	0,9581460	0,9677640	0,3776053	0,0506353	0,1787814	0,0747862	0,9823100	0,0014541	0,9643599	0,4021221	0,0472716	0,9999513	0,1014463	0,9991517	0,7765448	0,9999749	0,8922895	0,0015720	0,0702828	0,0483375	0,0294714	0,0525945	0,9613768	0,9546308	0,9998572	0,6748369	0,4935679	0,4264503	0,9689911	0,5276887	0,9995028	0,6572205	0,9987228	0,9999947	0,0689250	0,9787193	0,8410589	0,8357535	0,9773997	0,0078058	0,1426911	0,0308218	0,0393201	0,7952985	0,8652362	0,0276773	0,0525580	0,0404879	0,9998701	0,0369891	0,0158805	0,9986219	0,9448917	0,9999083	0,9999018	0,9999991	0,0599821	0,9999922	0,8533232
0,9999885	0,0431572	0,7803735	0,0000000	0,9999959	0,3818122	1,0000000	0,9998983	0,5009033	0,6159729	1,0000000	0,2522978	0,0287968	0,9999998	0,7159949	0,2470417	0,4852300	0,7331921	0,4408984	0,4442162	0,5989645	0,7089141	0,5636846	0,9999997	0,4346173	0,0415101	0,4451241	1,0000000	0,9999997	0,9487491	1,0000000	0,0032180	0,9982296	0,0418192	0,0519707	1,0000000	0,0164785	0,3383624	0,8044704	0,5259840	0,5441926	0,9756231	0,2846750	0,5197737	0,9727753	0,9990883	0,8913772	0,4988353	0,6162908	0,5628309	0,9679809	0,5262215	0,2732271	0,9935233	0,1056511	0,2480983	0,2432554	0,0828788	0,8270507	0,6255553	0,9999978	0,6451169	0,9476123	0,9071629	0,4579594	0,3463867	0,0350980	0,3699350	0,5133080	0,1863667	0,9594695	0,1188240	0,0287321	0,1812175	0,4541397	0,5181362	0,6488910	0,5128084	0,5690567	0,9677812	0,8237960	0,7813179	0,9706462	0,6254892	0,0539296	0,3492501	0,9957667	0,2865709	0,6724200	0,4633235	0,9998962	0,8273730	0,4052257	0,4877162	0,5293939	0,3374071	0,1056549	0,6326776	0,4993104	0,0410769
0,0625634	0,6734555	0,1961620	1,0000000	0,0000060	0,6689412	1,0000000	0,7800510	0,6732617	0,1771287	0,3480473	0,8411748	0,0288899	0,5967452	0,9995625	0,9543440	0,9293126	0,4917622	0,9089071	0,1980382	0,2028483	0,2105554	0,7399016	0,9982310	0,3613898	0,5831550	0,9480269	0,2321123	0,9565193	0,1167444	0,9998027	0,8159822	0,1677944	0,9752261	0,8359508	0,9524044	0,8562332	0,4707725	0,3117438	0,3208436	0,3276461	0,9581460	0,9677640	0,3776053	0,0506353	0,1787814	0,0747862	0,9823100	0,0014541	0,9643599	0,4021221	0,1845447	0,9999513	0,1014463	0,9991517	0,7765448	0,9999749	0,8922896	0,0015720	0,0702828	0,0483375	0,0294714	0,0525945	0,9613768	0,9546308	0,9998572	0,6748369	0,4935679	0,4264503	0,9689911	0,5276887	1,0000000	0,6572205	0,9987228	0,9999947	0,0689250	0,9787193	0,8410590	0,8357535	0,9773997	0,0078058	0,1426911	0,0308218	0,0393201	0,7952985	0,9999982	0,0276773	0,0525580	0,0404879	0,9998701	0,0369891	0,0158805	0,9986219	0,9448917	0,9999083	0,9999018	0,9999991	0,0599821	0,9999922	0,8533232
0,0625634	0,6734555	0,1961620	1,0000000	0,1115498	0,0000025	1,0000000	0,7800510	0,6732617	0,1771287	0,9999119	0,8412262	0,0288899	0,5967452	0,9995625	0,9543440	0,9293126	0,4917622	0,9089071	0,1980382	0,2028483	0,2105554	0,7399016	0,9982310	0,3613898	0,5831550	0,4416384	0,2321123	0,9565193	0,1167444	0,9998027	0,8159822	0,1677944	0,9752261	0,8359508	0,9524044	0,8562332	0,4707725	0,6308682	0,0589822	0,3276461	0,9581460	0,9677640	0,3776053	0,0506353	0,1787814	0,0747862	0,9823100	0,0014541	0,9643599	0,4021221	0,1845447	0,9999513	0,1014463	0,9991517	0,7765448	0,9999749	0,8922895	0,0015720	0,0702828	0,0483375	0,0294714	0,0525945	0,9613768	0,9546308	0,9998572	0,6748369	0,4935679	0,4264503	0,9689911	0,5276887	0,9995028	0,6572205	0,9987228	0,9999947	0,0689250	0,9787193	0,8410590	0,8357535	0,9773997	0,0078058	0,1426911	0,0308218	0,0393201	0,7952985	0,8652362	0,0276773	0,0525580	0,0404879	0,9998701	0,0369891	0,0158805	0,9986219	0,9448917	0,9999083	0,9999018	0,9999991	0,0599821	0,9999922	0,8533232
0,0625634	0,6734555	0,1961620	1,0000000	0,1115498	0,9536669	0,0000036	0,7800510	0,6732617	0,1771287	0,3480382	0,8411689	0,0288899	0,9999877	0,9995625	0,9543440	0,7807626	0,4917622	0,9089071	0,1980382	0,4221764	0,0375459	0,7399016	0,9982310	0,3613898	0,5831550	0,9847747	0,2321123	0,9565193	0,1167444	0,9998027	0,8159822	0,1677944	0,9752261	0,8359508	0,9524044	0,8562332	0,4707725	0,2323573	0,3773525	0,3276461	0,9581460	0,9677640	0,3776053	0,0506353	0,1787814	0,0747862	0,9823100	0,0014541	0,9643599	0,4021221	0,1845447	0,9999513	0,1014463	0,9991517	0,7765448	0,9999749	0,8922896	0,0015720	0,0702828	0,0483375	0,0294714	0,0525945	0,9613768	0,9546308	0,9998572	0,6748369	0,4935679	0,4264503	0,9689911	0,5276887	0,9995028	0,6572205	0,9987228	0,9999947	0,0689250	0,9787193	0,8410590	0,8357535	0,9773997	0,0078058	0,1426911	0,0308218	0,0393201	0,7952985	0,8652362	0,0276773	0,0525580	0,0404879	0,9998701	0,0369891	0,0158805	0,9986219	0,9448917	0,9999083	0,9999018	0,9999991	0,0599821	0,9999922	0,8533232
0,0625634	0,6734555	0,1961620	1,0000000	0,1115498	0,6689412	1,0000000	0,0000000	1,0000000	0,0582418	0,3480473	0,8411748	0,0288899	0,5967452	0,9995625	0,9543440	0,9293126	0,4917622	0,9089071	0,1980382	0,2028483	0,2105554	0,7399016	0,9982310	0,3613898	0,5831550	0,9480269	0,2321123	0,9565193	0,1167444	0,9998027	0,8159822	0,1677944	0,9752261	0,8359508	0,9524044	0,8562332	0,3419340	0,3117438	0,3208436	0,1288710	0,0355257	0,9677640	0,2360916	0,0506353	0,1787814	0,0747862	0,9823100	0,0014541	0,9977278	0,4021221	0,1845447	0,9999513	0,1014463	0,9991517	0,7765448	0,9999749	0,9986711	0,0015720	0,0702828	0,0483375	0,0294714	0,0525945	0,9886434	0,9546308	0,9998572	0,6748369	0,6619298	0,0264743	0,9689911	0,5276887	0,9995028	0,6572205	0,9987228	0,9999947	0,0689250	0,9988030	0,9576977	0,9467051	0,9859993	0,0078058	0,1426911	0,0308218	0,0393201	0,7952985	0,8652362	0,0276773	0,0317160	0,0404879	0,9998701	0,0369891	0,0158805	0,9986219	0,9448917	0,9999083	0,9999018	0,9999991	0,0599821	0,9999922	0,8533232
0,0625634	0,6734555	0,1961620	1,0000000	0,1115498	0,6689412	1,0000000	0,7800510	0,0000000	0,9999976	0,3480473	0,8411748	0,0288899	0,5967452	0,9995625	0,9543440	0,9293126	0,4917622	0,9089071	0,1980382	0,2028483	0,2105554	0,7399016	0,9982310	0,3613898	0,5831550	0,9480269	0,2321123	0,9565193	0,1167444	0,9998027	0,8159822	0,1677944	0,9752261	0,8359508	0,9524044	0,8562332	0,4707725	0,3117438	0,3208436	0,9999999	0,9581460	0,9677640	0,9999994	0,0506353	0,1787814	0,0747862	0,9823100	0,0014541	0,3130300	0,4021221	0,1845447	0,9999513	0,1014463	0,9991517	0,7765448	0,9999749	0,0431968	0,0015720	0,0702828	0,0483375	0,0294714	0,0525945	0,0196117	0,9546308	0,9998572	0,6748369	0,0435599	0,4264503	0,9689911	0,5276887	0,9995028	0,6572205	0,9987228	0,9999947	0,0689250	0,3626044	0,3622662	0,4477478	0,0018260	0,0078058	0,1426911	0,0308218	0,0393201	0,7952985	0,8652362	0,0276773	0,5217613	0,0404879	0,9998701	0,0369891	0,0158805	0,9986219	0,9448917	0,9999083	0,9999018	0,9999991	0,0599821	0,9999922	0,8533232
0,0625634	0,6734555	0,1961620	1,0000000	0,1115498	0,6689412	1,0000000	0,7800510	0,6732617	0,0000026	0,3480473	0,8411748	0,0288899	0,5967452	0,9995625	0,9543440	0,9293126	0,4917622	0,9089071	0,1980382	0,2028483	0,2105554	0,7399016	0,9982310	0,3613898	0,5831550	0,9480269	0,2321123	0,9565193	0,1167444	0,9998027	0,8159822	0,1677944	0,9752261	0,8359508	0,9524044	0,8562332	0,4707725	0,3117438	0,3208436	0,3276461	0,9581460	0,9677640	0,3776053	0,0506353	0,1787814	0,0747862	0,9823100	0,0014541	1,0000000	0,4021221	0,1845447	0,9999513	0,1014463	0,9991517	0,7765448	0,9999749	0,9999988	0,0015720	0,0702828	0,0483375	0,0294714	0,0525945	0,9613768	0,9546308	0,9998572	0,6748369	0,4935679	0,4264503	0,9689911	0,5276887	0,9995028	0,6572205	0,9987228	0,9999947	0,0689250	0,9999996	0,9999413	0,9999936	0,9773997	0,0078058	0,1426911	0,0308218	0,0393201	0,7952985	0,8652362	0,0276773	0,0296078	0,0404879	0,9998701	0,0369891	0,0158805	0,9986219	0,9448917	0,9999083	0,9999018	0,9999991	0,0599821	0,9999922	0,8533232
