G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0,5000000	0,4006176	0,3175001	0,1494307	1,0000000	0,0887208	1,0000000	0,5051105	0,9481894	1,0000000	0,6028724	0,3135318	0,9812581	0,9373659	0,9877744	0,9370779	0,5549693	0,0291241	0,8424123	0,6568798	0,3930345	0,7822906	0,8643730	0,8199999	0,2880003	0,7227594	0,6999862	0,9999995	0,6265375	0,0828006	0,6722877	0,2661710	0,6418641	0,6253601	0,0335931	0,6529750	0,8880828	0,5921110	0,0809380	0,6387213	0,0235476	0,3054781	0,3521316	0,9474435	0,5359638	0,8399733	0,7273398	0,9999135	0,9444120	0,3306428	0,6512325	0,0833649	0,4684118	0,9586000	0,8502801	0,9110217	0,0597636	0,5825250	0,7917847	0,9392220	0,1895749	0,6185414	0,6057974	0,7036082	0,0358350	0,6851790	0,4877620	0,3546084	0,9684641	0,6579625	0,7644346	0,0486266	0,9921885	0,4257747	0,8863116	0,0493034	0,7321371	0,7941310	0,5117194	0,3390021	0,0818529	0,8974818	0,3854314	0,4571449	0,0415680	0,7694221	0,5755795	0,6156436	0,3147637	0,1745640	0,9205634	0,4704145	0,9998661	0,8498358	0,4143504	0,3581892	0,4135860	0,5417846	0,4219822	0,3735445
1,0000000	0,4381332	0,5622140	0,0438517	1,0000000	0,0887208	1,0000000	0,5051105	0,9481894	1,0000000	0,6021921	0,3135318	0,9811063	0,9373659	0,9985648	0,8936015	0,8643927	0,0291241	0,7619573	0,4376622	0,4664535	0,6657460	0,9303143	0,8199999	0,2880003	0,4625468	0,6999862	0,9999995	0,6265375	0,0828006	0,6722877	0,0983029	0,4803995	0,8808298	0,0113735	0,4461179	0,4187228	0,7426751	0,8676092	0,2794601	0,0121008	0,5506985	0,0670230	0,9984911	0,5359638	0,3474723	0,3567865	0,9999871	0,9809540	0,4948520	0,2040965	0,0601605	0,4684118	0,9935440	0,5049096	0,9945308	0,0588255	0,9780595	0,7917847	0,9841173	0,0643236	0,2602639	0,7694114	0,8994526	0,0348840	0,9416751	0,8867796	0,8349608	0,9989823	0,2792843	0,9869918	0,5214836	0,9921885	0,1633652	0,9418030	0,0195924	0,7321371	0,1232008	0,6860002	0,1335203	0,0227260	0,9678417	0,7174194	0,4571449	0,0415622	0,4567788	0,1804953	0,9085484	0,0981740	0,7564654	0,9946308	0,4704145	0,9998661	0,8498358	0,7805308	0,0965962	0,6430808	0,0699967	0,8101069	0,1026613
1,0000000	0,8762546	0,2811081	0,1856411	1,0000000	0,0887208	1,0000000	0,5051105	0,9481894	1,0000000	0,6032776	0,3135318	0,9812855	0,9373659	0,9950356	0,9656044	0,8643927	0,0291241	0,5693412	0,2441018	0,2621066	0,6837141	0,9303143	0,8199999	0,2880003	0,7652609	0,6999862	0,9999995	0,6265375	0,0828006	0,6722877	0,0983029	0,6738015	0,8808298	0,0113735	0,4461179	0,4187228	0,7426751	0,8676092	0,2794601	0,0307074	0,5506985	0,0670230	0,9054377	0,5359638	0,3474723	0,3567865	0,9999871	0,9809540	0,2999603	0,7431354	0,0601605	0,4684118	0,9393074	0,5049096	0,9945308	0,0588255	0,9780595	0,7917847	0,9841173	0,0643236	0,2602639	0,7694114	0,8994526	0,0384198	0,9416751	0,8867796	0,8349608	0,9435126	0,2792843	0,9869918	0,5214836	0,9921885	0,1633652	0,9418030	0,0195924	0,7321371	0,1232008	0,6860002	0,1335203	0,1083935	0,8707438	0,7174194	0,4571449	0,0415622	0,4567788	0,1804953	0,9085484	0,4342130	0,7564654	0,9946308	0,4704145	0,9998661	0,8498358	0,7805308	0,0965962	0,6430808	0,0699967	0,8101069	0,1026613
1,0000000	0,8762546	0,5622140	0,0219262	1,0000000	0,0887208	1,0000000	0,5051105	0,9481894	1,0000000	0,6021921	0,3135318	0,9811063	0,9373659	0,9995594	0,9109392	0,8643927	0,0291241	0,3651756	0,1578941	0,3655069	0,5754787	0,9303143	0,8199999	0,2880003	0,4625468	0,6999862	0,9999995	0,6265375	0,0828006	0,6722877	0,0983029	0,4803995	0,8808298	0,0113735	0,4461179	0,4187228	0,7426751	0,8676092	0,2794601	0,0121008	0,5506985	0,0670230	0,9997925	0,5359638	0,3474723	0,3567865	0,9999871	0,9809540	0,4948520	0,2040965	0,0601605	0,4684118	0,9935440	0,5049096	0,9945308	0,0588255	0,9780595	0,7917847	0,9841173	0,0643236	0,2602639	0,7694114	0,8994525	0,0348835	0,9416751	0,8867796	0,8349608	0,9998564	0,2792843	0,9869918	0,5214836	0,9921885	0,1633652	0,9418030	0,0195924	0,7321371	0,1232008	0,6860001	0,1335203	0,0160407	0,9678417	0,7174194	0,4571449	0,0415622	0,4567788	0,1804953	0,9085484	0,0903335	0,7564654	0,9946308	0,4704145	0,9998661	0,8498358	0,7805308	0,0965962	0,6430808	0,0699967	0,8101069	0,1026613
1,0000000	0,8762546	0,5622140	0,0617392	0,5000013	0,2506721	1,0000000	0,5051105	0,9172968	1,0000000	0,5136284	0,2492537	0,8878656	0,9371750	0,9995594	0,9109392	0,8643927	0,0304479	0,3651756	0,1578941	0,3655069	0,5754787	0,9303143	0,9930046	0,4381439	0,4274699	0,7983119	0,9999955	0,3423496	0,1496375	0,4879638	0,0983029	0,4803995	0,8808298	0,0113735	0,4461179	0,4187228	0,7426751	0,8676092	0,2794601	0,0121008	0,5506985	0,0670230	0,9958885	0,5359638	0,3474723	0,3567865	0,9999871	0,9809540	0,4948520	0,2040965	0,0601605	0,4684118	0,9935440	0,5049096	0,9945308	0,0588255	0,9780595	0,7917847	0,9841173	0,0643236	0,2602639	0,7694114	0,8994526	0,0348879	0,9416751	0,8867796	0,8349608	0,9973254	0,2792843	0,9869918	0,5214836	0,9912847	0,1633652	0,9418030	0,0195924	0,7321371	0,1232008	0,6860002	0,1335203	0,0300156	0,9678417	0,7174194	0,4625779	0,0415622	0,4567788	0,1804953	0,9085484	0,1127763	0,7564654	0,9946308	0,4704145	0,9983849	0,8498358	0,7805308	0,0965962	0,6430808	0,0699967	0,8101069	0,1026613
1,0000000	0,8762546	0,5622140	0,0438517	1,0000000	0,0443754	1,0000000	0,5051105	0,9488038	1,0000000	0,6247063	0,3163939	0,9811063	0,9373659	0,9995594	0,9109392	0,8643927	0,0291241	0,3651757	0,1578942	0,3655069	0,5754787	0,9303143	0,8199999	0,2880003	0,4625468	0,6999862	0,9999995	0,6265375	0,0828007	0,6722877	0,0983029	0,4803995	0,8808298	0,0113735	0,4461179	0,4187228	0,7426751	0,8676092	0,2794601	0,0121008	0,5506985	0,0670230	0,9984909	0,5359638	0,3474723	0,3567865	0,9999871	0,9809540	0,4948520	0,2040965	0,0601605	0,4684118	0,9935440	0,5049096	0,9945308	0,0588255	0,9780595	0,7917847	0,9841173	0,0643236	0,2602639	0,7694114	0,8994525	0,0348840	0,9416751	0,8867796	0,8349608	0,9989823	0,2792843	0,9869918	0,5214836	0,9922038	0,1633652	0,9418030	0,0195924	0,7321371	0,1232008	0,6860001	0,1335203	0,0227260	0,9678417	0,7174194	0,4570431	0,0415623	0,4567788	0,1804953	0,9085484	0,0981740	0,7564654	0,9946308	0,4704145	0,9998661	0,8498358	0,7805308	0,0965962	0,6430808	0,0699967	0,8101069	0,1026613
1,0000000	0,8762546	0,5622140	0,0360916	1,0000000	0,1897161	0,5000037	0,7421485	0,9314350	1,0000000	0,5457053	0,2189685	0,9811063	0,8079357	0,9995594	0,9109392	0,7013340	0,0291189	0,3651756	0,1578941	0,3655069	0,5754787	0,9303143	0,8182192	0,4536766	0,4625468	0,6304455	0,9999995	0,7395304	0,1231702	0,9368537	0,0983029	0,4803995	0,8808298	0,0113735	0,4461179	0,4187228	0,7426751	0,8676092	0,2794601	0,0121008	0,5506985	0,0670230	0,9991445	0,1895239	0,3474723	0,3567865	0,9999871	0,9809540	0,4948520	0,2040965	0,0601605	0,7982635	0,9935440	0,5049096	0,9945308	0,0588255	0,9780595	0,1153314	0,9841173	0,0643236	0,2602639	0,7694114	0,8994526	0,0348836	0,9416751	0,8867796	0,8349608	0,9994129	0,2792843	0,9869918	0,5214836	0,9917125	0,1633652	0,9418030	0,0195924	0,2816138	0,1232008	0,6860002	0,1335203	0,0200490	0,9678417	0,7174194	0,4600642	0,0415622	0,4567788	0,1804953	0,9085484	0,0943204	0,7564654	0,9946308	0,9073672	0,9998661	0,5563057	0,7805308	0,0965962	0,6430808	0,0699967	0,8101069	0,1026613
1,0000000	0,8762546	0,5622140	0,0438517	1,0000000	0,0887208	1,0000000	0,2525936	0,9772443	1,0000000	0,6045631	0,3814205	0,9811063	0,9373659	0,9995594	0,9109392	0,8643927	0,0291241	0,3651756	0,1578941	0,3655069	0,5754787	0,9303143	0,8199999	0,2880003	0,4625468	0,6999862	0,9999995	0,6265375	0,0828006	0,6722877	0,0983029	0,4803995	0,8808298	0,0113735	0,4461179	0,4187228	0,7426751	0,8676092	0,2794601	0,0121008	0,5506985	0,0670230	0,9984911	0,5359638	0,3474723	0,3567865	0,9999871	0,9809540	0,4948520	0,2040965	0,0601605	0,4684118	0,9935440	0,5049096	0,9945308	0,0588255	0,9780595	0,7917847	0,9841173	0,0643236	0,2602639	0,7694114	0,8994525	0,0348840	0,9416751	0,8867796	0,8349608	0,9989823	0,2792843	0,9869918	0,5214836	0,9929041	0,1633652	0,9418030	0,0195924	0,7321371	0,1232008	0,6860001	0,1335203	0,0227260	0,9678417	0,7174194	0,4523349	0,0415622	0,4567788	0,1804953	0,9085484	0,0981740	0,7564654	0,9946308	0,4704145	0,9998661	0,8498358	0,7805308	0,0965962	0,6430808	0,0699967	0,8101069	0,1026613
1,0000000	0,8762546	0,5622140	0,0438517	1,0000000	0,0887208	1,0000000	0,5051105	0,4740960	1,0000000	0,4154164	0,3135318	0,9811063	0,9373659	0,9995594	0,9109392	0,8643927	0,0291241	0,3651756	0,1578941	0,3655069	0,5754787	0,9303143	0,8199999	0,2880003	0,4625468	0,6999862	0,9999995	0,6265375	0,0828006	0,6722877	0,0983029	0,4803995	0,8808298	0,0113735	0,4461179	0,4187228	0,7426751	0,8676092	0,2794601	0,0121008	0,5506985	0,0670230	0,9984911	0,5359638	0,3474723	0,3567865	0,9999871	0,9809540	0,4948520	0,2040965	0,0601605	0,4684118	0,9935440	0,5049096	0,9945308	0,0588255	0,9780595	0,7917847	0,9841173	0,0643236	0,2602639	0,7694114	0,8994526	0,0348840	0,9416751	0,8867796	0,8349608	0,9989823	0,2792843	0,9869918	0,5214836	0,9193956	0,1633652	0,9418030	0,0195924	0,7321371	0,1232008	0,6860002	0,1335203	0,0227260	0,9678417	0,7174194	0,5864362	0,0415622	0,4567788	0,1804953	0,9085484	0,0981740	0,7564654	0,9946308	0,4704145	0,9998661	0,8498358	0,7805308	0,0965962	0,6430808	0,0699967	0,8101069	0,1026613
1,0000000	0,8762546	0,5622140	0,0438517	1,0000000	0,0911401	1,0000000	0,5051105	0,7281408	0,5000027	0,5690122	0,6268428	0,9791260	0,9373659	0,9995594	0,9109392	0,8643927	0,0291241	0,3651756	0,1578941	0,3655069	0,5754787	0,7770523	0,8199999	0,2880003	0,4625468	0,6999862	0,9999704	0,6265375	0,0828006	0,6722877	0,0983029	0,4803995	0,8808298	0,0113735	0,4461179	0,4187228	0,7426751	0,8676092	0,2794601	0,0121008	0,5506985	0,0670230	0,9984911	0,5359638	0,3474723	0,3567865	0,9999871	0,9809540	0,4948520	0,2040965	0,0601605	0,4684118	0,9935440	0,5049096	0,9945308	0,0588255	0,9780595	0,7917847	0,9841173	0,0643236	0,2602639	0,7694114	0,8994526	0,0348840	0,9416751	0,8867796	0,8349608	0,9989823	0,2792843	0,9869918	0,5214836	0,9808605	0,1633652	0,9418030	0,0195924	0,7321371	0,1232008	0,6860002	0,1335203	0,0227260	0,9678417	0,7174194	0,5031540	0,0415622	0,4567788	0,1804953	0,9085484	0,0981740	0,7564654	0,9946308	0,4704145	0,9998661	0,8498358	0,7805308	0,0965962	0,6430808	0,0699967	0,8101069	0,1026613
