G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0,0000000	0,0296275	0,0506949	0,1042349	0,4957721	0,0349820	0,4999580	0,0985304	0,4678305	0,4535517	0,1039377	0,1348538	0,3317775	0,8308000	0,4025977	0,3997760	0,0245534	0,0559512	0,3228406	0,2608965	0,3545254	0,2630112	0,1291176	0,2288884	0,0210605	0,5270923	0,4818001	0,4209199	0,3523750	0,0322060	0,2453222	0,7975678	0,4095696	0,1513031	0,3440908	0,2857554	0,5599543	0,0349909	0,1199920	0,4596706	0,0513090	0,0332205	0,5208141	0,4533027	0,4283161	0,4440698	0,9404417	0,0047241	0,0616325	0,3452517	0,3293493	0,3775324	0,0500108	0,4250574	0,6113571	0,0651177	0,4191777	0,0620294	0,4957206	0,0733613	0,2581341	0,4040128	0,0318299	0,0803980	0,0541564	0,0458171	0,1273346	0,0097533	0,3427906	0,5309604	0,0296859	0,0538904	0,3947299	0,2754029	0,0398464	0,6707477	0,3605864	0,7240345	0,0245696	0,5025252	0,0443075	0,3420164	0,2075994	0,3838374	0,4653589	0,1763409	0,7059069	0,0309930	0,1802948	0,0620913	0,0778808	0,2094192	0,3208662	0,3208334	0,1543825	0,4408928	0,0308237	0,4165004	0,0112808	0,5959794
0,1831860	0,0000000	0,2491850	0,0483603	0,3732903	0,0089201	0,3188820	0,2563850	0,3746953	0,3128488	0,1405956	0,1604841	0,2668652	0,6147600	0,0467584	0,2450218	0,3076128	0,1754361	0,4197587	0,3420082	0,5048341	0,2457050	0,3134344	0,3812305	0,1384271	0,1113992	0,4141319	0,5333083	0,2483056	0,0859120	0,2304758	0,0943871	0,3237437	0,3353100	0,0315353	0,0518731	0,3268871	0,6115395	0,1718526	0,2618871	0,0755794	0,2147441	0,0997561	0,3753068	0,2358821	0,0795361	0,1799410	0,4776438	0,2324042	0,2929759	0,0181632	0,0979992	0,1226106	0,3332696	0,2159557	0,3214355	0,0198271	0,9121455	0,7355993	0,2269447	0,0896359	0,1638256	0,2454638	0,4933039	0,0196745	0,4765293	0,4933257	0,3097453	0,5615884	0,1238185	0,4268763	0,3988198	0,5009126	0,1088512	0,4271614	0,0092433	0,2837705	0,1099863	0,3212131	0,1795507	0,0133641	0,5116604	0,1460238	0,1941375	0,0236517	0,0661968	0,1860658	0,3047480	0,1896151	0,1597117	0,4541451	0,3502570	0,4141352	0,3074609	0,3343254	0,0514657	0,3047884	0,0398626	0,2127141	0,2457828
0,2948412	0,2859840	0,0000000	0,0707495	0,5989308	0,0441687	0,7217914	0,2057738	0,4721426	0,6048351	0,5246177	0,2575710	0,1549269	0,4492299	0,0943428	0,5175343	0,3150859	0,0416618	0,4675542	0,5396297	0,0468880	0,4497206	0,3646973	0,5344650	0,0410105	0,0916388	0,4343652	0,3155481	0,1426962	0,1008373	0,4810354	0,1109985	0,3112690	0,3926235	0,0259577	0,1259145	0,3345503	0,3472043	0,1194641	0,2124859	0,5744379	0,0424155	0,0886049	0,1711077	0,2795157	0,2042834	0,1468916	0,4628044	0,6464098	0,0073261	0,1810128	0,0403176	0,2069151	0,0632474	0,1615746	0,3380573	0,0338945	0,5088427	0,4606223	0,3604157	0,1068892	0,2070976	0,1457520	0,6467978	0,3208290	0,3320357	0,1539616	0,3433824	0,1127552	0,0161901	0,2891405	0,4582652	0,3793982	0,2182228	0,1977159	0,0130354	0,3217208	0,2049594	0,2662655	0,1134844	0,1175224	0,0454811	0,1357660	0,2659030	0,0326506	0,2262752	0,0300003	0,7384735	0,3730561	0,5511743	0,6981639	0,0800400	0,6642805	0,3938739	0,1569875	0,0832684	0,2826119	0,1612447	0,3855048	0,1055875
0,7498605	0,5840774	0,3041075	0,0000000	0,5341928	0,1548757	0,3473931	0,1522054	0,4448294	0,5591337	0,4191061	0,2272311	0,4052111	0,4907285	0,5218356	0,5990394	0,2336039	0,2896571	0,3210263	0,2318616	0,5547800	0,0783267	0,2561015	0,4177988	0,2040520	0,0878410	0,4048529	0,2954925	0,4373302	0,1003499	0,4418171	0,0289194	0,1258033	0,5709550	0,0042260	0,0894016	0,1095983	0,4143966	0,1142225	0,0348050	0,0176723	0,3385313	0,0831304	0,5241487	0,2317168	0,1064589	0,1598709	0,4669330	0,2128479	0,2953624	0,2123046	0,0647253	0,2154161	0,3278555	0,2233728	0,2573588	0,0412549	0,5154737	0,2556755	0,4639619	0,0859807	0,0331665	0,3218071	0,4482989	0,0214536	0,4118340	0,4828831	0,5766393	0,1613468	0,1442583	0,6482763	0,2182519	0,3761115	0,0420802	0,5169007	0,0759690	0,1523320	0,1376585	0,3125850	0,0520715	0,0128145	0,6533794	0,5860607	0,3281565	0,0727035	0,1378122	0,0090944	0,1864684	0,0866025	0,1666591	0,3591701	0,1498580	0,3095811	0,4053215	0,2618560	0,0116844	0,4202401	0,0729845	0,3567444	0,0179224
0,5841554	0,3695452	0,0417729	0,1958510	0,0000000	0,1093140	0,5618709	0,3137339	0,2272780	0,6573206	0,0347633	0,0649145	0,1300951	0,3388825	0,4118546	0,3342677	0,3096926	0,5492427	0,1534862	0,1052109	0,1904703	0,3627070	0,3345252	0,4427572	0,0719092	0,0224256	0,3249221	0,0155369	0,2307141	0,1144637	0,3929702	0,0698270	0,3094779	0,5600397	0,0105295	0,1152506	0,0774825	0,3632532	0,3008821	0,0344714	0,1409965	0,3247460	0,1246558	0,4676616	0,2456372	0,1225846	0,1663918	0,2475247	0,6798935	0,3890007	0,2417987	0,0262746	0,2718062	0,5599726	0,2223869	0,2543175	0,0561518	0,1717460	0,2372361	0,5051008	0,0418130	0,3231682	0,2116604	0,3210606	0,4043500	0,4786964	0,3758011	0,1774919	0,4903731	0,1559848	0,4598961	0,4014002	0,3878959	0,0439815	0,4659984	0,0625545	0,2089314	0,1711190	0,2185785	0,0579669	0,0972826	0,5154933	0,2283032	0,5183779	0,0162001	0,2821660	0,0298485	0,5714898	0,3354636	0,3328515	0,5235087	0,1782964	0,0414732	0,3446081	0,2878637	0,0508366	0,2440010	0,1483762	0,3701607	0,0682682
0,3679536	0,2400913	0,4884001	0,0635582	0,4099713	0,0000000	0,2209947	0,0771054	0,6603648	0,1829709	0,4473450	0,1858978	0,2632720	0,1205607	0,4089012	0,3487665	0,4620367	0,0781955	0,1626280	0,0758990	0,1732827	0,2853015	0,3174333	0,3441526	0,1549518	0,3597135	0,3233896	0,4290377	0,1628662	0,1070913	0,4502126	0,1377133	0,2123301	0,3709648	0,0084868	0,4957182	0,2544667	0,5373515	0,1565432	0,1866083	0,0082724	0,0851356	0,1008428	0,4026282	0,0899432	0,2511346	0,5085210	0,3516502	0,2987431	0,4030399	0,1443001	0,0075054	0,2827057	0,2932317	0,5704511	0,5114246	0,1608648	0,2224003	0,3609269	0,4072089	0,2325026	0,3608554	0,4765214	0,5949799	0,1128647	0,3454493	0,4095212	0,3981711	0,4972751	0,1974151	0,3319635	0,1779897	0,4523095	0,1432707	0,4971922	0,0738585	0,4839398	0,3885868	0,1739031	0,0533402	0,0663032	0,4969662	0,0284926	0,2738289	0,0123587	0,2453780	0,1922215	0,2984261	0,2140335	0,1421368	0,2376168	0,1967054	0,6804750	0,4337653	0,3279245	0,2026942	0,1641346	0,1496939	0,4275287	0,0802350
0,4438517	0,6710824	0,2174474	0,0907946	0,3553409	0,2040900	0,0000000	0,6631752	0,4585483	0,3336195	0,2001420	0,0586996	0,2644270	0,4527534	0,5937809	0,7168996	0,0047094	0,0293828	0,1435612	0,0441623	0,1513538	0,1299308	0,3482711	0,1650382	0,1846880	0,2213699	0,1390594	0,4969002	0,3314504	0,3470914	0,4838239	0,1662250	0,4513845	0,2483937	0,0200408	0,0962467	0,1406869	0,1777081	0,4583114	0,1549595	0,0111152	0,1726744	0,0172757	0,2578900	0,1265763	0,1688843	0,1188226	0,4886842	0,6227195	0,1791914	0,1359118	0,0071067	0,6869180	0,2958661	0,2034083	0,4868737	0,1193927	0,3725225	0,0692704	0,3534898	0,0670371	0,0781930	0,5152757	0,4094506	0,1941559	0,2766667	0,7544214	0,3552390	0,2161918	0,0990170	0,3538966	0,3137567	0,8485041	0,1014931	0,4502762	0,0209275	0,0343249	0,0579900	0,2155395	0,0437175	0,0710149	0,2120715	0,4243028	0,0696853	0,0686968	0,0115051	0,0314289	0,6397922	0,2421308	0,4167019	0,2676515	0,3507454	0,4633621	0,0325620	0,4053911	0,1317635	0,4154020	0,1260736	0,4198642	0,0658714
0,3116379	0,5453519	0,4161608	0,1208043	0,1936154	0,0490440	0,6723246	0,0000000	0,5188103	0,4699815	0,5714621	0,0770435	0,4906712	0,5592131	0,1725822	0,3722368	0,5983745	0,0100256	0,1439441	0,0776240	0,2027347	0,1213418	0,4464652	0,5809021	0,0856533	0,2854483	0,2001575	0,1925737	0,1760290	0,0152427	0,2440641	0,1281861	0,1194669	0,6570530	0,0427136	0,1026350	0,1541880	0,3447916	0,2308073	0,2891732	0,0510080	0,1784121	0,0032558	0,6273242	0,4371405	0,1286149	0,1692698	0,4508517	0,7320276	0,2912113	0,1293545	0,0098081	0,3984351	0,3651036	0,5536196	0,4984473	0,0580411	0,2718440	0,5870056	0,2593823	0,0883224	0,0762436	0,4713969	0,2949357	0,0942302	0,4369000	0,5810693	0,8451916	0,2233117	0,0292757	0,4508586	0,2551934	0,4836424	0,0236555	0,0704136	0,0188767	0,5674749	0,0034287	0,4351322	0,0840786	0,0127133	0,5882793	0,3147647	0,2200978	0,0672957	0,1599547	0,1128934	0,4293200	0,2399751	0,4690429	0,6437103	0,1519195	0,5851398	0,5216414	0,4802582	0,0525147	0,5381348	0,0280180	0,3274859	0,0156040
0,4493269	0,4152132	0,2549766	0,0121625	0,2884887	0,1787527	0,3295489	0,2821260	0,0000000	0,5702698	0,0415755	0,1310283	0,3572327	0,5260401	0,3564037	0,3442830	0,4374749	0,0921408	0,2904313	0,2059379	0,1717542	0,2509994	0,6582723	0,4479580	0,0772478	0,2369669	0,0895141	0,5159542	0,4919293	0,1427151	0,5026135	0,1135325	0,5223059	0,1791734	0,0478067	0,2745932	0,2137032	0,2800287	0,7061798	0,0241546	0,0126662	0,2163949	0,0813976	0,2863748	0,3332050	0,0911685	0,1760305	0,4893764	0,6510075	0,2144646	0,1985152	0,0883408	0,2668715	0,5277406	0,1780169	0,2053180	0,0600434	0,5827305	0,2715960	0,4910466	0,0774774	0,2850538	0,5631061	0,2964630	0,0070945	0,0755474	0,3754555	0,2229845	0,5172994	0,0136089	0,3894871	0,2618855	0,0738100	0,1429962	0,3949359	0,0202768	0,3143889	0,1299389	0,3434698	0,0310674	0,0403956	0,3706136	0,3129768	0,4766458	0,0448182	0,4950854	0,1152732	0,3771049	0,0604322	0,3964736	0,6764448	0,3024768	0,3346557	0,5155421	0,3313071	0,0827172	0,1899372	0,0600372	0,1207761	0,0396587
0,3326413	0,2788132	0,1544581	0,1128883	0,5596150	0,1655898	0,6636505	0,1969058	0,0909147	0,0000000	0,3481505	0,2945514	0,4864098	0,6633286	0,2076269	0,5224840	0,2907785	0,0155844	0,4059664	0,1196126	0,0782466	0,0929641	0,2285797	0,2831616	0,2545092	0,3986483	0,3908783	0,1087834	0,2955789	0,0373353	0,2257794	0,1466025	0,2360399	0,2426289	0,0092803	0,2975722	0,2050293	0,4502702	0,4309568	0,0870547	0,0092669	0,4263130	0,1749490	0,2690700	0,3483637	0,4328744	0,1639488	0,5505315	0,2094728	0,2267708	0,0878017	0,0311872	0,0829740	0,3204535	0,1597414	0,5104620	0,0837339	0,6890460	0,2685302	0,3333626	0,0615513	0,0583689	0,4763919	0,1876310	0,1355768	0,2090060	0,3263426	0,2886031	0,1989894	0,1030861	0,4948071	0,3380090	0,5440364	0,1226725	0,2114680	0,0475210	0,2747779	0,2200914	0,4894546	0,0577126	0,1853670	0,2727988	0,3390117	0,3176729	0,0031703	0,2247253	0,0784370	0,3398764	0,2353735	0,3085824	0,6034050	0,0687357	0,2513004	0,2374812	0,2066297	0,0392533	0,3160248	0,0179217	0,5078326	0,0177333
