G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.2931281	0.5812616	0.2415016	0.2091010	0.2297377	0.7109694	0.0202277	0.0771090	0.0665036	0.4171034	0.1880750	0.0439193	0.0016600	0.2912061	0.4566981	0.3054891	0.1462724	0.3419175	0.4179923	0.2185429	0.2794497	0.7351955	0.4620632	0.2298409	0.1768487	0.0364965	0.0407127	0.6379656	0.6168231	0.0358155	0.6209451	0.3308945	0.5073689	0.4801592	0.7637619	0.0470477	0.0339304	0.7840215	0.0145699	0.0928258	0.1754696	0.0559125	0.7064694	0.4227561	0.7072881	0.1106856	0.0649410	0.0724399	0.7977039	0.1093515	0.1037450	0.6494732	0.5857909	0.5713003	0.4289422	0.1743415	0.1500366	0.0394341	0.8335935	0.0670586	0.5342056	0.6488249	0.0662390	0.0352413	0.2600728	0.0985200	0.6795443	0.5558983	0.3682607	0.4078461	0.3324855	0.5765612	0.6260646	0.0507914	0.0264297	0.0457884	0.4473011	0.3088538	0.7001945	0.2757308	0.4740999	0.0211300	0.7007812	0.6208206	0.0548393	0.2050495	0.4800954	0.6441300	0.6133629	0.7549435	0.6735498	0.2871662	0.6772855	0.3159699	0.5546539	0.3573515	0.7335352	0.7426433	0.3118511	0.8091890
0.3307705	0.4401257	0.0420653	0.5157613	0.3958472	0.6381709	0.0494788	0.0775811	0.1007390	0.4897942	0.4756500	0.0010594	0.0635940	0.2510736	0.5359465	0.1730925	0.3600253	0.3119267	0.2384507	0.1453741	0.4735920	0.6749168	0.6655096	0.1798454	0.1321000	0.0092340	0.0534885	0.6773213	0.6307409	0.0508994	0.7090479	0.4606091	0.6918727	0.3577186	0.7308330	0.0387189	0.0062008	0.6536538	0.0530873	0.0789023	0.1753268	0.0470980	0.5745977	0.3070289	0.8732290	0.0556487	0.4534671	0.1706645	0.7491518	0.6251665	0.0684631	0.3390815	0.0512302	0.4759243	0.1969099	0.2030319	0.0085109	0.0474217	0.6577683	0.0415596	0.4868702	0.2489904	0.2904376	0.0283308	0.3147807	0.1098462	0.5736617	0.8282951	0.4471920	0.3893962	0.5295609	0.5838843	0.6423116	0.0206515	0.7267601	0.0734759	0.3350455	0.1350224	0.4967006	0.2958735	0.4834527	0.3742771	0.5416895	0.5185275	0.0264770	0.0735941	0.6707968	0.7758616	0.5531961	0.6270452	0.6984146	0.6103622	0.4813129	0.3747520	0.5599742	0.1971201	0.7734994	0.7004251	0.6780364	0.7661598
0.4632252	0.7229433	0.0664622	0.2534537	0.2510283	0.6880830	0.0294909	0.0598183	0.0786800	0.4364321	0.3010223	0.1533213	0.0010889	0.2748271	0.3807371	0.2115611	0.1855244	0.2873960	0.2804478	0.1980933	0.3614589	0.9047069	0.6000869	0.2791195	0.1243896	0.0228213	0.0353317	0.7874963	0.6567758	0.0227088	0.6167232	0.3951330	0.4028935	0.3877026	0.7930478	0.0840104	0.0402649	0.6936402	0.0070519	0.1345419	0.1879635	0.0363525	0.7644824	0.5335227	0.6510793	0.0581343	0.0546834	0.1032723	0.7886577	0.1812664	0.1221685	0.5130213	0.3041354	0.7719148	0.3799117	0.2549326	0.0648924	0.0172956	0.8140042	0.0328042	0.4474216	0.5733212	0.0724056	0.0115907	0.2745732	0.0797548	0.5993532	0.7382492	0.3286045	0.4000746	0.3146465	0.5773890	0.8467836	0.0138838	0.1338895	0.0608338	0.3207393	0.3048526	0.4715989	0.2695541	0.4173956	0.0335496	0.7862091	0.5337652	0.0551384	0.0619788	0.4778338	0.6585500	0.5343756	0.6121460	0.5820228	0.3469372	0.6122861	0.2898621	0.6089663	0.3422697	0.7470253	0.7560967	0.3032877	0.6122738
0.3944585	0.7821623	0.2904391	0.1129501	0.1817176	0.8229284	0.0104409	0.0710824	0.0768663	0.4880566	0.3971925	0.0421595	0.0002793	0.3141311	0.4445369	0.2903541	0.1196953	0.3531378	0.4156102	0.2251173	0.4282992	0.7220305	0.4900672	0.3881249	0.1269040	0.0431954	0.0435650	0.7312465	0.2658184	0.0938814	0.5613528	0.3433774	0.3824329	0.2788421	0.7423088	0.0627762	0.0855778	0.7432699	0.0095321	0.1239481	0.2256171	0.0342211	0.6805259	0.5196597	0.7070533	0.0584602	0.0042902	0.1031583	0.7769453	0.1422811	0.0627951	0.5226450	0.6884963	0.7129139	0.3606945	0.1871882	0.0123643	0.0381294	0.6177015	0.0173367	0.5826146	0.7338760	0.1158115	0.0476035	0.2756431	0.0693139	0.6032413	0.5204202	0.4454018	0.5549926	0.3244892	0.5501912	0.6352197	0.0268822	0.0055639	0.0493506	0.3216575	0.2587321	0.6024060	0.2367336	0.4597371	0.0096032	0.5385585	0.6171331	0.0318122	0.2106039	0.5677795	0.7651317	0.5780007	0.5177189	0.6773425	0.3735786	0.6019298	0.2811152	0.5668357	0.3102647	0.7162873	0.7245060	0.3978127	0.7081704
0.4056306	0.7181170	0.2010625	0.3168016	0.1093633	0.8458849	0.0235057	0.0859437	0.0663399	0.5737742	0.3070663	0.0215611	0.0069032	0.3555427	0.4774373	0.2428621	0.1973375	0.2687657	0.2711451	0.1737950	0.3597177	0.7220026	0.6102151	0.2867898	0.0951177	0.0177377	0.0379105	0.6199664	0.6017347	0.0382497	0.5762962	0.4653579	0.4481516	0.3400083	0.6402344	0.0699730	0.0261661	0.6544333	0.0069495	0.1370222	0.1814840	0.0323466	0.7391060	0.3483732	0.7407146	0.0785505	0.1098419	0.1170635	0.6138533	0.1365255	0.0554228	0.6071489	0.3974934	0.8826528	0.4071623	0.1869289	0.1521114	0.0169411	0.5970695	0.0240374	0.6669950	0.6157201	0.0533264	0.0121754	0.2386728	0.1022416	0.8235471	0.6937688	0.4609845	0.3358955	0.2984129	0.5651279	0.7446462	0.0306845	0.0939269	0.0633460	0.2630521	0.2654472	0.4683136	0.2622016	0.4054774	0.0389577	0.6901836	0.6147191	0.0277260	0.1238261	0.1117266	0.6280534	0.6726668	0.6949753	0.5842903	0.0568417	0.5955950	0.3439938	0.3387308	0.5513809	0.7040165	0.6878009	0.0944331	0.7300278
0.6378535	0.6686939	0.3913643	0.2960450	0.2948594	0.3852027	0.0223178	0.0659733	0.0900385	0.3128170	0.3818684	0.0414063	0.0030534	0.1343525	0.4821334	0.2283296	0.1700101	0.2982111	0.3255975	0.1914350	0.4315765	0.6480365	0.4572002	0.3206553	0.1330824	0.0571859	0.0676933	0.6583596	0.3946022	0.0341774	0.5376804	0.3334193	0.3086121	0.3089679	0.6677367	0.0696376	0.0721114	0.6766887	0.0607621	0.2775727	0.2034145	0.0595837	0.5930248	0.3278425	0.7068084	0.1311190	0.1222353	0.0861058	0.7599738	0.1524104	0.3315807	0.5715368	0.3183921	0.6545479	0.3580470	0.3414372	0.0262025	0.0244721	0.6319887	0.0655726	0.5204112	0.7317905	0.0607449	0.0258257	0.3367426	0.1135708	0.6140202	0.6313175	0.1442922	0.4579803	0.3342414	0.4653916	0.6674674	0.0112661	0.0941566	0.0940123	0.4734177	0.2656991	0.6099276	0.5267455	0.4346037	0.0261227	0.7588778	0.5402293	0.0485031	0.3350943	0.5699106	0.7037189	0.4142729	0.4625911	0.7154841	0.4865160	0.4497514	0.5162933	0.6035684	0.1427114	0.5801093	0.7781472	0.5895339	0.6527449
0.4307761	0.6481978	0.2430693	0.2315626	0.2400966	0.7385610	0.0136097	0.0925783	0.0608478	0.4931047	0.2052922	0.0590376	0.0173979	0.3993295	0.3945017	0.2367191	0.1609880	0.2921373	0.3774256	0.2090723	0.5133723	0.8883162	0.6254935	0.2650561	0.1792694	0.0232559	0.0255073	0.6727525	0.6913783	0.0086037	0.6732980	0.5092800	0.4410528	0.3775297	0.8256169	0.0591979	0.0278256	0.8626906	0.0126805	0.0830787	0.1614024	0.0199832	0.6261663	0.3423272	0.6497696	0.1075245	0.0842739	0.0586417	0.7403104	0.1955323	0.1169582	0.5711878	0.2977248	0.7493749	0.2913580	0.1648365	0.1725019	0.0339084	0.5935533	0.0632997	0.4187939	0.6106743	0.0853114	0.0430338	0.2765917	0.0994817	0.6387651	0.6481309	0.3224518	0.4777019	0.3767973	0.6203680	0.7773558	0.0190447	0.0503147	0.0628719	0.3354584	0.2937391	0.5389890	0.1874328	0.3595717	0.0430866	0.5693434	0.6315864	0.0447456	0.1790178	0.5465385	0.6737273	0.5236778	0.4676121	0.6850992	0.3462182	0.5651689	0.3480205	0.6751979	0.3413571	0.8231689	0.6366425	0.3606930	0.8041179
0.4277212	0.7031502	0.1853150	0.2048575	0.2961706	0.6858775	0.0051126	0.0381529	0.0329164	0.5718391	0.2411817	0.1290560	0.0083007	0.3578698	0.4602190	0.2838898	0.2477442	0.2440145	0.2443829	0.2332950	0.5616480	0.7679254	0.4816252	0.3227989	0.1255524	0.0127919	0.0394452	0.8147429	0.6982815	0.0100958	0.6295164	0.3347522	0.4398674	0.3117509	0.6887675	0.0937846	0.0080669	0.6951422	0.0185997	0.2138817	0.1823178	0.0381463	0.6099598	0.4586010	0.6773185	0.0449485	0.1212830	0.1645141	0.6923778	0.1643023	0.1545889	0.6083449	0.2050479	0.8253365	0.4074776	0.1551035	0.1540409	0.0255869	0.6821817	0.0392206	0.5540752	0.4201682	0.0574287	0.0194791	0.2602079	0.0810526	0.5523921	0.5958221	0.3750293	0.4334308	0.4065446	0.7765875	0.6597031	0.0150679	0.1644324	0.0566109	0.3963404	0.2375071	0.5341472	0.2968577	0.4174790	0.0577720	0.8189802	0.7374493	0.0305418	0.1200247	0.6622103	0.7425285	0.5896267	0.6351550	0.6977584	0.4228190	0.5084775	0.4131919	0.5670643	0.2593739	0.6110354	0.7996771	0.4775263	0.6973686
0.5073467	0.6269350	0.1931687	0.1969819	0.2810416	0.6420616	0.0094423	0.0672296	0.0541496	0.4130231	0.2418240	0.0676200	0.0039113	0.3459889	0.3760851	0.2324039	0.1298318	0.3225503	0.3919371	0.2335820	0.5077236	0.7536610	0.5742363	0.3283385	0.1339660	0.0091797	0.0592054	0.6244928	0.6468897	0.0372540	0.6785834	0.4395004	0.4407337	0.4864614	0.7774049	0.1091078	0.0503760	0.6127039	0.0126178	0.0718152	0.1781690	0.0363686	0.5718419	0.3503993	0.6915274	0.0734899	0.0822020	0.1179792	0.7116446	0.1119215	0.1285246	0.5259063	0.3496580	0.7705574	0.3735790	0.2485608	0.0224945	0.0203754	0.7385307	0.0206115	0.5864096	0.5664103	0.1087259	0.0371553	0.2494945	0.0364404	0.5468234	0.6168890	0.2578824	0.4162236	0.3906504	0.5166536	0.8110127	0.0424063	0.0738294	0.0836089	0.3485106	0.2162151	0.5384045	0.2616219	0.4539313	0.0464491	0.7862874	0.6473787	0.0403413	0.1353093	0.4853103	0.9300395	0.6525592	0.6183067	0.6496916	0.4003645	0.5185195	0.3926607	0.4284986	0.3481627	0.7261168	0.7756390	0.3283629	0.8254844
0.4506991	0.7114984	0.2129619	0.2447777	0.3011314	0.7170932	0.0070413	0.0577963	0.0652239	0.2672043	0.2751719	0.0783369	0.0048098	0.3535716	0.3302177	0.2199162	0.1828463	0.2881445	0.3633949	0.2068933	0.4440032	0.6689680	0.5771122	0.2267819	0.1880415	0.0465986	0.0411411	0.5920490	0.6062671	0.0186520	0.7856540	0.4136267	0.4359663	0.3580535	0.6948474	0.0624587	0.0276294	0.5794276	0.0079341	0.1661377	0.1730349	0.0429647	0.7229869	0.3419418	0.7262419	0.0494935	0.1082105	0.1447396	0.7710225	0.2157387	0.0910229	0.5020328	0.3808455	0.6008378	0.3585913	0.2056210	0.0629782	0.0304805	0.7297606	0.0557818	0.5008100	0.4407485	0.0850599	0.0168292	0.2903043	0.0944853	0.8259250	0.6380067	0.3097328	0.3876533	0.3491217	0.6649817	0.5691153	0.0231461	0.0475093	0.0909061	0.3280592	0.2924515	0.5402148	0.3898939	0.3611680	0.0465181	0.7567359	0.6307248	0.0272311	0.1023185	0.6352584	0.8029068	0.4729947	0.6367260	0.6500131	0.4074622	0.5486116	0.4008354	0.6487509	0.3668073	0.6550170	0.6520350	0.4185915	0.7986916
