G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.0166920	0.0255843	0.3034457	0.7284735	0.0837955	0.6883798	0.4459491	0.6311851	0.7017302	0.6128918	0.2486101	0.6275920	0.7873344	0.0322529	0.3478252	0.0080850	0.0124558	0.7139463	0.7716233	0.3768106	0.6965657	0.0687754	0.5903661	0.2028173	0.6960130	0.5462397	0.7334748	0.5491480	0.1110473	0.5338449	0.9107588	0.7166741	0.0924523	0.7528390	0.6469828	0.6637270	0.0462213	0.0153744	0.8284786	0.4519361	0.0085605	0.8251139	0.2736468	0.3914232	0.8391352	0.7558640	0.0508957	0.0090638	0.0502562	0.7503362	0.7070887	0.3337705	0.0959873	0.8707123	0.0360168	0.7573380	0.0015026	0.6401932	0.0028834	0.6859249	0.7406480	0.0113812	0.0891034	0.3209120	0.0225143	0.0067587	0.0151455	0.3942794	0.5634775	0.0159948	0.0378050	0.9018883	0.7549873	0.0415708	0.6856132	0.5088753	0.8221751	0.0214111	0.8009539	0.1921292	0.2718343	0.0479495	0.3520383	0.7227631	0.7611384	0.6262309	0.0915220	0.5854163	0.0683000	0.0012541	0.2780280	0.6532001	0.5391777	0.0106014	0.6497821	0.0186003	0.7107468	0.0450306	0.8023790
0.6870099	0.0000000	0.3276724	0.0281955	0.7915341	0.0835650	0.6962732	0.4508401	0.5880018	0.7494699	0.4516143	0.1925543	0.6301889	0.6875748	0.0304472	0.2224976	0.5091689	0.0158063	0.5969609	0.7771545	0.4764814	0.6310172	0.6006311	0.5115790	0.2202301	0.3924853	0.4778155	0.6496515	0.4997951	0.0782328	0.6419083	0.0496293	0.2899729	0.6313227	0.0108875	0.3370012	0.3078249	0.6049462	0.6495027	0.1754930	0.0124215	0.3906908	0.0641262	0.7019904	0.3289925	0.2792833	0.2047975	0.7430205	0.7215185	0.3351219	0.1685264	0.0299520	0.3733727	0.6474173	0.3485863	0.7607293	0.0371164	0.7616012	0.4037724	0.7320172	0.0513523	0.1134683	0.6182427	0.5808299	0.0400168	0.6846707	0.5799178	0.6967064	0.6551723	0.1783969	0.8260287	0.2870738	0.6337572	0.1251681	0.6310944	0.0199354	0.4795521	0.0693535	0.5398741	0.0937632	0.0101197	0.7126559	0.5111355	0.2861178	0.0316543	0.3680437	0.1254751	0.7108184	0.0896628	0.5585526	0.7065755	0.3577411	0.8432849	0.6357951	0.5036007	0.0398504	0.4230862	0.0499270	0.6079419	0.0456228
0.7096181	0.6249963	0.0000000	0.1784954	0.7316969	0.0504919	0.6542283	0.2758358	0.6648364	0.7611098	0.7943557	0.2177002	0.5768241	0.6023665	0.0742593	0.8092610	0.6848652	0.0124839	0.6313859	0.6040190	0.1257266	0.5505873	0.7729031	0.7493268	0.1971658	0.7009675	0.5156492	0.6811793	0.6021840	0.0487167	0.4562739	0.0513477	0.7249792	0.4947197	0.0244811	0.3198931	0.3252434	0.6179646	0.6734683	0.2382208	0.7876426	0.4737584	0.0619452	0.3318059	0.4185974	0.2344792	0.2263411	0.7152271	0.7362128	0.0128255	0.6854677	0.0314548	0.3990100	0.0252327	0.4420453	0.8227020	0.0422497	0.7565362	0.4717775	0.6541528	0.0392311	0.1772916	0.5465030	0.6120709	0.2860143	0.6861050	0.5938918	0.5951914	0.4721134	0.1964960	0.7438837	0.4038482	0.7450146	0.1076640	0.6771769	0.0139549	0.4548843	0.0889547	0.5603514	0.0731753	0.2377909	0.0900476	0.4630048	0.2713330	0.0375135	0.3245351	0.1326545	0.5929265	0.6003570	0.5929221	0.7051061	0.3957039	0.6976759	0.5207218	0.5759131	0.0755538	0.3883002	0.0636860	0.5526208	0.0770001
0.6919304	0.5623508	0.3697525	0.0000000	0.7078127	0.1028164	0.8468505	0.4018499	0.5656429	0.6524339	0.4490277	0.2829660	0.8154984	0.7556415	0.6308302	0.7581315	0.6079550	0.0405824	0.2312317	0.1177648	0.2011062	0.3126632	0.6570333	0.6360159	0.1902156	0.2985728	0.4904011	0.8593010	0.3937741	0.0579752	0.5098879	0.0672733	0.3403924	0.5094449	0.0070115	0.2659256	0.2700114	0.5115748	0.6174496	0.2531930	0.0144447	0.4487659	0.0458309	0.6691991	0.3788042	0.2760300	0.2069698	0.7580082	0.7115095	0.3667051	0.1171526	0.0729969	0.3605890	0.6658517	0.3240299	0.6819236	0.0525084	0.8409125	0.6279333	0.5665871	0.0608960	0.1484406	0.4851645	0.5577529	0.0122607	0.7543061	0.7443165	0.4378010	0.7975905	0.2412265	0.7618421	0.3241056	0.6117193	0.1738612	0.6809460	0.0145366	0.5441408	0.1042606	0.4623196	0.0740957	0.0083631	0.7088615	0.5050933	0.3104711	0.0664648	0.3396132	0.0948979	0.7458312	0.0307007	0.4359736	0.7120105	0.2752844	0.7635890	0.6087361	0.5901773	0.1023166	0.4312089	0.0538891	0.6054675	0.0821997
0.5892400	0.5670889	0.4570900	0.2275325	0.0000000	0.3657166	0.6483493	0.3723095	0.5970281	0.7271331	0.2509165	0.1317989	0.3722684	0.3157151	0.7460736	0.7246085	0.5579642	0.5739694	0.2085395	0.1649329	0.2685136	0.3735175	0.6908039	0.7129180	0.3922760	0.0724193	0.6573879	0.0073619	0.1470789	0.2729143	0.1960342	0.1015598	0.3833892	0.6569860	0.0128006	0.3082077	0.3470730	0.5946092	0.7149174	0.1847480	0.0192759	0.4175096	0.0527993	0.3133674	0.4820064	0.3300758	0.4298792	0.6328039	0.6856607	0.2933507	0.1569125	0.0435978	0.3278603	0.5890460	0.3909800	0.6587691	0.0523521	0.7123108	0.5233773	0.7154182	0.0371598	0.1609814	0.5765889	0.6569159	0.4027208	0.7050140	0.6553172	0.5191800	0.3434268	0.2133190	0.6561526	0.3433081	0.6834280	0.1138824	0.8166604	0.0159217	0.5179877	0.1013108	0.3842035	0.1211365	0.2234116	0.7321373	0.4753429	0.3237441	0.0301642	0.3161227	0.1526831	0.5653710	0.5958503	0.4216669	0.5873893	0.2692921	0.0117330	0.5927807	0.4987717	0.0935006	0.4104538	0.0594718	0.5840369	0.0616475
0.6844901	0.6351916	0.4058702	0.0431332	0.7514674	0.0000000	0.8041166	0.3827847	0.7639280	0.6747163	0.3836051	0.2007698	0.6468351	0.7049313	0.8317695	0.7040694	0.5721062	0.0244794	0.2357615	0.2088669	0.2264954	0.4419362	0.6643942	0.6357133	0.1734570	0.3082136	0.4477412	0.7140903	0.4574599	0.0771601	0.5362308	0.0706828	0.4468685	0.6307033	0.0115890	0.3708128	0.3258261	0.4479793	0.5873639	0.1999807	0.0221153	0.5098417	0.0309061	0.6968461	0.4391464	0.3089104	0.3112782	0.7820849	0.7338069	0.4550938	0.1424063	0.0301797	0.3965471	0.7472949	0.3553404	0.7847389	0.0567199	0.6220602	0.6577863	0.6513850	0.0221416	0.2512571	0.5551684	0.6774985	0.0262311	0.5931563	0.6117163	0.4825376	0.6083478	0.1698562	0.5922057	0.3813817	0.6345273	0.1533004	0.7256748	0.0138567	0.5052823	0.0827561	0.5126693	0.0794836	0.0142752	0.7167872	0.4587041	0.3891219	0.0262887	0.2652420	0.1262433	0.7023375	0.0583955	0.5878181	0.6435068	0.3163646	0.7236718	0.5964668	0.5753243	0.0424361	0.4579815	0.0850300	0.5857099	0.0714812
0.6530360	0.7563641	0.3877449	0.0094507	0.9099551	0.2476154	0.0000000	0.7172936	0.5122775	0.6053757	0.2850528	0.0505721	0.7985625	0.4091842	0.7662481	0.5949510	0.0098721	0.0221552	0.2793841	0.0817145	0.2485437	0.4217719	0.5986169	0.1850495	0.4426009	0.2980335	0.2934217	0.6900885	0.5360423	0.2503649	0.7608156	0.1278921	0.3653285	0.6164856	0.0042314	0.2703549	0.2646107	0.6358671	0.5079702	0.2325522	0.0056432	0.3614605	0.0530719	0.7267773	0.0190215	0.2125661	0.3639948	0.7081695	0.7315173	0.2895419	0.1179478	0.0377138	0.6858013	0.6851825	0.4273065	0.6718452	0.0301253	0.7845484	0.0217191	0.7187835	0.0546056	0.2338814	0.4325185	0.5532104	0.0220297	0.6370268	0.6198253	0.6914430	0.7364915	0.2464090	0.6658946	0.3668245	0.6949007	0.1889072	0.7179478	0.0244479	0.0578129	0.1008137	0.5341769	0.1403057	0.0019057	0.7728263	0.5184173	0.3669849	0.0275726	0.3963973	0.1352523	0.6710741	0.0578984	0.6611111	0.5834372	0.6377748	0.6530124	0.0322191	0.5521885	0.1007359	0.3942810	0.0731158	0.7346235	0.0622716
0.8116259	0.6870656	0.3910091	0.0125889	0.6653083	0.0764486	0.7033238	0.0000000	0.7371672	0.7376479	0.7123981	0.3541079	0.8007087	0.6211364	0.8410490	0.6176180	0.7582913	0.0111979	0.2383695	0.0689870	0.3399693	0.3428355	0.6624733	0.5336762	0.2160734	0.3010364	0.4988247	0.6001230	0.4244745	0.0636135	0.4148456	0.0537945	0.3046778	0.5936501	0.0126949	0.2556913	0.4195125	0.6239593	0.7120115	0.2432730	0.0169722	0.4121853	0.0667672	0.7912213	0.3946535	0.2407773	0.2578032	0.7958807	0.6538413	0.4201240	0.1087742	0.0719367	0.4083843	0.7287623	0.3510949	0.6121114	0.0531332	0.7047087	0.4923210	0.7369812	0.0617753	0.2298300	0.6489769	0.7086143	0.0345338	0.6907068	0.6226088	0.6309542	0.8596617	0.2310043	0.6483765	0.3312856	0.7119727	0.1111813	0.6829064	0.0189222	0.4678244	0.0842669	0.4340157	0.1203083	0.0108075	0.6927661	0.4784704	0.3481077	0.0385095	0.2484079	0.1400366	0.5956403	0.0754150	0.5911955	0.8811501	0.2989173	0.7351993	0.6053268	0.6112599	0.0737497	0.3924861	0.0375451	0.5977072	0.0774529
0.6293774	0.7032767	0.4178127	0.0729273	0.4896791	0.0475228	0.7205458	0.3443731	0.0000000	0.6946188	0.0008166	0.2328103	0.7446808	0.6936599	0.6970734	0.5619058	0.7025340	0.0140977	0.3319859	0.1273332	0.2705143	0.4138021	0.5797137	0.5924857	0.1983175	0.4118130	0.4244012	0.8082340	0.4474206	0.1038530	0.4845368	0.0465512	0.3780279	0.5602798	0.0126373	0.2448807	0.2559564	0.5768706	0.6756778	0.2312551	0.0069695	0.4468294	0.0366845	0.6942764	0.4355629	0.1829345	0.2629088	0.7609103	0.7361812	0.4140141	0.0818482	0.0667137	0.2856958	0.6979527	0.4782677	0.7521713	0.0588275	0.6738227	0.7244569	0.6287249	0.0551255	0.1603324	0.5901431	0.7420367	0.0283942	0.7726085	0.6566419	0.4671292	0.6980376	0.1655780	0.7944051	0.4837804	0.0249294	0.0986382	0.6949658	0.0127099	0.5969395	0.0786629	0.6430829	0.1100272	0.0110177	0.6435646	0.5543642	0.6501287	0.0461211	0.3464169	0.1202043	0.7243964	0.1392043	0.5811054	0.6338586	0.3152161	0.7173629	0.5729524	0.5335161	0.0610223	0.5752457	0.0627951	0.7637172	0.0718556
0.7413717	0.6015779	0.4817590	0.0319242	0.7222124	0.2386586	0.6530740	0.4279588	0.2827437	0.0000000	0.1820135	0.3451350	0.3484268	0.6614174	0.6672801	0.6843230	0.6081150	0.0486266	0.2552149	0.1104019	0.3245596	0.2410535	0.0582010	0.7233298	0.1554549	0.3148927	0.4862027	0.0238872	0.4179143	0.0473030	0.5058707	0.0537238	0.3528044	0.6707800	0.0099686	0.2725971	0.2791060	0.5802300	0.5806300	0.1762340	0.0050111	0.3339161	0.0309975	0.6866816	0.3578938	0.2041161	0.2448785	0.7773688	0.8008769	0.3808341	0.0925800	0.0652715	0.2827075	0.7375573	0.3521114	0.6581473	0.0511271	0.7095928	0.5488960	0.6524346	0.0352788	0.1963716	0.5680763	0.7343990	0.0135444	0.7044410	0.5247489	0.4808949	0.6279478	0.1954842	0.6774162	0.4508206	0.5620932	0.1363198	0.6328540	0.0162033	0.6258853	0.0507734	0.5212953	0.1589081	0.0124487	0.6384873	0.4917861	0.3518195	0.0494661	0.3472126	0.1263571	0.6392454	0.0972405	0.5062335	0.7492829	0.3275758	0.8313485	0.6912401	0.5036019	0.0379174	0.5935532	0.0692255	0.5427466	0.0571235
