G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.3754928	0.1129779	0.2377724	0.5474644	0.6242978	0.7060134	0.7053458	0.1090075	0.5888858	0.5751813	0.0205311	0.2582521	0.0875717	0.3483786	0.4420291	0.0422683	0.0853385	0.2853328	0.3384560	0.3350855	0.2884935	0.3990924	0.1902149	0.2794899	0.4998846	0.4706031	0.5722817	0.4109924	0.0384645	0.5829080	0.5950650	0.4358041	0.5701178	0.3477975	0.3496002	0.4979471	0.1229099	0.0664588	0.2002244	0.6383483	0.0690837	0.2266248	0.5284427	0.6739957	0.3040507	0.4387179	0.5197643	0.5510773	0.1150292	0.3981130	0.0767764	0.4222265	0.5847824	0.5675605	0.2942085	0.6086229	0.3038890	0.5237924	0.3121929	0.1867598	0.3798601	0.0480031	0.2612011	0.6160506	0.6591672	0.2023956	0.7265639	0.4293393	0.1410597	0.0868734	0.0357793	0.4240978	0.3368205	0.1087117	0.4036644	0.0708519	0.5492926	0.0384768	0.5120895	0.5102727	0.6530452	0.8307915	0.5567656	0.2050163	0.5801454	0.3088777	0.0788449	0.0329554	0.4931060	0.6154273	0.5240754	0.4583925	0.0908930	0.5226237	0.7186483	0.0228683	0.6946461	0.7204955	0.0420581	0.0065293
0.6985212	0.0169069	0.1949174	0.6497491	0.6200528	0.6638481	0.5285249	0.1180809	0.6836843	0.6040599	0.0217195	0.1783136	0.0912512	0.2872608	0.4866599	0.3657004	0.0936269	0.2542528	0.3587521	0.4233871	0.2895139	0.2952062	0.3743871	0.4742006	0.6263683	0.3709777	0.7302811	0.4970030	0.2578644	0.6005941	0.6521775	0.1845929	0.6599968	0.3563844	0.3755048	0.3994628	0.3922301	0.0292923	0.0458229	0.6519929	0.0510392	0.3053281	0.5702737	0.5921106	0.3056898	0.3555583	0.6275846	0.4843245	0.3507182	0.4242416	0.0335664	0.5245076	0.4893634	0.5784303	0.3078113	0.7254127	0.3444420	0.5771321	0.2003371	0.0894552	0.3438768	0.0465102	0.2336496	0.7305883	0.6217009	0.1945830	0.2587529	0.3030481	0.4464732	0.0088174	0.0210809	0.5661560	0.5537045	0.3781251	0.5183624	0.0406164	0.5158030	0.0529868	0.5732974	0.5386977	0.3474279	0.6084290	0.6417537	0.2644463	0.6507993	0.5417037	0.1003780	0.0374225	0.6271789	0.6870333	0.6734429	0.4972513	0.5662115	0.4243244	0.7385644	0.0110237	0.5489951	0.7268221	0.0284814	0.0172591
0.6160359	0.0433224	0.1337456	0.6355419	0.7214038	0.7097368	0.5988557	0.1708742	0.6744049	0.6151541	0.0423335	0.1862710	0.0744831	0.3291161	0.3798022	0.1184015	0.0852667	0.1793304	0.3699861	0.3122066	0.3382213	0.4134909	0.3213574	0.3649820	0.5857331	0.3959370	0.6699123	0.5368253	0.0921022	0.6585681	0.5760393	0.2182464	0.6500739	0.3232528	0.3897472	0.4863129	0.2854822	0.0309619	0.1354984	0.7321797	0.0227548	0.3436888	0.5557009	0.6164358	0.3930941	0.5427841	0.5985562	0.5488427	0.2722470	0.5198138	0.0268824	0.4242349	0.5481547	0.5849906	0.2690875	0.5701244	0.3011368	0.6814871	0.3005120	0.0798804	0.4371133	0.0491125	0.2906096	0.6175177	0.7027962	0.2641969	0.5112779	0.4336657	0.3742342	0.0399753	0.0081472	0.4648736	0.6221002	0.3506190	0.5872503	0.0428700	0.5289211	0.0595607	0.5386762	0.4334316	0.6333235	0.6693776	0.5770769	0.2745714	0.5569037	0.4739175	0.1315504	0.0403945	0.6212767	0.6891178	0.6443232	0.6241736	0.4689921	0.5581741	0.6612700	0.0071861	0.5911778	0.6545130	0.0374381	0.0043136
0.5858890	0.0654224	0.3482836	0.2580600	0.6636208	0.5871776	0.6901993	0.2158880	0.8444667	0.6299878	0.0549752	0.3437009	0.1095481	0.3176416	0.5418127	0.2992986	0.0722581	0.4326523	0.5126161	0.3306163	0.3137332	0.4242128	0.3798579	0.4625899	0.5522505	0.2972719	0.6818073	0.4350214	0.0575675	0.6635999	0.7748663	0.1843172	0.6077039	0.3044015	0.3884175	0.3795688	0.4862665	0.0418459	0.1263267	0.6034464	0.0299626	0.3155467	0.6216448	0.5580799	0.3001704	0.3040979	0.4974353	0.4569184	0.3407547	0.3362860	0.0494931	0.0432563	0.5790416	0.5591469	0.3079055	0.6125034	0.2571233	0.5782687	0.2555202	0.0687090	0.4095335	0.0208946	0.2739598	0.5358127	0.7916813	0.1521505	0.5545263	0.3356534	0.4498851	0.0322351	0.0118800	0.5301900	0.7273425	0.3798502	0.5304225	0.0506190	0.4809022	0.1147824	0.5243243	0.4311997	0.6023942	0.8321749	0.6951701	0.2527966	0.7953686	0.6023881	0.1669623	0.0260577	0.4020988	0.6797898	0.5098107	0.6406404	0.5817066	0.5083397	0.5780201	0.0154136	0.7183856	0.5965754	0.0197293	0.0066051
0.7287572	0.0394211	0.2568587	0.5697882	0.3561690	0.6490292	0.5466946	0.1543563	0.6606232	0.6720718	0.0148260	0.1384287	0.0554006	0.2932611	0.3700869	0.0989030	0.0731329	0.1277014	0.2508253	0.3671623	0.2938759	0.0489225	0.1048809	0.4314611	0.6852655	0.4034646	0.5822854	0.5571137	0.0810771	0.5805926	0.6699998	0.1954976	0.5578418	0.2669563	0.5183697	0.3493269	0.4299134	0.0451588	0.1676222	0.6299115	0.0969556	0.2520308	0.6333898	0.6417849	0.2908259	0.3077468	0.5671121	0.4735879	0.4641967	0.4885788	0.0395023	0.5404490	0.4476335	0.5658396	0.2743083	0.7261813	0.2566687	0.5312399	0.2370734	0.1098278	0.3764430	0.0475000	0.2897764	0.6002121	0.6793292	0.1709626	0.4734938	0.4433269	0.5803845	0.0147644	0.0251717	0.4542761	0.5788425	0.3824941	0.5086237	0.0681771	0.5526947	0.0506576	0.5744644	0.5275027	0.6807363	0.6066756	0.6017775	0.2435677	0.4400400	0.4649209	0.1059493	0.0489017	0.5124548	0.5660696	0.5924329	0.6030411	0.5783136	0.4736171	0.5859715	0.0220903	0.6219277	0.6836892	0.0197372	0.0088109
0.5982707	0.0366757	0.3864101	0.6698151	0.6698726	0.4291702	0.5756047	0.0995805	0.7851282	0.7578450	0.0494776	0.1892983	0.0789648	0.3383927	0.3841246	0.1435066	0.0714056	0.2304308	0.3665788	0.3266582	0.3151724	0.3018929	0.4054811	0.4488400	0.5450413	0.4505204	0.6405356	0.5004159	0.1089120	0.6937256	0.6130667	0.1566943	0.7438235	0.3141045	0.4063299	0.4414621	0.3898651	0.0764824	0.1297891	0.6428178	0.2253858	0.2486858	0.5923000	0.5772447	0.2374602	0.4237127	0.5207946	0.4924556	0.3458841	0.5608118	0.0223596	0.5429038	0.4710005	0.5994295	0.2475415	0.5850289	0.3431134	0.5043366	0.2699294	0.0748399	0.3126976	0.0513231	0.2940832	0.6004108	0.7389059	0.1654147	0.3176782	0.3936418	0.4005276	0.0107901	0.0479242	0.3663391	0.5305651	0.4174480	0.6580165	0.0387950	0.4791775	0.0554028	0.5217692	0.5107399	0.5727759	0.6700167	0.6801560	0.3612767	0.5298691	0.5810822	0.1219907	0.0840369	0.3981424	0.5323616	0.6790104	0.5601199	0.4952342	0.4752160	0.6860235	0.0151459	0.5970005	0.6719067	0.0235129	0.0238375
0.6449230	0.0582522	0.1904215	0.6488099	0.5412326	0.6967171	0.3554193	0.2043515	0.6221154	0.6006766	0.0187726	0.2396183	0.0686309	0.2049583	0.2933099	0.0546983	0.0499691	0.1662205	0.4656904	0.2930908	0.2590824	0.4393383	0.3350470	0.3811127	0.6271721	0.3106713	0.7057201	0.4547484	0.0659672	0.6490003	0.6987887	0.1827674	0.6592748	0.3926647	0.3422099	0.4748766	0.3394806	0.0779628	0.1557507	0.6256822	0.0455937	0.2342665	0.2174544	0.5814771	0.3969516	0.3565445	0.5405967	0.4683623	0.3993230	0.4779332	0.0319269	0.5384345	0.2187624	0.5169247	0.3574695	0.6010215	0.3013811	0.6411045	0.3094856	0.0850358	0.4753831	0.0750303	0.3857757	0.5183922	0.6059076	0.1499822	0.4857261	0.4139593	0.4011199	0.0154617	0.0254429	0.4751875	0.5603784	0.4370875	0.5065774	0.0432260	0.5334676	0.0346773	0.4977975	0.2880736	0.5806834	0.6646302	0.6168033	0.2196207	0.6314005	0.6050084	0.1427402	0.1944679	0.2935653	0.6933018	0.7153079	0.5264894	0.5488038	0.4936111	0.6937468	0.0114690	0.6065927	0.6783899	0.0288613	0.0087405
0.7015700	0.0405162	0.2236066	0.6094495	0.6383867	0.5143383	0.7204492	0.0902171	0.8085131	0.6027530	0.0361289	0.1642529	0.0609950	0.2624633	0.4611189	0.0964470	0.0400374	0.1809281	0.4154893	0.3580178	0.3562047	0.3177550	0.3338552	0.5344780	0.4879885	0.3955063	0.5724532	0.5143058	0.1373487	0.6585738	0.6643362	0.1613128	0.6153297	0.4250266	0.4262776	0.5324262	0.4691577	0.0495958	0.1568419	0.7348157	0.0639555	0.3148040	0.6459909	0.5997935	0.3183432	0.2335165	0.5143485	0.5602976	0.4443722	0.5012816	0.0179035	0.4616572	0.4931768	0.5265786	0.3139482	0.6458278	0.2326338	0.6581066	0.2496386	0.0932187	0.3488836	0.0546058	0.2868622	0.5952652	0.8062660	0.1652865	0.5047760	0.3151768	0.4942653	0.0215446	0.0263534	0.4556563	0.6211864	0.3561239	0.4758853	0.0668215	0.7189065	0.0891888	0.5871849	0.5646696	0.5392273	0.7433290	0.7328948	0.2098793	0.5131058	0.5416771	0.0839586	0.0483451	0.5614526	0.6579554	0.6148077	0.5438993	0.5048630	0.4470971	0.5891101	0.0292327	0.4050658	0.5669294	0.0558216	0.0089944
0.6823965	0.0502522	0.3693635	0.5757426	0.7021902	0.6259226	0.7530707	0.3486725	0.3086224	0.6983411	0.0175100	0.2733422	0.2180975	0.1354892	0.4312352	0.0957594	0.0622722	0.1612825	0.4477925	0.2741977	0.3470051	0.3788723	0.2819572	0.4705730	0.6102328	0.3618922	0.5981772	0.5006371	0.1020853	0.6798143	0.7024993	0.1446378	0.6687059	0.3333656	0.4420631	0.5619915	0.3342297	0.1574078	0.2399669	0.6178923	0.1311545	0.2336394	0.6314263	0.6691057	0.3960175	0.0505753	0.6315923	0.5327242	0.3318467	0.5500646	0.0169370	0.4267899	0.5547204	0.4003878	0.4112565	0.5750389	0.2870784	0.5600671	0.2671876	0.0890360	0.5102988	0.0185730	0.2899523	0.6164199	0.6804283	0.1755571	0.5333712	0.4279569	0.3434722	0.0211010	0.0413564	0.4675778	0.6168247	0.2754768	0.6262085	0.3957243	0.5651702	0.0498657	0.5359151	0.4565672	0.4473798	0.6088253	0.6108775	0.2536460	0.6591851	0.6008218	0.1556131	0.0644446	0.1074554	0.6660503	0.5646768	0.3897118	0.5709495	0.2155345	0.6729733	0.0175264	0.4170506	0.5434450	0.0621551	0.0040900
0.5400639	0.0390186	0.3061806	0.7050217	0.5826748	0.6452521	0.6899890	0.1025394	0.6181756	0.2956499	0.0739918	0.1699660	0.0920774	0.0649006	0.4148307	0.1710619	0.0708746	0.3542921	0.4275391	0.3507709	0.3490616	0.3697800	0.2996022	0.5244085	0.1706751	0.3314635	0.5537777	0.5388979	0.3013548	0.6045283	0.5548113	0.1737393	0.7203230	0.5273793	0.4848982	0.4532267	0.3751263	0.0505031	0.1588084	0.6383298	0.0715793	0.4743453	0.6406530	0.7397982	0.2682318	0.3747290	0.3880538	0.0604812	0.3716317	0.1972272	0.0110371	0.5001760	0.6635563	0.5413579	0.1862581	0.6006150	0.3314693	0.5819526	0.3237147	0.1038876	0.1175298	0.0237589	0.2181140	0.4568329	0.5871443	0.1909586	0.3469117	0.2854935	0.3849645	0.0151465	0.0374633	0.2588687	0.5838671	0.3738924	0.5623731	0.0693467	0.6380963	0.0422591	0.5868396	0.5003178	0.4864463	0.5236466	0.6614604	0.3430180	0.6705766	0.4563935	0.1250455	0.0214028	0.5540282	0.7089151	0.5574594	0.5509022	0.5265249	0.3738548	0.6259931	0.0080778	0.6432212	0.6607983	0.0467262	0.0027486
