G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.7072748	0.6964499	0.5224748	0.6020923	0.1614160	0.2563695	0.5973112	0.5928781	0.1066516	0.4710134	0.3415885	0.4664174	0.5546397	0.1021923	0.4866600	0.4647195	0.0361082	0.0470021	0.4833684	0.0650344	0.2135753	0.2717456	0.4899418	0.0746499	0.2647759	0.4472638	0.4426096	0.4468834	0.4683707	0.6558297	0.5415492	0.5466432	0.8054227	0.0190341	0.0775746	0.6870983	0.1074328	0.5753883	0.6003704	0.5017388	0.0253440	0.6199849	0.3866170	0.2801276	0.0061782	0.6330628	0.5361237	0.4904286	0.7217450	0.6718621	0.3802146	0.0072122	0.1826678	0.1151740	0.5304833	0.4508772	0.0315757	0.3309126	0.3473479	0.3602912	0.8155966	0.0516720	0.0176682	0.6807804	0.8092051	0.1962519	0.6660464	0.5575411	0.7133325	0.3638625	0.3753073	0.6239885	0.7427177	0.1163788	0.8118630	0.7108058	0.5033185	0.6853588	0.7830776	0.5036734	0.0411766	0.8321730	0.0932314	0.0403636	0.7540126	0.4347240	0.0271393	0.5382430	0.0201953	0.2477789	0.7672522	0.4246697	0.7024989	0.6511501	0.4429717	0.6670909	0.5449159	0.0058737	0.5897028
0.7559750	0.0000000	0.4871354	0.2640783	0.4234833	0.8860858	0.2002324	0.7031359	0.7155030	0.0795651	0.3283504	0.6710320	0.5704524	0.4178766	0.0077271	0.1165056	0.5770058	0.0126349	0.0185953	0.1974449	0.7483151	0.4607209	0.7097767	0.6473359	0.4675839	0.4268530	0.1793606	0.6371545	0.3399110	0.6005388	0.6485750	0.7242154	0.5673918	0.4203471	0.4222366	0.4033802	0.7266014	0.0130474	0.3529272	0.4834647	0.0236763	0.6013888	0.0864105	0.0226527	0.3218781	0.0128839	0.1554824	0.6646741	0.7561380	0.3481735	0.1851153	0.3068198	0.6727589	0.7000914	0.1074271	0.1347987	0.4336420	0.0036106	0.0568312	0.2915375	0.4664057	0.5455157	0.7881134	0.2113093	0.1133130	0.7430879	0.6674634	0.7220812	0.3692171	0.0646590	0.4163586	0.6732528	0.4190944	0.7547115	0.3973225	0.7188074	0.7762329	0.3337675	0.2556130	0.2991368	0.3099036	0.4054081	0.2167384	0.4837269	0.3944571	0.7199719	0.1699676	0.0452695	0.1663639	0.7407429	0.2015138	0.2252184	0.3174093	0.0356820	0.4877209	0.7428003	0.4380610	0.3911468	0.5712482	0.4363651
0.4128514	0.7132119	0.0000000	0.2442328	0.7356869	0.6194513	0.2958957	0.7323273	0.6711392	0.1298049	0.3791097	0.4207178	0.6419148	0.7061813	0.0074236	0.2366951	0.5441980	0.2008059	0.5495213	0.4781034	0.0979982	0.7001207	0.7131953	0.6382684	0.1585327	0.6618643	0.7311040	0.7427859	0.4655320	0.5750698	0.5152930	0.7266384	0.0351188	0.5061026	0.0264257	0.4686220	0.7365530	0.0007756	0.5244389	0.4752251	0.0169390	0.4276832	0.7420074	0.0285692	0.3226618	0.0214615	0.7246062	0.7004781	0.6259459	0.4363788	0.2197170	0.3869350	0.7042935	0.6670255	0.0828034	0.2201877	0.3050751	0.0018577	0.0365604	0.2268498	0.3621064	0.6379728	0.6376259	0.5909361	0.7428870	0.6355771	0.5558270	0.8589593	0.5059457	0.1530901	0.4399657	0.6005827	0.3407815	0.4190068	0.2568507	0.8354556	0.7382531	0.3785896	0.1838231	0.7230357	0.4415129	0.6444895	0.4957079	0.5843511	0.3050187	0.8307342	0.3843221	0.0351051	0.1730572	0.8112841	0.1549199	0.5196070	0.5063112	0.0486563	0.3819520	0.3832479	0.5499978	0.5505214	0.6265215	0.4195743
0.4601339	0.8838159	0.4777905	0.0000000	0.6037682	0.5676781	0.3563188	0.7966124	0.7307903	0.1104463	0.3216419	0.6316302	0.5392454	0.4926151	0.0044928	0.1741483	0.5753752	0.0067414	0.5116446	0.2809622	0.1413511	0.3717801	0.5657839	0.6332892	0.0959477	0.4608179	0.5632266	0.6412705	0.4266644	0.5685680	0.3892644	0.6692585	0.4162164	0.3709442	0.1841385	0.2501631	0.7489393	0.0043931	0.3428317	0.5196133	0.0362827	0.4660252	0.1149479	0.0679933	0.2453287	0.0112757	0.7216580	0.6362363	0.5617421	0.5135748	0.2676011	0.3549125	0.7047035	0.5515596	0.1262744	0.2078404	0.3587849	0.0002804	0.0646438	0.1863509	0.4505269	0.6877873	0.6622121	0.2725741	0.5707370	0.8130214	0.5059126	0.7933996	0.5224962	0.1042248	0.3957185	0.6285105	0.4087928	0.5562357	0.2248569	0.6368797	0.0381945	0.4345787	0.1517887	0.7031029	0.5774867	0.4689033	0.5689264	0.5325169	0.3381225	0.6743578	0.5008749	0.0167922	0.1745531	0.7019337	0.2061949	0.5257134	0.3085815	0.0326567	0.4298511	0.5018638	0.4704385	0.4991430	0.4921370	0.5255596
0.4976179	0.6163957	0.5592501	0.1157687	0.0000000	0.5992155	0.7804224	0.7975633	0.7204558	0.1429012	0.4193488	0.7020349	0.4014299	0.4800255	0.0409455	0.1604614	0.9527391	0.0014602	0.5806830	0.1997176	0.0532190	0.7978416	0.6879931	0.4586073	0.6899613	0.2309316	0.1468541	0.5268497	0.5469397	0.6150958	0.7583603	0.6517058	0.7443539	0.7090048	0.3235233	0.2116849	0.1485865	0.2629074	0.2222952	0.5383787	0.0115912	0.5432101	0.1561790	0.0339012	0.2654191	0.7020656	0.8523834	0.5666286	0.6912845	0.3869779	0.1552794	0.0297428	0.0046541	0.6616302	0.1607725	0.0013575	0.4146602	0.0004235	0.0312626	0.1326693	0.4737927	0.8532478	0.0321417	0.2144501	0.6773337	0.6521298	0.7128775	0.6611922	0.0017996	0.7244270	0.4963798	0.6745122	0.0545411	0.6685587	0.7153960	0.4739327	0.7114887	0.0374437	0.1731997	0.8028585	0.0044079	0.3992685	0.6150923	0.3818660	0.0602404	0.7393269	0.0614257	0.4076049	0.1488868	0.8538752	0.1577836	0.4511740	0.2268513	0.0187184	0.4517922	0.4586386	0.0769616	0.4254955	0.0227892	0.5476364
0.4484165	0.6852855	0.2733249	0.3958015	0.5168537	0.0000000	0.2537360	0.8709796	0.6468055	0.0809194	0.5297729	0.6811290	0.6205566	0.5061145	0.0004468	0.1896663	0.6160905	0.0058357	0.7393897	0.2859523	0.0752062	0.4091399	0.5783043	0.7451620	0.1667484	0.4569897	0.4555474	0.4826464	0.3255923	0.5628043	0.5604064	0.6295265	0.4860723	0.4535180	0.1831800	0.2129133	0.7212024	0.0060292	0.3843920	0.4792514	0.0089715	0.5160337	0.1442157	0.0363595	0.2406113	0.0085375	0.7422565	0.5828159	0.4923316	0.5168176	0.6836522	0.3038347	0.6572669	0.6743964	0.1102736	0.1173794	0.3602183	0.0042975	0.7427057	0.3949747	0.4112435	0.5578214	0.6652681	0.2129194	0.5710707	0.6457244	0.5275406	0.8117766	0.5917131	0.1294937	0.2754042	0.5483914	0.4142654	0.5208878	0.2479714	0.7093828	0.7515166	0.3705252	0.1817773	0.6901087	0.4669832	0.4649783	0.6434300	0.5004282	0.3181268	0.7909218	0.2198423	0.0115264	0.6503151	0.7559792	0.1865492	0.4841538	0.2773277	0.0157061	0.6769387	0.4234628	0.5566052	0.4287313	0.5144289	0.4280736
0.4476982	0.7278176	0.3893680	0.2611184	0.6172598	0.5522849	0.0000000	0.7528037	0.5969622	0.1231071	0.3287517	0.6596094	0.6095256	0.4636550	0.0057911	0.2240018	0.4958125	0.0121953	0.4696144	0.1843769	0.1212174	0.3730435	0.6116936	0.6043094	0.1968322	0.4104680	0.3249179	0.7019037	0.5658468	0.5458417	0.6227090	0.6411436	0.4121481	0.4852594	0.2865684	0.3175150	0.6869793	0.0012872	0.4869628	0.5480903	0.0372878	0.4444364	0.1352237	0.0331734	0.3538133	0.0075592	0.8155217	0.5269274	0.4746846	0.4876348	0.1803513	0.3834165	0.6674805	0.5299897	0.1195258	0.1950097	0.3478014	0.0066741	0.0570736	0.1643408	0.4663594	0.6332903	0.8647978	0.2013474	0.6614486	0.7383298	0.5292994	0.6788440	0.4626006	0.0918144	0.3949571	0.5583433	0.3838458	0.5893430	0.2340966	0.6931161	0.8851314	0.3382050	0.2364368	0.6401489	0.4745888	0.4959274	0.7802657	0.5950691	0.3199388	0.7938383	0.2485490	0.0171239	0.1960727	0.6459381	0.1947809	0.5465420	0.2832256	0.0414361	0.3930185	0.3583631	0.6183146	0.5525518	0.5798666	0.4455043
0.2757334	0.7208505	0.1465258	0.3716497	0.3843222	0.3392436	0.6741311	0.0000000	0.6689027	0.8195044	0.0101950	0.3682413	0.7948707	0.4917542	0.0268766	0.5017674	0.2818711	0.0354859	0.4375361	0.3101756	0.1390439	0.6260902	0.7072387	0.3509899	0.8848663	0.4811597	0.6609793	0.4378978	0.6288424	0.0710505	0.6499857	0.2763830	0.5464727	0.6584433	0.0170419	0.1582177	0.7501479	0.0415514	0.5319277	0.0488650	0.0481509	0.7850138	0.3115097	0.3273470	0.0151391	0.0165513	0.6661250	0.4282022	0.0207926	0.7585560	0.7322472	0.6868167	0.0006051	0.6117461	0.0519221	0.4515129	0.0008533	0.0032758	0.2177634	0.3213249	0.0012945	0.7381800	0.0642606	0.2245825	0.5903660	0.0605449	0.1862718	0.3690473	0.0003418	0.7607461	0.7081773	0.3959753	0.3022047	0.0817557	0.6957786	0.6610735	0.7847766	0.5732820	0.0075750	0.7451162	0.1832979	0.2996273	0.6389913	0.5851520	0.1502786	0.6804739	0.0740919	0.0202619	0.3260502	0.0117971	0.7810632	0.7188978	0.3829005	0.0440273	0.6572011	0.4183705	0.6329838	0.6805650	0.2483813	0.0025689
0.5320167	0.6645617	0.4126018	0.4155972	0.6742154	0.5460970	0.3733874	0.7397298	0.0000000	0.0874640	0.3840592	0.4238927	0.4710803	0.4096775	0.0042326	0.2072727	0.5025885	0.0035691	0.4572600	0.2651938	0.8796396	0.4010031	0.7070765	0.5545579	0.1554752	0.4907042	0.4625063	0.5406565	0.0588732	0.6134484	0.4516361	0.7908354	0.3904004	0.3578620	0.1791972	0.1865358	0.7665030	0.0337443	0.3833378	0.5672738	0.0206176	0.4976721	0.1580976	0.0149577	0.8305672	0.0275786	0.7344364	0.6139711	0.5282921	0.5552347	0.2795996	0.3242204	0.7006652	0.7163131	0.4152651	0.2059206	0.4319559	0.0576940	0.0534572	0.1939359	0.3148495	0.5517921	0.6254274	0.2245488	0.5234586	0.6345422	0.4586776	0.5827710	0.5451654	0.1235380	0.3839340	0.6164733	0.4534653	0.5344475	0.2205919	0.8317561	0.8014666	0.5188116	0.2179710	0.6548630	0.5255910	0.5316515	0.6038232	0.4604467	0.3061102	0.0333261	0.4734130	0.0260889	0.1763902	0.6696276	0.1777673	0.6065724	0.0574747	0.6877920	0.4654291	0.6690799	0.5277494	0.5146866	0.6383895	0.5241051
0.4445844	0.7875568	0.4081348	0.3482741	0.5962685	0.5787936	0.3045399	0.6737317	0.9730457	0.0000000	0.3311323	0.7659083	0.6669427	0.6774503	0.0008967	0.1637608	0.5147342	0.0069617	0.5397271	0.2087988	0.0536038	0.3262023	0.7009811	0.6956518	0.1503126	0.3916410	0.5153471	0.6172075	0.4366185	0.5922046	0.4624853	0.7089266	0.4418862	0.3348319	0.2791147	0.2311669	0.7248163	0.0159244	0.3204130	0.4667506	0.0244917	0.5592717	0.1606715	0.0411923	0.2499483	0.0313214	0.7251882	0.3513041	0.5654460	0.4132580	0.1905962	0.3980828	0.6900128	0.7163910	0.0806328	0.1377768	0.4495184	0.0012294	0.0364908	0.2025419	0.3905685	0.6052583	0.7562857	0.1598133	0.6903826	0.6809364	0.5668145	0.6862772	0.5748443	0.0870977	0.3554570	0.6233190	0.5085150	0.5679326	0.2219876	0.7458808	0.7657407	0.3386060	0.2222177	0.5751467	0.5005288	0.5405398	0.5382469	0.5172142	0.3514190	0.7421323	0.4288452	0.0185019	0.1906675	0.7913946	0.2472060	0.4676387	0.2399839	0.0172400	0.3971336	0.4234743	0.5300086	0.4845254	0.6223656	0.4909161
