G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000001	1.0000000	0.0102422	0.3239493	1.0000000	1.0000000	0.5629055	0.9687952	0.6770172	0.2434106	0.3328203	0.0254657	0.8354907	0.0620784	0.5495453	0.1996117	0.9537641	0.9663340	0.0039501	0.9999990	0.6750716	0.0258549	0.2849581	0.0114863	0.9137625	0.0410403	0.5131348	0.5486843	0.3784580	0.6459013	0.6376510	0.7643633	0.1399300	0.3032299	0.4325644	0.8955498	0.0269344	0.0468607	0.4453095	0.0379556	0.1195096	0.1958407	0.0163690	0.2764787	0.4344733	0.7872532	0.5437925	0.2938944	0.9795375	1.0000000	0.9496675	0.6944949	1.0000000	0.0520559	0.0614017	0.4680793	0.5436672	0.0418288	0.9998378	0.3087943	0.7117767	0.9997891	0.9872811	0.6372035	0.9999771	0.2613526	0.6473984	0.1809831	0.0463005	0.3198086	0.5821627	0.1859642	0.4062540	0.8479312	0.9978675	0.9856419	0.6655201	0.7656646	0.5438783	0.7917754	0.1849837	0.0051076	0.7969312	0.3689070	0.8329584	0.1448603	0.0333684	0.1281506	0.9987835	0.3278365	0.3133698	0.0485203	0.2666162	0.9769920	0.4530570	0.9863105	0.1185106	0.8523364	0.0882268	0.9989036
0.9624750	0.0000000	1.0000000	0.9992464	1.0000000	1.0000000	0.0007136	0.0560691	0.0182060	0.2434106	0.3328203	0.0254275	0.9930700	0.4315619	0.5495453	0.8909791	0.0692207	0.2518959	0.8254351	1.0000000	0.6750716	0.9995950	0.1103650	0.8808061	0.9137625	0.0985978	0.5131348	0.0367616	0.3784580	0.4252761	0.1861059	0.4299427	0.7259223	0.9909467	0.6970151	0.5258863	1.0000000	0.5022168	0.4453095	0.0379556	0.8496662	0.1958407	0.9874223	0.3181593	0.0668676	0.4465201	0.5933292	0.2938944	0.0538931	0.4040765	0.0286315	0.6944949	0.4521249	1.0000000	0.9425000	0.8714892	0.5436672	0.5310085	0.3365085	0.9086653	0.9742881	0.9997891	0.0072937	0.6372035	0.9999771	0.9510356	0.6473984	0.9037861	0.8230585	0.3198086	0.0000159	1.0000000	0.4062540	0.9701406	0.1099042	0.0018876	0.6655201	0.7656646	0.5438783	0.7917754	0.9091874	0.8364936	0.7969312	0.3689070	0.8329584	0.0007552	0.0333684	0.9999599	0.9987835	0.3278365	0.9876608	0.1333384	0.2666162	0.1286415	0.7898115	0.9771592	0.1185106	0.5450336	0.0882268	0.9989036
0.2110806	1.0000000	0.0000000	0.3239493	1.0000000	1.0000000	0.5629055	0.9687952	0.6770172	0.2434106	0.3328203	0.0254275	0.8354907	0.0620784	0.5495453	0.1996117	0.9537641	0.9999960	0.0035083	1.0000000	0.6750716	0.0258549	0.2849581	0.0114859	0.9137625	0.0409865	0.5131348	0.5486843	0.3784580	0.6459353	0.6376510	0.7643633	0.1389783	0.3032299	0.4325644	0.8955498	0.0269344	0.0467179	0.4453095	0.0379556	0.1138279	0.1958407	0.0163665	0.2764722	0.4344733	0.7872559	0.5443775	0.2938944	0.9795375	1.0000000	0.9496675	0.6944949	0.9962071	0.0520559	0.0613901	0.4680793	0.5436672	0.0417711	0.9998378	0.3087937	0.7117767	0.9997891	0.9872811	0.6372035	0.9999771	0.2613526	0.6473984	0.1809196	0.0452866	0.3198086	0.5830494	0.1859642	0.4062540	0.8479308	0.9978689	0.9856419	0.6655201	0.7656646	0.5438783	0.7917754	0.1849837	0.0051076	0.7969312	0.3689070	0.8329584	0.1448603	0.0333684	0.1281506	0.9987835	0.3278365	0.3133699	0.0483939	0.2666162	0.9769920	0.4531348	0.9863105	0.1185106	0.8523364	0.0882268	0.9989036
0.2116714	1.0000000	0.0102422	0.0000000	1.0000000	1.0000000	0.5629055	0.9687952	0.6770172	0.2434106	0.3328203	0.0254657	0.6920914	0.0620784	0.5495453	0.0405061	0.9537641	0.9663340	0.0039501	0.9999990	0.6750716	0.0258549	0.3251245	0.0114863	0.9137625	0.0410403	0.5131348	0.0223270	0.3784580	0.6459013	1.0000000	0.7813973	0.1399300	0.3032299	0.5249345	0.9975448	0.0269344	0.0468607	0.4453095	0.0379556	0.1195096	0.1958407	0.0163690	0.2764787	0.4344733	0.7872559	0.5437925	0.2938944	0.9795375	1.0000000	0.9496675	0.6944949	0.9961667	0.0520559	0.0614017	0.0978577	0.5436672	0.0417711	0.9998378	0.3087943	0.0262487	0.9997891	0.0072697	0.6372035	0.9999771	0.2613526	0.6473984	0.1245297	0.0463005	0.3198086	0.5791541	0.1859642	0.4062540	1.0000000	0.9978675	0.9856419	0.6655201	0.7656646	0.5438783	0.7917754	0.5160358	0.0051076	0.7969312	0.3689070	0.8329584	0.1928380	0.0333684	0.1281506	0.9987835	0.3278365	0.3133698	0.0485203	0.2666162	1.0000000	0.4530570	1.0000000	0.1185106	0.8523364	0.0882268	0.9989036
0.2116714	1.0000000	0.0102422	0.0202674	0.0000014	1.0000000	0.5629055	0.9687952	0.6770172	0.2434106	0.3328203	0.0254657	0.6921084	0.0620784	0.5495453	0.0429431	0.9537641	0.9663340	0.0039501	0.9999990	0.6750716	0.0258549	0.9997993	0.0114863	0.9137625	0.0410403	0.5131348	0.0351568	0.9999974	0.6459013	0.9970915	0.7813972	0.1399300	0.3032299	0.5237136	0.9875085	0.0269344	0.0467179	0.9999999	0.0379556	0.1195096	0.9999987	0.0163690	0.2764787	0.4344733	0.7872557	0.5437925	1.0000000	0.9795375	1.0000000	0.9496675	0.0515740	0.9961667	0.0520559	0.0614017	0.1009555	0.5436672	0.0417712	0.9998378	0.3087943	0.0289686	0.9997891	0.3766249	0.1244361	0.9999771	0.2613526	0.6473984	0.1245397	0.0463005	0.3198086	0.5791545	0.1859642	0.4062540	0.9999998	0.9978675	0.9856419	0.6655201	0.7656646	0.0526366	0.7917754	0.4994486	0.0051076	0.7969312	0.3689070	0.0413817	0.1927855	0.0333684	0.1281506	0.9987835	0.3278365	0.3133698	0.0485203	0.2666162	1.0000000	0.4530570	0.9999928	0.4751938	0.8523364	1.0000000	0.0435869
0.2110806	1.0000000	0.0102422	0.3239493	1.0000000	0.0000000	0.5629055	0.9687952	0.6770172	0.9999998	0.9999994	0.0254657	0.2628618	0.0620784	0.0223239	0.1996117	0.9537641	0.9663340	0.0039501	0.9999990	0.0522138	0.0258549	0.2849581	0.0114863	0.1283726	0.0410403	0.9999997	0.5486843	0.3784580	0.6459013	1.0000000	0.4232930	0.1399300	0.3032299	0.4325644	0.8955498	0.0269344	0.0467179	0.4453095	0.9999990	0.1195096	0.1958407	0.0163690	0.2764787	0.4344733	0.7872532	0.5437925	0.2938944	0.9795375	1.0000000	0.9496675	0.6944949	0.9962071	0.0520559	0.0614017	0.4680793	0.0422090	0.0418288	0.9998378	0.3087943	0.7117767	0.0222946	0.9872811	0.6372035	0.0231213	0.2613526	0.1608944	0.1809831	0.0463005	1.0000000	0.5821627	0.1859642	0.9999999	0.8479312	0.9978675	0.9856419	0.0045350	0.0328597	0.5438783	0.0257925	0.1849837	0.0051076	0.0015674	0.9999997	0.8329584	0.7789126	0.9999998	0.1281506	0.0482816	0.9999782	0.3133698	0.0485203	1.0000000	0.9769920	0.4530570	0.9863105	0.4585140	0.8523364	0.0882268	0.9989036
0.2116714	1.0000000	0.0102422	0.3239493	1.0000000	1.0000000	0.0000002	0.9687952	0.6770172	0.2434106	0.3328203	0.0254657	0.8354907	0.0620784	0.5495453	0.1996117	0.0692206	0.9663340	0.0039501	0.9999990	0.6750716	0.0258549	0.2849581	0.0114863	0.9137625	0.0410403	0.5131348	0.5486843	0.3784580	0.6459013	0.6376510	0.7643633	0.1399300	0.3032299	0.4325644	0.8955498	0.0269344	0.0468607	0.4453095	0.0379556	0.1195096	0.1958407	0.0163690	0.2764787	0.4344733	0.7872532	0.5437925	0.2938944	0.9795375	1.0000000	0.9496675	0.6944949	0.9961667	0.0520559	0.0614017	0.4680793	0.5436672	0.0418288	0.9998378	0.3087943	0.7117767	0.9997891	0.9872811	0.6372035	0.9999771	0.2613526	0.6473984	0.1809831	0.0463005	0.3198086	0.5821627	0.1859642	0.4062540	0.8479312	0.9978675	0.9856419	0.6655201	0.7656646	0.5438783	0.7917754	0.1849837	0.0051076	0.7969312	0.3689070	0.8329584	0.1448603	0.0333684	0.9999999	0.9987835	0.3278365	0.3133698	0.0485203	0.2666162	0.9769920	0.4530570	0.9863105	0.1185106	0.8523364	0.0882268	0.9989036
0.7114638	1.0000000	0.0102422	0.3239493	1.0000000	1.0000000	0.5629055	0.0000003	0.0181958	0.2434106	0.3328203	0.0254657	0.9077923	0.0597976	0.5495453	0.6899148	0.9537641	0.9663340	0.0039501	0.9999990	0.6750716	0.9995833	0.2849581	0.0114870	0.9137625	0.0409868	0.5131348	0.0223270	0.3784580	0.9671861	0.6376510	0.7643633	0.0795424	1.0000000	0.9038094	0.3249272	0.0269344	0.0468607	0.4453095	0.0379556	0.1195096	0.1958407	0.3314288	0.0006229	0.0668631	0.9999968	0.9988055	0.2938944	0.0454603	1.0000000	0.0286195	0.6944949	0.7209640	0.0520559	0.0614017	0.4680793	0.5436672	0.0417715	0.6504020	0.5765898	0.7117767	0.9997891	0.0072696	0.6372035	0.9999771	0.9510627	0.6473984	0.5103516	0.0463005	0.3198086	0.5791541	0.1859642	0.4062540	0.8479312	0.9978675	0.0018847	0.6655201	0.7656646	0.5438783	0.7917754	0.5160358	0.0051076	0.7969312	0.3689070	0.8329584	0.0040020	0.0333684	0.1281506	0.9987835	0.3278365	0.9876701	0.0483939	0.2666162	0.9769920	0.4530570	0.9863105	0.1185106	0.8523364	0.0882268	0.9989036
0.7131089	1.0000000	0.0102422	0.3239493	1.0000000	1.0000000	0.5629055	0.9687952	0.0000000	0.2434106	0.3328203	0.0254657	0.9965986	0.0597796	0.5495453	0.1996117	0.9537641	0.9663340	0.0039501	0.9999990	0.6750716	1.0000000	0.2849581	0.0114870	0.9137625	0.0409865	0.5131348	0.5486843	0.3784580	0.9671955	0.6376510	0.7643633	0.0795424	0.3032299	0.4325644	0.8955498	0.0269344	0.0468607	0.4453095	0.0379556	0.1195096	0.1958407	0.3318167	0.0006220	0.0603800	0.9999968	0.9991399	0.2938944	0.9795375	1.0000000	0.9496675	0.6944949	0.7191988	0.0520559	0.0614017	0.4680793	0.5436672	0.0417711	0.6127179	0.5765961	0.7117767	0.9997891	0.0072696	0.6372035	0.9999771	0.9999974	0.6473984	0.1809831	0.0463005	0.3198086	0.5791541	0.1859642	0.4062540	0.8479312	0.9978675	0.0000501	0.6655201	0.7656646	0.5438783	0.7917754	0.1849837	0.0051076	0.7969312	0.3689070	0.8329584	0.0040020	0.0333684	0.1281506	0.9987835	0.3278365	0.9999997	0.0483938	0.2666162	0.9769920	0.4530570	0.9863105	0.1185106	0.8523364	0.0882268	0.9989036
0.2116714	1.0000000	0.0102422	0.3239493	1.0000000	1.0000000	0.5629055	0.9687952	0.6770172	0.0000000	0.3328203	0.0254657	0.8354907	0.0620784	0.5495453	0.1996117	0.9537641	0.9663340	0.0039501	0.9999990	0.6750716	0.0258549	0.2849581	0.0114863	0.9137625	0.0410403	0.5131348	0.5486843	0.3784580	0.6459013	0.6376510	0.7643633	0.1399300	0.3032299	0.4325644	0.8955498	0.0269344	0.0468607	0.4453095	0.0379556	0.1195096	0.1958407	0.0163690	0.2764787	0.4344733	0.7872532	0.5437925	0.2938944	0.9795375	1.0000000	0.9496675	0.6944949	0.9961667	0.0520559	0.0614017	0.4680793	0.5436672	0.0418288	0.9998378	0.3087943	0.7117767	0.9997891	0.9872811	0.6372035	0.9999771	0.2613526	0.6473984	0.1809831	0.0463005	0.3198086	0.5821627	0.1859642	0.4062540	0.8479312	0.9978675	0.9856419	0.6655201	0.7656646	0.5438783	0.7917754	0.1849837	0.0051076	0.7969312	0.3689070	0.8329584	0.1448603	0.0333684	0.1281506	0.9987835	0.3278365	0.3133698	0.0485203	0.2666162	0.9769920	0.4530570	0.9863105	0.1185106	0.8523364	0.0882268	0.9989036
