G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.5000000	0.9288984	0.3050067	0.0528071	1.0000000	0.5947713	1.0000000	0.0513572	1.0000000	0.9987786	0.8844015	0.5042948	0.0408163	0.3364539	0.0638587	0.3082018	0.5827560	0.6864307	0.6986048	0.6533885	0.9435908	0.5055873	0.3081399	0.3153002	0.6437349	0.9662541	0.2358893	0.0845155	0.8286822	0.9878080	0.0758133	0.0514022	0.3402759	0.9215100	0.3678635	0.0821447	0.9942060	0.6588788	0.9109214	0.9470599	0.9989651	0.4282228	0.8781030	0.9999999	0.2158800	0.6391508	0.7270099	0.9999999	0.7282664	0.4305093	0.0459808	0.5529759	0.9874276	0.2383381	0.7408535	0.7446306	0.0859511	0.7852159	0.4548387	0.8140244	0.4457349	0.7743074	0.1137055	0.0319272	0.0444574	0.6151404	0.9998587	0.6463831	0.5664954	0.1439969	0.2668169	0.0434468	0.0474548	0.6141698	0.3683328	0.4480667	0.9629330	0.8149138	0.7828841	0.1363512	0.2448185	0.0582639	0.6275230	0.4951159	0.0856494	0.4283812	0.1180427	0.8366943	0.9614390	0.1598209	0.9506218	0.3230893	0.9649914	0.7229661	0.7121866	0.9997359	0.7163457	0.6066391	0.2924494	0.5603032
1.0000000	0.4956965	0.2883235	0.0528071	1.0000000	0.5947713	1.0000000	0.0513572	1.0000000	0.9987786	0.8978098	0.5042948	0.0368565	0.3364539	0.0638587	0.3082018	0.5827560	0.6864307	0.6986048	0.6384845	0.9435908	0.4679624	0.3081399	0.3153002	0.6565924	0.9662541	0.4226574	0.0719459	0.8286822	0.9878080	0.0758133	0.0514022	0.3402759	0.9215100	0.7295333	0.0821447	0.9942060	0.6588788	0.9109214	0.9470599	0.9989651	0.4282228	0.8781030	0.9999999	0.2049753	0.4438587	0.7270099	0.9999999	0.7282664	0.4305093	0.0459808	0.5529759	0.9874276	0.2383381	0.7756426	0.7593287	0.0859511	0.7852159	0.4548387	0.9118682	0.4457349	0.7743074	0.1265170	0.0316825	0.0444574	0.6151404	0.9998587	0.3130447	0.5664954	0.1439969	0.2668169	0.0434468	0.0495725	0.6141698	0.3683328	0.4480667	0.9629330	0.8149138	0.4419473	0.1363512	0.7211784	0.0582639	0.9913606	0.4951159	0.0856494	0.4283812	0.1180427	0.2354891	0.9614390	0.1598209	0.9506218	0.6781671	0.9649914	0.7229661	0.7121866	0.9997359	0.1251719	0.6066391	0.2924494	0.5603032
1.0000000	0.9913929	0.2654958	0.0528071	1.0000000	0.5947713	1.0000000	0.0513572	1.0000000	0.9987786	0.9155262	0.5042948	0.0368565	0.3364539	0.0638587	0.3082018	0.5827560	0.6864307	0.6986048	0.6164816	0.9435908	0.4150092	0.3081399	0.3153002	0.6750739	0.9662541	0.4068707	0.0589970	0.8286822	0.9878080	0.0758133	0.0514022	0.3402759	0.9215100	0.7295333	0.0821447	0.9942060	0.6588788	0.9109214	0.9470599	0.9989651	0.4282228	0.8781030	0.9999999	0.1897966	0.4438587	0.7270099	0.9999999	0.7282664	0.4305093	0.0459808	0.5529759	0.9874276	0.2383381	0.8204515	0.7799755	0.0859511	0.7852159	0.4548387	0.8012863	0.4457349	0.7743074	0.1483083	0.0316825	0.0444574	0.6151404	0.9998587	0.3130447	0.5664954	0.1439969	0.2668169	0.0434468	0.0474076	0.6141698	0.3683328	0.4480667	0.9629330	0.8149138	0.4419473	0.1363512	0.7211784	0.0582639	0.9913606	0.4951159	0.0856494	0.4283812	0.1180427	0.2354891	0.9614390	0.1598209	0.9506218	0.6781671	0.9649914	0.7229661	0.7121866	0.9997359	0.1251719	0.6066391	0.2924494	0.5603032
1.0000000	0.9913929	0.5309914	0.0264035	1.0000000	0.5947713	1.0000000	0.0513572	1.0000000	0.9987786	0.7257325	0.5042948	0.0172930	0.3364539	0.0638587	0.3082018	0.5827560	0.6864307	0.9776481	0.7772675	0.9435908	0.8337238	0.3081399	0.3153002	0.5102413	0.9662541	0.4063689	0.5526867	0.8286822	0.9878080	0.0758133	0.0465304	0.3402759	0.9215100	0.7215956	0.0821447	0.9984419	0.6588788	0.9693518	0.9470599	0.9989651	0.4282228	0.8781030	1.0000000	0.3465831	0.4438587	0.7270099	0.9999999	0.7282664	0.4305093	0.0459808	0.5529759	0.9957183	0.2383381	0.3110811	0.5818133	0.0859511	0.7852159	0.4548387	0.8455402	0.4457349	0.7743074	0.0475484	0.0316825	0.0444574	0.6151404	0.9998587	0.3130447	0.5664954	0.1439969	0.2668169	0.0434468	0.0474076	0.6141698	0.3683328	0.4480667	0.9629330	0.8149138	0.4419473	0.1363512	0.7211784	0.0582639	0.9913606	0.4951159	0.0534702	0.4283812	0.1180427	0.2354891	0.9796636	0.1598209	0.9506218	0.6781671	0.9649914	0.7229661	0.7121866	0.9999779	0.1251719	0.6066391	0.2924494	0.5603032
1.0000000	0.9913929	0.5322894	0.2803778	0.5000000	0.5947713	1.0000000	0.0513572	1.0000000	0.9987786	0.7250898	0.5042948	0.1350537	0.5543288	0.0638587	0.3082018	0.5827560	0.2225860	0.0115698	0.7776768	0.9435908	0.8347194	0.3081399	0.3153002	0.5096453	0.9662541	0.4073129	0.5559315	0.6716416	0.9878080	0.1538295	0.1672765	0.3390527	0.9215100	0.8350134	0.0821447	0.8788219	0.6588788	0.4277422	0.9470599	0.9989651	0.4282228	0.8781030	0.9973772	0.3472387	0.4438587	0.7270099	0.9999999	0.7282664	0.3603002	0.0459808	0.1679098	0.8525551	0.2383381	0.3093997	0.5810683	0.0859511	0.2173036	0.6322149	0.8457200	0.4457349	0.7743074	0.0474144	0.0316825	0.0444574	0.6151404	0.9998587	0.3130447	0.5664954	0.1439969	0.2668169	0.0434468	0.0474076	0.2566628	0.3683328	0.4480667	0.5228563	0.8149138	0.4419473	0.1363512	0.7211784	0.0582639	0.9913606	0.4951159	0.4357365	0.4283812	0.1180427	0.2354891	0.8577486	0.1598209	0.9506218	0.6781671	0.9649914	0.7229661	0.7121866	0.9058765	0.1251719	0.6066391	0.2924494	0.5603032
1.0000000	0.9913929	0.5309915	0.0528071	1.0000000	0.2973942	1.0000000	0.0513572	1.0000000	0.9929795	0.7231812	0.5042948	0.0368565	0.3364539	0.3011461	0.3082018	0.5827560	0.6864307	0.6986048	0.7766945	0.9435908	0.8337238	0.3081399	0.3153002	0.5102413	0.9662541	0.4076868	0.5526869	0.8286822	0.9878080	0.0758133	0.0514022	0.3402759	0.9215100	0.7295333	0.0821447	0.9942060	0.6588788	0.9109214	0.9470599	0.9989651	0.4282228	0.8770631	0.9999999	0.3465832	0.4438587	0.7270099	0.9999999	0.7282664	0.4305093	0.0459808	0.5529759	0.9874276	0.2383381	0.3110810	0.5818132	0.0859511	0.7852159	0.4548387	0.6935767	0.4457349	0.6967097	0.0475484	0.0316825	0.0444574	0.6151404	0.9998587	0.3130447	0.5664954	0.5930494	0.2668169	0.0434468	0.0474076	0.6141698	0.3683328	0.4480667	0.9629330	0.8149138	0.4419473	0.1363512	0.7211784	0.0582639	0.9913606	0.4951159	0.0856494	0.4283812	0.1180427	0.2354891	0.9815716	0.1598209	0.9506218	0.6781671	0.9649914	0.7229661	0.7121866	0.9997359	0.1251719	0.6066391	0.2924494	0.5603032
1.0000000	0.9893645	0.5305429	0.0528071	1.0000000	0.5947713	0.5000000	0.5530629	1.0000000	0.9987786	0.7259554	0.5042948	0.0368565	0.3364539	0.0638587	0.3082018	0.9131806	0.6864307	0.6986048	0.7771250	0.9435908	0.8333774	0.5195138	0.0625195	0.5104479	0.9114894	0.4068770	0.5515625	0.8286822	0.9300665	0.0758133	0.0514022	0.3402759	0.9215100	0.7295333	0.9244769	0.9942060	0.6588788	0.9109214	0.9470599	0.3223878	0.9925687	0.8781030	0.9999999	0.3463558	0.4438587	0.7270099	0.8047358	0.7282664	0.5925742	0.0459808	0.5529759	0.9874276	0.2383381	0.3116660	0.5820714	0.3541769	0.7852159	0.4548387	0.8455737	0.4457349	0.7743074	0.0475951	0.0316825	0.8991172	0.6151404	0.7656215	0.3130447	0.5664954	0.1439969	0.2668169	0.0434468	0.0474089	0.6141698	0.6875441	0.4480667	0.9629330	0.8149138	0.4419473	0.1363512	0.7211784	0.0582639	0.9913606	0.4951159	0.0856494	0.4283812	0.1180427	0.2354891	0.9614390	0.1598209	0.9506218	0.6781671	0.9649914	0.7229661	0.7121866	0.9997359	0.1251719	0.6066391	0.2924494	0.5603032
1.0000000	0.9913929	0.5309915	0.0528071	1.0000000	0.5947713	1.0000000	0.0256786	1.0000000	0.9987786	0.7257325	0.5042948	0.0368565	0.3364539	0.0638587	0.3082018	0.5827560	0.6864307	0.6986048	0.7772675	0.9435908	0.8337238	0.3081399	0.3153002	0.5102413	0.9662541	0.4068707	0.5526869	0.8286822	0.9878080	0.0758133	0.0514022	0.3402759	0.9215100	0.7295333	0.0286876	0.9942060	0.6588788	0.9109214	0.9470599	0.9998905	0.1648511	0.8781030	0.9999999	0.3465832	0.4438587	0.7270099	1.0000000	0.7282664	0.4305093	0.0459808	0.5529759	0.9874276	0.2383381	0.3110810	0.5818132	0.0859364	0.7852159	0.4548387	0.8455402	0.4457349	0.7743074	0.0475484	0.0316825	0.0444508	0.6151404	0.9999849	0.3130447	0.5664954	0.1439969	0.2668169	0.0434468	0.0474076	0.6141698	0.3683328	0.4480667	0.9629330	0.8149138	0.4419473	0.1363512	0.7211784	0.0582639	0.9913606	0.4951159	0.0856494	0.4283812	0.1180427	0.2354891	0.9614390	0.1598209	0.9506218	0.6781671	0.9649914	0.7229661	0.7121866	0.9997359	0.1251719	0.6066391	0.2924494	0.5603032
1.0000000	0.9552205	0.5225811	0.0528071	1.0000000	0.3273616	1.0000000	0.0513572	0.5000029	0.9944879	0.7281202	0.2464829	0.0368565	0.1332114	0.2660021	0.8160018	0.5049502	0.6864307	0.6986048	0.7741178	0.8649003	0.8270805	0.3067543	0.5504863	0.5141443	0.9662571	0.4077284	0.5314001	0.8286822	0.9894669	0.0758167	0.0514022	0.8562179	0.6873467	0.7295333	0.0821447	0.9942060	0.2488525	0.9109214	0.4397429	0.9989651	0.4282228	0.8773342	0.9999999	0.3422970	0.4438587	0.0884547	0.9999999	0.1222151	0.2604580	0.0462354	0.5529759	0.9874276	0.5310783	0.3222583	0.5866922	0.0859511	0.7852159	0.4548387	0.7153522	0.9582513	0.7049759	0.0484483	0.0316825	0.0444574	0.1170788	0.9998587	0.3130447	0.2134184	0.5136285	0.5001530	0.0560466	0.0474331	0.6141698	0.4203920	0.9041244	0.9629330	0.5634578	0.4419473	0.1373251	0.7211784	0.1328142	0.9913606	0.9064616	0.0856494	0.7039223	0.5101714	0.2354891	0.9793363	0.2594927	0.6951519	0.6781671	0.7288335	0.5218721	0.0906361	0.9997359	0.1251719	0.7844804	0.4684646	0.1538757
1.0000000	0.9913929	0.5309915	0.0528071	1.0000000	0.5947713	1.0000000	0.0513572	1.0000000	0.4993899	0.4675571	0.5042948	0.0368565	0.3364539	0.0728759	0.3082018	0.5827560	0.6864307	0.6986048	0.7105857	0.9435908	0.8337238	0.3081399	0.3153002	0.5102413	0.9662541	0.4068707	0.5526869	0.8286822	0.9878080	0.0758133	0.0514022	0.3402759	0.9215100	0.7295333	0.0821447	0.9942060	0.6588788	0.9109214	0.9470599	0.9989651	0.4282228	0.6941622	0.9999999	0.3465832	0.4438587	0.7270099	0.9999999	0.7282664	0.4305093	0.0459808	0.5529759	0.9874276	0.2383381	0.3110810	0.5818132	0.0859511	0.7852159	0.4548387	0.7719190	0.4457349	0.5648615	0.0475484	0.0316825	0.0444574	0.6151404	0.9998587	0.3130447	0.5664954	0.4434967	0.2668169	0.0434468	0.0474076	0.6141698	0.3683328	0.4480667	0.9629330	0.8149138	0.4419473	0.1363512	0.7211784	0.0582639	0.9913606	0.4951159	0.0856494	0.4283812	0.1180427	0.2354891	0.9614390	0.1598209	0.9506218	0.6781671	0.9649914	0.7229661	0.7121866	0.9997359	0.1251719	0.6066391	0.2924494	0.5603032
