G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.3634071	0.4122078	0.0871938	0.0386325	0.7784418	0.2480666	0.0627175	0.0198308	0.1132740	0.8063105
0.8828292	0.2784710	0.5262241	0.4149051	0.8414350	0.0749656	0.5183636	0.1168805	0.0818875	0.4232666
0.9142449	0.2681320	0.2765333	0.0694161	0.7814281	0.2657067	0.3970161	0.0225279	0.1135242	0.7560227
0.8441877	0.4343735	0.6850569	0.1889218	0.9056332	0.0681026	0.5382467	0.0598467	0.1069039	0.3055800
0.8803512	0.4422928	0.4797902	0.3585937	0.3402096	0.1949574	0.5117261	0.0487932	0.1135421	0.3022850
0.9684204	0.4420974	0.5972822	0.3934582	0.8707933	0.0709576	0.3790633	0.0706070	0.1008501	0.2364518
0.8496667	0.4179847	0.5875571	0.3642123	0.8415956	0.1140241	0.2611688	0.0772112	0.1572198	0.2350818
0.9217734	0.4849174	0.5737193	0.4231593	0.8262448	0.1309305	0.4636780	0.0145064	0.1218272	0.2645076
0.8122236	0.5069653	0.6513031	0.3280184	0.7004798	0.1337191	0.4326125	0.0861913	0.0644089	0.3240974
0.8942342	0.5099462	0.5453244	0.4249896	0.9751078	0.0811022	0.4467261	0.0756574	0.0791748	0.0966409
