G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	0.7568289	0.0082946	0.0534621	0.2285466	1.0000000	0.0044486	0.0106982	0.6717707	0.3249476
0.7732536	0.0000000	0.4804564	0.3298227	0.8293575	0.1184300	0.8831808	0.1039139	0.1453854	0.5994622
0.8110064	0.2228510	0.0000000	0.0204489	0.7429834	0.2900774	0.1180661	0.0038172	0.1192294	0.7552732
0.9255449	0.6949873	0.6583837	0.0000000	0.7124773	0.1137893	0.5024869	0.0737953	0.0947263	0.2511260
0.7295434	0.5119744	0.6316177	0.4311072	0.0000000	0.0868739	0.5051431	0.0600561	0.1338264	0.3375987
0.8882835	0.4973756	0.4883189	0.4174609	0.6350343	0.0000000	0.5937813	0.0977309	0.0799507	0.1978494
0.8116401	0.5940712	0.5271179	0.5018858	0.7223557	0.1386318	0.0000000	0.0522232	0.1026843	0.1666152
0.8311337	0.4112063	0.6248591	0.3281006	0.6609726	0.1893072	0.6119089	0.0000000	0.0826303	0.3889269
0.8242271	0.4215670	0.5490919	0.4494265	0.8489379	0.1534810	0.4136348	0.0254957	0.0000000	0.2535363
0.7353242	0.4791619	0.4996658	0.5226602	0.6955073	0.1748796	0.4003000	0.0894301	0.0708778	0.0000000
