G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0588787	1.0000000	0.1031448	0.1553573	0.2882741	0.9280388	0.3115833	0.1174640	0.4420277	0.8676358
0.2913967	0.5000000	0.4335793	0.6632898	0.4985851	0.9403929	0.7736828	0.3204587	0.9788396	0.5220148
0.1177573	1.0000000	0.0515891	0.1553573	0.2882741	0.9280388	0.3115833	0.1174640	0.4420277	0.8676358
0.1177573	1.0000000	0.0736446	0.0776787	0.3111753	0.9776452	0.2513099	0.0985243	0.2108503	0.9483550
0.1177573	1.0000000	0.1031448	0.1553573	0.1441380	0.9280388	0.3115833	0.1174640	0.4420277	0.8676358
0.1177573	1.0000000	0.1031448	0.1553573	0.2882741	0.4640533	0.3115833	0.1174640	0.4420277	0.8676358
0.1177573	1.0000000	0.1031448	0.1553573	0.2882741	0.9280388	0.1557941	0.1174640	0.4420277	0.8676358
0.1177573	1.0000000	0.1031448	0.1553573	0.2882741	0.9280388	0.3115833	0.0587402	0.4420277	0.8676358
0.1177573	1.0000000	0.1031448	0.1553573	0.2882741	0.9280388	0.3115833	0.1174640	0.2210366	0.8676358
0.1177573	1.0000000	0.1031448	0.1553573	0.2882741	0.9280388	0.3115833	0.1174640	0.4420277	0.4338195
