G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	1.0000000	0.6240164	1.0000000	0.0141139	0.2673205	0.6515785	0.5261145	0.4413232	0.7881476
0.0360851	0.0000000	0.2628257	1.0000000	0.0141128	0.0731670	0.2334727	0.4435851	0.0654049	0.0345269
0.9971451	1.0000000	0.0000014	1.0000000	0.9999581	0.9999442	0.4201303	0.7963775	0.0654050	0.9958524
0.9971451	1.0000000	0.9186311	0.0000000	0.9999581	0.1872122	0.7086814	0.4182584	0.7409652	0.5254930
0.9971451	1.0000000	0.6240164	1.0000000	0.0000004	0.2673205	0.6515785	0.5261145	0.4413232	0.7881476
0.9971451	1.0000000	0.6240164	1.0000000	0.9999581	0.0000003	0.6515785	0.5261145	0.4413232	0.7881476
0.9971451	1.0000000	0.6240164	1.0000000	0.9999581	0.2673205	0.0000000	0.5261145	0.4413232	0.7881476
0.9971451	1.0000000	0.6240164	1.0000000	0.9999581	0.2673205	0.6515785	0.0000003	0.4413232	0.7881476
0.9971451	1.0000000	0.6240164	1.0000000	0.9999581	0.2673205	0.6515785	0.5261145	0.0000000	0.7881476
0.9971451	1.0000000	0.6240164	1.0000000	0.9999581	0.2673205	0.6515785	0.5261145	0.4413232	0.0000013
