G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.3155415	0.7508401	0.6185700	0.7816364	0.2191002	0.8083207	0.8310999	0.0089275	0.4289636	0.0340584	0.6066456	0.4410462	0.2962262	0.3843047	0.0814233	0.2476370	0.3161685	0.6832155	0.6312164	0.6337568	0.3020409	0.2812792	0.5729422	0.3680986	0.4937251	0.0022570	0.1644959	0.5292958	0.3877251	0.1396063	0.5469934	0.4984546	0.0007571	0.3207082	0.7428477	0.4633883	0.0998062	0.2616727	0.2224816	0.6621724	0.1628007	0.5920394	0.4358334	0.0753576	0.5849621	0.3023322	0.3605220	0.2567530	0.5843437	0.5441793	0.6793533	0.8316564	0.6706796	0.1102970	0.0147030	0.2406475	0.7228105	0.5579689	0.0213094	0.8727742	0.0422967	0.7211692	0.5821026	0.3179013	0.6522410	0.7415743	0.3460294	0.1034104	0.1628314	0.2416953	0.5447907	0.0535272	0.4152902	0.6919812	0.8748720	0.0064298	0.2808647	0.1704802	0.0168794	0.5696341	0.1493242	0.1370910	0.6436635	0.2992903	0.6571463	0.7681194	0.1527944	0.7907407	0.7039603	0.6938261	0.1080830	0.1262478	0.4793453	0.3421949	0.5254197	0.1551970	0.0420004	0.5455402	0.5808344	0.6784608
0.1569187	0.4405021	0.6656524	0.7122881	0.2500274	0.7382905	0.7819224	0.0139772	0.1926230	0.0098720	0.6775255	0.5407989	0.3468230	0.4227136	0.1950663	0.3986398	0.2534866	0.6893000	0.7114463	0.5684416	0.1850171	0.2497947	0.6565038	0.5016308	0.4013297	0.0413354	0.3164898	0.3821429	0.4793954	0.2269088	0.4652847	0.3517602	0.0073366	0.2624426	0.7254949	0.5423092	0.0956365	0.3389420	0.1989830	0.6964684	0.0982752	0.6561158	0.3155765	0.0331831	0.5401127	0.2993334	0.3601095	0.3057553	0.4097644	0.6482593	0.4452182	0.7383448	0.6226472	0.0898116	0.0296039	0.2463828	0.7306812	0.4644337	0.0402715	0.7762262	0.0209424	0.7126420	0.8338901	0.2710593	0.7196052	0.6703020	0.3531129	0.0895101	0.2707092	0.3468506	0.5281080	0.0480099	0.4299095	0.6235578	0.7007166	0.0336227	0.2301998	0.1582857	0.0235748	0.6560540	0.0975320	0.2874648	0.6976449	0.2581585	0.8002869	0.7108076	0.1763582	0.8311593	0.7470116	0.7425359	0.2051089	0.1371363	0.4338160	0.3124151	0.4570376	0.1377224	0.1106593	0.6581039	0.5264316	0.5184395
0.5797606	0.6209193	0.3422445	0.6889458	0.2345967	0.8024693	0.7582292	0.0105769	0.3993736	0.0438937	0.7072631	0.4218032	0.3137658	0.3770247	0.1377743	0.2573134	0.2442485	0.8259278	0.6421442	0.4986386	0.5007374	0.2387444	0.7146645	0.4958790	0.4159681	0.0137964	0.1907905	0.4992319	0.3691612	0.1739788	0.5464706	0.6302003	0.0072830	0.4511593	0.9423943	0.4621014	0.4589908	0.1805232	0.2774659	0.6231028	0.2065486	0.6813316	0.2001833	0.1080660	0.6232670	0.0738084	0.5073018	0.4926342	0.3971429	0.4194528	0.7559195	0.7709577	0.5720818	0.2078154	0.0379708	0.1331142	0.6099507	0.5827633	0.0400039	0.6410005	0.0311421	0.7881472	0.7348851	0.3553842	0.7379072	0.8030831	0.5614653	0.0810362	0.2036880	0.3486908	0.3068902	0.1720054	0.1956444	0.8297790	0.6987355	0.0034922	0.4936802	0.2828177	0.0177780	0.2983733	0.7112154	0.0067903	0.2332079	0.2624364	0.9126315	0.5257497	0.3882533	0.6159924	0.6369193	0.8161499	0.3240369	0.1490235	0.3446671	0.6455583	0.3174599	0.2593701	0.0501392	0.3844337	0.3510474	0.5338849
0.5416985	0.9063350	0.7780026	0.3071514	0.2604021	0.6692296	0.6878997	0.0149894	0.3073247	0.0105053	0.6312399	0.5108626	0.2889470	0.3271521	0.1804556	0.2039496	0.2989284	0.6738161	0.6440683	0.6548808	0.2728566	0.1821908	0.6375015	0.4829453	0.4143619	0.0080104	0.2295357	0.5040262	0.2914449	0.1491620	0.4638096	0.5961067	0.0255552	0.4326584	0.7274158	0.2928612	0.2949319	0.1792445	0.2866293	0.6260380	0.1711096	0.6841619	0.0167096	0.0745352	0.4912663	0.3502691	0.5363609	0.3329066	0.4261833	0.4369869	0.6505129	0.6440198	0.8623321	0.0627532	0.1161970	0.1416865	0.4584347	0.4957390	0.0445420	0.7388497	0.0398381	0.7575252	0.7654187	0.4296650	0.6588948	0.7020748	0.3590259	0.0796846	0.2012288	0.3200715	0.4483138	0.1404993	0.4670175	0.7847851	0.7051500	0.0068388	0.4678598	0.2467079	0.0214795	0.2768829	0.6053882	0.0396584	0.6666821	0.2795987	0.7604015	0.6351406	0.1558266	0.6368526	0.7388629	0.7868193	0.1518721	0.1081152	0.4394742	0.5764856	0.2778259	0.2774779	0.0749403	0.4168847	0.4499087	0.6955524
0.5106819	0.7149097	0.6936325	0.8169680	0.1843654	0.6675796	0.6534206	0.0193972	0.1993082	0.0085549	0.6086574	0.5795152	0.2876584	0.2820853	0.1636406	0.2417391	0.2142561	0.6276381	0.4542590	0.5396564	0.4220120	0.1780264	0.6962284	0.5139814	0.4477558	0.0029058	0.2305062	0.4993248	0.3836616	0.1330859	0.7231769	0.6967298	0.0058221	0.2805330	0.6168447	0.5017051	0.4655101	0.1531560	0.1664920	0.6209122	0.2385290	0.7907737	0.0352314	0.0785820	0.5591197	0.2700910	0.4799226	0.3047289	0.4134296	0.3694632	0.7202348	0.7534138	0.6578486	0.0921513	0.0242646	0.0989573	0.6170174	0.3880661	0.0475196	0.6495410	0.0540817	0.6729289	0.7310458	0.3066373	0.7602882	0.5944789	0.3675851	0.0388012	0.2908850	0.5099160	0.4184963	0.1458003	0.4504759	0.7005165	0.8223038	0.0187148	0.5665167	0.1986236	0.0078159	0.1754799	0.6009197	0.0202219	0.6171492	0.2728749	0.7939953	0.7499204	0.1258659	0.4862412	0.6229316	0.8270793	0.1334354	0.2015036	0.4968195	0.6790589	0.3872955	0.2755050	0.0812296	0.4258890	0.4237134	0.5767005
0.6182125	0.7117440	0.8042441	0.6327269	0.2735994	0.3597331	0.7071184	0.0135864	0.3178543	0.0282388	0.8104262	0.3899124	0.2521942	0.3329539	0.1455604	0.1862399	0.3756327	0.7454827	0.6565077	0.4631488	0.5815014	0.4316231	0.7857169	0.5613364	0.7341807	0.0056905	0.2516087	0.5566628	0.3408673	0.1606051	0.5822841	0.6288963	0.0228142	0.5196973	0.7739986	0.4867272	0.4556824	0.1756766	0.3332975	0.6224982	0.3769086	0.6713378	0.2804745	0.0736040	0.5004777	0.3531714	0.6391034	0.2445463	0.4929296	0.2933032	0.7128673	0.6371062	0.7616417	0.0485100	0.0397979	0.0645963	0.3827727	0.4031570	0.0373418	0.7155751	0.0179096	0.8490625	0.6767930	0.4042412	0.6837107	0.6733970	0.3856451	0.0848170	0.3074727	0.3976823	0.2621695	0.3192550	0.4584041	0.6871922	0.7068865	0.0020517	0.6892979	0.3696276	0.0200991	0.1444494	0.7225516	0.0265180	0.7027667	0.5251549	0.6340613	0.5077921	0.1396881	0.4702091	0.7529389	0.7578768	0.1693661	0.1489727	0.3457852	0.7055885	0.3143125	0.4296563	0.0624938	0.4734214	0.3837042	0.3913997
0.5079803	0.6432656	0.5825063	0.7934795	0.3794963	0.8109360	0.4042927	0.0098471	0.1180111	0.0357098	0.5817412	0.4658052	0.2032616	0.6019143	0.1276859	0.2489665	0.4193405	0.7328483	0.6697970	0.5670136	0.4178726	0.2943342	0.8028280	0.5356085	0.5234749	0.0777392	0.4406472	0.5086331	0.2877009	0.4874331	0.4329765	0.6312860	0.0312061	0.5142752	0.6840705	0.5000558	0.3526691	0.2536983	0.2640675	0.5050733	0.3904789	0.7796938	0.4310852	0.0868304	0.2803578	0.4005919	0.5534287	0.3733972	0.5596004	0.6644296	0.6373148	0.8197489	0.8153808	0.1073827	0.0511836	0.0664169	0.4120539	0.4435568	0.0395074	0.5652232	0.0438644	0.5761522	0.3615501	0.4139580	0.7107266	0.4975800	0.4474929	0.1566143	0.2443071	0.2166053	0.3037465	0.1929184	0.4613190	0.6981580	0.6849826	0.0061949	0.5400576	0.2111189	0.0188697	0.2484869	0.5042471	0.0246993	0.5692626	0.2796199	0.6955840	0.7408868	0.1511877	0.5032068	0.6843991	0.5985923	0.1699577	0.0953774	0.5696793	0.6210993	0.3427684	0.2725104	0.0670670	0.4294890	0.3851293	0.7097159
0.5324967	0.7565220	0.6389737	0.6563475	0.3426515	0.7653789	0.7942374	0.0088524	0.3745925	0.0388559	0.8383151	0.4098574	0.3804841	0.3094759	0.0982567	0.2101333	0.2887210	0.7187932	0.5245684	0.4870365	0.5213363	0.1563043	0.7670216	0.3897552	0.5427351	0.0153017	0.2025553	0.6182743	0.3111559	0.0900209	0.5587844	0.6492800	0.0018847	0.5465459	0.5840694	0.3888263	0.3777841	0.1587322	0.2581597	0.7958542	0.2013450	0.7598778	0.2827232	0.0752275	0.7282471	0.3503004	0.4438738	0.2321044	0.5719054	0.3270546	0.8379003	0.8198974	0.6921089	0.0386667	0.0280525	0.0777190	0.5335927	0.4141803	0.0252787	0.7132278	0.0211896	0.7302279	0.6620957	0.4294067	0.8425560	0.7445061	0.3628372	0.0958651	0.2260198	0.3462448	0.3900642	0.2096341	0.3726880	0.8661078	0.7989786	0.0388556	0.6442158	0.1935855	0.0230265	0.1820308	0.6310802	0.0163659	0.5815285	0.2488355	0.8152085	0.6762954	0.2002016	0.5894803	0.7987568	0.7232357	0.2178817	0.1131288	0.5094795	0.6119030	0.3577777	0.3064451	0.0946920	0.5591778	0.4900061	0.6502408
0.5432605	0.5893585	0.7684594	0.7305958	0.2484245	0.6526232	0.7749800	0.0087288	0.1501442	0.0383456	0.5690655	0.5832561	0.3149448	0.3486536	0.1423749	0.2234706	0.2996105	0.5727881	0.6367361	0.5848755	0.4587792	0.1989416	0.7494272	0.4328769	0.4319408	0.0038485	0.1988371	0.5789934	0.3858816	0.1569891	0.5285449	0.6867674	0.0095152	0.3872494	0.8018521	0.4635202	0.3108850	0.1307290	0.1872348	0.6502418	0.1893315	0.7350210	0.2986775	0.0668314	0.6043865	0.4076921	0.4704023	0.4053643	0.4470220	0.3801772	0.6372996	0.7663829	0.7209540	0.0955754	0.0317969	0.1683834	0.5559225	0.4615460	0.0427855	0.6778538	0.0349053	0.6795355	0.6709817	0.5162292	0.7237236	0.5846982	0.4465462	0.1133993	0.2712010	0.2951348	0.4418052	0.0968911	0.3916870	0.6524770	0.7278085	0.0117204	0.5564064	0.2342317	0.0065011	0.1939739	0.5254912	0.0320590	0.5347555	0.2718923	0.6629647	0.7320119	0.1943091	0.6572392	0.8302131	0.6827138	0.2404811	0.1951889	0.4454612	0.5001592	0.3773903	0.2781661	0.0572247	0.4537579	0.5270548	0.7317319
0.5374741	0.7143951	0.6500625	0.6528197	0.3200698	0.6780040	0.7481943	0.0114799	0.2735239	0.0053836	0.6654613	0.4882199	0.3466212	0.2724669	0.1937434	0.2701589	0.2808015	0.7868336	0.7294692	0.5613231	0.4486624	0.2605977	0.6655171	0.3977217	0.4382245	0.0192246	0.2455879	0.4308787	0.4119967	0.1676798	0.5863382	0.6133260	0.0082785	0.5013724	0.7120727	0.5084996	0.4962517	0.2310228	0.1812560	0.8691994	0.2296153	0.8859089	0.2546871	0.0541588	0.5863468	0.4085352	0.5380193	0.1874769	0.4880587	0.4676821	0.6010241	0.7175735	0.7374890	0.0321839	0.0435389	0.0516961	0.4656747	0.3901464	0.0136985	0.7643287	0.0288831	0.9283107	0.6846911	0.4102460	0.7966479	0.6993429	0.5100651	0.0810609	0.1677633	0.3393315	0.3881399	0.1706842	0.3894858	0.7373853	0.7062005	0.0080669	0.6152165	0.2122667	0.0141146	0.1950931	0.6837320	0.0662934	0.6216556	0.3090139	0.6950448	0.7028621	0.1369779	0.6212663	0.6200943	0.6309330	0.1356836	0.1188845	0.5250511	0.5241316	0.3325520	0.2975485	0.0712603	0.3773890	0.5034363	0.6199156
