G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.0564432	0.0152244	0.4223608	0.6688866	0.5864269	0.6222832	0.7286186	0.6601615	0.6567651	0.1208329	0.0769970	0.7349816	0.0004440	0.7209708	0.7770813	0.8075157	0.0153187	0.0630328	0.3027171	0.2268917	0.0495727	0.7222768	0.8118770	0.1026755	0.1659013	0.4942207	0.0092552	0.6437573	0.1070474	0.5932688	0.4127554	0.6848948	0.4834335	0.2723657	0.2175623	0.8269304	0.2823403	0.5172157	0.6007957	0.2035959	0.4343756	0.6522393	0.2915464	0.3140269	0.0165587	0.7652538	0.5061675	0.6600491	0.6500681	0.6669865	0.4167323	0.7057563	0.5923688	0.6731065	0.0885447	0.3165336	0.7675247	0.0389488	0.6722346	0.0199192	0.6539400	0.6751675	0.3316719	0.0067438	0.2963207	0.2900894	0.0230711	0.1590151	0.4252273	0.0879934	0.7300970	0.4666950	0.6552262	0.8027107	0.6556404	0.0509512	0.3143329	0.5688078	0.3178546	0.2392510	0.5971283	0.3744852	0.3252318	0.3906275	0.6482999	0.0234951	0.5474718	0.6939256	0.4558499	0.5092421	0.7269687	0.0478672	0.0235922	0.6999769	0.0290977	0.6676983	0.2916508	0.0073999	0.6598742
0.3853992	0.0000000	0.0995305	0.4059683	0.4157523	0.7356421	0.6891669	0.7290854	0.4516642	0.8125979	0.0795573	0.5754544	0.6644534	0.0012231	0.4692924	0.7025861	0.6383104	0.0229062	0.1034149	0.2278972	0.3788435	0.0309895	0.4851930	0.8087771	0.1745257	0.2329439	0.5068946	0.0530594	0.6616897	0.1372309	0.4478565	0.3566668	0.0128850	0.5431466	0.2169159	0.4409008	0.6452926	0.3166355	0.2281046	0.2992164	0.1229244	0.3164525	0.6026076	0.2095123	0.4584001	0.1037486	0.7278910	0.5273057	0.6129760	0.4315246	0.7499613	0.2974643	0.5073189	0.4455308	0.6433826	0.3363721	0.1096925	0.5719262	0.2563176	0.5447276	0.0168052	0.6406060	0.1988596	0.1885277	0.0514543	0.2312681	0.6695555	0.0481789	0.5572269	0.3226259	0.0946575	0.6765634	0.2474026	0.6571933	0.7468834	0.5566637	0.0698929	0.5476532	0.5555590	0.2348286	0.1298808	0.8070907	0.2811359	0.2836125	0.5183226	0.7306634	0.0693864	0.6408259	0.3610034	0.5900254	0.4109636	0.0104157	0.0672734	0.0062421	0.5491613	0.1597023	0.7243920	0.7030786	0.0119210	0.7666837
0.3032364	0.0493931	0.0000000	0.4045116	0.3693111	0.6749208	0.6613594	0.9144989	0.3588180	0.8119821	0.0639155	0.4148804	0.6684615	0.0000710	0.6572784	0.5447424	0.7105534	0.0017228	0.0535111	0.1620455	0.2973956	0.0425394	0.5356278	0.8100859	0.1559310	0.1769239	0.5116018	0.0503544	0.6143505	0.1582355	0.2546456	0.4409173	0.0076637	0.5105690	0.1536943	0.1722855	0.6827468	0.1402762	0.2303319	0.5699671	0.9307934	0.3659528	0.6969743	0.0745226	0.4891549	0.0994439	0.7672355	0.6636725	0.5573528	0.4843756	0.6878653	0.2626996	0.5405128	0.3730353	0.6494538	0.4742659	0.0449353	0.4048030	0.3374747	0.5879637	0.0171632	0.8186495	0.1903880	0.2062543	0.0715263	0.1496051	0.7133507	0.0316507	0.6148647	0.3440355	0.1291904	0.6845865	0.2270725	0.6592968	0.5969996	0.7141549	0.0549960	0.5175883	0.5028259	0.2051861	0.1871961	0.6945988	0.3024950	0.2811847	0.4540649	0.7004857	0.0863864	0.4307390	0.6000385	0.7232615	0.3338207	0.0265044	0.0375373	0.0015852	0.5871743	0.1695645	0.6634282	0.0744432	0.0009822	0.9140312
0.4065015	0.0890255	0.1755857	0.0000000	0.3620125	0.6532728	0.8276728	0.6613046	0.3981963	0.6466817	0.5145206	0.6599437	0.6490676	0.0010575	0.4330560	0.5932769	0.5081129	0.0148515	0.1597023	0.1717062	0.3520363	0.0421309	0.4433042	0.8275134	0.3729643	0.2155997	0.4100992	0.1262925	0.4744612	0.1822146	0.2644546	0.4385564	0.0211755	0.4806718	0.2193299	0.4891330	0.7068398	0.4280351	0.2551182	0.2154333	0.1100186	0.3324488	0.5992120	0.1154526	0.3917829	0.1287600	0.6075284	0.6225275	0.4232739	0.4194967	0.7047301	0.2909092	0.5350497	0.3507230	0.5698424	0.4728261	0.0997583	0.3882432	0.1926320	0.5360132	0.0197851	0.6520467	0.2064704	0.1987733	0.0786534	0.1791920	0.7126042	0.0486472	0.5988495	0.3660286	0.1230504	0.5785564	0.2403526	0.8056746	0.5592744	0.6706875	0.0907323	0.5301627	0.5935169	0.2300471	0.2290048	0.6741071	0.2664824	0.2691687	0.5630766	0.6587386	0.0585139	0.6371431	0.2376917	0.6233522	0.3684395	0.0216549	0.0421490	0.0054196	0.4552689	0.2666317	0.8496455	0.6953183	0.0227699	0.7970179
0.5479973	0.0170445	0.4248543	0.2442836	0.0000000	0.7917024	0.8023119	0.6736072	0.0158160	0.8646058	0.1092405	0.8110070	0.5989851	0.0000018	0.3214547	0.2039535	0.5657542	0.0105062	0.0500391	0.2075830	0.4824479	0.1405381	0.4985196	0.6426254	0.5945013	0.4459622	0.4150528	0.7639037	0.5583365	0.0506237	0.1374805	0.4809062	0.7758464	0.1642381	0.1681572	0.4828162	0.1999760	0.4056975	0.1649527	0.1615153	0.1096927	0.1865238	0.7050773	0.2782137	0.4178678	0.0545363	0.6973340	0.5082168	0.3838452	0.3162986	0.0394905	0.1804088	0.5296315	0.2139566	0.7786813	0.6508412	0.0639289	0.3989744	0.3739364	0.5006406	0.1202915	0.6613016	0.1789056	0.1532760	0.0792805	0.1611870	0.7973971	0.0225628	0.7477991	0.4179898	0.7210563	0.0144213	0.1422622	0.6794688	0.4962230	0.2476683	0.0254555	0.5929608	0.1592569	0.0389280	0.3132986	0.6972003	0.0516239	0.1522331	0.6845203	0.3662934	0.2291871	0.6209587	0.2182973	0.7292439	0.3133474	0.0061823	0.0465163	0.0070872	0.0359211	0.4048077	0.0589573	0.7944182	0.8272286	0.4616052
0.3989930	0.3943320	0.1859346	0.2183155	0.3907454	0.0000000	0.6509853	0.6764922	0.2291285	0.7307004	0.2655604	0.6403401	0.6605005	0.0007843	0.4659101	0.7657529	0.5825614	0.3034683	0.0856640	0.1725754	0.2977110	0.0343658	0.5405788	0.7365910	0.2652239	0.1711449	0.4842130	0.2428373	0.7896748	0.1398683	0.2099384	0.3939611	0.0032375	0.4730657	0.2482457	0.4683321	0.6058222	0.3434946	0.1621296	0.2137744	0.1251150	0.2774448	0.6363818	0.0766041	0.1808417	0.0943963	0.4241385	0.6430399	0.4454655	0.3221325	0.5694741	0.2397004	0.5937682	0.4292998	0.6620196	0.5657528	0.0561960	0.3600815	0.0382069	0.6299606	0.0228165	0.7044907	0.1828488	0.1779414	0.2454694	0.1842923	0.7752947	0.0451111	0.6512328	0.3296630	0.2493963	0.6903258	0.4083936	0.8165298	0.5551116	0.5960537	0.0307540	0.6570157	0.4695487	0.0094364	0.1285274	0.7960197	0.2399425	0.1582443	0.6326590	0.8621356	0.0636666	0.5663710	0.1935570	0.6304148	0.5256380	0.0098430	0.6473842	0.0157864	0.4052484	0.2379266	0.6778274	0.6305342	0.0338125	0.6939005
0.1039067	0.0467277	0.4144066	0.2399022	0.0136235	0.6763445	0.0000000	0.0259249	0.0449858	0.7118855	0.1595603	0.4308380	0.6769762	0.1868843	0.3452427	0.3404139	0.4803790	0.0008505	0.0505476	0.6756603	0.4411394	0.0487903	0.5105619	0.6778189	0.0264402	0.2502546	0.7716546	0.1974972	0.0347606	0.4982021	0.6451382	0.0438898	0.8668497	0.0844045	0.2633051	0.3703838	0.0981864	0.0094004	0.0106329	0.0012020	0.7086506	0.0109613	0.5904048	0.2896189	0.2529173	0.2144973	0.6301043	0.0388578	0.3618009	0.6679546	0.0864716	0.6620873	0.6684351	0.0409706	0.8566527	0.0857110	0.5799208	0.0125982	0.1276471	0.7376967	0.0122415	0.7094664	0.0452490	0.6788048	0.0129961	0.6453257	0.5798329	0.0413945	0.5260494	0.3583836	0.5714559	0.0072062	0.3022108	0.8088315	0.5569915	0.0434395	0.0334122	0.0502546	0.4577926	0.0218806	0.0093102	0.6511454	0.0286483	0.3291206	0.3756559	0.5291553	0.7147264	0.4221912	0.0077959	0.7831329	0.4250985	0.7641631	0.6929120	0.7507998	0.0285240	0.1072714	0.0603990	0.6965663	0.6518734	0.7182077
0.4033127	0.0470706	0.1813656	0.3196595	0.2936572	0.7508172	0.7688790	0.0000000	0.3137693	0.5347326	0.0734993	0.2932447	0.8870707	0.1106511	0.4968858	0.2651933	0.7246481	0.0011965	0.0588639	0.6389007	0.3046854	0.0321808	0.4627995	0.7205703	0.2494884	0.6395624	0.5594856	0.2878926	0.6607036	0.1550943	0.2421447	0.0522545	0.6580338	0.4612260	0.4695850	0.1367666	0.7070515	0.4133990	0.0014875	0.0008655	0.8420269	0.3851382	0.4693217	0.1412788	0.2355672	0.4655220	0.6529455	0.0779254	0.2275975	0.4517904	0.7099237	0.2337163	0.5892020	0.4009984	0.6447796	0.5267832	0.0602569	0.5212338	0.2881820	0.6923377	0.0531891	0.0022896	0.2020621	0.1452732	0.0878837	0.1242787	0.7690276	0.0568826	0.5845842	0.4040209	0.1652093	0.6778849	0.1411374	0.6111275	0.6143762	0.6200321	0.0605340	0.4306470	0.4493963	0.2918292	0.2068347	0.6805497	0.2619250	0.3001160	0.6506249	0.6083105	0.0477341	0.0537425	0.0344094	0.8638866	0.4804282	0.0356030	0.6947198	0.0038039	0.4962280	0.2457653	0.5769921	0.7584234	0.0356304	0.6475087
0.3746524	0.0781536	0.1624100	0.4883914	0.3552583	0.7578677	0.8297371	0.6834480	0.0000000	0.7457623	0.0596249	0.7475645	0.7616482	0.0000750	0.4031964	0.7091629	0.5417454	0.0059412	0.1110209	0.2240564	0.3862969	0.0392427	0.4759133	0.6709890	0.3116863	0.1476732	0.5267431	0.1885470	0.6171038	0.0965010	0.3056399	0.3288684	0.0107762	0.3778910	0.2109871	0.5945387	0.6891661	0.3158763	0.2173446	0.1765877	0.1459836	0.3824571	0.6110391	0.1195210	0.3933648	0.0844294	0.6457724	0.5878311	0.4877415	0.4955612	0.7605124	0.3050810	0.5254492	0.4541907	0.7637623	0.3938657	0.1098348	0.4947891	0.2972042	0.4976020	0.0158463	0.6479662	0.1498621	0.1575946	0.0308720	0.1588509	0.5376784	0.0201387	0.5692651	0.4044538	0.1856424	0.7963775	0.1301028	0.6307492	0.6011399	0.6121523	0.0665182	0.5185156	0.4381153	0.1940535	0.1740661	0.5528725	0.2517825	0.2176510	0.6986127	0.6350401	0.0854438	0.5791540	0.2404908	0.7286499	0.2951108	0.0060073	0.0453485	0.0047883	0.5098491	0.2095706	0.6480004	0.7776905	0.0298014	0.6171488
0.3949718	0.0260282	0.2008174	0.6639487	0.3020732	0.7163448	0.6429266	0.7342223	0.0712695	0.0000000	0.0543373	0.3229967	0.4040613	0.0035776	0.6354333	0.5719719	0.6010244	0.0253162	0.1562531	0.2020575	0.1359472	0.0892994	0.1623812	0.6074913	0.4031720	0.1992841	0.2963580	0.2244614	0.5169955	0.1320650	0.2371767	0.4663466	0.0096512	0.4552477	0.2063558	0.5004519	0.7303366	0.4482288	0.1851998	0.5738526	0.7337409	0.2863239	0.3433931	0.3308408	0.4003806	0.1383078	0.6080172	0.6257581	0.6587379	0.3945505	0.8208975	0.3529268	0.5118384	0.3852158	0.6786374	0.5084377	0.0947436	0.4643768	0.2260707	0.6233255	0.0357609	0.6731051	0.2462827	0.1612192	0.0678389	0.2096994	0.5857369	0.0258944	0.7364893	0.4794127	0.1705695	0.6532407	0.1707604	0.6746385	0.5633302	0.5127000	0.0285208	0.5506513	0.5357201	0.1932142	0.1890968	0.6461655	0.0736298	0.2570991	0.6002907	0.7473201	0.0245518	0.5603835	0.2554742	0.6879224	0.1300297	0.0118203	0.0500502	0.0084813	0.4439795	0.2398155	0.6318582	0.7448358	0.0239486	0.6786671
