G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.5000003	0.8235136	1.0000000	0.4348808	0.1062041	0.5097844	0.5380647	0.8857193	1.0000000	1.0000000	0.3561394	0.1158961	0.9724420	0.4812710	0.7135421	0.0978663	0.6198514	0.5232535	0.4135315	0.3193112	0.3301551	0.3675856	0.6110477	0.8142785	0.7423471	0.0158415	0.8548341	0.5839303	0.4917354	0.2248617	0.0927978	0.4247686	0.3149287	0.9315554	0.1288257	0.2639230	0.0283262	0.9931562	0.1085772	0.7390901	0.8388649	0.8599221	0.2220184	0.7036632	0.9991010	0.4267256	0.2539332	0.7328597	0.9985673	0.0589693	0.5937618	0.5572093	0.7466351	0.2323187	0.6156197	0.7939990	0.3250834	0.0051875	0.8295925	0.3852001	0.4284113	0.7205517	0.7312884	0.5690913	0.0411122	0.9949769	0.9882637	0.0896377	0.1294521	0.2326823	0.6426820	0.6570755	0.5844395	0.1699749	0.1459014	0.1616127	0.7113081	0.8451349	0.2808831	0.6866908	0.9922273	0.9611443	0.7468177	0.3898447	0.8533870	0.9212103	0.3533294	0.6658187	0.5172754	0.6015748	0.6559984	0.9893707	0.0352583	0.2327405	0.8253645	0.4302939	0.9997578	0.4370692	0.7561719	0.9902135
1.0000000	0.4310740	1.0000000	0.4348804	0.1062037	0.5097811	0.6387383	0.8857229	1.0000000	1.0000000	0.4429599	0.1217850	0.9652795	0.4812720	0.5890857	0.0978663	0.6198467	0.5232544	0.4135385	0.3193125	0.3301529	0.3675821	0.6110511	0.8142771	0.6473177	0.0158415	0.8548368	0.5839212	0.7131195	0.2248605	0.0927984	0.4247691	0.3149257	0.9315581	0.1288236	0.2639283	0.0283258	0.9931562	0.1085776	0.7390934	0.8388676	0.8599256	0.2220210	0.6643905	0.9991010	0.4267258	0.2539309	0.7328596	0.9985673	0.0589693	0.5937606	0.5572156	0.7466274	0.2323170	0.9389919	0.7939967	0.3250897	0.0051875	0.8295925	0.3851984	0.4284114	0.7205538	0.7312848	0.8586425	0.0105156	0.9949770	0.9979459	0.0435941	0.1294486	0.1106035	0.9468886	0.3274815	0.5844414	0.1325531	0.1459008	0.0325540	0.1099828	0.5280324	0.1352140	0.6866939	0.9991539	0.9611436	0.9570333	0.8973056	0.9699696	0.9877521	0.6077555	0.3355734	0.5172716	0.6015764	0.5793403	0.9928315	0.0334333	0.6881232	0.2810011	0.1543908	0.9997578	0.4370667	0.0935950	0.9902134
1.0000000	0.8697182	0.5000000	0.1246009	0.1062033	0.5097768	0.5304946	0.8857276	1.0000000	1.0000000	0.3491537	0.0470511	0.9437075	0.4072012	0.7239727	0.0978663	0.5949812	0.6636288	0.3892527	0.3766226	0.4168682	0.1545139	0.7606106	0.6501221	0.7494361	0.0158415	0.8548402	0.5839096	0.4814137	0.2248590	0.0927992	0.4247697	0.3149219	0.9315615	0.1288208	0.2639350	0.0283253	0.9931562	0.1085782	0.7390975	0.8388710	0.8599300	0.2220243	0.6643853	0.9991011	0.4267261	0.2539280	0.5126261	0.9985674	0.0604198	0.8085647	0.5572237	0.7466176	0.2323149	0.9389924	0.7930380	0.3250978	0.0053272	0.8453538	0.2525225	0.4284115	0.7205563	0.7312802	0.8586425	0.0105156	0.9949771	0.9979459	0.0435941	0.1294443	0.1106035	0.9468886	0.3274815	0.5844437	0.1325531	0.1459001	0.0325540	0.1099828	0.5280324	0.1352140	0.6866977	0.9991539	0.9611428	0.9570333	0.8973056	0.9699696	0.9877521	0.6077555	0.3355734	0.5172667	0.6015785	0.6620623	0.9890210	0.0334333	0.6881232	0.2810011	0.1543908	0.9997578	0.4370635	0.0935950	0.9902132
1.0000000	0.8621258	1.0000000	0.2174365	0.1061963	0.5097125	0.5317265	0.8857974	1.0000000	1.0000000	0.3502284	0.1217464	0.9652978	0.4812924	0.7222978	0.0978657	0.6197520	0.5232728	0.4136806	0.3193404	0.3301084	0.3675117	0.6111199	0.8142483	0.7482418	0.0158415	0.8548915	0.5837359	0.4844746	0.2248365	0.0928117	0.4247783	0.3148643	0.9316127	0.1287797	0.2640352	0.0283179	0.9931562	0.1085864	0.7391602	0.8389220	0.8599967	0.2220733	0.6643067	0.9991017	0.4267307	0.2538842	0.7328563	0.9985679	0.0589689	0.5937342	0.5573442	0.7464708	0.2322830	0.9390011	0.7939513	0.3252193	0.0051875	0.8295924	0.3851645	0.4284127	0.7205949	0.7312113	0.8586425	0.0105156	0.9949789	0.9979459	0.0435941	0.1293788	0.1106035	0.9468886	0.3274815	0.5844789	0.1325531	0.1458899	0.0325540	0.1099828	0.5280324	0.1352140	0.6867561	0.9991539	0.9611304	0.9570333	0.8973056	0.9699696	0.9877521	0.6077555	0.3355734	0.5171942	0.6016093	0.6610649	0.9890794	0.0334333	0.6881232	0.2810011	0.1543908	0.9997579	0.4370156	0.0935950	0.9902107
1.0000000	0.8608016	1.0000000	0.4044325	0.0532659	0.5167849	0.5307242	0.8812912	1.0000000	1.0000000	0.3520483	0.1236532	0.9644968	0.4820932	0.7223281	0.0979336	0.6254737	0.5220615	0.4044731	0.3179665	0.3438961	0.3717874	0.6073952	0.8162998	0.7505814	0.0158000	0.8527037	0.5933861	0.4850346	0.2258590	0.0917861	0.4571828	0.3157665	0.9743610	0.1314524	0.2573089	0.0176214	0.9931565	0.1075985	0.9493490	0.8369837	0.8555271	0.5414509	0.6698189	0.9999402	0.4262870	0.0840934	0.7221380	0.9997261	0.0580766	0.5952702	0.5569315	0.7580845	0.2337038	0.9384191	0.7968126	0.3149887	0.0051453	0.8295996	0.3873802	0.4313907	0.7180019	0.7351732	0.8586425	0.0105156	0.9994397	0.9979459	0.0435941	0.1322303	0.1106035	0.9468886	0.3274815	0.5831095	0.1325531	0.0972188	0.0325540	0.1099828	0.5280324	0.1352140	0.6843473	0.9991539	0.7305180	0.9570333	0.8973056	0.9699696	0.9877521	0.6077555	0.3355734	0.5216350	0.6002415	0.6618240	0.9890347	0.0334333	0.6881232	0.2810011	0.1543908	0.9999847	0.4400077	0.0935950	0.9491988
1.0000000	0.7919509	1.0000000	0.4300676	0.0992909	0.2276543	0.6047515	0.9908313	1.0000000	1.0000000	0.2730027	0.0690052	0.9803174	0.5903662	0.6892033	0.0868926	0.2797322	0.5972452	0.8526069	0.4359294	0.1811246	0.0467642	0.7727724	0.6684964	0.6404689	0.0158066	0.8977112	0.2222569	0.5141419	0.2034372	0.4348249	0.4293191	0.2597483	0.9929175	0.0342982	0.4313178	0.0225757	0.9931509	0.2854056	0.7727225	0.8773304	0.9822870	0.2565981	0.3373681	0.9994756	0.5948638	0.2279916	0.7312205	0.9989652	0.0587801	0.2891492	0.9320821	0.1022788	0.2423969	0.9706885	0.6383304	0.8358989	0.0051810	0.8279348	0.2566232	0.4291291	0.8522991	0.3651267	0.8586425	0.0105156	0.9959411	0.9979459	0.0435941	0.0777896	0.1106035	0.9468886	0.3274815	0.6154566	0.1325531	0.1398051	0.0325540	0.1099828	0.5280324	0.1352140	0.7387982	0.9991539	0.9522152	0.9570333	0.8973056	0.9699696	0.9877521	0.6077555	0.3355734	0.2718869	0.6322956	0.6042377	0.9918721	0.0334333	0.6881232	0.2810011	0.1543908	0.9998149	0.2811289	0.0935950	0.9884817
1.0000000	0.8621421	1.0000000	0.4348785	0.1062019	0.5097644	0.2658604	0.8857410	1.0000000	1.0000000	0.3502521	0.1217757	0.9652840	0.4812769	0.8275366	0.0978662	0.6198237	0.5232588	0.4135729	0.3193193	0.3301421	0.3675650	0.6110678	0.8142701	0.9506295	0.0158415	0.8548501	0.5838763	0.4844632	0.2248547	0.0928016	0.4247713	0.3149108	0.9315713	0.1288129	0.2639542	0.0283239	0.9931562	0.1085798	0.7391096	0.8388808	0.8599428	0.2220337	0.6643702	0.9991012	0.4267270	0.2539196	0.7328588	0.9985675	0.0589692	0.5937542	0.5572468	0.7465894	0.2323087	0.9389941	0.7939857	0.3251211	0.0051875	0.8295925	0.3851902	0.4284117	0.7205637	0.7312670	0.8586425	0.0105156	0.9949775	0.9979459	0.0435941	0.1294317	0.1106035	0.9468886	0.3274815	0.5844505	0.1325531	0.1458982	0.0325540	0.1099828	0.5280324	0.1352140	0.6867089	0.9991539	0.9611404	0.9570333	0.8973056	0.9699696	0.9877521	0.6077555	0.3355734	0.5172528	0.6015844	0.8825551	0.9478739	0.0334333	0.6881232	0.2810011	0.1543908	0.9997578	0.4370543	0.0935950	0.9902127
1.0000000	0.9014110	1.0000000	0.5654769	0.2589661	0.8102758	0.2221089	0.3153819	1.0000000	1.0000000	0.5639876	0.3635480	0.5764713	0.4483142	0.8540595	0.0802665	0.8203567	0.5895144	0.1585653	0.1220545	0.0587617	0.1727794	0.2265726	0.7927927	0.9939825	0.0219411	0.1711691	0.9496307	0.4689173	0.5169526	0.2113859	0.2853312	0.5887447	0.4896432	0.4491793	0.0952490	0.2401212	0.9933455	0.4065633	0.2249417	0.1549837	0.6555923	0.0175920	0.8256382	0.8353023	0.4226181	0.6241263	0.7783837	0.9577964	0.0729636	0.6184770	0.3281401	0.8857074	0.4361966	0.9197624	0.8831081	0.2874982	0.0053788	0.8297345	0.4563951	0.3554528	0.6283023	0.7863485	0.8586425	0.0105156	0.9212145	0.9979459	0.0435941	0.9670013	0.1106035	0.9468886	0.3274815	0.3058682	0.1325531	0.2630953	0.0325540	0.1099828	0.5280324	0.1352140	0.1891873	0.9991539	0.9977075	0.9570333	0.8973056	0.9699696	0.9877521	0.6077555	0.3355734	0.6657309	0.3394471	0.9146838	0.9230079	0.0334333	0.6881232	0.2810011	0.1543908	0.9914926	0.5443938	0.0935950	0.9988868
1.0000000	0.7514766	1.0000000	0.4348799	0.1062033	0.5097768	0.5489638	0.8857276	0.5000000	1.0000000	0.2686038	0.1217826	0.9652807	0.4812732	0.6964301	0.4271678	0.6198408	0.5232555	0.4135474	0.3193143	0.3301501	0.3675777	0.6110554	0.8142753	0.7321871	0.0158415	0.8562222	0.5839096	0.5324122	0.3097282	0.0927992	0.4247697	0.3149219	0.9315615	0.1288208	0.2639350	0.0283253	0.9561966	0.1085782	0.7390975	0.6109565	0.8599300	0.2220243	0.6643853	0.9991011	0.4267261	0.5487889	0.7328593	0.9985674	0.0589693	0.5937589	0.5572237	0.7466176	0.2323149	0.9389924	0.7939939	0.3250978	0.0051875	0.8295925	0.3851963	0.6722622	0.7205563	0.4947361	0.8586425	0.0105156	0.9949771	0.9979459	0.0435941	0.1294443	0.1106035	0.9468886	0.3274815	0.5844437	0.1325531	0.1459001	0.0325540	0.1099828	0.5280324	0.1352140	0.6866977	0.9991539	0.9611428	0.9570333	0.8973056	0.9699696	0.9877521	0.6077555	0.3355734	0.5172667	0.6015785	0.6474154	0.9898435	0.0334333	0.6881232	0.2810011	0.1543908	0.9997578	0.4370635	0.0935950	0.9902132
1.0000000	0.8621393	1.0000000	0.4348775	0.1062010	0.5097557	0.5186165	0.8857505	1.0000000	0.5000000	0.4679800	0.1217707	0.9652863	0.4812795	0.6185651	0.0978661	0.6198116	0.5232612	0.4135911	0.3193229	0.3301364	0.3675560	0.6110766	0.8142665	0.7604543	0.0158415	0.8548571	0.5838526	0.4844651	0.2248516	0.0928033	0.4247725	0.3149029	0.9315783	0.1288073	0.2639679	0.0283229	0.9931562	0.1085809	0.7391181	0.8388878	0.8599519	0.2220404	0.6643595	0.9991013	0.4267276	0.2539136	0.7328583	0.9985676	0.0589692	0.5937508	0.5572633	0.7465694	0.2323044	0.9389953	0.7939799	0.3251377	0.0051875	0.8295925	0.3851858	0.4284119	0.7205690	0.7312576	0.8586425	0.0105156	0.9949777	0.9979459	0.0435941	0.1294228	0.1106035	0.9468886	0.3274815	0.5844553	0.1325531	0.1458968	0.0325540	0.1099828	0.5280324	0.1352140	0.6867169	0.9991539	0.9611387	0.9570333	0.8973056	0.9699696	0.9877521	0.6077555	0.3355734	0.5172429	0.6015886	0.6716125	0.9884403	0.0334333	0.6881232	0.2810011	0.1543908	0.9997578	0.4370478	0.0935950	0.9902124
