G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.0604481	0.0171298	0.5195087	0.9730414	1.0000000	1.0000000	0.9993891	0.8864731	1.0000000	0.1241566	0.0784693	0.9998860	0.0000003	0.9652702	0.9999889	0.8616600	0.0237810	0.0884198	0.3613222	0.3716168	0.0515943	0.9998718	1.0000000	0.1259408	0.2557818	0.7544867	0.0061822	0.9442743	0.1520125	0.8742265	0.4990753	0.9999999	0.6618634	0.4255463	0.4404827	0.9997232	0.3881794	0.7907903	0.7904266	0.2647492	0.6418097	0.9036887	0.5759965	0.3683659	0.0181951	1.0000000	0.8392867	0.9148135	0.8577143	0.9999304	0.5753359	1.0000000	0.9581277	0.9633781	0.1439993	0.3912862	0.9795627	0.0459757	0.8377962	0.0282647	0.9671002	0.9941409	0.3315286	0.0096749	0.4008080	0.4049270	0.0382607	0.1870467	0.5795591	0.0997170	0.9992266	0.5669915	0.9410122	1.0000000	0.8583450	0.0559431	0.5122513	0.9407299	0.4722833	0.3402158	0.8286843	0.5961241	0.4669699	0.6029273	0.9993719	0.0897656	0.8525843	0.9594393	0.7035167	0.6832710	1.0000000	0.0681587	0.0087086	0.9454180	0.0323096	0.9782585	0.4388869	0.0057719	1.0000000
0.5137500	0.0000002	0.1779515	0.5742358	0.5251291	1.0000000	1.0000000	0.9993891	0.5321802	1.0000000	0.1060751	0.8806382	0.9940504	0.0001268	0.6478018	0.9397251	0.8060229	0.0162682	0.1606820	0.2684553	0.4427525	0.0576309	0.7326220	0.9999766	0.3830118	0.2542626	0.7473781	0.2154857	0.8433037	0.1494048	0.3914644	0.5209174	0.0188502	0.6620711	0.2982405	0.6529838	0.9676380	0.4782539	0.3177189	0.3131550	0.1578463	0.4520563	0.9036178	0.1609323	0.6236192	0.1243206	1.0000000	0.8392867	0.7500406	0.6377310	0.9985011	0.4132194	0.8169766	0.6167133	0.9693171	0.6045025	0.1047706	0.6411809	0.3853413	0.8377962	0.0287040	0.9671002	0.2875812	0.2566266	0.0668479	0.2363706	0.9991701	0.0460223	0.8415890	0.5970171	0.1881724	0.9983219	0.2940805	0.9745311	0.8071984	0.8579649	0.0839091	0.6938164	0.6870145	0.3286490	0.2205947	0.9310738	0.4018917	0.3759910	0.7974280	0.9505160	0.0898254	0.8565356	0.3745065	0.8961060	0.5916939	0.0134267	0.0681587	0.0087086	0.7199107	0.3187967	0.9072315	0.9995280	0.0291019	0.9190512
0.5013771	0.0604481	0.0000000	0.5152209	0.5445229	1.0000000	1.0000000	0.9993891	0.5593965	1.0000000	0.1253203	0.5831402	0.9999069	0.0000001	0.9175504	0.9453536	0.8616600	0.0002252	0.0883771	0.2577866	0.4336288	0.0515943	0.7364317	1.0000000	0.2095295	0.2596599	0.7544867	0.0786465	0.8441998	0.1520135	0.4116046	0.4990753	0.0188454	0.7128956	0.3042317	0.2773102	0.9989089	0.1951044	0.3210902	0.7931384	1.0000000	0.5106191	0.9036887	0.1516151	0.6162767	0.1355596	0.9953804	0.8392867	0.7596142	0.6493064	0.9987484	0.4210635	0.8201489	0.6405439	0.9687131	0.5642373	0.1070332	0.6577480	0.3799499	0.8377962	0.0282647	0.9671002	0.2998300	0.2591673	0.0635716	0.2395994	0.9990134	0.0382606	0.8301740	0.5784031	0.1745910	0.9983966	0.3056264	0.9728151	0.8214781	0.8580064	0.0876212	0.6839534	0.7077899	0.3366329	0.2172452	0.9248920	0.4137747	0.3877437	0.7900337	1.0000000	0.0898167	0.8525843	0.9999449	0.8872219	0.5969879	0.0134276	0.0681587	0.0087086	0.7417601	0.3116194	0.9145001	0.1102481	0.0057717	0.9260068
0.5137499	0.0604481	0.1779513	0.0000000	0.5251294	1.0000000	1.0000000	0.9993891	0.5321816	1.0000000	0.5917094	0.8806377	0.9940504	0.0001268	0.6478023	0.9397251	0.8060231	0.0162681	0.1606816	0.2684552	0.4427524	0.0576308	0.7326220	0.9999766	0.3830104	0.2542626	0.7473781	0.2154847	0.8433037	0.1494048	0.3914646	0.5209172	0.0188502	0.6620715	0.2982406	0.6529824	0.9676383	0.4782535	0.3177190	0.3131552	0.1578463	0.4520568	0.9036178	0.1609322	0.6236188	0.1243206	0.9952516	0.8392867	0.7500408	0.6377315	0.9985011	0.4132197	0.8169766	0.6167138	0.9693171	0.6045005	0.1047706	0.6411812	0.3853413	0.8377962	0.0287040	0.9671002	0.2875814	0.2566267	0.0668478	0.2363707	0.9991701	0.0460222	0.8415887	0.5423684	0.1881716	0.9983219	0.2940807	0.9745311	0.8071987	0.8579649	0.0839094	0.6938160	0.6870155	0.3286495	0.2205949	0.9310735	0.4018922	0.3759917	0.7974276	0.9505163	0.0898254	0.8565355	0.3745072	0.8961056	0.5916942	0.0134267	0.0681587	0.0087086	0.7199117	0.3187966	0.9072319	0.9995280	0.0291016	0.9190513
0.7063821	0.0676476	0.6920732	0.3367941	0.0000000	1.0000000	1.0000000	0.9993891	0.0632323	1.0000000	0.1206956	0.9861251	0.8533260	0.0000001	0.4072985	0.2641420	0.7514564	0.0192404	0.0883771	0.3237001	0.6148192	0.2738125	0.6847649	0.9951423	0.9252180	0.6305612	0.6475273	0.8284453	0.8354415	0.0992876	0.2088205	0.6719132	1.0000000	0.1825599	0.1778856	0.6660917	0.3662776	0.5259158	0.1551672	0.2856855	0.1566100	0.2787692	0.8744624	0.3847798	0.6531324	0.0768069	0.9907662	0.8392867	0.5932738	0.4925497	0.0847923	0.2412306	0.7923846	0.2983992	1.0000000	0.9927837	0.0781116	0.4071997	0.4508919	0.8377962	0.2518905	0.9671002	0.1614447	0.2212392	0.1221540	0.1930627	0.9999136	0.0382606	0.9415184	0.5487948	1.0000000	0.0064173	0.1738017	1.0000000	0.6451806	0.3693897	0.0559431	0.9999586	0.2887278	0.0285544	0.3507501	1.0000000	0.0714548	0.1129295	0.8596407	0.5998377	0.4305507	0.9930613	0.2248896	1.0000000	0.5013427	0.0134187	0.0681587	0.0087086	0.0462798	0.4211473	0.0403717	0.9999956	0.9544620	0.7636461
0.5137499	0.4963093	0.1779513	0.2908704	0.5251295	0.0000000	1.0000000	0.9993891	0.5321818	1.0000000	0.4400625	0.8806377	0.9940504	0.0001268	0.6478023	0.9397252	0.8060232	0.3382475	0.1606816	0.2684552	0.4427523	0.0576308	0.7326220	0.9999766	0.3830102	0.2542626	0.7473781	0.2154846	0.8433037	0.1494048	0.3914647	0.5209172	0.0188502	0.6620715	0.2982406	0.6529823	0.9676384	0.4782535	0.3177190	0.3131553	0.1578463	0.4520569	0.9036178	0.1609322	0.3252990	0.1243206	0.6237200	0.8392867	0.7500408	0.6377316	0.9985011	0.4132197	0.8169766	0.6167138	0.9693171	0.6045003	0.1047706	0.6411812	0.0459757	0.8377962	0.0287040	0.9671002	0.2875814	0.2566267	0.2112042	0.2363707	0.9991701	0.0460222	0.8415887	0.4337979	0.1881715	0.9983219	0.5714434	0.9745311	0.7417348	0.8579649	0.0839094	0.6938160	0.6870156	0.0285576	0.2205949	0.9310734	0.4018923	0.3759918	0.7974276	0.9505163	0.0898254	0.8565355	0.3745073	0.8961056	0.5916942	0.0134267	0.9999944	0.0087086	0.7199118	0.3187966	0.9072319	0.9995280	0.0291016	0.9190513
0.1642711	0.0604481	0.5363455	0.2986253	0.0137769	1.0000000	0.0000000	0.0139721	0.0632402	1.0000000	0.2394858	0.6250508	0.9999941	0.2869302	0.5094821	0.4409750	0.6766223	0.0025567	0.0883771	0.9956343	0.4738407	0.0515951	0.7552438	0.9991359	0.0286733	0.3457508	0.9978800	0.3683154	0.0561638	0.7746238	0.9934449	0.0528499	1.0000000	0.1295918	0.3443633	0.4289621	0.1352196	0.0125688	0.0209375	0.0007486	0.9999010	0.0150586	0.8010791	0.3970621	0.4315948	0.3229502	0.9991635	0.0438948	0.5148120	1.0000000	0.0847923	1.0000000	0.9671002	0.0495867	0.9999954	0.0919635	0.7991476	0.0226455	0.1548414	0.9978183	0.0282730	0.9999999	0.0286979	0.9765918	0.0119573	0.9206777	1.0000000	0.0382664	0.7568484	0.5464207	1.0000000	0.0064161	0.5610678	0.9999627	0.9993896	0.0712158	0.0559431	0.0730079	0.6049446	0.0360249	0.0171516	0.9999998	0.0723710	0.5707717	0.5311398	0.7069423	0.9982961	0.6328567	0.0132063	0.9999999	0.5013592	0.9999999	0.9897814	1.0000000	0.0463066	0.1028427	0.0414457	0.9999895	0.8549087	0.9991091
0.5137499	0.0604481	0.1779513	0.5742357	0.5251295	1.0000000	1.0000000	0.0000000	0.5321818	1.0000000	0.1112992	0.4867528	0.9999077	0.1792780	0.7167513	0.3822118	0.8616600	0.0002131	0.0883771	0.8304879	0.4428360	0.0515943	0.7284400	0.9996754	0.2278059	0.8150436	0.9908947	0.2154846	0.8299750	0.1494048	0.3914647	0.0491199	0.9999996	0.6067373	0.7235118	0.2703231	0.9676384	0.4782535	0.0006487	0.0129008	1.0000000	0.4520569	0.8005665	0.1609322	0.3950199	0.6767626	0.9952516	0.0438953	0.3977482	0.6377316	0.9985011	0.4132197	0.8169766	0.6167138	0.9693171	0.6045003	0.1047706	0.6411812	0.3853412	0.9999992	0.0287040	0.0030916	0.2875814	0.2566267	0.0668478	0.2363707	0.9991701	0.0460222	0.8415887	0.5964126	0.1881715	0.9983219	0.2940807	0.9745311	0.8071987	0.8579649	0.0839094	0.6938160	0.6870156	0.3286496	0.2205949	0.9310734	0.4018923	0.3759918	0.7974276	0.9505163	0.0898254	0.1047210	0.0795675	0.9999997	0.5916942	0.0134267	0.9999851	0.0087086	0.7199118	0.3187966	0.9072319	0.9995280	0.0291016	0.9190513
0.5137500	0.0605448	0.1779514	0.5742357	0.5251293	1.0000000	1.0000000	0.9993891	0.0000008	1.0000000	0.1060752	0.8806378	0.9940504	0.0001268	0.6478022	0.9397251	0.8060231	0.0162681	0.1606817	0.2684552	0.4427524	0.0576308	0.7326220	0.9999766	0.3830108	0.2542626	0.7473781	0.2154850	0.8433037	0.1494048	0.3914646	0.5209172	0.0188502	0.6620714	0.2982406	0.6529828	0.9676383	0.4782536	0.3177190	0.3131552	0.1578463	0.4520567	0.9036178	0.1609322	0.6236189	0.1243206	0.9952274	0.8392867	0.7500407	0.6377314	0.9985011	0.4132196	0.8169766	0.6167136	0.9693171	0.6045011	0.1047706	0.6411811	0.3853413	0.8377962	0.0287040	0.9671002	0.2875813	0.2566267	0.0668478	0.2363707	0.9991701	0.0460222	0.8415888	0.5964102	0.1881718	0.9983219	0.2940806	0.9745311	0.8071986	0.8579649	0.0839093	0.6938161	0.6870152	0.3286494	0.2205948	0.9310736	0.4018921	0.3759915	0.7974277	0.9505162	0.0898254	0.8565356	0.3745070	0.8961057	0.5916941	0.0134267	0.0681587	0.0087086	0.7199114	0.3187967	0.9072318	0.9995280	0.0291017	0.9190513
0.5137499	0.0606079	0.1779513	0.9628803	0.5251295	1.0000000	1.0000000	0.9993891	0.0632323	0.0000001	0.0683368	0.4867528	0.4399441	0.0001279	0.9169227	0.9397252	0.8060232	0.0162681	0.1606816	0.3613222	0.1319846	0.0577589	0.2426804	0.9999142	0.3830102	0.2542626	0.3833343	0.2154846	0.8433037	0.1494048	0.3914647	0.5209172	0.0188502	0.6620715	0.2982406	0.6529823	0.9676384	0.4782535	0.3177190	0.7006021	1.0000000	0.4520569	0.5423716	0.4198818	0.6236188	0.1243206	0.9952116	0.8392867	0.7500408	0.6377316	0.9985011	0.4132197	0.8169766	0.6167138	0.9693171	0.6045003	0.1047706	0.6411812	0.3853412	0.8377962	0.0287040	0.9671002	0.2875814	0.2566267	0.0668478	0.2363707	0.9991701	0.0460222	0.8415887	0.7858051	0.1881715	0.9983219	0.2940807	0.9745311	0.8071987	0.8579649	0.0839094	0.6938160	0.6870156	0.3286496	0.2205949	0.9068232	0.0714548	0.3759918	0.7974276	1.0000000	0.0898254	0.8565355	0.3745073	0.8961056	0.2382775	0.0134267	0.0681587	0.0087086	0.7199118	0.3187966	0.9072319	0.9995280	0.0291016	0.9190513
0.5137500	0.0605448	0.1779514	0.5742357	0.5251293	1.0000000	1.0000000	0.9993891	0.5321812	1.0000000	0.0000028	0.8806378	0.9940504	0.0001268	0.6478022	0.9397251	0.8060231	0.0162681	0.1606817	0.2684552	0.4427524	0.0576308	0.7326220	0.9999766	0.3830108	0.2542626	0.7473781	0.2154850	0.8433037	0.1494048	0.3914646	0.5209172	0.0188502	0.6620714	0.2982406	0.6529828	0.9676383	0.4782536	0.3177190	0.3131552	0.1578463	0.4520567	0.9036178	0.1609322	0.6236189	0.1243206	0.9952274	0.8392867	0.7500407	0.6377314	0.9985011	0.4132196	0.8169766	0.6167136	0.9693171	0.6045011	0.1047706	0.6411811	0.3853413	0.8377962	0.0287040	0.9671002	0.2875813	0.2566267	0.0668478	0.2363707	0.9991701	0.0460222	0.8415888	0.5964102	0.1881718	0.9983219	0.2940806	0.9745311	0.8071986	0.8579649	0.0839093	0.6938161	0.6870152	0.3286494	0.2205948	0.9310736	0.4018921	0.3759915	0.7974277	0.9505162	0.0898254	0.8565356	0.3745070	0.8961057	0.5916941	0.0134267	0.0681587	0.0087086	0.7199114	0.3187967	0.9072318	0.9995280	0.0291017	0.9190513
0.5137499	0.0605448	0.1779514	0.5742357	0.5251294	1.0000000	1.0000000	0.9993891	0.5321815	1.0000000	0.1060752	0.0000003	0.9940504	0.0001268	0.6478022	0.9397251	0.8060231	0.0162681	0.1606817	0.2684552	0.4427524	0.0576308	0.7326220	0.9999766	0.3830105	0.2542626	0.7473781	0.2154848	0.8433037	0.1494048	0.3914646	0.5209172	0.0188502	0.6620714	0.2982406	0.6529826	0.9676383	0.4782536	0.3177190	0.3131552	0.1578463	0.4520568	0.9036178	0.1609322	0.6236189	0.1243206	0.9952274	0.8392867	0.7500407	0.6377315	0.9985011	0.4132196	0.8169766	0.6167137	0.9693171	0.6045007	0.1047706	0.6411812	0.3853413	0.8377962	0.0287040	0.9671002	0.2875814	0.2566267	0.0668478	0.2363707	0.9991701	0.0460222	0.8415888	0.5964101	0.1881717	0.9983219	0.2940807	0.9745311	0.8071987	0.8579649	0.0839094	0.6938161	0.6870154	0.3286495	0.2205949	0.9310735	0.4018921	0.3759916	0.7974277	0.9505162	0.0898254	0.8565356	0.3745071	0.8961057	0.5916942	0.0134267	0.0681587	0.0087086	0.7199116	0.3187966	0.9072319	0.9995280	0.0291016	0.9190513
0.5137500	0.0605448	0.1779514	0.5742357	0.5251293	1.0000000	1.0000000	0.9993891	0.5321812	1.0000000	0.1060752	0.8806378	0.0000002	0.0001268	0.6478022	0.9397251	0.8060231	0.0162681	0.1606817	0.2684552	0.4427524	0.0576308	0.7326220	0.9999766	0.3830108	0.2542626	0.7473781	0.2154850	0.8433037	0.1494048	0.3914646	0.5209172	0.0188502	0.6620714	0.2982406	0.6529828	0.9676383	0.4782536	0.3177190	0.3131552	0.1578463	0.4520567	0.9036178	0.1609322	0.6236189	0.1243206	0.9952274	0.8392867	0.7500407	0.6377314	0.9985011	0.4132196	0.8169766	0.6167136	0.9693171	0.6045011	0.1047706	0.6411811	0.3853413	0.8377962	0.0287040	0.9671002	0.2875813	0.2566267	0.0668478	0.2363707	0.9991701	0.0460222	0.8415888	0.5964102	0.1881718	0.9983219	0.2940806	0.9745311	0.8071986	0.8579649	0.0839093	0.6938161	0.6870152	0.3286494	0.2205948	0.9310736	0.4018921	0.3759915	0.7974277	0.9505162	0.0898254	0.8565356	0.3745070	0.8961057	0.5916941	0.0134267	0.0681587	0.0087086	0.7199114	0.3187967	0.9072318	0.9995280	0.0291017	0.9190513
