G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.4702104	0.4640523	0.6505086	0.0373912	0.5907835	0.2071995	0.7071575	0.3374491	0.6221982	0.5577674	0.5527213	0.5375977	0.2493248	0.0682960	0.5875986	0.2010221	0.0505859	0.0383357	0.0527311	0.0053564	0.2076035	0.3845273	0.6865872	0.6267778	0.1872284	0.7229916	0.6239370	0.7532750	0.5953626	0.0208863	0.1454832	0.3027453	0.6144613	0.6685223	0.7408711	0.7559281	0.2012511	0.0293370	0.6149137	0.5791988	0.2170705	0.4933073	0.6544907	0.1413486	0.0003761	0.0374535	0.5347497	0.3276331	0.6464342	0.7224402	0.0087142	0.5813652	0.2878421	0.5689698	0.6557644	0.0117262	0.0348423	0.0189290	0.5373272	0.1677481	0.4011369	0.7246797	0.1647884	0.3380083	0.3880512	0.5447262	0.5705666	0.0373145	0.6809792	0.6228197	0.1236279	0.1365541	0.1904540	0.3544700	0.5863235	0.4741206	0.2454649	0.6375930	0.5748487	0.4396365	0.0239993	0.1607318	0.2439976	0.0083635	0.5646118	0.3135257	0.6888199	0.0153747	0.0006983	0.6874166	0.2911119	0.6498008	0.0140506	0.0871118	0.6237523	0.1476702	0.5125329	0.0124116	0.0088092
0.6738988	0.0000000	0.4521069	0.6100014	0.0542512	0.6758669	0.2144712	0.6490785	0.3465445	0.6545582	0.6633875	0.0368560	0.5817001	0.2294105	0.0581162	0.0512082	0.2946356	0.0487367	0.2488734	0.4261840	0.4274974	0.1207884	0.4531944	0.7327299	0.4178073	0.5054633	0.3540879	0.5740263	0.0730860	0.6575819	0.3870746	0.1461006	0.3920703	0.5670537	0.5947186	0.0418199	0.5144182	0.2277147	0.0417735	0.5825767	0.1811439	0.3322276	0.0498710	0.5600950	0.1815423	0.6899791	0.6688022	0.2245387	0.3554473	0.6158457	0.6316869	0.5082853	0.7672342	0.2983747	0.0607475	0.3947617	0.3907819	0.0161260	0.0153971	0.2325515	0.2661042	0.3137621	0.2948705	0.1175824	0.6923740	0.3237488	0.4545102	0.6621601	0.3960062	0.0283291	0.5885591	0.1366446	0.1456450	0.2646611	0.2659769	0.6507572	0.5364237	0.3091208	0.0390781	0.6630893	0.4424121	0.0446165	0.1778431	0.1892323	0.6040462	0.4433282	0.2731246	0.0256429	0.0121015	0.0039932	0.2194834	0.1879617	0.2263152	0.4352413	0.0680895	0.5979062	0.1240093	0.5645730	0.5115982	0.0038762
0.6735555	0.4223913	0.0000000	0.5931929	0.1033306	0.6782609	0.2469130	0.5682092	0.2495450	0.7794241	0.5550755	0.0367299	0.6013978	0.1802448	0.0301464	0.0357707	0.2919752	0.0532694	0.2618800	0.3904542	0.3579106	0.0480857	0.4410645	0.5012307	0.4053227	0.1899299	0.3107634	0.7082865	0.0952503	0.5922344	0.5185840	0.1414818	0.3964274	0.5324767	0.5730648	0.0450090	0.5347088	0.1025651	0.0507521	0.5393714	0.3301814	0.2889133	0.4902595	0.7233669	0.1327384	0.7389375	0.6937314	0.1512441	0.3324696	0.7641289	0.6309214	0.5705971	0.6418831	0.2436168	0.0664851	0.3152141	0.4252340	0.0367737	0.0256671	0.2719764	0.2171920	0.3761827	0.2210540	0.1742186	0.3154890	0.3997328	0.4162420	0.5813513	0.4542693	0.0756934	0.5847309	0.1242085	0.1423064	0.1755281	0.2732565	0.5955524	0.5859294	0.2617296	0.0422951	0.5218143	0.3038236	0.0501869	0.2532189	0.2868952	0.5468816	0.2729874	0.3069955	0.0293005	0.0117500	0.0010282	0.2037167	0.1873179	0.2905015	0.4895724	0.0573679	0.7732542	0.1167422	0.7540336	0.4521492	0.0090719
0.6153563	0.0841813	0.4509023	0.0000000	0.0487921	0.6069656	0.2530519	0.7480112	0.3331554	0.6201699	0.5488711	0.0544185	0.0359877	0.2876526	0.0302260	0.0401555	0.3680797	0.5914697	0.3451077	0.3937420	0.3557029	0.1249360	0.3225537	0.5408109	0.4390526	0.0162338	0.3288907	0.0576304	0.0664975	0.6730637	0.4331662	0.1615303	0.6370719	0.5418694	0.6228230	0.0311990	0.5620500	0.2730910	0.0381920	0.6234563	0.2637153	0.7238450	0.0589195	0.6526047	0.2091668	0.5197586	0.6221203	0.1879917	0.0171033	0.6608396	0.5056192	0.4947270	0.6290546	0.3001487	0.0411489	0.3301766	0.3713064	0.0158432	0.5863032	0.2132449	0.2712511	0.0334432	0.2289137	0.1693441	0.6328096	0.2843789	0.6549321	0.7085295	0.3917742	0.0355744	0.7226182	0.1034202	0.1496577	0.2647118	0.3140724	0.5861389	0.5516237	0.2986927	0.0411302	0.6821423	0.3829982	0.0429592	0.7443979	0.2081378	0.4893024	0.4071276	0.3441848	0.0479240	0.0174702	0.0007089	0.2128918	0.1741382	0.3122494	0.4489327	0.0609609	0.5937323	0.1420242	0.5149160	0.2859135	0.6970640
0.6738172	0.5059542	0.3997115	0.6869452	0.0000000	0.6806052	0.2109517	0.5857032	0.2860459	0.6527487	0.6103971	0.0295116	0.4336967	0.1582746	0.0561217	0.0339433	0.3186519	0.0404955	0.2591747	0.4748935	0.4361108	0.2293161	0.4460199	0.6385302	0.5027565	0.1819052	0.4344609	0.5685337	0.0409084	0.5529866	0.4625088	0.1666037	0.3537079	0.5177942	0.5824987	0.0225650	0.6549381	0.0799370	0.0542454	0.5399086	0.2626994	0.3644030	0.6447627	0.6597279	0.1806800	0.5345112	0.7826928	0.1601168	0.3321405	0.6556597	0.6511884	0.6109619	0.5337459	0.2481066	0.0539257	0.3389407	0.3600506	0.0201918	0.0225308	0.2877002	0.2646587	0.3863527	0.3368953	0.2102121	0.2885070	0.4594441	0.4661850	0.7650844	0.4448671	0.0606837	0.7208081	0.0716907	0.1063827	0.1877970	0.2453522	0.6360336	0.5740370	0.3962529	0.0260390	0.7688910	0.3674618	0.0472637	0.1575135	0.2558232	0.6118751	0.3081675	0.4130800	0.0637313	0.0096508	0.0016036	0.2295872	0.2193136	0.2080199	0.5896996	0.0866898	0.6679051	0.0721406	0.7876269	0.3355138	0.0086886
0.6033194	0.0253739	0.0408293	0.7195384	0.3691454	0.0000000	0.7266058	0.6835355	0.6844799	0.4013341	0.4531606	0.0525768	0.5437862	0.0170257	0.4284965	0.0324079	0.5305496	0.0277148	0.2398501	0.3162500	0.5327035	0.0664220	0.2015375	0.7250695	0.1805906	0.5517789	0.3202075	0.5739221	0.1141073	0.5857672	0.2946023	0.0002704	0.7716347	0.3377551	0.5189508	0.0250750	0.5955418	0.5306274	0.0566791	0.3312211	0.2005004	0.2523409	0.0442904	0.5290235	0.3761745	0.5585481	0.6170701	0.1559765	0.3429845	0.3689471	0.6305515	0.4931229	0.6529902	0.4525829	0.0606176	0.3612501	0.4153928	0.0320204	0.0207757	0.2472510	0.5215684	0.3101319	0.1985580	0.3265792	0.5860187	0.2479951	0.5101712	0.4084470	0.3758396	0.0668652	0.3797329	0.5198975	0.4187817	0.4062316	0.0968094	0.6157183	0.0265178	0.4030923	0.0510462	0.6913799	0.5533128	0.1483746	0.1729449	0.1916442	0.4639510	0.3275527	0.0012960	0.0491114	0.0467015	0.6260619	0.1130248	0.1407843	0.2332591	0.5618915	0.1186208	0.6722096	0.5775802	0.2229731	0.3651695	0.0110608
0.7364685	0.5020932	0.4571606	0.6644754	0.0235942	0.5829203	0.0000000	0.6917713	0.2539781	0.6035001	0.5775322	0.0910497	0.5381059	0.6240862	0.0597197	0.0234458	0.2633534	0.0383938	0.5396530	0.3823304	0.3856607	0.1815348	0.4486068	0.7214768	0.4894853	0.1382751	0.3462112	0.5927348	0.0442233	0.5406710	0.3383559	0.2488271	0.2674648	0.5748399	0.6091189	0.0252765	0.5525395	0.5469636	0.0459429	0.5161558	0.2969622	0.3167220	0.6368945	0.6132434	0.1964654	0.5274503	0.5894393	0.1700272	0.3628237	0.6044743	0.6085778	0.4893606	0.6305185	0.2637996	0.0432986	0.4131096	0.3554565	0.0136301	0.0129036	0.2026548	0.2334303	0.2771459	0.2810891	0.0077417	0.3657798	0.3436993	0.4474113	0.7116937	0.3786675	0.0465569	0.5366943	0.0952654	0.1088828	0.2827268	0.3234810	0.6460726	0.5105636	0.2545699	0.0402352	0.4980626	0.5578732	0.0316468	0.2214985	0.3373387	0.5292851	0.4152317	0.3721746	0.0412933	0.0094458	0.0014717	0.2273018	0.1791581	0.3192738	0.4836348	0.0724610	0.6006018	0.1200361	0.5900446	0.5450512	0.0151620
0.5721494	0.4992154	0.4838704	0.6021807	0.0578786	0.5671545	0.1870440	0.0000000	0.3755522	0.6119367	0.5508814	0.0436341	0.6262620	0.1856297	0.0317846	0.0773769	0.3118946	0.0146623	0.2633214	0.3229229	0.4199982	0.1876403	0.2921853	0.6096237	0.4733917	0.0623475	0.4144674	0.6585426	0.0711596	0.5742897	0.3745156	0.4317662	0.4234741	0.4789690	0.6116204	0.0246700	0.7142137	0.1567309	0.0264605	0.4319294	0.2647871	0.2285524	0.5346185	0.6167114	0.2164373	0.6119949	0.7448174	0.1537736	0.3309316	0.6174000	0.5123505	0.4666782	0.6484974	0.2978554	0.0516072	0.3641878	0.3708816	0.6310233	0.0185580	0.2390666	0.2402165	0.3363799	0.2417323	0.1929026	0.1895073	0.3714023	0.0739014	0.6572515	0.3480316	0.0425539	0.5630432	0.0928925	0.1164828	0.0766889	0.5200619	0.6247195	0.5767685	0.4037240	0.0374167	0.5771754	0.4234413	0.0239423	0.1565479	0.4021453	0.5856053	0.0052534	0.3450583	0.0510015	0.0125069	0.0007164	0.2095648	0.6419519	0.2556479	0.5176409	0.0811672	0.6455763	0.1547813	0.6301274	0.3938598	0.0029161
0.6344631	0.3330806	0.5359329	0.6908883	0.1041075	0.6020300	0.2889243	0.5275830	0.0000000	0.6530675	0.6756925	0.0376650	0.5939386	0.1449638	0.0393188	0.0401986	0.2455462	0.0351551	0.2642551	0.3767930	0.3674598	0.2356881	0.3592202	0.6498840	0.5712021	0.1677619	0.3819584	0.5710985	0.0829317	0.6356456	0.3253010	0.1445423	0.3087200	0.4810651	0.5571011	0.0261838	0.0126614	0.2322700	0.0486026	0.5123309	0.1956929	0.2705317	0.5936176	0.6027547	0.1759950	0.5693049	0.6552081	0.2127097	0.3022685	0.6221355	0.6430091	0.4864921	0.6246698	0.3217496	0.0546193	0.4175581	0.4436211	0.0223787	0.0188248	0.1948693	0.2167885	0.4145553	0.2449634	0.1757023	0.3865883	0.3396795	0.4191358	0.7856948	0.3793405	0.0640618	0.5255317	0.0765776	0.1210565	0.1958751	0.3269361	0.6192310	0.5970034	0.3199371	0.0459475	0.5774700	0.4196291	0.0375269	0.2372008	0.3646095	0.6778106	0.3119655	0.3596033	0.0446277	0.0267742	0.0028338	0.1754354	0.2544680	0.3055275	0.4166884	0.0370824	0.5708280	0.1268748	0.6938892	0.2889229	0.0073439
0.6735217	0.4030679	0.4407375	0.6013516	0.0454890	0.5461171	0.2969696	0.5642984	0.3329484	0.0000000	0.0696228	0.0501334	0.6691115	0.1936781	0.5673849	0.0341510	0.6357486	0.0528892	0.2498277	0.4199859	0.3912029	0.1867469	0.0834521	0.7131728	0.4795088	0.1752232	0.2910100	0.7362906	0.0949400	0.7013075	0.3438917	0.1663142	0.3142852	0.0123405	0.0264444	0.0602902	0.4991579	0.2678369	0.0407053	0.0190440	0.3052497	0.2601839	0.6059139	0.6126540	0.6031814	0.6757303	0.6308476	0.1227795	0.3108062	0.6989202	0.1508079	0.7077090	0.6503503	0.6637399	0.0789277	0.2950724	0.4526910	0.0083191	0.0701891	0.2978170	0.5419468	0.3649329	0.1939266	0.1676130	0.3267116	0.0127262	0.4512673	0.5589710	0.3091145	0.0315993	0.6780091	0.0820330	0.6023298	0.3015395	0.3087811	0.7324529	0.5528515	0.6038039	0.0220393	0.6211878	0.6684869	0.0544229	0.2046473	0.4572691	0.4834458	0.3744001	0.3774947	0.0722705	0.5710376	0.0018594	0.2161011	0.1896197	0.2540788	0.5050237	0.6414999	0.0867889	0.1499210	0.5875160	0.3373565	0.0054489
