G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.3296880	0.6655142	0.5685424	0.3193526	0.6328265	0.3709730	0.2929032	0.6985536	0.8104570	0.0783420	0.4297170	0.6807174	0.5596711	0.4751129	0.0124311	0.3832428	0.5096897	0.0039150	0.3724252	0.2542164	0.1054445	0.2122080	0.5540977	0.6324642	0.0555410	0.3977807	0.3782921	0.5930129	0.4344588	0.6550463	0.4534927	0.6841825	0.3604687	0.5828895	0.0375050	0.1268141	0.8179856	0.0054216	0.4881319	0.7073465	0.0695894	0.2894574	0.4038988	0.0312027	0.2959265	0.0220327	0.7875369	0.4873520	0.4318898	0.7089274	0.5997708	0.4710512	0.6801621	0.5653537	0.0986074	0.4044641	0.3637481	0.0061216	0.0828958	0.2985036	0.4384769	0.7215007	0.7139368	0.1942787	0.5677143	0.7628899	0.2308510	0.5700337	0.4694763	0.3364826	0.3751941	0.4348646	0.3623385	0.6357838	0.1980112	0.7457286	0.7739433	0.4002543	0.1431278	0.8262062	0.5888809	0.1990357	0.6123876	0.4320413	0.1718603	0.6307015	0.4560527	0.0199021	0.3870332	0.7383059	0.2462376	0.8038121	0.3532668	0.0270404	0.6456040	0.4410960	0.6966366	0.5190479	0.4424876	0.5308389
0.5468375	0.4183792	0.4429346	0.3197064	0.5922876	0.6198336	0.3136932	0.8128295	0.7677298	0.1259283	0.3639259	0.5348296	0.4781486	0.6552163	0.0208609	0.1526474	0.6647769	0.0084737	0.0602149	0.2436351	0.1278229	0.4332240	0.5806412	0.5899780	0.2785897	0.3764431	0.1371071	0.6707634	0.4853905	0.7354316	0.4922723	0.7295554	0.6000602	0.4549523	0.3656763	0.2720789	0.5763989	0.0660622	0.4019294	0.5428688	0.0524714	0.6388543	0.1117964	0.0505025	0.3247656	0.0129343	0.6953332	0.8201107	0.4612363	0.3880022	0.2185836	0.3977102	0.6377432	0.5577307	0.1400723	0.1742459	0.5249906	0.0016218	0.0268006	0.2435311	0.4945680	0.5302370	0.5996059	0.2498814	0.6053622	0.6500685	0.6873586	0.7095699	0.5110507	0.1209636	0.4246190	0.6142325	0.3759514	0.6188983	0.4004060	0.7792474	0.6693389	0.2496522	0.1635590	0.5165214	0.4348514	0.4569782	0.4356068	0.5299172	0.2995749	0.6530790	0.1991186	0.0042137	0.1795944	0.7584276	0.1910197	0.4041515	0.2878137	0.0301336	0.3518959	0.5959107	0.5365016	0.4631273	0.6122190	0.4958825
0.6232702	0.7711155	0.1998505	0.2828697	0.5572077	0.6870406	0.3174287	0.9081539	0.6595542	0.0919083	0.3362027	0.6914635	0.7140253	0.6842234	0.0048169	0.2027113	0.5389605	0.0209094	0.5199810	0.3268895	0.2410142	0.5426728	0.6047027	0.6190855	0.2917074	0.6433499	0.6153916	0.5169886	0.3926229	0.6294145	0.4982440	0.7297831	0.4373853	0.5255553	0.1229859	0.3653085	0.7315006	0.0048898	0.3674548	0.4287623	0.0123061	0.5020845	0.1869577	0.0311261	0.2700975	0.0244697	0.7310245	0.5993520	0.5501687	0.5281868	0.2795892	0.4086744	0.7477398	0.7985620	0.2448536	0.1736307	0.3445686	0.0005864	0.0548371	0.1813613	0.3239496	0.5499449	0.7377920	0.3223214	0.6005908	0.8004041	0.6367827	0.7293806	0.4655808	0.1050993	0.3716006	0.6525694	0.3649126	0.6339182	0.3150902	0.7067959	0.6426026	0.3624426	0.1868062	0.7383452	0.4836527	0.6864751	0.4577610	0.5555488	0.3504242	0.7556194	0.2900797	0.0171896	0.1433677	0.7064678	0.2203997	0.4968840	0.4571763	0.0275315	0.3907487	0.3893551	0.4655411	0.5461976	0.6273179	0.5056187
0.4582191	0.6911810	0.4096050	0.1368087	0.6028674	0.7362875	0.2842387	0.8138770	0.7502364	0.0872870	0.3316953	0.7726175	0.6888023	0.6792964	0.0148021	0.1806473	0.6592495	0.0075162	0.5523277	0.2518129	0.0747887	0.3437738	0.5684565	0.5079209	0.1129890	0.4147277	0.4499811	0.6489678	0.3931400	0.6267033	0.3449556	0.7433315	0.4083287	0.4889047	0.2240493	0.3053395	0.6642306	0.0172384	0.2692242	0.3749505	0.0595426	0.5949507	0.1737325	0.0366435	0.2311292	0.0106720	0.6380615	0.4686189	0.4955279	0.3575861	0.2360857	0.3470690	0.8374501	0.6941900	0.0834078	0.1313836	0.3813919	0.0006775	0.0659271	0.2177497	0.3665864	0.5364322	0.7431643	0.1837515	0.5789512	0.6795921	0.4996915	0.8402735	0.4380182	0.0937783	0.4285910	0.5418111	0.4836575	0.7717996	0.2893408	0.6674690	0.7286923	0.3435611	0.2362989	0.6375911	0.4835102	0.4660357	0.5167092	0.4626510	0.3489917	0.7133263	0.3523646	0.0302535	0.2030651	0.7761538	0.2717912	0.3910443	0.2601087	0.0282079	0.5172864	0.4327419	0.5249248	0.4919715	0.7181419	0.4323389
0.4134548	0.7104649	0.3745485	0.2188673	0.2599302	0.6783143	0.2820814	0.7755650	0.7799138	0.0744931	0.2587672	0.8415958	0.5969744	0.5111813	0.0017036	0.1449230	0.7049722	0.0042351	0.5186843	0.1700399	0.1003716	0.6279865	0.7175864	0.6192097	0.7676677	0.3444742	0.4526094	0.6627908	0.4732855	0.6112138	0.6905674	0.6545695	0.6874058	0.5331714	0.3010216	0.2423830	0.7210329	0.0597316	0.2199870	0.4566488	0.0384090	0.5206840	0.1977846	0.0424257	0.3340426	0.0159548	0.6787190	0.5909560	0.6010896	0.4346003	0.2122469	0.2612467	0.8048396	0.5930244	0.1224903	0.0454385	0.3854980	0.0003172	0.0470444	0.1908370	0.5735605	0.6708582	0.4552494	0.2352964	0.6232680	0.7168182	0.5371606	0.5995975	0.1062855	0.2005344	0.4323647	0.7454103	0.2741387	0.6133690	0.5730359	0.4822287	0.7119536	0.2007570	0.1515808	0.6342105	0.1483777	0.4497899	0.6380225	0.5333945	0.1889457	0.7241033	0.0841133	0.0243998	0.1645486	0.8766883	0.1401432	0.4324850	0.2904629	0.0257969	0.3873477	0.4368304	0.4125871	0.4885569	0.4358524	0.5542427
0.4965754	0.8206579	0.3528165	0.3473568	0.6282707	0.3526924	0.2215272	0.6677387	0.7045513	0.1123930	0.2679533	0.6920870	0.6842726	0.4909173	0.0036555	0.1598604	0.7387022	0.0090800	0.4751360	0.2929277	0.1415253	0.3468176	0.6680520	0.7094130	0.0987821	0.3985037	0.5572409	0.6765305	0.4163869	0.4895195	0.4349585	0.7661038	0.4771648	0.4693668	0.1516363	0.1704989	0.7194766	0.0007034	0.3345025	0.6294855	0.0433303	0.5192331	0.1129360	0.0120647	0.2914131	0.0357981	0.7636144	0.5733725	0.5136502	0.5608274	0.5785079	0.4223219	0.8104341	0.6008571	0.1646333	0.2516621	0.3881372	0.0063725	0.1430141	0.3114178	0.4613070	0.5916712	0.6277246	0.1774355	0.6836798	0.7071509	0.6204870	0.7501263	0.4559649	0.1043497	0.3831590	0.6703401	0.4290830	0.6541092	0.3227114	0.5610495	0.7511422	0.4658580	0.1992369	0.7720129	0.4922024	0.4430596	0.6175068	0.5693969	0.3021635	0.7621558	0.3211886	0.0121041	0.2546594	0.6718221	0.2934825	0.6254307	0.3353755	0.0329132	0.5909032	0.4220973	0.5622713	0.5080265	0.5414123	0.5524672
0.4686265	0.6768952	0.4061134	0.2473099	0.6310203	0.6103124	0.1230097	0.8305372	0.7039413	0.1645590	0.3326216	0.7015277	0.6561613	0.4911539	0.0154009	0.1668476	0.6385860	0.0107818	0.4666075	0.3981216	0.0913375	0.3619803	0.5619964	0.5916334	0.1521776	0.4724631	0.4283587	0.5996300	0.4039655	0.5076460	0.4337881	0.7338270	0.3907472	0.4184709	0.2152654	0.2066895	0.6840557	0.0085562	0.2943581	0.4646363	0.0172987	0.5005012	0.1565870	0.0272361	0.2555621	0.0231444	0.7013045	0.5590510	0.5162497	0.4371237	0.2007601	0.3542902	0.7537715	0.7719452	0.1395872	0.1937752	0.4223125	0.0006185	0.0410084	0.1784257	0.3983474	0.6281180	0.5911457	0.2295672	0.5861754	0.5995731	0.5781344	0.6611512	0.4348586	0.0602065	0.4922037	0.6787125	0.2775535	0.7227214	0.3698237	0.7445488	0.7330794	0.2962745	0.1459560	0.7173465	0.3575704	0.5103825	0.5711604	0.5484469	0.4248489	0.8000567	0.1833768	0.0155755	0.1465256	0.8886738	0.2007355	0.4185005	0.2084010	0.0529663	0.4069871	0.4413488	0.6901180	0.4643371	0.7201393	0.5525259
0.3759982	0.9022720	0.1831270	0.4395448	0.7405345	0.2984796	0.4174176	0.3690403	0.6617749	0.1580603	0.1475995	0.6301502	0.6993947	0.6175224	0.0134807	0.2707427	0.3388286	0.0823782	0.4925759	0.1725268	0.1102499	0.5307965	0.6786282	0.4881480	0.1991774	0.5373434	0.6207640	0.5413338	0.3172169	0.2816736	0.4191473	0.5905260	0.4350290	0.6970950	0.0478271	0.1856485	0.6592243	0.0172145	0.4204841	0.5519690	0.0272533	0.3761215	0.2331370	0.1109277	0.2549253	0.0263073	0.7888662	0.5664332	0.4016966	0.7041740	0.6539000	0.6591607	0.9554937	0.6773109	0.1354000	0.2589065	0.1399634	0.0087446	0.1393371	0.3836637	0.3749187	0.7271245	0.4704722	0.2913715	0.6540673	0.6575811	0.4235925	0.7007098	0.2187815	0.4370829	0.6084491	0.4213294	0.3689054	0.4308055	0.2712800	0.7178334	0.7322343	0.3991525	0.1069873	0.6373517	0.5098706	0.3537310	0.5360693	0.6108878	0.3027621	0.6763067	0.4256889	0.0259223	0.4084742	0.6534320	0.3321459	0.6951233	0.5353360	0.0311948	0.6876330	0.4204147	0.3428517	0.6771029	0.4904557	0.0331878
0.4564732	0.6502444	0.4959730	0.4040691	0.5945073	0.7399734	0.2389129	0.8024774	0.4249694	0.0878395	0.3677220	0.5977084	0.5131405	0.4761084	0.0054774	0.2038857	0.6749716	0.0038045	0.6009703	0.2629515	0.4669151	0.3139182	0.5580364	0.6235953	0.1137993	0.4812679	0.4670019	0.5345070	0.1844997	0.6128843	0.4056884	0.7866650	0.4061983	0.4262661	0.1489561	0.2801074	0.7524251	0.0039537	0.3794111	0.6299159	0.0255241	0.4762327	0.1590506	0.0216524	0.3718942	0.0086102	0.7287822	0.6107864	0.7376422	0.4042407	0.2383375	0.3836731	0.7533388	0.6779390	0.3996897	0.1804337	0.4547997	0.0048798	0.0338331	0.2035697	0.5077616	0.6030427	0.7121914	0.2531662	0.7341096	0.7918696	0.6329272	0.7807902	0.4501547	0.0872284	0.4175329	0.5662466	0.4846103	0.6204682	0.2780400	0.6092474	0.8377736	0.4570965	0.1517589	0.6625101	0.5517159	0.5019125	0.5662549	0.6136159	0.3897382	0.7074745	0.2825300	0.0105333	0.2127288	0.6496900	0.2088561	0.4676723	0.1680897	0.0243330	0.4122837	0.4549145	0.4777312	0.4952156	0.6382495	0.6063442
0.5275539	0.6368681	0.2801873	0.2626295	0.6232761	0.7834144	0.2908950	0.7629290	0.7103018	0.0488120	0.3262325	0.6304378	0.5868968	0.4474050	0.0079569	0.2040387	0.7034082	0.0315436	0.6487082	0.2512524	0.0738485	0.4509873	0.6877885	0.6484406	0.1458558	0.4345086	0.4867122	0.6305285	0.4319566	0.5768964	0.3615444	0.8392259	0.5009267	0.4095157	0.2312663	0.2202368	0.8212647	0.0027828	0.3138530	0.5269480	0.0504677	0.6982706	0.1705100	0.0489310	0.3168416	0.0132423	0.6958465	0.5339750	0.5781503	0.4384854	0.2789385	0.2860219	0.7355424	0.6290651	0.0971456	0.1356601	0.3342443	0.0050039	0.0383493	0.1932879	0.4006181	0.5038139	0.6843452	0.1648050	0.5399951	0.7570752	0.5344108	0.7954343	0.5108905	0.1251501	0.4763047	0.5430478	0.4946153	0.6539935	0.2207672	0.6579464	0.6931173	0.3774566	0.1160513	0.6352244	0.4740711	0.5186881	0.6012269	0.5536831	0.3759127	0.6695798	0.2769132	0.0286149	0.1752307	0.6162054	0.1862528	0.4646038	0.2574333	0.0554568	0.5157867	0.4730567	0.5082989	0.5207763	0.6433244	0.4712055
