G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.6817830	0.8497063	1.0000000	0.0946755	1.0000000	0.3723903	1.0000000	0.5090418	0.9992095	0.9725591	1.0000000	0.9508220	0.2806564	0.0579538	1.0000000	0.4353770	0.0611969	0.0392968	0.0539972	0.0208108	0.4640570	0.6070164	0.9797780	1.0000000	0.2293143	1.0000000	0.9893783	0.9999995	0.9917296	0.0396745	0.2767249	0.5256654	0.8740231	0.9789512	0.9999999	0.9878601	0.2535079	0.0557191	0.9064902	1.0000000	0.4627561	0.8739795	0.9995318	0.2415328	0.0033624	0.0134986	0.9999997	0.5657347	0.9998084	0.9922745	0.0212006	0.9994641	0.4419113	0.9999999	1.0000000	0.0156726	0.0274147	0.0357942	1.0000000	0.3634133	0.5485453	1.0000000	0.2603704	0.5252546	0.5540475	0.7543533	0.9930775	0.0373732	1.0000000	0.9903312	0.1843660	0.2243974	0.3527933	0.4842071	0.9978330	0.8545720	0.4954239	1.0000000	0.9919256	0.5914709	0.0532981	0.3105255	0.5234408	0.0148569	0.9321540	0.5169843	1.0000000	0.0194631	0.0006103	0.9884607	0.3028484	1.0000000	0.0202638	0.1082841	1.0000000	0.1980696	0.9956548	0.0132676	0.0109091
1.0000000	0.0000005	0.7002793	1.0000000	0.0946755	1.0000000	0.3723903	1.0000000	0.5090418	0.9992095	0.9725591	0.0646877	0.9508220	0.2806564	0.0579538	0.0551924	0.4353770	0.0611969	0.3994841	0.6142282	0.6186746	0.2950494	0.6070164	0.9999998	0.7387401	0.7335203	0.5569047	0.9893783	0.1131986	0.9999999	0.6100578	0.2767249	0.5256654	0.8740231	0.9789512	0.0531506	0.9878601	0.2535079	0.0553554	0.9064902	0.4317444	0.4627561	0.0637545	0.9999289	0.2415328	0.9910093	0.9999827	0.2809373	0.5657347	0.9998084	0.9999952	0.7985148	1.0000000	0.4419113	0.0754169	0.5560026	0.6547370	0.0274147	0.0357942	0.3495979	0.3634133	0.5485453	0.4002083	0.2603704	0.9999792	0.5540475	0.7543533	0.9930775	0.5876678	0.0743298	0.9903312	0.1843660	0.2243974	0.4304905	0.4842071	0.9978330	0.8545720	0.4954239	0.0545339	1.0000000	0.5914709	0.0544260	0.3105255	0.3436789	0.9275844	0.5739196	0.5169843	0.0682646	0.0194631	0.0006103	0.3663173	0.3028484	0.4545949	0.7656546	0.1082841	1.0000000	0.1980696	0.9956548	0.5884409	0.0109091
1.0000000	0.6804394	0.0000010	1.0000000	0.0946755	1.0000000	0.3723903	1.0000000	0.5090418	0.9992095	0.9725591	0.0646877	0.9508220	0.2806564	0.0579538	0.0551924	0.4353770	0.0611969	0.3994841	0.6142282	0.6186746	0.0578178	0.6070164	0.9799228	0.7387401	0.2298273	0.5569047	0.9893783	0.1131986	0.9918172	0.6100578	0.2767249	0.5256654	0.8740231	0.9789512	0.0531506	0.9878601	0.2535079	0.0553554	0.9064902	0.4317444	0.4627561	0.8726867	0.9999289	0.2415328	0.9910093	0.9999827	0.2809373	0.5657347	0.9998084	0.9922745	0.7985148	0.9994664	0.4419113	0.0754169	0.5560026	0.6547370	0.0274147	0.0357942	0.3495979	0.3634133	0.5485453	0.4002083	0.2603704	0.5264016	0.5540475	0.7543533	0.9930775	0.5876678	0.0743298	0.9903312	0.1843660	0.2243974	0.3534250	0.4842071	0.9978330	0.8545720	0.4954239	0.0545339	0.9919759	0.5914709	0.0533007	0.3105255	0.5229998	0.9275844	0.5739196	0.5169843	0.0682646	0.0194631	0.0006103	0.3663173	0.3028484	0.4545949	0.7656546	0.1082841	1.0000000	0.1980696	0.9956548	0.5884409	0.0109091
1.0000000	0.1188246	0.7002793	0.0000000	0.0946755	1.0000000	0.3723903	1.0000000	0.5090418	0.9992095	0.9725591	0.0646877	0.0397610	0.2806564	0.0579538	0.0551924	0.4353770	0.9999999	0.3994841	0.6142282	0.6186746	0.2950494	0.6070164	0.9999689	0.7387401	0.0373809	0.5569047	0.0760910	0.1131986	0.9999998	0.6100578	0.2767249	1.0000000	0.8740231	0.9789512	0.0531506	0.9878601	0.2535079	0.0553554	0.9064902	0.4317444	0.9999958	0.0639280	0.9999289	0.2415328	0.9910093	0.9999827	0.2809373	0.0194516	0.9998084	0.9924493	0.7985148	0.9999887	0.4419113	0.0754169	0.5560026	0.6547370	0.0274147	0.9999996	0.3495979	0.3634133	0.0448325	0.4002083	0.2603704	0.9999994	0.5540475	0.9999949	0.9930775	0.5876678	0.0743298	0.9903312	0.1843660	0.2243974	0.4304772	0.4842071	0.9978330	0.8545720	0.4954239	0.0545339	0.9999692	0.5914709	0.0543672	1.0000000	0.3515302	0.9275844	0.5739196	0.5169843	0.0682646	0.0194631	0.0006103	0.3663173	0.3028484	0.4545949	0.7656546	0.1082841	1.0000000	0.1980696	0.9956548	0.5884409	0.9999884
1.0000000	0.6804394	0.6881377	1.0000000	0.0000004	1.0000000	0.3723903	1.0000000	0.5090418	1.0000000	0.9726785	0.0646877	0.9508220	0.2806564	0.0579019	0.0551924	0.4347996	0.0611969	0.3994841	0.6142282	0.6186746	0.2822917	0.6074038	0.9799228	0.7387401	0.2298273	0.5569047	0.9893783	0.1131986	0.9999974	0.6100784	0.2766261	0.5256654	0.8743118	0.9789871	0.0531506	0.9878601	0.2524526	0.0553520	0.9066627	0.4317444	0.4627561	0.8726867	1.0000000	0.2412884	0.9910093	0.9999827	0.2809373	0.5657347	1.0000000	0.9922969	0.7985148	1.0000000	0.4416634	0.0754169	0.5560026	0.6547370	0.0274147	0.0357942	0.3495979	0.3630651	0.5485453	0.4002083	0.2603704	0.5264016	0.5542619	0.7543533	1.0000000	0.5876678	0.0743298	1.0000000	0.1330790	0.2237874	0.3533697	0.4889178	0.9999998	0.8545720	0.4952234	0.0545339	1.0000000	0.5912464	0.0516484	0.3105255	0.3436945	0.9275844	0.5739196	0.5169843	0.0682646	0.0194630	0.0006103	0.3739234	0.3028484	0.4545949	0.7656546	0.1081833	1.0000000	0.1980696	1.0000000	0.5884409	0.0109091
1.0000000	0.0463826	0.0458353	1.0000000	0.6555717	0.0000000	1.0000000	1.0000000	1.0000000	0.5359997	0.5340980	0.0646877	0.9508220	0.0496109	0.3864138	0.0551924	0.8460313	0.0611969	0.3489676	0.6142282	0.6186746	0.0578197	0.3117567	0.9999089	0.3425284	0.7216921	0.5569047	0.9893783	0.1131986	1.0000000	0.3063388	0.0012990	1.0000000	0.4706164	0.9217730	0.0531506	0.9985040	1.0000000	0.0553554	0.6624538	0.4317444	0.4627561	0.0637550	0.8871935	0.4888986	0.9910093	0.9999827	0.2809373	0.5657347	0.5624443	0.9642831	0.7985148	0.9957999	0.6365333	0.0754169	0.5560026	0.6547370	0.0274147	0.0357942	0.3495979	0.6814902	0.5485453	0.4002083	0.5748384	0.9985770	0.3872010	0.7543533	0.7155942	0.5876678	0.0743298	0.5773691	0.7774881	0.8236314	0.5250767	0.1433533	1.0000000	0.0167993	0.6499228	0.0545339	0.9980490	0.7595701	0.2428977	0.3105255	0.4007397	0.9275844	0.5739196	0.0043769	0.0682646	0.0197679	1.0000000	0.1476351	0.3028484	0.4545949	0.7656546	0.2710720	0.9999971	0.9999996	0.3905829	0.5884409	0.0109091
1.0000000	0.6804394	0.6961861	1.0000000	0.0609256	1.0000000	0.0000001	1.0000000	0.5090418	0.9998425	0.9726548	0.0646877	0.9508220	1.0000000	0.0579121	0.0551924	0.4349145	0.0611969	0.9999917	0.6142282	0.6186746	0.2907085	0.6073268	1.0000000	0.7387401	0.2298273	0.5569047	0.9893783	0.1131986	0.9938255	0.6100764	0.3933471	0.5256654	0.8742544	0.9789799	0.0531506	0.9878601	1.0000000	0.0553553	0.9066284	0.4317444	0.4627561	0.8726867	0.9999905	0.2413366	0.9910093	0.9999827	0.2809373	0.5657347	0.9999779	0.9922924	0.7985148	1.0000000	0.4417127	0.0754169	0.5560026	0.6547370	0.0274147	0.0357942	0.3495979	0.3631344	0.5485453	0.4002083	0.0111253	0.5264016	0.5542193	0.7543533	0.9971686	0.5876678	0.0743298	0.9963656	0.1552696	0.2239087	0.4304443	0.4875832	1.0000000	0.8545720	0.4952633	0.0545339	0.9984173	0.5912910	0.0524077	0.3105255	0.5339111	0.9275844	0.5739196	0.5169843	0.0682646	0.0194630	0.0006103	0.3714811	0.3028484	0.4545949	0.7656546	0.1082034	1.0000000	0.1980696	0.9988795	0.5884409	0.0109091
1.0000000	0.9427000	0.7002793	1.0000000	0.0946755	1.0000000	0.3723903	0.0000000	0.5090418	0.9992095	0.9725591	0.0646877	0.9508220	0.2806564	0.0579538	0.0551924	0.4353770	0.0611969	0.3994841	0.6142282	0.6186746	0.2950494	0.6070164	0.9356043	0.7387401	0.1571193	0.5569047	0.9893783	0.1131986	0.9675210	0.6100578	0.6763637	0.5256654	0.8740231	0.9789512	0.0531506	0.9878601	0.2535079	0.0553554	0.9064902	0.4317444	0.4627561	0.9795072	0.9999289	0.2415328	0.9910093	0.9999827	0.2809373	0.5657347	0.9998084	0.9922696	0.7985148	0.9989044	0.4419113	0.0754169	0.5560026	0.6547370	0.9999997	0.0357942	0.3495979	0.3634133	0.5485453	0.4002083	0.2603704	0.3448821	0.5540475	0.1277849	0.9930775	0.5876678	0.0743298	0.9903312	0.1843660	0.2243974	0.2021693	0.9947485	0.9978330	0.8545720	0.4954239	0.0545339	0.9776098	0.5914709	0.0528575	0.3105255	0.5981068	0.9275844	0.0172002	0.5169843	0.0682646	0.0194631	0.0006103	0.3663173	0.9999991	0.4545949	0.7656546	0.1082841	1.0000000	0.1980696	0.9956548	0.5884409	0.0109091
1.0000000	0.6804394	0.7002793	1.0000000	0.0946755	1.0000000	0.3723903	1.0000000	0.0000001	0.9992095	0.9725591	0.0646877	0.9508220	0.2806564	0.0579538	0.0551924	0.4353770	0.0611969	0.3994841	0.6142282	0.6186746	0.2950494	0.6070164	0.9799228	0.7387401	0.2298273	0.5569047	0.9893783	0.1131986	0.9918172	0.6100578	0.2767249	0.5256654	0.8740231	0.9789512	0.0531506	0.0071567	0.2535079	0.0553554	0.9064902	0.4317444	0.4627561	0.8726867	0.9999289	0.2415328	0.9910093	0.9999827	0.2809373	0.5657347	0.9998084	0.9922745	0.7985148	0.9994664	0.4419113	0.0754169	0.5560026	0.6547370	0.0274147	0.0357942	0.3495979	0.3634133	0.5485453	0.4002083	0.2603704	0.5264016	0.5540475	0.7543533	0.9930775	0.5876678	0.0743298	0.9903312	0.1843660	0.2243974	0.3534250	0.4842071	0.9978330	0.8545720	0.4954239	0.0545339	0.9919759	0.5914709	0.0533007	0.3105255	0.5229998	0.9275844	0.5739196	0.5169843	0.0682646	0.0194631	0.0006103	0.3663173	0.3028484	0.4545949	0.7656546	0.1082841	1.0000000	0.1980696	0.9956548	0.5884409	0.0109091
1.0000000	0.6804394	0.7002793	1.0000000	0.0946755	1.0000000	0.3723903	1.0000000	0.5090418	0.0000000	0.1138325	0.0646877	0.9508220	0.2806564	0.9999952	0.0551924	1.0000000	0.0611969	0.3994841	0.6142282	0.6186746	0.2950494	0.0584558	0.9799228	0.7387401	0.2298273	0.5569047	0.9893783	0.1131986	0.9918172	0.6100578	0.2767249	0.5256654	0.0182549	0.0483564	0.0531506	0.9878601	0.2535079	0.0553554	0.0271968	0.4317444	0.4627561	0.8726867	0.9999289	0.9999886	0.9910093	0.9999827	0.2809373	0.5657347	1.0000000	0.2216896	0.7985148	0.9994664	0.9999998	0.0754169	0.5560026	0.6547370	0.0274147	0.0357942	0.3495979	1.0000000	0.5485453	0.4002083	0.2603704	0.5264016	0.0313328	0.7543533	0.9709091	0.5876678	0.0743298	0.9903312	0.1843660	1.0000000	0.3534250	0.4842071	0.9978330	0.8545720	0.9999999	0.0545339	0.9919759	0.9999999	0.0533007	0.3105255	0.5229998	0.9275844	0.5739196	0.5169843	0.0682646	1.0000000	0.0006103	0.3663173	0.3028484	0.4545949	0.7656546	1.0000000	0.1343446	0.1980696	0.9956548	0.5884409	0.0109091
