G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.3365717	1.0000000	0.5939517	0.5065730	0.9852468	0.5055911	0.3687544	1.0000000	1.0000000	0.1314494	0.5061387	0.9338728	0.7758169	0.6598675	0.0121444	0.5919687	0.6773233	0.0087983	0.5783934	0.4438076	0.1301468	0.3592844	0.7219483	0.8303639	0.1062570	0.5269631	0.5847605	0.8376838	0.5636106	0.7332984	0.6636018	0.9221502	0.5652462	0.7562637	0.0579271	0.1667240	0.9998151	0.0223157	0.5946119	0.9438419	0.0869151	0.4127828	0.4706866	0.0613317	0.3745404	0.0223301	0.9996845	0.7182859	0.5914354	0.9242019	0.8639682	0.5526134	0.9997868	0.8206804	0.1429491	0.5206341	0.5345067	0.0110882	0.1766085	0.3769487	0.5781438	0.9947332	0.9031729	0.2111315	0.8884986	0.9992994	0.2738836	0.9463056	0.7283611	0.5686785	0.5761751	0.5264028	0.6352955	0.9180492	0.2600375	0.9981318	0.9999922	0.6541962	0.2575544	0.9550082	0.7554535	0.2759239	0.8441472	0.6293230	0.2627053	0.9881166	0.6712591	0.0245649	0.4453410	0.9867409	0.3323262	0.9947221	0.4371014	0.0461345	0.8924823	0.6206381	0.9607255	0.8107348	0.6216054	0.6957395
0.7972682	0.5000000	0.5735415	0.4062651	0.7484518	0.9326805	0.3693045	1.0000000	1.0000000	0.1314494	0.4986239	0.9613475	0.7967933	0.6616695	0.0121200	0.1858534	0.8971616	0.0092570	0.1101382	0.3191273	0.1320919	0.5279615	0.9074114	0.8266980	0.3073832	0.5402542	0.3071592	0.8986829	0.5798404	0.8368976	0.6690823	0.9651115	0.6449891	0.6466666	0.4391814	0.3505354	0.9995362	0.0101563	0.4480089	0.7067847	0.0387207	0.7886655	0.1586540	0.0430167	0.3745404	0.0247272	0.9970281	0.8181061	0.8188091	0.6010361	0.2960338	0.4533185	0.9998551	0.9145064	0.1623044	0.1990448	0.5345067	0.0028780	0.0657367	0.2758016	0.5781438	0.8217899	0.9024772	0.2881472	0.8307515	0.9992994	0.8434157	0.9557065	0.5946226	0.0977719	0.5761751	0.8586134	0.5824585	0.9250842	0.4014124	0.9318079	0.9999763	0.4245575	0.2515325	0.6966212	0.5505378	0.6575136	0.5893567	0.7421156	0.5399459	0.9881166	0.2783774	0.0282153	0.2378554	0.9992998	0.2599570	0.5041551	0.3301104	0.0461345	0.5912153	0.7357880	0.6444316	0.6014836	0.8760430	0.6957395
0.6731434	1.0000000	0.2490882	0.3820636	0.8406039	0.8889522	0.3690158	1.0000000	1.0000000	0.1314494	0.4640966	0.9414298	0.8940358	0.8908972	0.0027614	0.2364511	0.8011374	0.0460928	0.7468845	0.5546667	0.1301468	0.6882907	0.8687236	0.9097072	0.1871522	0.8291347	0.7899083	0.8946812	0.5719924	0.8046162	0.5925393	0.9646148	0.6022078	0.6103811	0.1207087	0.4190759	0.9996852	0.0085391	0.4797957	0.5586606	0.0432360	0.7278222	0.2075574	0.0433841	0.3745404	0.0234837	0.9996845	0.7914592	0.7479237	0.6861048	0.3417936	0.4949808	0.9998841	0.9347046	0.1534488	0.2339870	0.5345067	0.0027839	0.0712126	0.2703714	0.5781438	0.8596098	0.9207825	0.4895059	0.8869968	0.9992994	0.7711685	0.9602050	0.6653479	0.1305464	0.5761751	0.8265444	0.5356871	0.8325646	0.3379194	0.9658902	0.9999678	0.5222332	0.2517390	0.9211955	0.6441470	0.7766194	0.8242982	0.7319180	0.5004326	0.9881166	0.4214840	0.0262617	0.2515300	0.9987504	0.2872188	0.7013005	0.5346552	0.0461345	0.6208174	0.6007219	0.7162530	0.7731794	0.8582723	0.6957395
0.6731434	1.0000000	0.4981760	0.2158227	0.8406039	0.8882366	0.3690158	1.0000000	1.0000000	0.1314494	0.4816226	0.9573636	0.8612514	0.6727212	0.0078526	0.2364511	0.8470686	0.0112186	0.7468845	0.3697427	0.1301468	0.4859451	0.8687236	0.8477629	0.1871522	0.5974420	0.6414796	0.8946142	0.5719924	0.8046162	0.5925393	0.9646148	0.6023075	0.6103811	0.2959710	0.2999927	0.9996852	0.0085391	0.4797957	0.7393860	0.0432360	0.7278222	0.2032744	0.0433841	0.3745404	0.0234837	0.9996845	0.7849200	0.7479237	0.6861048	0.3425909	0.4949808	0.9998841	0.9108315	0.1534488	0.2339870	0.5345067	0.0027839	0.0713080	0.2706658	0.5781438	0.8596098	0.9207825	0.2958957	0.8869968	0.9992994	0.7711685	0.9602050	0.6653479	0.1305464	0.5761751	0.8265444	0.5887258	0.9098961	0.3379194	0.9658902	0.9994322	0.5222332	0.2517390	0.9211955	0.6441470	0.6548746	0.8242982	0.7319180	0.5004326	0.9881166	0.4214840	0.0262617	0.2517637	0.9987504	0.2872188	0.7013005	0.3679876	0.0461345	0.6213129	0.6007219	0.7162530	0.7046503	0.8582723	0.6957395
0.6731434	1.0000000	0.5058856	0.2527053	0.4203019	0.8907946	0.3739049	1.0000000	1.0000000	0.1314494	0.4830103	0.9575652	0.7676008	0.6711514	0.0082287	0.2364511	0.9349240	0.0109630	0.7468845	0.3629549	0.1301468	0.9086525	0.9834948	0.7958647	0.9601010	0.5910051	0.6363144	0.8948535	0.6471298	0.8046162	0.9245581	0.9646148	0.9269791	0.8900592	0.3005159	0.2972775	0.9968265	0.0653673	0.4797957	0.7453597	0.0409726	0.7278222	0.2032354	0.0433841	0.3745404	0.0429556	0.9996845	0.7848627	0.7479237	0.6861048	0.3397477	0.2725065	0.9967463	0.9098942	0.2174680	0.0783482	0.5345067	0.0003657	0.0709676	0.2679907	0.5781438	0.9642403	0.4967739	0.2935213	0.8869968	0.9992994	0.8166143	0.9123728	0.1325829	0.4101793	0.5761751	0.8265444	0.4555446	0.9112840	0.7226852	0.8389325	0.9997425	0.1186450	0.2517390	0.9388424	0.1509871	0.6504035	0.8242982	0.7319180	0.2099110	0.9881166	0.1174430	0.0621646	0.2509298	0.9987504	0.2411745	0.7013005	0.3641002	0.0461345	0.6195421	0.6225298	0.4121343	0.7009821	0.5811167	0.6957395
0.6731434	1.0000000	0.4981760	0.4316454	0.8406039	0.4441190	0.3690158	1.0000000	1.0000000	0.1314494	0.4816237	0.9573636	0.8612514	0.6727212	0.0030905	0.2364511	0.8470686	0.0112186	0.7468845	0.3697427	0.1301468	0.4859450	0.8687236	0.8477629	0.1871522	0.5974420	0.6414796	0.8292776	0.5719924	0.8046162	0.5925393	0.9646148	0.6023075	0.6103811	0.2959710	0.2999927	0.9996852	0.0085391	0.4797957	0.7393860	0.0432360	0.7278222	0.2032744	0.0433841	0.3745404	0.0234837	0.9996845	0.7849200	0.7479237	0.6861048	0.9188031	0.4949808	0.9998841	0.9108315	0.1534488	0.2339870	0.5345067	0.0027839	0.2141758	0.4630122	0.5781438	0.8596098	0.9207825	0.2958957	0.8869968	0.9992994	0.7711685	0.9602050	0.6653479	0.1305464	0.5761751	0.8265444	0.5887258	0.9098961	0.3379194	0.9658902	0.9999826	0.5222332	0.2517390	0.9211955	0.6441470	0.6548746	0.8242982	0.7319180	0.5004326	0.9881166	0.4214840	0.0262617	0.4951958	0.9987504	0.2872188	0.7013005	0.3679876	0.0461345	0.9249910	0.6007219	0.7162530	0.7046503	0.8582723	0.6957395
0.6731434	1.0000000	0.4981760	0.4316454	0.8406039	0.8882366	0.1845079	1.0000000	1.0000000	0.1314494	0.4816226	0.9573636	0.8612514	0.6727212	0.0078526	0.2364511	0.8470687	0.0112186	0.7468845	0.3697427	0.1301468	0.4859451	0.8687236	0.8477629	0.1871523	0.5974420	0.6414796	0.8946142	0.5719924	0.8046162	0.5925394	0.9646148	0.6023075	0.6103812	0.2959710	0.2999927	0.9996852	0.0085391	0.4797957	0.7393860	0.0432360	0.7278222	0.2032744	0.0433841	0.3745404	0.0234837	0.9996845	0.7849200	0.7479237	0.6861048	0.3425909	0.4949808	0.9998841	0.9108315	0.1534488	0.2339870	0.5345067	0.0027839	0.0713080	0.2706658	0.5781438	0.8596099	0.9207825	0.2958957	0.8869968	0.9992994	0.7711685	0.9602050	0.6653479	0.1305464	0.5761751	0.8265444	0.5887258	0.9098961	0.3379194	0.9658902	0.9999826	0.5222332	0.2517390	0.9211955	0.6441470	0.6548746	0.8242982	0.7319180	0.5004326	0.9881166	0.4214840	0.0262617	0.2517637	0.9987504	0.2872188	0.7013005	0.3679876	0.0461345	0.6213129	0.6007219	0.7162529	0.7046503	0.8582723	0.6957395
0.4277506	1.0000000	0.2231667	0.5759468	0.9547042	0.3959959	0.5849114	0.5000000	1.0000000	0.2536468	0.1797078	0.7811147	0.9321645	0.8401525	0.0121635	0.5401117	0.3894590	0.0516505	0.6409729	0.3723571	0.1301468	0.6258535	0.9403965	0.7098616	0.2769157	0.7106578	0.8013600	0.7323249	0.6197527	0.5008839	0.5730457	0.8393205	0.5707833	0.9600873	0.0466636	0.3322842	0.9997943	0.0140652	0.6489759	0.7613014	0.0514682	0.5833142	0.3701953	0.1577747	0.3136230	0.0225193	0.9996845	0.6310844	0.4699310	0.9691397	0.9496615	0.7073490	0.9995023	0.8995400	0.1155773	0.3661433	0.1403242	0.0149831	0.2521250	0.4636521	0.4054735	0.9800381	0.6481583	0.4825233	0.8877189	0.9978903	0.3980519	0.9110549	0.3783195	0.6586299	0.8586799	0.5766626	0.5536868	0.6272264	0.4496932	0.9947288	0.9999959	0.6818321	0.1950401	0.9263963	0.7353352	0.5176773	0.8349400	0.8994943	0.3384592	0.9881166	0.6224474	0.0248084	0.5394280	0.9430737	0.4560183	0.9935544	0.5774644	0.0461345	0.9461407	0.5466754	0.6067509	0.9154051	0.7303306	0.0421465
0.6731434	1.0000000	0.4981760	0.4316454	0.8406039	0.8882366	0.3690158	1.0000000	0.5000000	0.1314494	0.4816226	0.7957495	0.8025320	0.6727212	0.0078526	0.2364511	0.8470686	0.0112186	0.7468845	0.3697427	0.5964266	0.4859450	0.8687236	0.8477629	0.1871522	0.5974420	0.6414796	0.7981573	0.2784639	0.8046162	0.5925393	0.9646148	0.6023075	0.6103811	0.2959710	0.2999927	0.9996852	0.0085391	0.4797957	0.7393860	0.0432360	0.7278222	0.2032744	0.0433841	0.4780003	0.0234837	0.9996845	0.7849200	0.7479237	0.6861048	0.3425909	0.4949808	0.9998841	0.9108315	0.5816823	0.2339870	0.5345067	0.0027846	0.0713080	0.2706658	0.5781438	0.8596098	0.9207825	0.2958957	0.8869968	0.9992994	0.7711685	0.9602050	0.6653480	0.1305464	0.5761751	0.8265444	0.5887258	0.9152846	0.3379194	0.9658902	0.9999826	0.5222332	0.2517390	0.9211955	0.6441470	0.6548746	0.8242982	0.7319180	0.5004326	0.9100150	0.4214841	0.0262617	0.2517637	0.9987504	0.2872188	0.7013005	0.2217745	0.0461351	0.6213129	0.6007219	0.7162530	0.7046503	0.8582723	0.6957395
0.6731434	1.0000000	0.4981760	0.4316454	0.8406039	0.8882366	0.3690158	1.0000000	1.0000000	0.0657333	0.4816226	0.9573636	0.8612514	0.6727212	0.0078526	0.2364511	0.8470686	0.0112186	0.7468845	0.3697427	0.1301468	0.4859451	0.8687236	0.8477629	0.1871522	0.5974420	0.6414796	0.8946142	0.5719924	0.8046162	0.5925393	0.9646148	0.6023075	0.6103811	0.2959710	0.2999927	0.9996852	0.0085391	0.4797732	0.7393860	0.0432360	0.7278222	0.2032744	0.0433841	0.3745404	0.0234837	0.9996845	0.7010098	0.7479237	0.6861048	0.3425909	0.4949808	0.9998841	0.9108315	0.1534488	0.2339870	0.5345067	0.0027839	0.0713080	0.2706658	0.5781438	0.8596098	0.9207825	0.2958957	0.8869968	0.9992994	0.7711685	0.9602050	0.6653479	0.1305464	0.5761751	0.8265444	0.5887258	0.9098961	0.3379194	0.9658902	0.9999826	0.5222332	0.2517390	0.9211955	0.6441470	0.6548746	0.8242982	0.7319180	0.5004326	0.9881166	0.4214840	0.0262617	0.2517637	0.9987504	0.2829713	0.7013005	0.3679876	0.0461345	0.6213129	0.6007219	0.7162530	0.7046503	0.8582723	0.6957395
