G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.7035753	0.0227871	0.3443804	0.9718341	0.6986379	0.9486469	0.4323479	0.2549254	0.8521222	0.9808336	0.8603682	0.1168140	0.8774256	0.6357336	0.1329718	0.8324894	0.6292859	0.9473921	0.1599923	0.3933021	0.0383287	0.6735222	0.7620356	0.8635093	0.7033855	0.2748002	0.7304163	0.5116531	0.0386700	0.3933896	0.0918372	0.7718771	0.3235585	0.4849024	0.4912672	0.7540886	0.6342805	0.4910033	0.6243399	0.9313230	0.0318448	0.3134042	0.6743894	0.3094686	0.9164402	0.4448425	0.9041711	0.1883660	0.3006769	0.5024367	0.9643410	0.9746303	0.4045816	0.2604037	0.6932019	0.1459181	0.1752744	0.1340269	0.3813024	0.1261184	0.5046283	0.6769457	0.9357354	0.3793226	0.8301031	0.4646867	0.1202352	0.3561622	0.4893549	0.1747051	0.1591918	0.6384143	0.3704091	0.2077648	0.0882444	0.0726802	0.9910977	0.3246634	0.7111924	0.7330343	0.3150791	0.5816044	0.8973978	0.2328078	0.4890725	0.9646762	0.7717917	0.3236170	0.9103867	0.6174007	0.8791221	0.9899863	0.0546919	0.3318396	0.9409009	0.2636990	0.1692158	0.9607778	0.8646420	0.0396040
0.1195705	0.4465384	0.4308302	0.6734700	0.4003102	0.7149678	0.6100233	0.3722957	0.7083471	0.4654479	0.0349772	0.8546745	0.8324351	0.2428816	0.1802791	0.4947279	0.2157604	0.1321764	0.8636766	0.2151013	0.9929839	0.4994038	0.2897732	0.2791591	0.5106422	0.0575987	0.7398476	0.2487403	0.3463390	0.9900602	0.4954578	0.4233213	0.1673806	0.0762404	0.5872421	0.2229094	0.6349024	0.8803808	0.5113013	0.7610287	0.1675923	0.5308970	0.7408115	0.7170961	0.0369817	0.5617240	0.8710990	0.8301362	0.1653149	0.0776039	0.8822987	0.9907164	0.6206244	0.5024422	0.6057337	0.3538669	0.5329807	0.5130882	0.1670516	0.2982498	0.2181559	0.8503282	0.5001075	0.4978436	0.9896568	0.3027802	0.7840646	0.6249447	0.8841108	0.4326769	0.0818252	0.2033495	0.3364441	0.1278520	0.7873084	0.9752173	0.4974507	0.1190643	0.5045144	0.0423282	0.7543868	0.6898139	0.4371713	0.0982976	0.8800116	0.3733272	0.6993108	0.8863814	0.7482001	0.7940929	0.1442672	0.2454273	0.1637721	0.8300898	0.9831370	0.3839856	0.5619712	0.9554969	0.6547216	0.5468771
0.1255614	0.9967660	0.2290193	0.8109681	0.5096730	0.1509710	0.4605499	0.8702387	0.7676684	0.7018733	0.2710949	0.3786287	0.7941562	0.2581974	0.4610522	0.3881246	0.0149411	0.5859922	0.0647417	0.8563657	0.4363118	0.0240020	0.1590439	0.0420489	0.5956714	0.9967273	0.6719069	0.4828836	0.6492526	0.0717580	0.2946802	0.3049071	0.3043646	0.5269982	0.4898279	0.6662701	0.2741552	0.8190046	0.2086734	0.1777948	0.8596049	0.7989278	0.0127689	0.6460812	0.1720348	0.3473109	0.2015308	0.2659971	0.1053731	0.4217441	0.6555206	0.1778246	0.7209474	0.0706610	0.7471292	0.7549504	0.2369135	0.6816883	0.1734702	0.8343399	0.5272908	0.1890918	0.2555323	0.9736196	0.1937098	0.8272506	0.0115041	0.9558657	0.8286694	0.8995890	0.5441524	0.4643823	0.3575740	0.4807447	0.0008408	0.2489702	0.9242817	0.3195680	0.7085059	0.5696892	0.9078318	0.9731196	0.5636487	0.7122797	0.0875062	0.2188819	0.4631473	0.4995757	0.5450133	0.6642644	0.3729268	0.3649852	0.9625802	0.1226146	0.2721269	0.0635569	0.9995244	0.4643821	0.1176343	0.7319674
0.2252147	0.2197354	0.3367193	0.5252058	0.5015616	0.8543218	0.0527213	0.7727325	0.0589936	0.4769179	0.8578595	0.2830898	0.0571438	0.3669410	0.7451923	0.5233475	0.9210698	0.2720024	0.7418921	0.1155345	0.7983154	0.7986808	0.9717063	0.1942914	0.3303184	0.0196332	0.7972795	0.3660663	0.4276523	0.4321533	0.1408763	0.6701116	0.7972546	0.8251351	0.6480271	0.5022044	0.8007013	0.4635409	0.4044632	0.6105925	0.2800049	0.2172687	0.0687420	0.4711981	0.6969609	0.1756440	0.5277511	0.0044427	0.9966441	0.5436831	0.8720988	0.0395458	0.2976531	0.2984886	0.9491764	0.3078214	0.7389440	0.4487882	0.0992599	0.9576017	0.5745275	0.0531371	0.2250543	0.3301671	0.6255581	0.3718297	0.1090409	0.8224125	0.0997787	0.9790373	0.1301726	0.4286346	0.1168992	0.4784381	0.6024911	0.9811456	0.7073118	0.9553485	0.6551711	0.4500426	0.5440711	0.3045397	0.2948388	0.8398223	0.4017744	0.8415594	0.3686851	0.9186863	0.4235773	0.5263437	0.2259564	0.7475046	0.7747034	0.0381885	0.2997578	0.5294755	0.7039272	0.7487412	0.1568332	0.2790986
0.8724770	0.4413498	0.2583497	0.9862405	0.6607118	0.9479986	0.3214681	0.2090429	0.2728684	0.7022472	0.5557366	0.4121227	0.9225235	0.3343515	0.7994621	0.8633379	0.8966032	0.7785111	0.9278619	0.6106613	0.6165649	0.3250025	0.6905186	0.9947438	0.2122620	0.7626304	0.4654706	0.4537724	0.9885943	0.7701866	0.7644222	0.5622046	0.7206423	0.1130031	0.2040311	0.7262541	0.6394185	0.8683861	0.9445865	0.9969327	0.9188326	0.0310326	0.4136448	0.1815085	0.6594917	0.8458554	0.3413885	0.9900566	0.4149257	0.7694989	0.9765407	0.7931451	0.0724821	0.7706320	0.8599827	0.1034834	0.6923949	0.5813391	0.0159220	0.0167133	0.3105919	0.4121130	0.8539663	0.6306909	0.3879986	0.7338506	0.7818472	0.3448512	0.9264598	0.5152719	0.3812046	0.7091155	0.0937226	0.2525829	0.5286322	0.1710611	0.9182209	0.2891549	0.5696842	0.8943654	0.1567891	0.9081524	0.0229623	0.1211817	0.2525403	0.5435042	0.2517419	0.5175562	0.0460099	0.8205416	0.9887204	0.9825563	0.5939445	0.0581354	0.4047641	0.1941406	0.2255153	0.4944828	0.0221992	0.7179412
0.6680792	0.3971897	0.3736189	0.7663874	0.2052451	0.4037475	0.8588323	0.8953512	0.3586771	0.4886497	0.1281484	0.5868578	0.6726601	0.0692556	0.2092837	0.2549768	0.7034652	0.2783273	0.9797930	0.6275296	0.0950879	0.0923698	0.8774326	0.6355544	0.6451408	0.7888742	0.0339006	0.8954156	0.5683537	0.1241510	0.5194788	0.5729851	0.4973890	0.0391347	0.2896027	0.7571981	0.9944498	0.1651629	0.0236053	0.8847150	0.1914832	0.8130253	0.6461033	0.3383254	0.8356114	0.4599206	0.1041503	0.0049572	0.3378482	0.9795993	0.6908466	0.6279491	0.0842496	0.0829741	0.3908545	0.9840382	0.7978680	0.2590393	0.1519412	0.1682392	0.7590231	0.9297067	0.4781294	0.4718374	0.0782584	0.1906368	0.5072118	0.7064242	0.4153562	0.6149410	0.1360538	0.3077299	0.2314678	0.6460460	0.0451931	0.7015769	0.4065778	0.0943214	0.2312477	0.2215341	0.1069901	0.4038370	0.4062472	0.9351270	0.3312355	0.2725383	0.6634061	0.2947313	0.4807745	0.6522185	0.2377496	0.9624364	0.3057284	0.2754610	0.8909280	0.8870898	0.7740698	0.9612232	0.9909261	0.0229575
0.0420633	0.7433056	0.3944645	0.1418832	0.0121527	0.3486572	0.3833994	0.8826333	0.0368207	0.1467392	0.1049943	0.9951985	0.6957851	0.7096696	0.5168945	0.4925099	0.1618036	0.9767730	0.3379606	0.8777317	0.4139714	0.2052499	0.2679448	0.3312010	0.8009043	0.4602881	0.7705904	0.6787540	0.6514334	0.5697752	0.4324421	0.3116597	0.4566732	0.2535546	0.1767272	0.5752856	0.2523738	0.8829082	0.9928638	0.9054916	0.0433783	0.9221282	0.5016973	0.6440652	0.2639595	0.1582389	0.5456882	0.0771005	0.9462843	0.7523369	0.3486842	0.1469232	0.0021913	0.4645293	0.8625590	0.5123591	0.4873650	0.7924432	0.2688394	0.3000370	0.9207521	0.7853794	0.3815450	0.0510212	0.2881721	0.5260859	0.1525745	0.4597329	0.4517356	0.8051534	0.3608776	0.4804347	0.2350646	0.3458964	0.8551299	0.2441809	0.4248769	0.2103514	0.9433818	0.8310203	0.2151667	0.5329943	0.7818229	0.9089753	0.6972800	0.5070587	0.5591926	0.1613746	0.0054323	0.9919771	0.1056291	0.1290395	0.9869673	0.8625795	0.2890277	0.2665874	0.3231122	0.7204404	0.6640138	0.8917566
0.2569255	0.1595023	0.2816420	0.1373125	0.7222016	0.3045470	0.8170089	0.0874922	0.4799898	0.3770644	0.4317083	0.3501761	0.1231925	0.0069235	0.1249747	0.5881833	0.2835449	0.2771198	0.8635087	0.8307510	0.5240087	0.8009185	0.9308282	0.0985278	0.7385152	0.2246422	0.5386888	0.9734499	0.9323437	0.3746665	0.1961539	0.8187219	0.0181319	0.4989900	0.5090380	0.0685136	0.4865712	0.0789565	0.4071414	0.9181630	0.9295846	0.8043335	0.6193107	0.1750934	0.8782108	0.5895553	0.2831883	0.7071918	0.7546237	0.1722744	0.2426433	0.2784447	0.9520127	0.7859468	0.4429396	0.3404175	0.7403206	0.8668993	0.0483652	0.3397158	0.9601470	0.2566006	0.9990362	0.7306340	0.8438503	0.0232787	0.5423364	0.2869604	0.8161580	0.2279759	0.0818348	0.4331379	0.7127586	0.3588726	0.4531213	0.9651696	0.7767692	0.0577573	0.9726118	0.5716748	0.1273908	0.5696466	0.5691967	0.7036990	0.2034632	0.8045230	0.4693421	0.6394506	0.1094305	0.6061152	0.8983715	0.6865542	0.0622058	0.5018679	0.3215022	0.3733266	0.2526517	0.2998504	0.9848093	0.5046180
0.5308364	0.9852111	0.6643042	0.1816312	0.8923261	0.4007276	0.2499002	0.2211480	0.4454014	0.3199693	0.5055050	0.9652667	0.5359008	0.9761751	0.8797446	0.0204878	0.2532859	0.8334373	0.8859868	0.0263401	0.3944872	0.4575737	0.0494262	0.9302113	0.0549739	0.1300080	0.5269254	0.7811355	0.6649437	0.2808307	0.8230573	0.6793401	0.6417243	0.6620910	0.3380326	0.9268394	0.7901154	0.8159354	0.3994631	0.1774415	0.3835207	0.9297301	0.4401137	0.3749490	0.0107089	0.6684718	0.0397502	0.7933201	0.7490400	0.9542615	0.9333035	0.9384806	0.4186974	0.9517058	0.8502315	0.3975959	0.0634341	0.7763054	0.1620805	0.0402851	0.2815958	0.9440989	0.9253089	0.0218547	0.7865391	0.8226270	0.8889790	0.1230942	0.8558933	0.2858375	0.3099681	0.0037337	0.0284081	0.7282052	0.8055233	0.5955345	0.6015933	0.3562694	0.1870743	0.6672120	0.9117936	0.8753936	0.1358350	0.6502523	0.6366059	0.7436788	0.0049581	0.3600422	0.0967091	0.3513917	0.8888960	0.5346785	0.2442921	0.8670395	0.9792717	0.9390404	0.7975888	0.8463637	0.1356956	0.6174730
0.9028107	0.3574115	0.4570001	0.6121782	0.7820079	0.0759023	0.2731777	0.5746829	0.8667698	0.2944222	0.3659316	0.0472479	0.1511568	0.7849077	0.1679943	0.8547291	0.2179369	0.3747036	0.2859489	0.1673841	0.0804979	0.0969681	0.8858056	0.6566418	0.4783597	0.4625499	0.7769477	0.5128403	0.3626267	0.8852785	0.4783791	0.7673758	0.3343826	0.3185368	0.2870639	0.6656700	0.1766227	0.1639184	0.8643739	0.4281320	0.9774847	0.8366977	0.0436690	0.6678622	0.1730289	0.8168951	0.7717637	0.1944311	0.6253713	0.6555785	0.5830728	0.4280183	0.1329956	0.1732542	0.5125211	0.1361928	0.3823241	0.0375854	0.7238084	0.3877446	0.0949347	0.5569066	0.3784858	0.3672932	0.4028449	0.4168390	0.0918933	0.6050035	0.0615030	0.0962965	0.7046983	0.6929345	0.9024496	0.7519961	0.2681401	0.9120325	0.2923091	0.6061306	0.4340553	0.1218895	0.5814432	0.0246582	0.2166686	0.6360891	0.5740564	0.8610891	0.4357030	0.6390994	0.6522897	0.8683752	0.9820580	0.0567343	0.8544031	0.2748044	0.8162534	0.6039113	0.7605307	0.7355200	0.4964269	0.7754493
