G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.6582118	0.2777139	0.0129215	0.6993864	0.8218821	0.1102046	0.8384417	0.0824591	0.1429630	0.0586667	0.2598995	0.0584912	0.5036422	0.1480412	0.3419628	0.2644498	0.6593670	0.8676572	0.1368632	0.0198371	0.1918610	0.7104164	0.4680557	0.5815234	0.6128927	0.7151199	0.2020249	0.5960179	0.3339804	0.9976501	0.9687906	0.4315249	0.6181223	0.8905429	0.8124959	0.4759992	0.3507494	0.2433382	0.5134524	0.3973626	0.4025231	0.5945807	0.8443638	0.0982652	0.3098733	0.6157936	0.4820077	0.8411805	0.0704773	0.9915033	0.8961159	0.0045494	0.4178065	0.1855453	0.4863799	0.5345785	0.7682409	0.0737993	0.7984259	0.2727790	0.9147874	0.9181495	0.0439532	0.6173443	0.7933969	0.4069730	0.1149706	0.0046176	0.3561244	0.2112640	0.4076056	0.2696525	0.6417853	0.0108576	0.6011256	0.5326100	0.0419357	0.8421084	0.6206464	0.2804932	0.8844891	0.8350715	0.9853376	0.2794924	0.5523582	0.0548435	0.5324501	0.2654503	0.1586533	0.6034736	0.4221300	0.4070183	0.9565655	0.8316480	0.3198060	0.8960832	0.4031804	0.4255356	0.2965623	0.2038852
0.4223640	0.2170769	0.2155364	0.6956730	0.0034975	0.8633497	0.1980326	0.9901301	0.2830873	0.1986222	0.0454529	0.4879109	0.8173195	0.5870640	0.6388535	0.7403723	0.2555718	0.5075287	0.2516544	0.0674455	0.1097561	0.4008443	0.7081321	0.1820513	0.8556213	0.0797320	0.6628601	0.8282915	0.2695120	0.8232458	0.8954031	0.8101493	0.3427700	0.6407869	0.2350516	0.2100366	0.2086832	0.1120099	0.0953057	0.0369999	0.9830462	0.4174776	0.6224167	0.0408599	0.4775329	0.5996542	0.1184373	0.4374359	0.1834394	0.9471108	0.3566310	0.3987886	0.8456859	0.9007864	0.9402290	0.2305300	0.3210524	0.5349146	0.3685961	0.8432827	0.1096033	0.9178067	0.4565289	0.3956885	0.1339703	0.5007056	0.3503323	0.7609051	0.5125805	0.2009256	0.0124012	0.3394637	0.9992348	0.9251737	0.1853977	0.0419776	0.9864079	0.6217440	0.9440368	0.2254869	0.0862527	0.5587027	0.0558376	0.3209277	0.6944617	0.6414141	0.0096963	0.3389299	0.9118638	0.6432472	0.3132632	0.3873918	0.4294330	0.2291600	0.2787736	0.6161976	0.5130880	0.5814200	0.4828886	0.9095900
0.1437057	0.1103086	0.9551128	0.2109176	0.6569908	0.0967334	0.7960079	0.9854129	0.6806490	0.7768026	0.6405818	0.0026316	0.4378251	0.8212318	0.9693301	0.8683509	0.2824611	0.9231324	0.1280471	0.5360744	0.5377909	0.8521674	0.4221512	0.8632533	0.4489897	0.5323426	0.3959857	0.6139864	0.3359837	0.5006892	0.6835799	0.4771215	0.3799567	0.0738685	0.5566641	0.7216317	0.2810277	0.8532649	0.7781252	0.8950066	0.9111454	0.1786149	0.8111840	0.1801068	0.0375475	0.8481718	0.9844727	0.1664207	0.0467523	0.8298738	0.5450308	0.4507256	0.5953656	0.4096092	0.4233171	0.1069631	0.1017237	0.3641765	0.3899410	0.8605058	0.8013804	0.2415701	0.9003545	0.9443945	0.2261940	0.3656951	0.1451918	0.6544018	0.4048338	0.4488532	0.3904238	0.9240010	0.2492778	0.7993200	0.5532581	0.1939528	0.9021752	0.9774010	0.2422346	0.5494377	0.6487902	0.3268829	0.0826024	0.9147488	0.0163074	0.8309182	0.8176211	0.7551368	0.2168746	0.3893583	0.4748909	0.2910446	0.0533340	0.6525547	0.8574334	0.2235947	0.8953661	0.5699981	0.8381988	0.4517527
0.7558993	0.6258375	0.6347451	0.0543150	0.3537819	0.6345060	0.5884379	0.6483012	0.9675796	0.7575516	0.7359839	0.4430362	0.7913624	0.5747581	0.4350327	0.7849160	0.5432183	0.2791094	0.3356341	0.1143894	0.1703863	0.6028959	0.7514154	0.2538769	0.4401611	0.6676884	0.7739485	0.4771329	0.7456179	0.7910042	0.0713746	0.5271954	0.7310185	0.2420262	0.8281317	0.6152981	0.8318903	0.4074598	0.0145320	0.4580375	0.4716282	0.5598864	0.1345324	0.9886449	0.5486865	0.5089275	0.4072605	0.6969227	0.0674353	0.0481264	0.8688461	0.5214141	0.6308939	0.0783122	0.4701725	0.2759059	0.5641512	0.1406879	0.5976557	0.6478733	0.2967999	0.0460729	0.6588305	0.5857071	0.3705791	0.5319834	0.9879005	0.2739994	0.3105039	0.5216769	0.9365316	0.2666449	0.7430605	0.6997510	0.3199020	0.9055488	0.2985539	0.5201052	0.3125447	0.0859206	0.0774629	0.8549929	0.1035319	0.4753224	0.7123752	0.5167718	0.3629290	0.9009285	0.4442457	0.6308149	0.3451695	0.3430797	0.5814455	0.4740861	0.7685819	0.8638028	0.6835505	0.9941487	0.1521377	0.9120768
0.3291754	0.6237686	0.3488745	0.7572990	0.9603433	0.6125449	0.5124466	0.2766304	0.7190747	0.8892793	0.1386397	0.4564037	0.2670287	0.9495388	0.6572901	0.9714723	0.0951432	0.9017588	0.3467554	0.4334496	0.0722365	0.5735744	0.7836119	0.8360457	0.2538964	0.5863780	0.8073366	0.7200672	0.1845692	0.5091691	0.8004196	0.0238242	0.9955826	0.7538117	0.5766558	0.9294036	0.5300344	0.1469412	0.1245044	0.0548556	0.4574641	0.4946438	0.6008585	0.3300915	0.5616654	0.1990535	0.4095900	0.1402129	0.7219211	0.6559122	0.4723368	0.0165164	0.4194153	0.9690162	0.0484795	0.5074572	0.6459102	0.8184972	0.0364948	0.7891920	0.8770263	0.1595620	0.1491864	0.7763160	0.7665425	0.5462821	0.9823154	0.6064389	0.4750914	0.2152551	0.4913182	0.8507714	0.6686182	0.4989059	0.0286428	0.1974000	0.6330969	0.8619003	0.7440387	0.9367791	0.3510129	0.8054224	0.9040512	0.6080269	0.9916820	0.5391173	0.7635149	0.5127851	0.9176162	0.6084098	0.8894878	0.8676627	0.4631726	0.4033900	0.3342507	0.9414078	0.7057973	0.7859375	0.5614837	0.6146273
0.6577171	0.0730973	0.9980732	0.1631628	0.8425725	0.7963331	0.1683413	0.2872068	0.0163334	0.3107211	0.4138422	0.4523558	0.9794180	0.2538642	0.5509011	0.3885030	0.5063152	0.0052070	0.1967848	0.1854556	0.5496277	0.2286466	0.3448065	0.2351596	0.8430336	0.8061748	0.6734055	0.3185950	0.8236412	0.5364805	0.2415948	0.2806071	0.4974162	0.8833380	0.7088213	0.7977351	0.6857819	0.9791768	0.7325516	0.3177335	0.4493050	0.9118144	0.1618658	0.5078410	0.7213454	0.3194720	0.3639554	0.5915981	0.4576595	0.8024819	0.4645474	0.8249523	0.5206276	0.1877414	0.8949415	0.5144814	0.7721691	0.3338577	0.9557621	0.8737501	0.4879188	0.1308044	0.9604133	0.3153463	0.5816637	0.3464977	0.9912507	0.5703847	0.8769037	0.4377382	0.2800062	0.8991419	0.7615383	0.5083557	0.5670059	0.4233285	0.6005699	0.8306539	0.2277830	0.7904216	0.1335582	0.5277635	0.9662544	0.5959692	0.8048629	0.9424699	0.0091432	0.3857638	0.4282957	0.0974079	0.1995362	0.2246764	0.3479753	0.6055048	0.4786445	0.6602573	0.9705878	0.0078775	0.9735505	0.0227034
0.4207651	0.4686695	0.2747756	0.1273880	0.3903233	0.5587662	0.7927981	0.7160426	0.2242388	0.9402603	0.2275320	0.7358814	0.6075751	0.7425120	0.9712973	0.0343581	0.9597262	0.3499788	0.3501710	0.3807547	0.5052579	0.9084525	0.6400504	0.0658294	0.5783740	0.7365528	0.5963092	0.5467581	0.8899808	0.8846459	0.3032979	0.5630812	0.1744112	0.0119475	0.6894153	0.9445784	0.8677422	0.8817202	0.9831026	0.7510573	0.7896696	0.6215624	0.5875732	0.0507954	0.0359757	0.4768790	0.3799540	0.5092286	0.4557635	0.7194044	0.8685445	0.3121936	0.8064337	0.5074984	0.5228921	0.5655298	0.1010201	0.8303405	0.1781511	0.0743963	0.6876162	0.6183179	0.8760728	0.4949131	0.1272110	0.8794423	0.8884822	0.9545605	0.9408833	0.3962803	0.0758766	0.0281810	0.9439061	0.8807716	0.8080496	0.5443168	0.8033172	0.6112972	0.8816691	0.9320141	0.1423302	0.2616736	0.9338649	0.2485174	0.9771075	0.5304739	0.2605105	0.0925280	0.5333170	0.5352566	0.4147865	0.7695134	0.4892732	0.4593964	0.8490364	0.6754787	0.8018033	0.5997765	0.4981702	0.0916965
0.6667998	0.6264525	0.0855154	0.5231411	0.1420594	0.7685291	0.4429871	0.7948625	0.9256886	0.3297831	0.6862273	0.5032764	0.2280334	0.9310081	0.4767655	0.8627658	0.4509723	0.9958477	0.8430193	0.3248304	0.0455320	0.1782243	0.7658990	0.6430315	0.5547285	0.4216059	0.7127997	0.5208952	0.9554163	0.1469973	0.5074462	0.6306588	0.0081655	0.0923959	0.4734583	0.3951926	0.1104636	0.3128500	0.2462823	0.4238262	0.9055830	0.9323475	0.4446965	0.3308861	0.3680359	0.8315173	0.1153588	0.9645087	0.2771037	0.4270433	0.4891975	0.3564574	0.0287978	0.7506693	0.4745257	0.5897224	0.4704361	0.8830845	0.9159551	0.9268920	0.5529938	0.9554050	0.9731291	0.2673256	0.9014698	0.7887906	0.0307355	0.8880483	0.1523318	0.1905283	0.6430621	0.4473196	0.9652311	0.7428820	0.6554296	0.4760252	0.2302778	0.3962663	0.7410705	0.9502849	0.9508204	0.8398082	0.7285857	0.6249880	0.8728950	0.1140046	0.6048196	0.1624881	0.5824096	0.3905047	0.5130247	0.5441930	0.7985436	0.1232163	0.4148983	0.5462857	0.8298561	0.2049213	0.7923720	0.2021769
0.1266445	0.3086776	0.5755620	0.6895464	0.1575061	0.4548643	0.1412728	0.8618112	0.7351215	0.1376238	0.8815028	0.5840547	0.0165627	0.7186095	0.0547242	0.7385541	0.8770833	0.1867244	0.1212685	0.1915413	0.0784499	0.0636066	0.9725113	0.7364884	0.9286343	0.6894121	0.1197445	0.9150472	0.0813080	0.0558574	0.2043384	0.5426838	0.3673784	0.4853729	0.2804056	0.3617504	0.8569368	0.6272121	0.9384422	0.5029009	0.3442482	0.3819615	0.8280570	0.1488238	0.6388920	0.8936839	0.6414153	0.3690735	0.3364767	0.2159953	0.1927215	0.9840103	0.2428450	0.6008373	0.2872286	0.0156557	0.0742088	0.4475180	0.5287662	0.7675112	0.6894794	0.0917690	0.6797016	0.0457803	0.5330866	0.4548470	0.0549080	0.8295626	0.5097733	0.8702541	0.4275983	0.2648325	0.2342350	0.0151894	0.1408403	0.2116057	0.1383441	0.9500176	0.2758372	0.4610018	0.1255064	0.7082265	0.3705738	0.9329193	0.6978815	0.7098813	0.4584363	0.6660684	0.6468295	0.7486818	0.2350910	0.1732890	0.2575963	0.0215115	0.8215183	0.9665165	0.6069623	0.3872406	0.0122717	0.7156060
0.6595767	0.1318194	0.5423719	0.3460817	0.1875444	0.4657613	0.9238326	0.2032632	0.3256309	0.3728273	0.4286828	0.0364549	0.4578692	0.7165330	0.4670105	0.8371956	0.3386054	0.7107413	0.5492666	0.8010840	0.3290231	0.4711160	0.4048393	0.5547379	0.4526708	0.3533204	0.1617867	0.8326410	0.8084537	0.7658365	0.4413594	0.0859572	0.8477881	0.8373818	0.6104957	0.1218551	0.4221630	0.3399835	0.8086224	0.6211248	0.9187837	0.9894101	0.5336421	0.9008872	0.1962035	0.7001103	0.7604217	0.1570202	0.0423533	0.8052589	0.0719150	0.2072296	0.3816576	0.0547755	0.6213059	0.5402892	0.3806390	0.3825311	0.0606371	0.6313356	0.1799254	0.9363325	0.0470119	0.8574199	0.9025986	0.1499961	0.8716281	0.3353088	0.2176081	0.2071941	0.5617810	0.7032883	0.9382555	0.9864304	0.6934821	0.6067302	0.5522404	0.5504286	0.9117320	0.6803703	0.8192409	0.4999426	0.3843110	0.2384573	0.0297073	0.9810228	0.7029909	0.7402155	0.8063415	0.1527689	0.3185849	0.9619204	0.0814962	0.9101185	0.7595407	0.9143791	0.5261991	0.7350189	0.7242999	0.0892798
